pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-20,,,,"Gilbert, Tyler",545358,656457,strikeout,swinging_strike,,,,,,Max Stassi strikes out swinging.,S,R,L,CWS,CIN,S,2,,0,2,2024,,,,,657757,,607680,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747879,571912,605361,699114,687952,682829,674441,666181,669352,,,,0.0,,0,0,,66,3,,1,3,1,3,3,1,1,3,,,,-0.087,-0.158,,,,0.158,,-2,-2,0.158,0.158,30,33,31,33,2,1,,,,,,,,
,2024-03-20,,,,"Gilbert, Tyler",545358,656457,,swinging_strike,,,,,,Max Stassi strikes out swinging.,S,R,L,CWS,CIN,S,,,0,1,2024,,,,,657757,,607680,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747879,571912,605361,699114,687952,682829,674441,666181,669352,,,,,,,,,66,2,,1,3,1,3,3,1,1,3,,,,0.0,-0.082,,,,0.082,,-2,-2,0.158,0.158,30,33,31,33,2,1,,,,,,,,
,2024-03-20,,,,"Gilbert, Tyler",545358,656457,,swinging_strike,,,,,,Max Stassi strikes out swinging.,S,R,L,CWS,CIN,S,,,0,0,2024,,,,,657757,,607680,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747879,571912,605361,699114,687952,682829,674441,666181,669352,,,,,,,,,66,1,,1,3,1,3,3,1,1,3,,,,0.0,-0.046,,,,0.046,,-2,-2,0.158,0.158,30,33,31,33,2,1,,,,,,,,
,2024-03-20,,,,"Gilbert, Tyler",545358,656457,field_out,hit_into_play,,,,,,Max Stassi flies out to shortstop Elly De La Cruz.,S,R,L,CWS,CIN,X,6,fly_ball,0,0,2024,,,,,,,,0,7,Bot,92.7,121.87,,,,,,,,,,,,,,,,,,,747879,571912,605361,699114,687952,682829,674441,666181,669352,,,,0.0,,0,0,,53,1,,1,3,1,3,3,1,1,3,,,,-0.038,-0.254,,,,0.254,,-2,-2,0.209,0.209,30,33,31,33,1,0,,,,,,,,
,2024-03-18,,,,"Bibee, Tanner",545358,676440,walk,ball,,,,,,Max Stassi walks.,S,R,R,CWS,CLE,B,,,3,0,2024,,,,,,683734,,1,4,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,0.7,,0,0,,39,4,,0,8,0,8,8,0,0,8,,,,0.005,0.073,,,,-0.073,,-8,-8,0.02,0.02,25,33,25,33,2,1,,,,,,,,
,2024-03-18,,,,"Bibee, Tanner",545358,676440,,ball,,,,,,Max Stassi walks.,S,R,R,CWS,CLE,B,,,2,0,2024,,,,,,683734,,1,4,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,,,,,,39,3,,0,8,0,8,8,0,0,8,,,,0.0,0.083,,,,-0.083,,-8,-8,0.02,0.02,25,33,25,33,2,1,,,,,,,,
,2024-03-18,,,,"Bibee, Tanner",545358,676440,,ball,,,,,,Max Stassi walks.,S,R,R,CWS,CLE,B,,,1,0,2024,,,,,,683734,,1,4,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,,,,,,39,2,,0,8,0,8,8,0,0,8,,,,0.0,0.042,,,,-0.042,,-8,-8,0.02,0.02,25,33,25,33,2,1,,,,,,,,
,2024-03-18,,,,"Bibee, Tanner",545358,676440,,ball,,,,,,Max Stassi walks.,S,R,R,CWS,CLE,B,,,0,0,2024,,,,,,683734,,1,4,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,,,,,,39,1,,0,8,0,8,8,0,0,8,,,,0.0,0.027,,,,-0.027,,-8,-8,0.02,0.02,25,33,25,33,2,1,,,,,,,,
,2024-03-18,,,,"Bibee, Tanner",545358,676440,strikeout,called_strike,,,,,,Max Stassi called out on strikes.,S,R,R,CWS,CLE,S,2,,0,2,2024,,,,,,,657757,0,2,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,0.0,,0,0,,22,3,,0,7,0,7,7,0,0,7,,,,-0.013,-0.15,,,,0.15,,-7,-7,0.062,0.062,25,33,25,33,1,0,,,,,,,,
,2024-03-18,,,,"Bibee, Tanner",545358,676440,,swinging_strike,,,,,,Max Stassi called out on strikes.,S,R,R,CWS,CLE,S,,,0,1,2024,,,,,,,657757,0,2,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,,,,,,22,2,,0,7,0,7,7,0,0,7,,,,0.0,-0.048,,,,0.048,,-7,-7,0.062,0.062,25,33,25,33,1,0,,,,,,,,
