pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-03-17,87.9,-1.92,5.36,"Gomez, Cesar",690914,685461,home_run,hit_into_play,,,,,5,Brody Moore hits a grand slam (1) to left center field. Michael Siani scores. Alfonso Rivas scores. Ramon Mendoza scores.,S,R,R,STL,HOU,X,,fly_ball,2,2,2024,-0.06,0.31,-0.24,2.43,672279,663845,680636,2,8,Bot,58.57,59.33,,,,,4.206517682173188,-128.0991588552273,-1.6977337277433402,-1.4979994099845435,24.371956344124573,-28.65645224401882,3.17,1.6,383,95.5,28,87.9,2634,6.0,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.45,0.223,,2.0,,0,3,5,78,6,Cutter,6,6,6,6,6,10,10,6,Standard,Standard,134,0.354,1.139,,,0.619,-1.139,95.5,0,0,0.634,0.634,25,23,26,24,1,1,,,,,2.62,0.06,0.06,
SI,2024-03-17,91.5,-1.77,5.27,"Gomez, Cesar",690914,685461,,ball,,,,,14,Brody Moore hits a grand slam (1) to left center field. Michael Siani scores. Alfonso Rivas scores. Ramon Mendoza scores.,S,R,R,STL,HOU,B,,,1,2,2024,-1.25,0.29,1.55,1.07,672279,663845,680636,2,8,Bot,,,,,,,10.963107566142078,-132.705841946812,-5.293530421639863,-17.07949729117473,28.34434337114474,-27.739326764254457,3.14,1.51,,,,90.7,2234,6.0,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.49,,,,,,,,78,5,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,226,0.0,0.052,,,,-0.052,,0,0,0.634,0.634,25,23,26,24,1,1,,,,,2.45,1.25,1.25,
CH,2024-03-17,87.8,-1.84,5.3,"Gomez, Cesar",690914,685461,,ball,,,,,12,Brody Moore hits a grand slam (1) to left center field. Michael Siani scores. Alfonso Rivas scores. Ramon Mendoza scores.,S,R,R,STL,HOU,B,,,0,2,2024,-1.46,0.63,1.09,3.31,672279,663845,680636,2,8,Bot,,,,,,,10.06880272227196,-127.46509677354018,0.0206589216120477,-17.970287995194006,26.32703818103577,-25.51210614415751,3.17,1.6,,,,87.3,1821,6.1,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.38,,,,,,,,78,4,Changeup,6,6,6,6,6,6,6,6,Standard,Standard,233,0.0,0.023,,,,-0.023,,0,0,0.634,0.634,25,23,26,24,1,1,,,,,2.34,1.46,1.46,
FF,2024-03-17,95.1,-1.47,5.68,"Gomez, Cesar",690914,685461,,foul,,,,,9,Brody Moore hits a grand slam (1) to left center field. Michael Siani scores. Alfonso Rivas scores. Ramon Mendoza scores.,S,R,R,STL,HOU,S,,,0,2,2024,-1.11,1.36,0.5,1.58,672279,663845,680636,2,8,Bot,,,,,,,7.581216119879086,-138.16260126046606,-8.071588921769635,-15.855046047332875,30.283171078679445,-13.110112967364506,3.17,1.6,238,73.1,36,94.3,2351,5.9,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.64,,,,,,,,78,3,4-Seam Fastball,6,6,6,6,6,6,6,6,Standard,Standard,221,0.0,0.0,,,,0.0,88.0,0,0,0.634,0.634,25,23,26,24,1,1,,,,,1.16,1.11,1.11,
SI,2024-03-17,92.9,-1.61,5.45,"Gomez, Cesar",690914,685461,,swinging_strike,,,,,2,Brody Moore hits a grand slam (1) to left center field. Michael Siani scores. Alfonso Rivas scores. Ramon Mendoza scores.,S,R,R,STL,HOU,S,,,0,1,2024,-1.3,0.24,-0.13,3.09,672279,663845,680636,2,8,Bot,,,,,,,6.54768649246871,-135.18103310677515,-0.8014188892053675,-17.34480256092801,29.023348374795827,-29.243562948248773,3.17,1.6,,,,92.1,2192,5.8,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.73,,,,,,,,78,2,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,218,0.0,-0.042,,,,0.042,,0,0,0.634,0.634,25,23,26,24,1,1,,,,,2.4,1.3,1.3,
SI,2024-03-17,92.6,-1.82,5.47,"Gomez, Cesar",690914,685461,,called_strike,,,,,1,Brody Moore hits a grand slam (1) to left center field. Michael Siani scores. Alfonso Rivas scores. Ramon Mendoza scores.,S,R,R,STL,HOU,S,,,0,0,2024,-1.35,0.76,-0.35,3.29,672279,663845,680636,2,8,Bot,,,,,,,6.633720125773433,-134.6829127328525,-1.3977731283230943,-17.879191131279303,30.572792449714512,-22.84707580089844,3.5,1.69,,,,91.8,2158,6.0,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.53,,,,,,,,78,1,Sinker,6,6,6,6,6,6,6,6,Standard,Standard,222,0.0,-0.044,,,,0.044,,0,0,0.634,0.634,25,23,26,24,1,1,,,,,1.91,1.35,1.35,
FF,2024-03-17,93.3,-2.59,4.86,"Scott, Tayler",690914,605463,strikeout,swinging_strike,,,,,2,Brody Moore strikes out swinging.,S,R,R,STL,HOU,S,2,,3,2,2024,-1.27,0.8,-0.26,3.28,,,,1,7,Bot,,,,,,,8.647185950528911,-135.62285000413905,-0.0438792966627294,-17.63897958305915,30.706748139834374,-22.550838333825357,3.17,1.6,,,,91.9,2087,5.6,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.9,,,0.0,,0,0,,65,8,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,236,-0.035,-0.332,,,,0.332,,-1,-1,0.305,0.305,32,23,32,24,1,0,,,,,1.83,1.27,1.27,
SL,2024-03-17,84.9,-2.44,4.65,"Scott, Tayler",690914,605463,,foul,,,,,2,Brody Moore strikes out swinging.,S,R,R,STL,HOU,S,,,3,2,2024,0.96,-0.08,-0.26,2.81,,,,1,7,Bot,,,,,,,3.1270318383379654,-123.55033424305849,2.1379537996047056,9.169800766006132,25.614484273322397,-33.63815479365061,3.17,1.6,180,71.0,64,83.4,2764,5.4,747928,663967,685084,690474,677060,665846,680810,680244,694175,55.14,,,,,,,,65,7,Slider,4,5,4,5,5,4,4,5,Standard,Standard,62,0.0,0.0,,,,0.0,88.0,-1,-1,0.305,0.305,32,23,32,24,1,0,,,,,3.25,-0.96,-0.96,
FF,2024-03-17,93.1,-2.49,4.82,"Scott, Tayler",690914,605463,,foul,,,,,3,Brody Moore strikes out swinging.,S,R,R,STL,HOU,S,,,3,2,2024,-1.22,1.06,0.36,2.78,,,,1,7,Bot,,,,,,,9.859107496787963,-135.1686457250241,-1.6819288294808503,-17.16412064078242,32.75555994662501,-19.13716150471974,3.17,1.6,,,,91.5,2168,5.7,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.82,,,,,,,,65,6,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,236,0.0,0.0,,,,0.0,,-1,-1,0.305,0.305,32,23,32,24,1,0,,,,,1.61,1.22,1.22,
FF,2024-03-17,93.8,-2.39,4.91,"Scott, Tayler",690914,605463,,ball,,,,,12,Brody Moore strikes out swinging.,S,R,R,STL,HOU,B,,,2,2,2024,-1.36,0.95,0.11,3.74,,,,1,7,Bot,,,,,,,9.343961225322737,-136.3065840111703,0.6643213015483911,-19.048096599370833,31.916253368568984,-20.84185667886332,3.12,1.51,,,,92.4,2186,5.7,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.84,,,,,,,,65,5,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,235,0.0,0.108,,,,-0.108,,-1,-1,0.305,0.305,32,23,32,24,1,0,,,,,1.67,1.36,1.36,
SI,2024-03-17,92.4,-2.26,4.69,"Scott, Tayler",690914,605463,,swinging_strike,,,,,2,Brody Moore strikes out swinging.,S,R,R,STL,HOU,S,,,2,1,2024,-1.44,0.48,0.27,2.72,,,,1,7,Bot,,,,,,,9.44410978264591,-134.22618389709933,-0.2392910648232749,-19.482571800693364,28.791825818334942,-26.515659217271317,3.17,1.6,,,,91.1,2321,5.6,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.93,,,,,,,,65,4,Sinker,4,5,4,5,5,4,4,5,Standard,Standard,247,0.0,-0.078,,,,0.078,,-1,-1,0.305,0.305,32,23,32,24,1,0,,,,,2.2,1.44,1.44,
FF,2024-03-17,92.0,-2.41,4.96,"Scott, Tayler",690914,605463,,ball,,,,,12,Brody Moore strikes out swinging.,S,R,R,STL,HOU,B,,,1,1,2024,-1.23,1.02,1.14,4.3,,,,1,7,Bot,,,,,,,11.480899234439883,-133.37191337527415,1.9720166283716871,-17.219390420795012,30.33585439799276,-20.719095938445346,3.25,1.58,,,,90.4,2090,5.7,747928,663967,685084,690474,677060,665846,680810,680244,694175,54.84,,,,,,,,65,3,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,237,0.0,0.059,,,,-0.059,,-1,-1,0.305,0.305,32,23,32,24,1,0,,,,,1.7,1.23,1.23,
