pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-22,88.2,-2.92,6.04,"Hamilton, Ian",676116,641656,double,hit_into_play,,,,,5,Ryan Noda doubles (4) on a sharp line drive to right fielder Juan Soto. Tyler Soderstrom scores. Zack Gelof scores.,R,L,R,OAK,NYY,X,9,line_drive,3,1,2024,-0.15,0.19,-0.07,2.17,,691016,680869,2,6,Bot,209.54,112.75,,,,,7.160054662370172,-128.22876495610325,-3.609910052603659,-3.252627167792084,27.96931887276309,-29.55337254339554,3.35,1.58,296,100.3,21,86.8,1607,5.6,745608,669224,519203,650402,665862,683011,691176,592450,665742,54.9,0.383,0.495,1.25,1,1,1,5,54,5,Slider,2,5,2,5,5,4,4,5,Standard,Standard,197,0.214,0.884,76.9,7.9,0.807,-0.884,100.3,-3,-3,0.147,0.147,29,28,29,28,1,0,4,1,2,,2.76,0.15,-0.15,42.1
SI,2024-09-22,96.9,-3.04,5.93,"Hamilton, Ian",676116,641656,,called_strike,,,,,6,Ryan Noda doubles (4) on a sharp line drive to right fielder Juan Soto. Tyler Soderstrom scores. Zack Gelof scores.,R,L,R,OAK,NYY,S,,,3,0,2024,-1.29,0.61,0.64,2.31,,691016,680869,2,6,Bot,,,,,,,12.612604917519263,-140.5935181945431,-5.496420169040286,-19.835980818735184,28.810780024480504,-22.966718750014124,3.57,1.66,,,,96.2,2182,5.9,745608,669224,519203,650402,665862,683011,691176,592450,665742,54.64,,,,,,,,54,4,Sinker,2,5,2,5,5,2,2,5,Standard,Standard,224,0.0,-0.058,,,,0.058,,-3,-3,0.147,0.147,29,28,29,28,1,0,4,1,2,,1.81,1.29,-1.29,32.7
SI,2024-09-22,96.0,-2.87,5.99,"Hamilton, Ian",676116,641656,,ball,,,,,14,Ryan Noda doubles (4) on a sharp line drive to right fielder Juan Soto. Tyler Soderstrom scores. Zack Gelof scores.,R,L,R,OAK,NYY,B,,,2,0,2024,-1.48,0.46,1.21,2.45,,691016,680869,2,6,Bot,,,,,,,13.91902827448658,-139.1790580322743,-4.798135536233349,-22.11723128130818,27.588052505332183,-25.32650315158014,3.46,1.74,,,,95.1,2227,5.7,745608,669224,519203,650402,665862,683011,691176,592450,665742,54.79,,,,,,,,54,3,Sinker,2,5,2,5,5,2,2,5,Standard,Standard,223,0.0,0.08,,,,-0.08,,-3,-3,0.147,0.147,29,28,29,28,1,0,4,1,2,,2.01,1.48,-1.48,37.7
FF,2024-09-22,97.0,-2.71,6.08,"Hamilton, Ian",676116,641656,,ball,,,,,2,Ryan Noda doubles (4) on a sharp line drive to right fielder Juan Soto. Tyler Soderstrom scores. Zack Gelof scores.,R,L,R,OAK,NYY,B,,,1,0,2024,-0.65,1.13,0.16,3.61,,691016,680869,2,6,Bot,,,,,,,9.079002199121224,-141.12800552565682,-3.6648134425717176,-10.671787749639597,29.63112035535747,-16.337865130569522,3.52,1.8,,,,96.5,2093,5.9,745608,669224,519203,650402,665862,683011,691176,592450,665742,54.64,,,,,,,,54,2,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,219,0.0,0.044,,,,-0.044,,-3,-3,0.147,0.147,29,28,29,28,1,0,4,1,2,,1.28,0.65,-0.65,38.2
FF,2024-09-22,97.1,-2.9,6.15,"Hamilton, Ian",676116,641656,,ball,,,,,11,Ryan Noda doubles (4) on a sharp line drive to right fielder Juan Soto. Tyler Soderstrom scores. Zack Gelof scores.,R,L,R,OAK,NYY,B,,,0,0,2024,-0.78,1.36,-0.12,3.89,,691016,680869,2,6,Bot,,,,,,,9.087723437185156,-141.10453442701737,-3.581757284686715,-12.418573501682538,31.85766246424133,-13.346579687603656,3.56,1.73,,,,95.9,2199,5.7,745608,669224,519203,650402,665862,683011,691176,592450,665742,54.83,,,,,,,,54,1,4-Seam Fastball,2,5,2,5,5,2,2,5,Standard,Standard,208,0.0,0.026,,,,-0.026,,-3,-3,0.147,0.147,29,28,29,28,1,0,4,1,2,,1.06,0.78,-0.78,39.8
FS,2024-09-21,84.2,-1.03,5.92,"Leiter Jr., Mark",676116,643410,strikeout,called_strike,,,,,1,Ryan Noda called out on strikes.,R,L,R,OAK,NYY,S,2,,2,2,2024,-0.77,0.5,-0.62,3.29,,,,2,8,Bot,,,,,,,2.5059111786885175,-122.54617449564124,-0.6744114198802535,-8.221237834442382,25.760331041340624,-27.2667282108724,3.35,1.57,,,,84.4,702,6.6,745610,624431,665828,650402,542932,683011,691176,663757,665742,53.93,,0.0,0.0,1,0,0,,72,5,Split-Finger,0,10,0,10,10,0,0,10,Infield shade,Standard,242,0.0,-0.219,,,,0.219,,-10,-10,0.0,0.0,33,28,33,28,1,0,8,8,3,1,2.73,0.77,-0.77,51.2
FS,2024-09-21,82.5,-1.33,5.74,"Leiter Jr., Mark",676116,643410,,called_strike,,,,,4,Ryan Noda called out on strikes.,R,L,R,OAK,NYY,S,,,2,1,2024,-0.42,0.45,-0.59,2.4,,,,2,8,Bot,,,,,,,2.539309936461633,-120.221344068909,-1.978308627818807,-4.577533052481362,23.18849208221611,-27.67789001397684,3.11,1.53,,,,83.3,657,6.7,745610,624431,665828,650402,542932,683011,691176,663757,665742,53.77,,,,,,,,72,4,Split-Finger,0,10,0,10,10,0,0,10,Infield shade,Standard,241,0.0,-0.084,,,,0.084,,-10,-10,0.0,0.0,33,28,33,28,1,0,8,8,3,1,2.89,0.42,-0.42,52.0
FF,2024-09-21,91.6,-1.25,5.96,"Leiter Jr., Mark",676116,643410,,foul,,,,,2,Ryan Noda called out on strikes.,R,L,R,OAK,NYY,S,,,2,0,2024,-0.44,1.39,0.1,3.03,,,,2,8,Bot,,,,,,,4.377298278427485,-133.35846574850314,-4.587595070512899,-6.151719168374667,27.88530894278268,-14.798317834857045,3.35,1.58,245,88.8,65,92.3,1878,6.6,745610,624431,665828,650402,542932,683011,691176,663757,665742,53.87,,,,,,,,72,3,4-Seam Fastball,0,10,0,10,10,0,0,10,Infield shade,Standard,207,0.0,-0.061,75.7,7.9,,0.061,88.8,-10,-10,0.0,0.0,33,28,33,28,1,0,8,8,3,1,1.32,0.44,-0.44,54.3
CU,2024-09-21,72.9,-1.34,5.85,"Leiter Jr., Mark",676116,643410,,ball,,,,,14,Ryan Noda called out on strikes.,R,L,R,OAK,NYY,B,,,1,0,2024,1.0,-1.34,0.58,0.72,,,,2,8,Bot,,,,,,,2.13530531680371,-106.10156806789264,-0.492079923975365,7.038696057397768,21.72259516507312,-42.26512962801251,3.07,1.52,,,,72.7,2237,6.6,745610,624431,665828,650402,542932,683011,691176,663757,665742,53.94,,,,,,,,72,2,Curveball,0,10,0,10,10,0,0,10,Infield shade,Standard,23,0.0,0.068,,,,-0.068,,-10,-10,0.0,0.0,33,28,33,28,1,0,8,8,3,1,5.69,-1.0,1.0,53.5
FF,2024-09-21,91.6,-1.18,5.8,"Leiter Jr., Mark",676116,643410,,ball,,,,,11,Ryan Noda called out on strikes.,R,L,R,OAK,NYY,B,,,0,0,2024,-0.55,1.6,-0.32,3.56,,,,2,8,Bot,,,,,,,3.381654377976127,-133.31797741091194,-3.259516667755471,-7.267898867885629,28.896260728501836,-12.612884532819898,3.2,1.62,,,,92.1,1979,6.6,745610,624431,665828,650402,542932,683011,691176,663757,665742,53.88,,,,,,,,72,1,4-Seam Fastball,0,10,0,10,10,0,0,10,Infield shade,Standard,205,0.0,0.04,,,,-0.04,,-10,-10,0.0,0.0,33,28,33,28,1,0,8,8,3,1,1.12,0.55,-0.55,50.6
