pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-03-26,,,,"Helsley, Ryan",807713,664854,field_out,hit_into_play,,,,,,"Matt Shaw grounds out, third baseman R.  J. Yeager to first baseman Jacob Buchberger.",S,R,R,CHC,STL,X,5,ground_ball,2,2,2024,,,,,,,,0,9,Bot,102.86,167.38,,,,,,,,,,,,,,,,,,,748339,686780,689750,695336,694271,691026,701675,687363,690443,,,,0.0,,0,0,,72,5,Cutter,2,7,2,7,7,2,2,7,,,,-0.005,-0.227,,,,0.227,,-5,-5,0.007,0.007,29,22,30,23,1,2,,,,,,,,
FC,2024-03-26,,,,"Helsley, Ryan",807713,664854,,called_strike,,,,,,"Matt Shaw grounds out, third baseman R.  J. Yeager to first baseman Jacob Buchberger.",S,R,R,CHC,STL,S,,,2,1,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,748339,686780,689750,695336,694271,691026,701675,687363,690443,,,,,,,,,72,4,Cutter,2,7,2,7,7,2,2,7,,,,0.0,-0.069,,,,0.069,,-5,-5,0.007,0.007,29,22,30,23,1,2,,,,,,,,
FF,2024-03-26,,,,"Helsley, Ryan",807713,664854,,ball,,,,,,"Matt Shaw grounds out, third baseman R.  J. Yeager to first baseman Jacob Buchberger.",S,R,R,CHC,STL,B,,,1,1,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,748339,686780,689750,695336,694271,691026,701675,687363,690443,,,,,,,,,72,3,4-Seam Fastball,2,7,2,7,7,2,2,7,,,,0.0,0.053,,,,-0.053,,-5,-5,0.007,0.007,29,22,30,23,1,2,,,,,,,,
FF,2024-03-26,,,,"Helsley, Ryan",807713,664854,,swinging_strike,,,,,,"Matt Shaw grounds out, third baseman R.  J. Yeager to first baseman Jacob Buchberger.",S,R,R,CHC,STL,S,,,1,0,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,748339,686780,689750,695336,694271,691026,701675,687363,690443,,,,,,,,,72,2,4-Seam Fastball,2,7,2,7,7,2,2,7,,,,0.0,-0.049,,,,0.049,,-5,-5,0.007,0.007,29,22,30,23,1,2,,,,,,,,
FF,2024-03-26,,,,"Helsley, Ryan",807713,664854,,ball,,,,,,"Matt Shaw grounds out, third baseman R.  J. Yeager to first baseman Jacob Buchberger.",S,R,R,CHC,STL,B,,,0,0,2024,,,,,,,,0,9,Bot,,,,,,,,,,,,,,,,,,,,,748339,686780,689750,695336,694271,691026,701675,687363,690443,,,,,,,,,72,1,4-Seam Fastball,2,7,2,7,7,2,2,7,,,,0.0,0.038,,,,-0.038,,-5,-5,0.007,0.007,29,22,30,23,1,2,,,,,,,,
SL,2024-03-26,,,,"Gallegos, Giovanny",807713,606149,strikeout,swinging_strike_blocked,,,,,,Matt Shaw strikes out swinging.,S,R,R,CHC,STL,S,2,,0,2,2024,,,,,,663611,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,748339,671056,689750,695336,694271,691026,672279,687363,690443,,,,0.0,,0,0,,52,3,Slider,1,5,1,5,5,1,1,5,,,,-0.026,-0.174,,,,0.174,,-4,-4,0.099,0.099,32,22,33,23,1,1,,,,,,,,
SL,2024-03-26,,,,"Gallegos, Giovanny",807713,606149,,called_strike,,,,,,Matt Shaw strikes out swinging.,S,R,R,CHC,STL,S,,,0,1,2024,,,,,,663611,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,748339,671056,689750,695336,694271,691026,672279,687363,690443,,,,,,,,,52,2,Slider,1,5,1,5,5,1,1,5,,,,0.0,-0.065,,,,0.065,,-4,-4,0.099,0.099,32,22,33,23,1,1,,,,,,,,
SL,2024-03-26,,,,"Gallegos, Giovanny",807713,606149,,swinging_strike,,,,,,Matt Shaw strikes out swinging.,S,R,R,CHC,STL,S,,,0,0,2024,,,,,,663611,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,748339,671056,689750,695336,694271,691026,672279,687363,690443,,,,,,,,,52,1,Slider,1,5,1,5,5,1,1,5,,,,0.0,-0.036,,,,0.036,,-4,-4,0.099,0.099,32,22,33,23,1,1,,,,,,,,
SL,2024-03-26,,,,"Gibson, Kyle",807713,502043,strikeout,swinging_strike,,,,,,Matt Shaw strikes out swinging.,S,R,R,CHC,STL,S,2,,0,2,2024,,,,,670156,,664023,2,3,Bot,,,,,,,,,,,,,,,,,,,,,748339,575929,572761,669357,694271,543063,680977,672279,691023,,,,0.0,,0,0,,29,3,Slider,1,4,1,4,4,1,1,4,,,,-0.047,-0.158,,,,0.158,,-3,-3,0.223,0.223,36,22,37,23,2,0,,,,,,,,
SL,2024-03-26,,,,"Gibson, Kyle",807713,502043,,foul,,,,,,Matt Shaw strikes out swinging.,S,R,R,CHC,STL,S,,,0,1,2024,,,,,670156,,664023,2,3,Bot,,,,,,,,,,,,,,,,,,,,,748339,575929,572761,669357,694271,543063,680977,672279,691023,,,,,,,,,29,2,Slider,1,4,1,4,4,1,1,4,,,,0.0,-0.082,,,,0.082,,-3,-3,0.223,0.223,36,22,37,23,2,0,,,,,,,,
FC,2024-03-26,,,,"Gibson, Kyle",807713,502043,,called_strike,,,,,,Matt Shaw strikes out swinging.,S,R,R,CHC,STL,S,,,0,0,2024,,,,,670156,,664023,2,3,Bot,,,,,,,,,,,,,,,,,,,,,748339,575929,572761,669357,694271,543063,680977,672279,691023,,,,,,,,,29,1,Cutter,1,4,1,4,4,1,1,4,,,,0.0,-0.046,,,,0.046,,-3,-3,0.223,0.223,36,22,37,23,2,0,,,,,,,,
,2024-03-22,,,,"Enlow, Blayne",807713,669416,single,hit_into_play,,,,,,Matt Shaw singles on a soft line drive to center fielder Wade Meckler.   Brian Kalmer to 2nd.,S,R,R,SF,CHC,X,8,line_drive,0,0,2024,,,,,,,687260,1,7,Top,148.56,123.77,,,,,,,,,,,,,,,,,,,747857,672275,670092,689172,669717,605113,666183,685133,573262,,,,0.9,,1,0,,69,1,,11,12,12,11,12,11,12,11,,,,-0.035,0.405,,,,-0.405,,-1,1,0.298,0.702,25,22,25,23,1,3,,,,,,,,
,2024-03-22,,,,"Webb, Logan",807713,657277,home_run,hit_into_play,,,,,,Matt Shaw homers (2) on a fly ball to right field.,S,R,R,SF,CHC,X,,fly_ball,0,1,2024,,,,,,,,2,5,Top,228.54,94.41,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,2.0,,0,3,,48,2,,6,11,11,6,12,6,12,6,,,,-0.027,2.635,,,,-2.635,,-5,5,0.065,0.935,27,22,28,23,3,2,,,,,,,,
,2024-03-22,,,,"Webb, Logan",807713,657277,,called_strike,,,,,,Matt Shaw homers (2) on a fly ball to right field.,S,R,R,SF,CHC,S,,,0,0,2024,,,,,,,,2,5,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,48,1,,6,11,11,6,11,6,11,6,,,,0.0,-0.041,,,,0.041,,-5,5,0.065,0.935,27,22,28,23,3,2,,,,,,,,
,2024-03-22,,,,"Webb, Logan",807713,657277,field_out,hit_into_play,,,,,,"Matt Shaw grounds out, third baseman Matt Chapman to first baseman LaMonte Wade Jr.",S,R,R,SF,CHC,X,5,ground_ball,0,0,2024,,,,,,,,0,3,Top,111.61,178.95,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,0.0,,0,0,,26,1,,2,10,10,2,10,2,10,2,,,,0.002,-0.254,,,,0.254,,-8,8,0.02,0.98,27,22,28,23,2,1,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",807713,641750,strikeout,called_strike,,,,,,Matt Shaw called out on strikes.,S,R,R,SF,CHC,S,2,,0,2,2024,,,,,665804,,670223,1,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,0.0,,0,0,,8,3,,0,4,4,0,4,0,4,0,,,,0.03,-0.251,,,,0.251,,-4,4,0.132,0.868,29,22,30,23,1,0,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",807713,641750,,called_strike,,,,,,Matt Shaw called out on strikes.,S,R,R,SF,CHC,S,,,0,1,2024,,,,,665804,,670223,1,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,8,2,,0,4,4,0,4,0,4,0,,,,0.0,-0.066,,,,0.066,,-4,4,0.132,0.868,29,22,30,23,1,0,,,,,,,,
,2024-03-22,,,,"Kiest, Tanner",807713,641750,,called_strike,,,,,,Matt Shaw called out on strikes.,S,R,R,SF,CHC,S,,,0,0,2024,,,,,665804,,670223,1,1,Top,,,,,,,,,,,,,,,,,,,,,747857,672275,664774,642731,656305,605113,624424,808982,573262,,,,,,,,,8,1,,0,4,4,0,4,0,4,0,,,,0.0,-0.045,,,,0.045,,-4,4,0.132,0.868,29,22,30,23,1,0,,,,,,,,
,2024-03-16,,,,"Crouse, Hans",807713,668968,field_out,hit_into_play,,,,,,Matt Shaw flies out to right fielder Mickey Moniak.,S,R,R,LAA,CHC,X,9,fly_ball,0,0,2024,,,,,,,,1,9,Top,189.37,103.52,,,,,,,,,,,,,,,,,,,747940,595453,676572,605346,691186,670869,666176,545350,666160,,,,0.0,,0,0,,68,1,,2,4,4,2,4,2,4,2,,,,0.006,-0.256,,,,0.256,,-2,2,0.078,0.922,25,22,26,23,1,3,,,,,,,,
,2024-03-16,,,,"Joyce, Ben",807713,690829,grounded_into_double_play,hit_into_play,,,,,,"Matt Shaw grounds into a double play, second baseman Luis Rengifo to shortstop Zach Neto to first baseman Eric Wagaman.   Joe Hudson out at 2nd.    Matt Shaw out at 1st.",S,R,R,LAA,CHC,X,4,ground_ball,0,0,2024,,,,,,,621529,0,6,Top,148.37,151.11,,,,,,,,,,,,,,,,,,,747940,681351,676572,650859,691186,687263,621493,545361,543305,,,,0.0,,0,0,,45,1,,0,4,4,0,4,0,4,0,,,,0.02,-0.352,,,,0.352,,-4,4,0.065,0.935,23,22,24,23,1,2,,,,,,,,
,2024-03-16,,,,"Pomeranz, Drew",807713,519141,walk,ball,,,,,,Matt Shaw walks.,S,R,L,LAA,CHC,B,,,3,0,2024,,,,,,,,1,4,Top,,,,,,,,,,,,,,,,,,,,,747940,681351,592273,650859,543685,687263,621493,545361,543305,,,,0.7,,0,0,,28,4,,0,3,3,0,3,0,3,0,,,,-0.013,0.175,,,,-0.175,,-3,3,0.188,0.812,35,22,36,23,1,1,,,,,,,,
,2024-03-16,,,,"Pomeranz, Drew",807713,519141,,ball,,,,,,Matt Shaw walks.,S,R,L,LAA,CHC,B,,,2,0,2024,,,,,,,,1,4,Top,,,,,,,,,,,,,,,,,,,,,747940,681351,592273,650859,543685,687263,621493,545361,543305,,,,,,,,,28,3,,0,3,3,0,3,0,3,0,,,,0.0,0.139,,,,-0.139,,-3,3,0.188,0.812,35,22,36,23,1,1,,,,,,,,
,2024-03-16,,,,"Pomeranz, Drew",807713,519141,,ball,,,,,,Matt Shaw walks.,S,R,L,LAA,CHC,B,,,1,0,2024,,,,,,,,1,4,Top,,,,,,,,,,,,,,,,,,,,,747940,681351,592273,650859,543685,687263,621493,545361,543305,,,,,,,,,28,2,,0,3,3,0,3,0,3,0,,,,0.0,0.072,,,,-0.072,,-3,3,0.188,0.812,35,22,36,23,1,1,,,,,,,,
,2024-03-16,,,,"Pomeranz, Drew",807713,519141,,ball,,,,,,Matt Shaw walks.,S,R,L,LAA,CHC,B,,,0,0,2024,,,,,,,,1,4,Top,,,,,,,,,,,,,,,,,,,,,747940,681351,592273,650859,543685,687263,621493,545361,543305,,,,,,,,,28,1,,0,3,3,0,3,0,3,0,,,,0.0,0.039,,,,-0.039,,-3,3,0.188,0.812,35,22,36,23,1,1,,,,,,,,
,2024-03-16,,,,"Soriano, José",807713,667755,strikeout,foul_tip,,,,,,Matt Shaw strikes out on a foul tip.,S,R,R,LAA,CHC,S,2,,0,2,2024,,,,,,,,1,2,Top,,,,,,,,,,,,,,,,,,,,,747940,681351,592273,650859,543685,687263,621493,545361,543305,,,,0.0,,0,0,,11,3,,0,1,1,0,1,0,1,0,,,,0.015,-0.162,,,,0.162,,-1,1,0.412,0.588,25,22,26,23,1,0,,,,,,,,
,2024-03-16,,,,"Soriano, José",807713,667755,,foul,,,,,,Matt Shaw strikes out on a foul tip.,S,R,R,LAA,CHC,S,,,0,1,2024,,,,,,,,1,2,Top,,,,,,,,,,,,,,,,,,,,,747940,681351,592273,650859,543685,687263,621493,545361,543305,,,,,,,,,11,2,,0,1,1,0,1,0,1,0,,,,0.0,-0.057,,,,0.057,,-1,1,0.412,0.588,25,22,26,23,1,0,,,,,,,,
,2024-03-16,,,,"Soriano, José",807713,667755,,foul,,,,,,Matt Shaw strikes out on a foul tip.,S,R,R,LAA,CHC,S,,,0,0,2024,,,,,,,,1,2,Top,,,,,,,,,,,,,,,,,,,,,747940,681351,592273,650859,543685,687263,621493,545361,543305,,,,,,,,,11,1,,0,1,1,0,1,0,1,0,,,,0.0,-0.037,,,,0.037,,-1,1,0.412,0.588,25,22,26,23,1,0,,,,,,,,
