pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-09-26,88.1,-2.71,5.46,"Iriarte, Jairo",666160,683568,field_out,hit_into_play,,,,,7,"Mickey Moniak grounds out, first baseman Andrew Vaughn to pitcher Jairo Iriarte.",R,L,R,CWS,LAA,X,3,ground_ball,0,2,2024,-1.24,0.2,-0.64,1.79,,676572,592273,2,9,Top,156.07,160.2,,,,,7.638938335082364,-128.1703159439043,-3.2634212220230996,-15.24561938119697,24.726847303748336,-29.514202370330487,3.36,1.59,5,79.3,-20,88.8,1998,6.6,746738,642020,683734,672820,682868,676070,676113,673357,666150,53.89,0.06,0.069,0.0,1,0,0,2,74,3,Changeup,7,0,0,7,0,7,0,7,Infield shade,Standard,255,0.0,-0.186,68.2,8.5,0.062,0.186,88.0,7,-7,1.0,0.0,22,26,23,26,1,3,6,2,,,2.72,1.24,-1.24,35.0
FF,2024-09-26,93.7,-2.65,5.28,"Iriarte, Jairo",666160,683568,,foul,,,,,6,"Mickey Moniak grounds out, first baseman Andrew Vaughn to pitcher Jairo Iriarte.",R,L,R,CWS,LAA,S,,,0,1,2024,-1.18,1.15,0.67,2.53,,676572,592273,2,9,Top,,,,,,,11.362315618310028,-135.93221490242118,-3.897533771929652,-17.255389829131065,31.931230612536936,-17.218622122973443,3.36,1.59,311,91.6,33,94.7,2272,7.2,746738,642020,683734,672820,682868,676070,676113,673357,666150,53.3,,,,,,,,74,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,235,0.0,-0.046,74.7,8.0,,0.046,91.6,7,-7,1.0,0.0,22,26,23,26,1,3,6,2,,,1.48,1.18,-1.18,32.0
FF,2024-09-26,93.6,-2.65,5.31,"Iriarte, Jairo",666160,683568,,called_strike,,,,,3,"Mickey Moniak grounds out, first baseman Andrew Vaughn to pitcher Jairo Iriarte.",R,L,R,CWS,LAA,S,,,0,0,2024,-1.19,1.05,0.4,3.17,,676572,592273,2,9,Top,,,,,,,10.61307117830652,-135.8256678594399,-2.0669762843093715,-17.124481423170057,31.388607207498115,-18.8963600046195,3.29,1.43,,,,94.3,2406,7.0,746738,642020,683734,672820,682868,676070,676113,673357,666150,53.52,,,,,,,,74,1,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,234,0.0,-0.048,,,,0.048,,7,-7,1.0,0.0,22,26,23,26,1,3,6,2,,,1.57,1.19,-1.19,32.9
SL,2024-09-26,89.9,-1.61,5.35,"Varland, Gus",666160,681402,strikeout,swinging_strike,,,,,14,Mickey Moniak strikes out swinging.,R,L,R,CWS,LAA,S,2,,1,2,2024,0.11,0.38,1.12,1.99,,676572,681351,1,7,Top,,,,,,,6.519324138513103,-130.92192472246984,-3.2455627981344275,0.1502143526157482,23.240022609269484,-27.376052779741233,3.36,1.59,,,,90.4,2273,6.2,746738,642020,683734,672820,682868,676070,676113,673357,666150,54.31,,0.0,0.0,1,0,0,,56,4,Slider,7,0,0,7,0,7,0,7,Standard,Standard,70,0.006,-0.177,70.2,8.3,,0.177,,7,-7,0.988,0.012,27,26,28,26,1,2,2,2,2,,2.4,-0.11,0.11,49.4
FF,2024-09-26,97.7,-1.33,5.48,"Varland, Gus",666160,681402,,foul,,,,,6,Mickey Moniak strikes out swinging.,R,L,R,CWS,LAA,S,,,1,1,2024,-1.2,1.43,0.44,2.54,,676572,681351,1,7,Top,,,,,,,7.524370513234873,-142.03963535111825,-5.756096995660235,-17.880578466502847,29.479553947302463,-11.654266658090702,3.36,1.59,191,74.4,62,98.2,2470,6.4,746738,642020,683734,672820,682868,676070,676113,673357,666150,54.09,,,,,,,,56,3,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,218,0.0,-0.04,74.9,7.5,,0.04,88.0,7,-7,0.988,0.012,27,26,28,26,1,2,2,2,2,,0.95,1.2,-1.2,49.7
FF,2024-09-26,96.1,-1.37,5.43,"Varland, Gus",666160,681402,,swinging_strike,,,,,5,Mickey Moniak strikes out swinging.,R,L,R,CWS,LAA,S,,,1,0,2024,-1.29,1.41,-0.06,2.69,,676572,681351,1,7,Top,,,,,,,6.381690241142077,-139.82425418603097,-4.896426994843854,-18.375863345982832,30.304474200641117,-12.67583695284015,3.36,1.59,,,,96.4,2363,6.4,746738,642020,683734,672820,682868,676070,676113,673357,666150,54.12,,,,,,,,56,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,217,0.0,-0.054,74.4,7.0,,0.054,,7,-7,0.988,0.012,27,26,28,26,1,2,2,2,2,,1.05,1.29,-1.29,48.2
SL,2024-09-26,89.8,-1.41,5.39,"Varland, Gus",666160,681402,,ball,,,,,14,Mickey Moniak strikes out swinging.,R,L,R,CWS,LAA,B,,,0,0,2024,0.0,0.26,1.29,2.21,,676572,681351,1,7,Top,,,,,,,6.676638017630711,-130.8419029564507,-2.592736320618342,-1.061539012245718,21.52991649971228,-28.889127318502123,3.49,1.38,,,,90.8,2363,6.4,746738,642020,683734,672820,682868,676070,676113,673357,666150,54.14,,,,,,,,56,1,Slider,7,0,0,7,0,7,0,7,Standard,Standard,171,0.0,0.03,,,,-0.03,,7,-7,0.988,0.012,27,26,28,26,1,2,2,2,2,,2.51,0.0,0.0,48.7
FC,2024-09-26,84.8,-0.31,6.93,"Flexen, Chris",666160,623167,field_out,hit_into_play,,,,,6,Mickey Moniak pops out to shortstop Jacob Amaya.,R,L,R,CWS,LAA,X,6,popup,1,0,2024,0.51,0.22,0.65,2.63,,,681351,0,5,Top,95.24,130.29,,,,,1.2167889831364118,-123.59417276356136,-4.21989672166705,5.08448492490282,22.340681124816673,-29.341728583418146,3.36,1.59,176,88.7,65,85.0,2535,6.1,746738,642020,683734,672820,682868,676070,676113,673357,666150,54.36,0.009,0.01,0.0,1,0,0,3,31,2,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,108,0.044,-0.287,74.1,7.5,0.016,0.287,88.7,0,0,0.453,0.547,29,26,30,26,2,1,5,2,,,2.92,-0.51,0.51,74.1
CU,2024-09-26,69.8,0.05,6.84,"Flexen, Chris",666160,623167,,ball,,,,,14,Mickey Moniak pops out to shortstop Jacob Amaya.,R,L,R,CWS,LAA,B,,,0,0,2024,0.41,-1.22,0.65,1.01,,,681351,0,5,Top,,,,,,,0.4923843291826152,-101.6105343708942,-1.4372801529373345,2.7462236812708563,18.199988347342725,-40.52969640164376,3.17,1.43,,,,69.5,2490,6.2,746738,642020,683734,672820,682868,676070,676113,673357,666150,54.26,,,,,,,,31,1,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,15,0.0,0.042,,,,-0.042,,0,0,0.453,0.547,29,26,30,26,2,1,5,2,,,5.93,-0.41,0.41,73.7
FF,2024-09-26,92.9,-0.39,6.95,"Flexen, Chris",666160,623167,field_out,hit_into_play,,,,,11,Mickey Moniak flies out to left fielder Zach DeLoach.,R,L,R,CWS,LAA,X,7,fly_ball,2,2,2024,-0.06,1.45,-0.02,3.95,,,,2,2,Top,57.23,107.77,,,,,1.0812231576237674,-135.27548684063527,-5.075786077333644,-0.94544220884183,29.504832632128828,-13.51576437823292,3.36,1.59,283,87.0,40,92.9,2109,6.2,746738,642020,683734,672820,682868,676070,676113,673357,666150,54.26,0.009,0.012,0.0,1,0,0,3,11,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,196,0.01,-0.219,66.3,6.2,0.02,0.219,88.0,0,0,0.54,0.46,29,26,30,26,1,0,5,2,,,1.19,0.06,-0.06,72.8
