pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-10-02,85.8,-2.42,5.67,"Jobe, Jackson",572138,695549,fielders_choice,hit_into_play,,,,,11,"Jon Singleton reaches on a fielder's choice, fielded by first baseman Spencer Torkelson.   Victor Caratini scores.    Jeremy Peña to 3rd.    Mauricio Dubón to 2nd.",F,L,R,HOU,DET,X,3,ground_ball,2,2,2024,-1.19,0.06,-0.92,2.57,605170,665161,643289,0,7,Bot,141.63,171.13,,,,,5.939899924897137,-124.81272972961315,-1.1507243527404698,-13.652033162792392,26.10745252529326,-31.520699510603613,3.26,1.59,7,81.7,-21,85.5,1686,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.29,0.069,0.052,0.9,1,0,0,2,54,5,Changeup,0,1,0,1,1,1,1,1,Standard,Strategic,256,0.141,0.473,74.1,7.1,0.082,-0.473,88.0,-1,-1,0.683,0.683,21,32,22,33,1,0,4,1,8,,3.05,1.19,-1.19,38.0
CH,2024-10-02,85.8,-2.53,5.66,"Jobe, Jackson",572138,695549,,blocked_ball,,,,,13,"Jon Singleton reaches on a fielder's choice, fielded by first baseman Spencer Torkelson.   Victor Caratini scores.    Jeremy Peña to 3rd.    Mauricio Dubón to 2nd.",F,L,R,HOU,DET,B,,,1,2,2024,-1.27,0.39,-0.76,0.44,605170,665161,643289,0,7,Bot,,,,,,,6.7295872727179855,-124.61368214665887,-6.816436271199662,-14.610723554532768,25.695313596366773,-26.89480324936157,3.26,1.52,,,,85.4,1726,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.28,,,,,,,,54,4,Changeup,0,1,0,1,1,0,0,1,Standard,Strategic,249,0.0,0.054,,,,-0.054,,-1,-1,0.683,0.683,21,32,22,33,1,0,4,1,8,,2.73,1.27,-1.27,40.5
CH,2024-10-02,83.4,-2.53,5.74,"Jobe, Jackson",572138,695549,,swinging_strike,,,,,13,"Jon Singleton reaches on a fielder's choice, fielded by first baseman Spencer Torkelson.   Victor Caratini scores.    Jeremy Peña to 3rd.    Mauricio Dubón to 2nd.",F,L,R,HOU,DET,S,,,1,1,2024,-1.36,0.03,-0.32,0.89,605170,665161,643289,0,7,Bot,,,,,,,7.730494759655781,-121.13580269305086,-4.677995069178784,-14.95418009399934,25.767446467184534,-31.104600561468523,3.26,1.59,,,,82.9,1680,6.3,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.24,,,,,,,,54,3,Changeup,0,1,0,1,1,0,0,1,Standard,Strategic,253,0.0,-0.052,66.1,8.8,,0.052,,-1,-1,0.683,0.683,21,32,22,33,1,0,4,1,8,,3.29,1.36,-1.36,39.2
FC,2024-10-02,89.4,-2.27,5.9,"Jobe, Jackson",572138,695549,,foul,,,,,6,"Jon Singleton reaches on a fielder's choice, fielded by first baseman Spencer Torkelson.   Victor Caratini scores.    Jeremy Peña to 3rd.    Mauricio Dubón to 2nd.",F,L,R,HOU,DET,S,,,1,0,2024,0.22,0.81,0.72,2.32,605170,665161,643289,0,7,Bot,,,,,,,6.907041592039932,-130.10720098256164,-4.5447227280481854,1.1562949424700415,25.434490658935612,-22.17215509480048,3.26,1.59,190,70.8,51,89.6,2328,6.2,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.27,,,,,,,,54,2,Cutter,0,1,0,1,1,0,0,1,Standard,Strategic,193,0.0,-0.052,76.7,7.5,,0.052,88.0,-1,-1,0.683,0.683,21,32,22,33,1,0,4,1,8,,2.02,-0.22,0.22,43.8
CH,2024-10-02,83.4,-2.44,5.75,"Jobe, Jackson",572138,695549,,ball,,,,,13,"Jon Singleton reaches on a fielder's choice, fielded by first baseman Spencer Torkelson.   Victor Caratini scores.    Jeremy Peña to 3rd.    Mauricio Dubón to 2nd.",F,L,R,HOU,DET,B,,,0,0,2024,-1.31,0.7,-2.32,1.87,605170,665161,643289,0,7,Bot,,,,,,,2.8301653747607283,-121.351881297778,-3.815125000467944,-13.506810371220269,24.918899592767804,-24.693180991370813,3.26,1.55,,,,82.9,1773,6.1,775344,668670,679529,690993,656716,700242,682985,678009,663837,54.41,,,,,,,,54,1,Changeup,0,1,0,1,1,0,0,1,Standard,Strategic,252,0.0,0.025,,,,-0.025,,-1,-1,0.683,0.683,21,32,22,33,1,0,4,1,8,,2.59,1.31,-1.31,38.6
FF,2024-10-01,96.4,-1.98,5.7,"Vest, Will",572138,676684,field_out,hit_into_play,,,,,7,Jon Singleton lines out to center fielder Parker Meadows.,F,L,R,HOU,DET,X,8,line_drive,2,2,2024,-0.79,1.36,-0.65,2.04,,,,2,7,Bot,117.05,47.55,,,,,5.328331329354177,-140.1251979067112,-7.179666135715972,-11.668585148774076,33.69163955081774,-12.82769753689254,3.28,1.59,375,98.4,23,95.9,2073,6.2,775345,668670,679529,690993,663837,700242,682985,678009,672761,54.29,0.311,0.425,0.0,1,0,0,5,60,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,218,-0.01,-0.219,67.4,6.9,0.725,0.219,98.4,-3,-3,0.075,0.075,29,32,29,33,1,0,4,3,1,1,1.11,0.79,-0.79,44.3
CH,2024-10-01,91.1,-1.95,5.58,"Vest, Will",572138,676684,,ball,,,,,14,Jon Singleton lines out to center fielder Parker Meadows.,F,L,R,HOU,DET,B,,,1,2,2024,-1.33,0.75,0.54,0.23,,,,2,7,Bot,,,,,,,9.087577259156951,-132.03916613161954,-9.063591633214712,-17.53438444740033,29.504147249200017,-21.55393556178662,3.3,1.59,,,,90.7,1835,6.4,775345,668670,679529,690993,663837,700242,682985,678009,672761,54.12,,,,,,,,60,4,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,237,0.0,0.039,,,,-0.039,,-3,-3,0.075,0.075,29,32,29,33,1,0,4,3,1,1,2.03,1.33,-1.33,46.1
CH,2024-10-01,91.1,-2.07,5.57,"Vest, Will",572138,676684,,ball,,,,,13,Jon Singleton lines out to center fielder Parker Meadows.,F,L,R,HOU,DET,B,,,0,2,2024,-1.25,0.91,-1.43,1.36,,,,2,7,Bot,,,,,,,4.275200581401888,-132.46220170498466,-6.563081480842676,-15.561109892488046,30.527289865062333,-20.23737676695381,3.3,1.59,,,,90.7,1788,6.3,775345,668670,679529,690993,663837,700242,682985,678009,672761,54.24,,,,,,,,60,3,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,237,0.0,0.023,,,,-0.023,,-3,-3,0.075,0.075,29,32,29,33,1,0,4,3,1,1,1.86,1.25,-1.25,41.7
CH,2024-10-01,91.9,-2.19,5.6,"Vest, Will",572138,676684,,swinging_strike,,,,,13,Jon Singleton lines out to center fielder Parker Meadows.,F,L,R,HOU,DET,S,,,0,1,2024,-1.37,0.53,-1.08,1.49,,,,2,7,Bot,,,,,,,5.758946314016198,-133.55051232473951,-5.676925690270302,-17.646180354056252,30.233980780162753,-24.787245718784256,3.28,1.59,,,,91.6,1748,6.3,775345,668670,679529,690993,663837,700242,682985,678009,672761,54.22,,,,,,,,60,2,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,235,0.0,-0.058,73.9,7.0,,0.058,,-3,-3,0.075,0.075,29,32,29,33,1,0,4,3,1,1,2.19,1.37,-1.37,45.9
FF,2024-10-01,97.1,-1.94,5.78,"Vest, Will",572138,676684,,called_strike,,,,,5,Jon Singleton lines out to center fielder Parker Meadows.,F,L,R,HOU,DET,S,,,0,0,2024,-0.85,1.4,-0.16,2.16,,,,2,7,Bot,,,,,,,6.692119790864031,-141.09982879474325,-7.290100514136406,-12.916815386140316,35.577191382480486,-11.931981037196676,3.24,1.59,,,,96.4,2153,6.2,775345,668670,679529,690993,663837,700242,682985,678009,672761,54.3,,,,,,,,60,1,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,223,0.0,-0.041,,,,0.041,,-3,-3,0.075,0.075,29,32,29,33,1,0,4,3,1,1,1.04,0.85,-0.85,50.4
