pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-03-22,,,,"Klein, Will",800345,694361,strikeout,swinging_strike,,,,,,Juan Baez strikes out swinging.,S,R,R,MIL,KC,S,2,,1,2,2024,,,,,,680518,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,701817,664728,674646,,,,0.0,,0,0,,75,4,Cutter,11,5,11,5,5,11,11,5,,,,0.0,-0.213,,,,0.213,,6,6,0.998,0.998,24,19,25,19,1,1,,,,,,,,
FC,2024-03-22,,,,"Klein, Will",800345,694361,,called_strike,,,,,,Juan Baez strikes out swinging.,S,R,R,MIL,KC,S,,,1,1,2024,,,,,,680518,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,701817,664728,674646,,,,,,,,,75,3,Cutter,11,5,11,5,5,11,11,5,,,,0.0,-0.06,,,,0.06,,6,6,0.998,0.998,24,19,25,19,1,1,,,,,,,,
FF,2024-03-22,,,,"Klein, Will",800345,694361,,foul,,,,,,Juan Baez strikes out swinging.,S,R,R,MIL,KC,S,,,1,0,2024,,,,,,680518,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,701817,664728,674646,,,,,,,,,75,2,4-Seam Fastball,11,5,11,5,5,11,11,5,,,,0.0,-0.043,,,,0.043,,6,6,0.998,0.998,24,19,25,19,1,1,,,,,,,,
FF,2024-03-22,,,,"Klein, Will",800345,694361,,ball,,,,,,Juan Baez strikes out swinging.,S,R,R,MIL,KC,B,,,0,0,2024,,,,,,680518,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,701817,664728,674646,,,,,,,,,75,1,4-Seam Fastball,11,5,11,5,5,11,11,5,,,,0.0,0.014,,,,-0.014,,6,6,0.998,0.998,24,19,25,19,1,1,,,,,,,,
FF,2024-03-22,,,,"Cruz, Steven",800345,674444,walk,ball,,,,,,Juan Baez walks.,S,R,R,MIL,KC,B,,,3,2,2024,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,624428,664728,592669,,,,0.7,,0,0,,61,7,4-Seam Fastball,7,4,7,4,4,7,7,4,,,,0.005,0.348,,,,-0.348,,3,3,0.941,0.941,25,19,25,19,1,0,,,,,,,,
FC,2024-03-22,,,,"Cruz, Steven",800345,674444,,ball,,,,,,Juan Baez walks.,S,R,R,MIL,KC,B,,,2,2,2024,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,624428,664728,592669,,,,,,,,,61,6,Cutter,7,4,7,4,4,7,7,4,,,,0.0,0.108,,,,-0.108,,3,3,0.941,0.941,25,19,25,19,1,0,,,,,,,,
SI,2024-03-22,,,,"Cruz, Steven",800345,674444,,foul,,,,,,Juan Baez walks.,S,R,R,MIL,KC,S,,,2,2,2024,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,624428,664728,592669,,,,,,,,,61,5,Sinker,7,4,7,4,4,7,7,4,,,,0.0,0.0,,,,0.0,,3,3,0.941,0.941,25,19,25,19,1,0,,,,,,,,
FC,2024-03-22,,,,"Cruz, Steven",800345,674444,,ball,,,,,,Juan Baez walks.,S,R,R,MIL,KC,B,,,1,2,2024,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,624428,664728,592669,,,,,,,,,61,4,Cutter,7,4,7,4,4,7,7,4,,,,0.0,0.043,,,,-0.043,,3,3,0.941,0.941,25,19,25,19,1,0,,,,,,,,
FF,2024-03-22,,,,"Cruz, Steven",800345,674444,,swinging_strike,,,,,,Juan Baez walks.,S,R,R,MIL,KC,S,,,1,1,2024,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,624428,664728,592669,,,,,,,,,61,3,4-Seam Fastball,7,4,7,4,4,7,7,4,,,,0.0,-0.061,,,,0.061,,3,3,0.941,0.941,25,19,25,19,1,0,,,,,,,,
SI,2024-03-22,,,,"Cruz, Steven",800345,674444,,foul,,,,,,Juan Baez walks.,S,R,R,MIL,KC,S,,,1,0,2024,,,,,,,,1,7,Bot,,,,,,,,,,,,,,,,,,,,,747854,682515,686469,687478,680769,677951,624428,664728,592669,,,,,,,,,61,2,Sinker,7,4,7,4,4,7,7,4,,,,0.0,-0.051,,,,0.051,,3,3,0.941,0.941,25,19,25,19,1,0,,,,,,,,
