pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-09-29,94.3,2.58,5.79,"Matz, Steven",669477,571927,single,hit_into_play,,,,,4,Casey Schmitt singles on a ground ball to shortstop Thomas Saggese. Donovan Walton to 2nd.,R,R,L,SF,STL,X,6,ground_ball,0,2,2024,1.07,0.87,-0.29,2.28,,,622268,0,9,Bot,100.38,158.63,,,,,-9.887002017036696,-136.98226887858968,-5.405606802620407,15.636927608440905,29.128919031374885,-20.12255069823971,3.3,1.58,5,96.9,-25,94.8,2150,6.6,745282,686780,676475,680977,665877,695336,663457,672279,691023,53.89,0.117,0.106,0.9,1,1,0,2,71,3,Sinker,1,6,1,6,6,1,1,6,Standard,Standard,117,0.022,0.54,67.8,6.1,0.132,-0.54,96.9,-5,-5,0.015,0.015,33,25,33,25,1,2,3,1,,,1.69,1.07,-1.07,33.0
CH,2024-09-29,85.0,2.63,5.68,"Matz, Steven",669477,571927,,foul,,,,,9,Casey Schmitt singles on a ground ball to shortstop Thomas Saggese. Donovan Walton to 2nd.,R,R,L,SF,STL,S,,,0,1,2024,1.26,0.1,0.49,2.06,,,622268,0,9,Bot,,,,,,,-7.597382728907618,-123.60634106159944,-2.4058522426721205,14.384718485556473,23.32176916819864,-30.835411489419197,3.3,1.58,264,85.5,47,85.7,2481,6.7,745282,686780,676475,680977,665877,695336,663457,672279,691023,53.84,,,,,,,,71,2,Changeup,1,6,1,6,6,1,1,6,Standard,Standard,99,0.0,-0.048,73.3,7.2,,0.048,88.0,-5,-5,0.015,0.015,33,25,33,25,1,2,3,1,,,3.04,1.26,-1.26,31.8
SI,2024-09-29,94.8,2.57,5.85,"Matz, Steven",669477,571927,,called_strike,,,,,7,Casey Schmitt singles on a ground ball to shortstop Thomas Saggese. Donovan Walton to 2nd.,R,R,L,SF,STL,S,,,0,0,2024,1.28,0.89,-0.47,1.93,,,622268,0,9,Bot,,,,,,,-10.863580470336924,-137.49760660538308,-6.571058689792639,18.628012026891152,30.07548985531826,-19.51045725752406,3.38,1.58,,,,95.4,2086,6.8,745282,686780,676475,680977,665877,695336,663457,672279,691023,53.74,,,,,,,,71,1,Sinker,1,6,1,6,6,1,1,6,Standard,Standard,124,0.0,-0.042,,,,0.042,,-5,-5,0.015,0.015,33,25,33,25,1,2,3,1,,,1.66,1.28,-1.28,36.9
SI,2024-09-29,90.2,-2.64,5.83,"McGreevy, Michael",669477,700241,double,hit_into_play,,,,,7,Casey Schmitt doubles (4) on a sharp line drive to left fielder Lars Nootbaar.,R,R,R,SF,STL,X,7,line_drive,1,1,2024,-1.32,0.47,-0.6,2.06,,,,0,7,Bot,42.07,115.56,,,,,7.929173975128979,-131.1520452815611,-4.4362954992936245,-16.872866774778007,27.418503669064776,-26.024532310062835,3.3,1.58,164,100.4,10,90.7,2038,6.6,745282,686780,676475,680977,665877,695336,663457,672279,691023,53.88,0.82,0.791,1.25,1,1,1,4,55,3,Sinker,0,6,0,6,6,0,0,6,Standard,Standard,225,0.014,0.705,76.5,7.4,0.966,-0.705,100.4,-6,-6,0.017,0.017,23,25,24,25,3,1,5,1,,,2.34,1.32,1.32,33.2
ST,2024-09-29,83.6,-2.68,5.82,"McGreevy, Michael",669477,700241,,called_strike,,,,,5,Casey Schmitt doubles (4) on a sharp line drive to left fielder Lars Nootbaar.,R,R,R,SF,STL,S,,,1,0,2024,0.76,0.26,-0.07,2.4,,,,0,7,Bot,,,,,,,4.53279312172393,-121.86262824262,-2.0861433351884924,6.871234253430888,20.724882535422076,-29.405943033665647,3.38,1.65,,,,84.4,2444,6.4,745282,686780,676475,680977,665877,695336,663457,672279,691023,54.09,,,,,,,,55,2,Sweeper,0,6,0,6,6,0,0,6,Standard,Standard,43,0.0,-0.049,,,,0.049,,-6,-6,0.017,0.017,23,25,24,25,3,1,5,1,,,2.96,-0.76,-0.76,31.5
FF,2024-09-29,91.9,-2.37,6.0,"McGreevy, Michael",669477,700241,,ball,,,,,12,Casey Schmitt doubles (4) on a sharp line drive to left fielder Lars Nootbaar.,R,R,R,SF,STL,B,,,0,0,2024,-0.77,1.09,1.29,2.57,,,,0,7,Bot,,,,,,,11.007685577112593,-133.40472984677908,-5.23343308047492,-11.46289196585927,27.419187992252382,-18.13625417068498,3.42,1.63,,,,92.6,2063,6.8,745282,686780,676475,680977,665877,695336,663457,672279,691023,53.75,,,,,,,,55,1,4-Seam Fastball,0,6,0,6,6,0,0,6,Standard,Standard,224,0.0,0.038,,,,-0.038,,-6,-6,0.017,0.017,23,25,24,25,3,1,5,1,,,1.61,0.77,0.77,36.4
SI,2024-09-29,92.5,-2.67,5.75,"McGreevy, Michael",669477,700241,strikeout,called_strike,,,,,9,Casey Schmitt called out on strikes.,R,R,R,SF,STL,S,2,,1,2,2024,-1.24,0.19,0.51,1.97,,,,2,4,Bot,,,,,,,10.797684931336846,-134.28532087350743,-4.298414915040023,-17.14867152499203,25.813062092903102,-29.22023553383117,3.34,1.59,,,,93.0,2018,6.5,745282,686780,676475,680977,665877,695336,663457,672279,691023,54.01,,0.0,0.0,1,0,0,,28,4,Sinker,0,1,0,1,1,0,0,1,Standard,Standard,237,-0.013,-0.18,,,,0.18,,-1,-1,0.369,0.369,23,25,24,25,2,0,5,1,,,2.47,1.24,1.24,29.0
ST,2024-09-29,84.0,-2.57,5.74,"McGreevy, Michael",669477,700241,,ball,,,,,14,Casey Schmitt called out on strikes.,R,R,R,SF,STL,B,,,0,2,2024,1.0,-0.01,2.12,0.69,,,,2,4,Bot,,,,,,,8.876963780560667,-121.99215264097889,-5.29819803344144,8.436711644569407,22.565940871062494,-31.41429156232304,3.28,1.59,,,,84.3,2447,6.4,745282,686780,676475,680977,665877,695336,663457,672279,691023,54.07,,,,,,,,28,3,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,37,0.0,0.023,,,,-0.023,,-1,-1,0.369,0.369,23,25,24,25,2,0,5,1,,,3.23,-1.0,-1.0,30.0
ST,2024-09-29,84.4,-2.56,5.8,"McGreevy, Michael",669477,700241,,swinging_strike,,,,,14,Casey Schmitt called out on strikes.,R,R,R,SF,STL,S,,,0,1,2024,1.14,-0.52,0.96,0.65,,,,2,4,Bot,,,,,,,5.9539918007761665,-122.78719861084456,-4.560041421212669,10.26823536273326,24.86872391657889,-36.70020724832777,3.3,1.58,,,,84.5,2432,6.4,745282,686780,676475,680977,665877,695336,663457,672279,691023,54.06,,,,,,,,28,2,Sweeper,0,1,0,1,1,0,0,1,Standard,Standard,36,0.0,-0.058,44.4,7.9,,0.058,,-1,-1,0.369,0.369,23,25,24,25,2,0,5,1,,,3.73,-1.14,-1.14,31.0
FC,2024-09-29,87.7,-2.64,5.87,"McGreevy, Michael",669477,700241,,called_strike,,,,,5,Casey Schmitt called out on strikes.,R,R,R,SF,STL,S,,,0,0,2024,0.11,0.67,-0.07,2.44,,,,2,4,Bot,,,,,,,6.009925882588228,-127.72260940439229,-3.6593970906471975,0.2015555065707402,22.06243453099197,-24.283956023729417,3.46,1.61,,,,88.8,2257,6.6,745282,686780,676475,680977,665877,695336,663457,672279,691023,53.93,,,,,,,,28,1,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,234,0.0,-0.041,,,,0.041,,-1,-1,0.369,0.369,23,25,24,25,2,0,5,1,,,2.25,-0.11,-0.11,34.1
SI,2024-09-28,95.8,-1.66,6.32,"Pallante, Andre",669477,669467,double,hit_into_play,,,,,11,Casey Schmitt doubles (3) on a ground ball to left fielder Lars Nootbaar. Patrick Bailey scores.,R,R,R,SF,STL,X,7,ground_ball,1,1,2024,-0.67,1.25,-0.89,2.86,,672275,,2,4,Bot,58.65,124.91,,,,,3.5662178223012417,-139.46079590527532,-6.406531164724177,-9.581272510878836,29.4029078900532,-14.578036834714052,3.3,1.58,55,92.3,1,96.3,2203,6.4,745281,686780,502671,680977,695336,691026,663457,672279,691023,54.07,0.38,0.355,1.25,1,1,1,2,35,3,Sinker,3,1,3,1,1,4,4,1,Standard,Standard,186,0.078,0.929,82.7,6.7,0.46,-0.929,92.3,2,2,0.784,0.784,25,25,26,25,2,1,6,1,,1,1.22,0.67,0.67,61.7
SI,2024-09-28,94.1,-1.61,6.22,"Pallante, Andre",669477,669467,,blocked_ball,,,,,13,Casey Schmitt doubles (3) on a ground ball to left fielder Lars Nootbaar. Patrick Bailey scores.,R,R,R,SF,STL,B,,,0,1,2024,-0.58,1.31,-0.1,0.6,,672275,,2,4,Bot,,,,,,,5.204834311994225,-136.60513078546424,-11.858713421118791,-8.319886719368773,25.80712287468371,-13.478826035311894,3.32,1.7,,,,94.9,2137,6.6,745281,686780,502671,680977,695336,691026,663457,672279,691023,53.91,,,,,,,,35,2,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,192,0.0,0.012,,,,-0.012,,2,2,0.784,0.784,25,25,26,25,2,1,6,1,,1,1.25,0.58,0.58,61.6
SI,2024-09-28,94.7,-1.67,6.32,"Pallante, Andre",669477,669467,,foul,,,,,1,Casey Schmitt doubles (3) on a ground ball to left fielder Lars Nootbaar. Patrick Bailey scores.,R,R,R,SF,STL,S,,,0,0,2024,-0.42,1.36,-0.46,3.41,,672275,,2,4,Bot,,,,,,,4.088000550731988,-137.8100782986959,-5.000269747353588,-6.2180497589336134,29.706599638296307,-13.898799129412676,3.3,1.58,180,69.8,51,95.1,2102,6.5,745281,686780,502671,680977,695336,691026,663457,672279,691023,54.05,,,,,,,,35,1,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,189,0.0,-0.04,52.8,5.6,,0.04,88.0,2,2,0.784,0.784,25,25,26,25,2,1,6,1,,1,1.17,0.42,0.42,61.8
SI,2024-09-28,92.0,-1.72,6.12,"Pallante, Andre",669477,669467,field_out,hit_into_play,,,,,8,"Casey Schmitt grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",R,R,R,SF,STL,X,4,ground_ball,1,1,2024,-0.85,0.98,-0.09,1.6,,,,1,2,Bot,139.16,143.68,,,,,6.003564396724698,-133.69376456863966,-7.781863253028815,-11.496345619638248,28.60762354858025,-18.955412024242325,3.3,1.58,43,100.7,1,92.4,1913,6.6,745281,686780,502671,680977,695336,691026,663457,672279,691023,53.89,0.489,0.446,0.0,1,0,0,4,18,3,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,202,-0.014,-0.243,,,0.549,0.243,100.7,1,1,0.64,0.64,25,25,26,25,1,0,6,1,,1,1.72,0.85,0.85,56.1
