pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-03-19,80.8,-1.35,6.06,"Mears, Nick",800050,683232,home_run,hit_into_play,,,,,14,Chase DeLauter homers (4) on a fly ball to right center field. Will Brennan scores. Micah Pries scores.,S,L,R,COL,CLE,X,,fly_ball,0,1,2024,0.19,-1.1,0.9,2.31,686823,687588,,2,9,Top,179.89,38.54,,,,,4.680456966082331,-117.5641645606881,0.4348507701556372,0.8910155208267161,22.547342615446055,-42.70506046160723,3.39,1.71,418,102.5,24,81.6,2317,6.8,747894,691011,680693,691182,682653,690022,667663,678837,692585,53.65,0.771,,2.0,,0,3,6,83,2,Curveball,8,5,5,8,8,8,8,8,Standard,Standard,10,-0.36,1.317,,,2.432,-1.317,102.5,3,-3,0.962,0.038,27,22,28,23,1,4,,,,,4.6,-0.19,0.19,
CU,2024-03-19,80.7,-1.56,6.03,"Mears, Nick",800050,683232,,called_strike,,,,,3,Chase DeLauter homers (4) on a fly ball to right center field. Will Brennan scores. Micah Pries scores.,S,L,R,COL,CLE,S,,,0,0,2024,0.24,-1.17,0.54,3.29,686823,,687588,2,9,Top,,,,,,,4.24834048282434,-117.35303885538968,2.8604620773481506,1.381867216368565,23.224648948868,-43.77087033088389,3.43,1.58,,,,81.3,2381,6.8,747894,691011,680693,691182,682653,690022,667663,678837,692585,53.69,,,,,,,,83,1,Curveball,8,5,5,8,5,8,5,8,Standard,Standard,12,-0.007,-0.046,,,,0.046,,3,-3,0.969,0.031,27,22,28,23,1,4,,,,,4.69,-0.24,0.24,
SI,2024-03-19,96.6,-2.34,5.3,"Bird, Jake",800050,656234,single,hit_into_play,,,,,8,Chase DeLauter singles on a ground ball to center fielder Bladimir Restituyo. Micah Pries to 2nd.,S,L,R,COL,CLE,X,8,ground_ball,2,1,2024,-1.26,-0.06,-0.01,1.91,,,687588,0,8,Top,132.41,90.28,,,,,8.985390450394267,-140.53872079821554,-3.3301088456679806,-18.656846376734386,29.585223679994243,-32.47298365519165,3.39,1.71,6,109.9,-16,96.1,1958,5.9,747894,691011,680693,691182,682653,690022,667663,678837,692585,54.64,0.2,,0.9,,1,0,2,71,4,Sinker,8,3,3,8,3,8,3,8,Infield shade,Standard,255,-0.025,0.414,,,0.2,-0.414,109.9,5,-5,0.973,0.027,28,22,29,23,1,3,,,,,2.49,1.26,-1.26,
SI,2024-03-19,95.9,-2.48,5.38,"Bird, Jake",800050,656234,,ball,,,,,11,Chase DeLauter singles on a ground ball to center fielder Bladimir Restituyo. Micah Pries to 2nd.,S,L,R,COL,CLE,B,,,1,1,2024,-0.95,0.28,-1.48,3.73,,,687588,0,8,Top,,,,,,,4.747653736700803,-139.6434946310832,0.5292774783835669,-13.484220395045549,28.774066319836667,-28.76052991188879,3.39,1.49,,,,95.4,1952,5.8,747894,691011,680693,691182,682653,690022,667663,678837,692585,54.73,,,,,,,,71,3,Sinker,8,3,3,8,3,8,3,8,Infield shade,Standard,248,0.0,0.043,,,,-0.043,,5,-5,0.973,0.027,28,22,29,23,1,3,,,,,2.18,0.95,-0.95,
CU,2024-03-19,81.2,-2.08,5.64,"Bird, Jake",800050,656234,,ball,,,,,14,Chase DeLauter singles on a ground ball to center fielder Bladimir Restituyo. Micah Pries to 2nd.,S,L,R,COL,CLE,B,,,0,1,2024,1.14,-1.05,1.19,1.79,,,687588,0,8,Top,,,,,,,5.128974806005272,-118.1516752015312,0.0591834444143954,9.587812617130888,24.06853612776529,-42.161709931035944,3.4,1.65,,,,80.9,2904,6.3,747894,691011,680693,691182,682653,690022,667663,678837,692585,54.23,,,,,,,,71,2,Curveball,8,3,3,8,3,8,3,8,Infield shade,Standard,62,0.0,0.034,,,,-0.034,,5,-5,0.973,0.027,28,22,29,23,1,3,,,,,4.52,-1.14,1.14,
SI,2024-03-19,96.3,-2.29,5.38,"Bird, Jake",800050,656234,,foul,,,,,9,Chase DeLauter singles on a ground ball to center fielder Bladimir Restituyo. Micah Pries to 2nd.,S,L,R,COL,CLE,S,,,0,0,2024,-1.15,0.22,0.59,2.14,,,687588,0,8,Top,,,,,,,10.201857049682848,-139.90648030686708,-3.540439906825127,-17.351112960747304,29.288999348722033,-28.702818734258447,3.39,1.71,3,99.2,-40,96.2,1911,6.2,747894,691011,680693,691182,682653,690022,667663,678837,692585,54.34,,,,,,,,71,1,Sinker,8,3,3,8,3,8,3,8,Infield shade,Standard,250,0.0,-0.042,,,,0.042,99.2,5,-5,0.973,0.027,28,22,29,23,1,3,,,,,2.23,1.15,-1.15,
FF,2024-03-19,96.0,-0.85,6.46,"Kinley, Tyler",800050,641755,walk,ball,,,,,11,Chase DeLauter walks.,S,L,R,COL,CLE,B,,,3,1,2024,-0.37,1.09,-0.8,3.61,,,,0,7,Top,,,,,,,0.9335234506865612,-139.87641162916088,-4.3897441372435395,-5.03371924163281,29.269369337572556,-17.104907841112023,3.39,1.66,,,,94.9,1988,5.4,747894,553869,680693,691182,682653,690022,667663,678837,692585,55.1,,,0.7,,0,0,,56,5,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,206,-0.005,0.287,,,,-0.287,,7,-7,0.993,0.007,33,22,33,23,1,2,,,,,1.37,0.37,-0.37,
FF,2024-03-19,96.0,-0.93,6.53,"Kinley, Tyler",800050,641755,,foul,,,,,4,Chase DeLauter walks.,S,L,R,COL,CLE,S,,,3,0,2024,-0.49,1.26,-0.72,2.54,,,,0,7,Top,,,,,,,1.6333913524278107,-139.70200896741443,-7.714355323350083,-6.757943708199742,30.51632342444,-14.208853182063338,3.39,1.71,254,75.4,38,94.8,2168,5.5,747894,553869,680693,691182,682653,690022,667663,678837,692585,54.99,,,,,,,,56,4,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,209,0.0,-0.09,,,,0.09,88.0,7,-7,0.993,0.007,33,22,33,23,1,2,,,,,1.21,0.49,-0.49,
FF,2024-03-19,95.5,-1.06,6.42,"Kinley, Tyler",800050,641755,,ball,,,,,13,Chase DeLauter walks.,S,L,R,COL,CLE,B,,,2,0,2024,-0.53,1.34,-0.5,1.3,,,,0,7,Top,,,,,,,2.6060318581725617,-138.76580192440562,-10.712309173378967,-7.428436357315276,29.559843490177023,-12.76877103573357,3.39,1.5,,,,94.4,2235,5.6,747894,553869,680693,691182,682653,690022,667663,678837,692585,54.9,,,,,,,,56,3,4-Seam Fastball,7,0,0,7,0,7,0,7,Infield shade,Standard,208,0.0,0.147,,,,-0.147,,7,-7,0.993,0.007,33,22,33,23,1,2,,,,,1.16,0.53,-0.53,
FF,2024-03-19,96.2,-1.02,6.54,"Kinley, Tyler",800050,641755,,ball,,,,,11,Chase DeLauter walks.,S,L,R,COL,CLE,B,,,1,0,2024,-0.49,1.36,-1.73,3.64,,,,0,7,Top,,,,,,,-0.7518642728785705,-140.03596019629737,-5.117392495835625,-6.285920465634828,31.493094078579094,-13.38757318498785,3.44,1.66,,,,94.8,2195,5.4,747894,553869,680693,691182,682653,690022,667663,678837,692585,55.08,,,,,,,,56,2,4-Seam Fastball,7,0,0,7,0,7,0,7,Standard,Standard,208,0.0,0.069,,,,-0.069,,7,-7,0.993,0.007,33,22,33,23,1,2,,,,,1.1,0.49,-0.49,
