pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-06-30,85.1,-2.57,5.81,"Medina, Luis",571466,665622,field_out,hit_into_play,,,,,9,Tucker Barnhart lines out sharply to right fielder Lawrence Butler.,R,L,R,AZ,OAK,X,9,line_drive,0,0,2024,0.18,0.03,0.34,1.98,592626,572233,664983,2,4,Bot,190.16,80.86,,,,,6.454280397587536,-123.83224470744072,-2.781708753938802,0.6578615529942846,22.998529808644456,-31.509557201942037,3.15,1.5,332,101.6,22,85.3,2324,6.2,747182,668832,691016,680869,663527,649557,609280,668709,671732,54.26,0.557,0.792,0.0,1,0,0,6,32,1,Slider,1,0,1,0,0,1,1,0,Standard,Standard,95,-0.066,-0.275,72.5,7.8,1.355,0.275,101.6,1,1,0.71,0.71,25,33,25,33,2,1,6,2,6,,3.1,-0.18,0.18,32.5
FF,2024-06-30,97.2,-2.65,6.02,"Medina, Luis",571466,665622,double,hit_into_play,,,,,4,Tucker Barnhart doubles (3) on a line drive to left fielder Miguel Andujar.,R,L,R,AZ,OAK,X,7,line_drive,0,0,2024,-0.83,1.17,-0.32,2.42,,,,1,3,Bot,32.03,88.47,,,,,8.12532143436617,-141.2869274158971,-6.806437800442145,-12.890937499666952,30.79633088465932,-15.117795639998842,3.15,1.5,323,96.7,23,97.2,2418,6.3,747182,668832,691016,680869,663527,649557,609280,668709,671732,54.23,0.26,0.355,1.25,1,1,1,5,19,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,229,0.047,0.657,64.5,6.5,0.594,-0.657,96.7,0,0,0.529,0.529,25,33,25,33,1,0,6,2,6,,1.24,0.83,-0.83,35.3
FF,2024-06-28,91.7,1.14,4.68,"Sears, JP",571466,676664,strikeout,swinging_strike,,,,,5,Tucker Barnhart strikes out swinging.,R,L,L,AZ,OAK,S,2,,3,2,2024,0.99,1.26,-0.03,2.53,,,,0,5,Bot,,,,,,,-5.0916337351402445,-133.3914508954362,-2.2745549269537904,12.871890159996726,30.314917094114815,-16.84282772709678,3.15,1.5,,,,91.7,2178,6.4,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.06,,0.0,0.0,1,0,0,,41,6,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,126,-0.034,-0.333,63.2,5.3,,0.333,,-1,-1,0.407,0.407,28,33,28,33,2,1,6,1,6,2,1.46,0.99,0.99,23.5
FF,2024-06-28,93.5,1.16,4.77,"Sears, JP",571466,676664,,ball,,,,,11,Tucker Barnhart strikes out swinging.,R,L,L,AZ,OAK,B,,,2,2,2024,0.92,1.26,-1.0,3.28,,,,0,5,Bot,,,,,,,-7.627127303098121,-135.90322512453287,-0.8237081679972748,13.134844035721088,31.52137404501696,-16.653609831365465,3.35,1.41,,,,93.4,2281,6.4,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.07,,,,,,,,41,5,4-Seam Fastball,2,3,2,3,3,2,2,3,Strategic,Standard,134,0.0,0.107,,,,-0.107,,-1,-1,0.407,0.407,28,33,28,33,2,1,6,1,6,2,1.37,0.92,0.92,24.4
SI,2024-06-28,89.8,1.4,4.33,"Sears, JP",571466,676664,,called_strike,,,,,7,Tucker Barnhart strikes out swinging.,R,L,L,AZ,OAK,S,,,2,1,2024,1.34,0.83,-0.35,2.01,,,,0,5,Bot,,,,,,,-7.190616219935996,-130.6608356535968,-1.5297438041472602,16.886162619161134,27.522676144090056,-22.55506019213374,3.35,1.41,,,,90.0,1982,6.4,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.07,,,,,,,,41,4,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,114,0.0,-0.069,,,,0.069,,-1,-1,0.407,0.407,28,33,28,33,2,1,6,1,6,2,2.0,1.34,1.34,15.3
ST,2024-06-28,77.4,1.54,4.17,"Sears, JP",571466,676664,,called_strike,,,,,6,Tucker Barnhart strikes out swinging.,R,L,L,AZ,OAK,S,,,2,0,2024,-0.97,0.18,0.7,2.93,,,,0,5,Bot,,,,,,,-0.0186371057489914,-112.60683470526313,4.0158204404422,-8.170217133442485,22.498875995361832,-31.65032232916743,3.66,1.59,,,,77.1,2465,6.3,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.22,,,,,,,,41,3,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,276,0.0,-0.065,,,,0.065,,-1,-1,0.407,0.407,28,33,28,33,2,1,6,1,6,2,3.65,-0.97,-0.97,12.9
ST,2024-06-28,77.2,1.61,4.24,"Sears, JP",571466,676664,,ball,,,,,12,Tucker Barnhart strikes out swinging.,R,L,L,AZ,OAK,B,,,1,0,2024,-1.35,0.57,0.95,3.36,,,,0,5,Bot,,,,,,,1.0440823871673444,-112.36549832088502,4.071268674936283,-11.54815780028489,21.584753153715184,-28.338581364028567,3.28,1.45,,,,77.0,2572,6.3,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.2,,,,,,,,41,2,Sweeper,2,3,2,3,3,2,2,3,Standard,Standard,275,0.0,0.069,,,,-0.069,,-1,-1,0.407,0.407,28,33,28,33,2,1,6,1,6,2,3.27,-1.35,-1.35,11.1
SI,2024-06-28,89.4,1.45,4.48,"Sears, JP",571466,676664,,ball,,,,,4,Tucker Barnhart strikes out swinging.,R,L,L,AZ,OAK,B,,,0,0,2024,1.27,0.97,-0.63,2.45,,,,0,5,Bot,,,,,,,-7.826450512302833,-129.9208959230726,-1.001210222695912,16.077174210159644,27.661253101070784,-21.233695877365868,3.26,1.61,,,,89.5,1979,6.5,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.03,,,,,,,,41,1,Sinker,2,3,2,3,3,2,2,3,Standard,Standard,115,0.0,0.038,,,,-0.038,,-1,-1,0.407,0.407,28,33,28,33,2,1,6,1,6,2,1.9,1.27,1.27,20.1
ST,2024-06-28,78.6,1.59,4.34,"Sears, JP",571466,676664,field_out,hit_into_play,,,,,4,Tucker Barnhart lines out to center fielder JJ Bleday.,R,L,L,AZ,OAK,X,8,line_drive,0,1,2024,-1.28,0.2,-0.5,2.47,,,,1,2,Bot,157.82,71.39,,,,,-2.1557244925638277,-114.53866796978058,2.3825173908149866,-10.884328158493828,20.740425914025636,-31.081842918064982,3.15,1.5,326,94.0,21,78.7,2453,6.2,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.27,0.229,0.294,0.0,1,0,0,3,16,2,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,284,-0.011,-0.219,68.2,7.3,0.453,0.219,94.0,2,2,0.739,0.739,28,33,28,33,1,0,6,1,6,2,3.48,-1.28,-1.28,13.9
ST,2024-06-28,78.9,1.57,4.36,"Sears, JP",571466,676664,,foul,,,,,5,Tucker Barnhart lines out to center fielder JJ Bleday.,R,L,L,AZ,OAK,S,,,0,0,2024,-0.94,0.43,0.05,2.58,,,,1,2,Bot,,,,,,,-1.564645996065245,-114.8783070764822,2.165433865773749,-8.006194074388715,22.537276014564355,-28.99145898725281,3.15,1.5,154,97.5,10,78.8,2386,6.3,747183,669127,691016,680869,669137,680474,609280,668709,663662,54.18,,,,,,,,16,1,Sweeper,2,0,2,0,0,2,2,0,Standard,Standard,277,0.0,-0.037,71.5,7.8,,0.037,97.5,2,2,0.739,0.739,28,33,28,33,1,0,6,1,6,2,3.24,-0.94,-0.94,15.2
