pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-17,,,,"Parsons, Hunter",650331,663500,double,hit_into_play,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,X,9,fly_ball,3,2,2024,,,,,683083,,,2,6,Bot,164.24,129.23,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,1.25,,1,1,,63,9,,8,8,8,8,8,9,9,8,,,,0.172,0.832,,,,-0.832,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,ball,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,B,,,2,2,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,8,,8,8,8,8,8,8,8,8,,,,0.0,0.051,,,,-0.051,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,foul,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,S,,,2,2,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,7,,8,8,8,8,8,8,8,8,,,,0.0,0.0,,,,0.0,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,ball,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,B,,,1,2,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,6,,8,8,8,8,8,8,8,8,,,,0.0,0.017,,,,-0.017,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,foul,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,S,,,1,2,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,5,,8,8,8,8,8,8,8,8,,,,0.0,0.0,,,,0.0,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,foul,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,S,,,1,2,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,4,,8,8,8,8,8,8,8,8,,,,0.0,0.0,,,,0.0,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,called_strike,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,S,,,1,1,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,3,,8,8,8,8,8,8,8,8,,,,0.0,-0.073,,,,0.073,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,ball,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,B,,,0,1,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,2,,8,8,8,8,8,8,8,8,,,,0.0,0.032,,,,-0.032,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-17,,,,"Parsons, Hunter",650331,663500,,foul,,,,,,Lewin Díaz doubles (2) on a fly ball to right fielder Omar De Los Santos.   Nasim Nuñez scores.,S,L,R,WSH,NYM,S,,,0,0,2024,,,,,683083,,,2,6,Bot,,,,,,,,,,,,,,,,,,,,,747927,663584,699293,670097,682239,621563,592325,572204,684519,,,,,,,,,63,1,,8,8,8,8,8,8,8,8,,,,0.0,-0.039,,,,0.039,,0,0,0.561,0.561,27,27,27,28,1,0,,,,,,,,
,2024-03-16,,,,"O'Brien, Riley",650331,676617,field_out,hit_into_play,,,,,,Lewin Díaz flies out to left fielder Kade Kretzschmar.,S,L,R,WSH,STL,X,7,fly_ball,0,0,2024,,,,,669743,,702358,2,9,Bot,45.05,115.73,,,,,,,,,,,,,,,,,,,747944,686780,663609,703766,683152,690914,811210,701675,689288,,,,0.0,,0,0,,83,1,,5,8,5,8,8,5,5,8,,,,-0.04,-0.299,,,,0.299,,-3,-3,0.04,0.04,29,27,29,28,1,1,,,,,,,,
