pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2024-09-29,91.6,-2.88,5.15,"Phillips, Evan",691011,623465,field_out,hit_into_play,,,,,3,Drew Romo lines out to shortstop Tommy Edman.,R,L,R,COL,LAD,X,6,line_drive,1,1,2024,0.17,0.54,0.61,2.9,,,,1,7,Bot,134.92,128.43,,,,,8.43574214208289,-133.28705376390556,-1.0686477381146793,0.5334769304143776,24.078620278804117,-25.640354772510175,3.0,1.43,182,57.4,36,92.3,2473,6.3,746496,605131,571771,621035,571970,669242,606192,681546,681624,54.16,0.317,0.285,0.0,1,0,0,1,51,3,Cutter,1,0,1,0,0,1,1,0,Strategic,Standard,200,-0.014,-0.243,65.8,6.4,0.317,0.243,88.0,1,1,0.776,0.776,29,22,30,23,1,2,3,1,6,,2.14,-0.17,0.17,23.9
FF,2024-09-29,96.0,-2.76,5.14,"Phillips, Evan",691011,623465,,foul,,,,,7,Drew Romo lines out to shortstop Tommy Edman.,R,L,R,COL,LAD,S,,,1,0,2024,-1.11,0.97,-0.47,1.69,,,,1,7,Bot,,,,,,,8.572856733269392,-139.74778329290132,-5.854992578336415,-16.23389021214224,24.18450645573908,-18.366371753455144,3.0,1.43,183,76.0,19,97.0,2238,6.3,746496,605131,571771,621035,571970,669242,606192,681546,681624,54.15,,,,,,,,51,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,223,0.0,-0.051,68.0,6.5,,0.051,88.0,1,1,0.776,0.776,29,22,30,23,1,2,3,1,6,,1.46,1.11,-1.11,24.2
FF,2024-09-29,96.1,-2.8,5.21,"Phillips, Evan",691011,623465,,ball,,,,,11,Drew Romo lines out to shortstop Tommy Edman.,R,L,R,COL,LAD,B,,,0,0,2024,-0.81,0.91,-1.2,2.68,,,,1,7,Bot,,,,,,,6.080746790954124,-139.96982630024937,-3.2981801534016313,-11.971456904082702,26.82139372407224,-19.56344591099916,3.08,1.54,,,,96.9,2438,6.3,746496,605131,571771,621035,571970,669242,606192,681546,681624,54.17,,,,,,,,51,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,218,0.0,0.039,,,,-0.039,,1,1,0.776,0.776,29,22,30,23,1,2,3,1,6,,1.52,0.81,-0.81,21.8
KC,2024-09-29,79.2,-1.18,5.84,"Knack, Landon",691011,689017,single,hit_into_play,,,,,5,Drew Romo singles on a line drive to right fielder Andy Pages. Jake Cave to 3rd.,R,L,R,COL,LAD,X,9,line_drive,0,0,2024,0.78,-0.67,-0.17,1.94,,595909,,1,5,Bot,178.39,104.26,,,,,0.749745095409416,-115.50254622570316,-0.5810672901231586,6.885731217758447,19.422117807189768,-38.351777752187,3.0,1.43,222,89.1,14,79.1,2937,5.8,746496,605131,571771,621035,571970,669242,606192,681546,681624,54.65,0.971,0.947,0.9,1,1,0,4,34,1,Knuckle Curve,1,0,1,0,0,1,1,0,Standard,Standard,32,0.043,0.556,65.0,7.5,1.183,-0.556,89.1,1,1,0.733,0.733,26,22,27,23,2,1,5,1,10,,4.26,-0.78,0.78,51.1
FF,2024-09-29,94.7,-0.83,5.77,"Knack, Landon",691011,689017,field_out,hit_into_play,,,,,11,Drew Romo flies out to center fielder Andy Pages.,R,L,R,COL,LAD,X,8,fly_ball,2,2,2024,-0.57,1.33,-0.58,3.58,,,,1,3,Bot,112.52,66.9,,,,,1.8947278047218288,-138.01675030449502,-3.096986328993033,-7.727452328426645,25.715258411384045,-14.503641762720854,3.0,1.43,329,91.4,43,94.7,2418,5.9,746496,605131,571771,621035,571970,669242,606192,681624,605141,54.64,0.014,0.026,0.0,1,0,0,3,18,7,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,206,-0.015,-0.225,69.8,6.6,0.044,0.225,91.4,1,1,0.653,0.653,26,22,27,23,1,0,5,1,10,,1.17,0.57,-0.57,54.2
CH,2024-09-29,82.3,-1.09,5.72,"Knack, Landon",691011,689017,,ball,,,,,11,Drew Romo flies out to center fielder Andy Pages.,R,L,R,COL,LAD,B,,,1,2,2024,-0.96,0.14,-2.85,5.12,,,,1,3,Bot,,,,,,,-2.103620614001471,-119.8363380732423,4.7290400568849975,-9.041972813888329,19.30806411059881,-31.750978064634182,2.96,1.41,,,,82.3,1587,5.9,746496,605131,571771,621035,571970,669242,606192,681624,605141,54.62,,,,,,,,18,6,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,241,0.0,0.043,,,,-0.043,,1,1,0.653,0.653,26,22,27,23,1,0,5,1,10,,3.18,0.96,-0.96,51.4
KC,2024-09-29,81.9,-0.98,5.87,"Knack, Landon",691011,689017,,ball,,,,,13,Drew Romo flies out to center fielder Andy Pages.,R,L,R,COL,LAD,B,,,0,2,2024,0.38,-0.9,-1.48,2.04,,,,1,3,Bot,,,,,,,-1.8434482293957608,-119.35727897018938,-0.4816390643522258,3.96758637571708,19.422120344782552,-40.98236725185608,3.1,1.54,,,,81.6,2993,5.7,746496,605131,571771,621035,571970,669242,606192,681624,605141,54.83,,,,,,,,18,5,Knuckle Curve,1,0,1,0,0,1,1,0,Infield shade,Standard,34,0.0,0.02,,,,-0.02,,1,1,0.653,0.653,26,22,27,23,1,0,5,1,10,,4.25,-0.38,0.38,53.4
CH,2024-09-29,85.9,-1.03,5.79,"Knack, Landon",691011,689017,,foul,,,,,2,Drew Romo flies out to center fielder Andy Pages.,R,L,R,COL,LAD,S,,,0,2,2024,-0.94,0.5,-0.12,2.89,,,,1,3,Bot,,,,,,,4.022190808594369,-125.28147138398027,-1.7441950907396304,-10.721449326415575,20.73660217689744,-26.757830217788772,3.0,1.43,,,,86.1,1534,5.9,746496,605131,571771,621035,571970,669242,606192,681624,605141,54.63,,,,,,,,18,4,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,242,0.0,0.0,67.1,6.7,,0.0,,1,1,0.653,0.653,26,22,27,23,1,0,5,1,10,,2.53,0.94,-0.94,53.5
FF,2024-09-29,95.1,-0.62,5.81,"Knack, Landon",691011,689017,,foul,,,,,11,Drew Romo flies out to center fielder Andy Pages.,R,L,R,COL,LAD,S,,,0,2,2024,-0.73,1.18,-0.48,3.19,,,,1,3,Bot,,,,,,,1.9892358120064315,-138.72433141909352,-3.967324428867243,-9.938739610220363,25.452039540941655,-16.169817565007442,3.0,1.43,259,80.5,50,95.1,2506,5.8,746496,605131,571771,621035,571970,669242,606192,681624,605141,54.74,,,,,,,,18,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,207,0.0,0.0,66.4,6.0,,0.0,88.0,1,1,0.653,0.653,26,22,27,23,1,0,5,1,10,,1.29,0.73,-0.73,51.7
FF,2024-09-29,95.5,-0.69,5.75,"Knack, Landon",691011,689017,,called_strike,,,,,7,Drew Romo flies out to center fielder Andy Pages.,R,L,R,COL,LAD,S,,,0,1,2024,-0.51,1.35,-0.39,1.89,,,,1,3,Bot,,,,,,,1.898482861909467,-139.04992154059778,-7.59174791042763,-6.998323775330597,26.465886955672783,-13.218694026988876,3.08,1.48,,,,95.2,2516,5.8,746496,605131,571771,621035,571970,669242,606192,681624,605141,54.73,,,,,,,,18,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,206,0.0,-0.057,,,,0.057,,1,1,0.653,0.653,26,22,27,23,1,0,5,1,10,,1.12,0.51,-0.51,52.1
