pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-03-26,94.3,-2.28,5.41,"Pint, Riley",800325,666207,single,hit_into_play,,,,,5,Luis Lara singles on a ground ball to left fielder Jameson Hannah.,S,L,R,COL,MIL,X,7,ground_ball,1,0,2024,-1.12,0.14,-0.19,2.33,,,,1,8,Top,88.87,107.92,,,,,8.04860718505737,-136.9568812308556,-2.5205039819649753,-16.02283008271341,34.535522483721934,-30.082570600149793,2.99,1.51,51,81.5,0,94.8,2178,7.0,747798,682276,669911,667663,665888,676701,680683,595909,680719,53.51,0.197,,0.9,,1,0,2,61,2,Sinker,5,1,1,5,1,5,1,5,Standard,Standard,239,-0.013,0.383,,,0.209,-0.383,88.0,4,-4,0.98,0.02,26,19,27,20,1,3,,,,,2.47,1.12,-1.12,
SL,2024-03-26,87.6,-2.4,5.29,"Pint, Riley",800325,666207,,ball,,,,,11,Luis Lara singles on a ground ball to left fielder Jameson Hannah.,S,L,R,COL,MIL,B,,,0,0,2024,0.77,0.42,-0.95,2.57,,,,1,8,Top,,,,,,,1.9148440589742328,-127.68928232806316,-1.3408580042918787,8.09034429355876,26.092712916194422,-27.51947928580227,3.17,1.45,,,,88.2,2524,6.5,747798,682276,669911,667663,665888,676701,680683,595909,680719,53.95,,,,,,,,61,1,Slider,5,1,1,5,1,5,1,5,Standard,Standard,57,0.0,0.039,,,,-0.039,,4,-4,0.98,0.02,26,19,27,20,1,3,,,,,2.54,-0.77,0.77,
FC,2024-03-26,89.3,-2.65,5.75,"Koch, Matt",800325,571863,field_out,hit_into_play,,,,,3,"Luis Lara grounds out, second baseman Hunter Stovall to first baseman Michael Toglia.",S,L,R,COL,MIL,X,4,ground_ball,0,1,2024,0.41,0.49,0.72,2.73,,,,0,6,Top,143.63,153.55,,,,,7.412513761912353,-129.86044634972254,-2.4162464333713394,3.0602706185835093,28.29358211288931,-26.300394963750417,2.99,1.51,55,94.2,1,88.9,2196,6.2,747798,683007,669911,667663,665888,676701,680683,595909,680719,54.32,0.394,,0.0,,0,0,2,42,2,Cutter,4,1,1,4,1,4,1,4,Standard,Standard,180,0.023,-0.217,,,0.467,0.217,94.2,3,-3,0.872,0.128,33,19,34,20,1,2,,,,,2.38,-0.41,0.41,
FF,2024-03-26,91.6,-2.37,5.86,"Koch, Matt",800325,571863,,foul,,,,,14,"Luis Lara grounds out, second baseman Hunter Stovall to first baseman Michael Toglia.",S,L,R,COL,MIL,S,,,0,0,2024,-0.61,1.29,0.93,1.87,,,,0,6,Top,,,,,,,9.625786995881093,-132.9519630840368,-6.93601974984933,-9.38164079957096,29.383574080379702,-15.512738118485348,2.99,1.51,157,70.7,17,91.3,1961,6.3,747798,683007,669911,667663,665888,676701,680683,595909,680719,54.19,,,,,,,,42,1,4-Seam Fastball,4,1,1,4,1,4,1,4,Standard,Standard,225,0.0,-0.037,,,,0.037,88.0,3,-3,0.872,0.128,33,19,34,20,1,2,,,,,1.45,0.61,-0.61,
SL,2024-03-26,87.1,-1.6,5.51,"Feltner, Ryan",800325,663372,strikeout,called_strike,,,,,2,Luis Lara called out on strikes.,S,L,R,COL,MIL,S,2,,3,2,2024,0.46,0.18,-0.22,2.75,,,,0,4,Top,,,,,,,2.4079977176787892,-126.95660116421436,-0.8708681345070816,4.477985879361224,24.950633190419502,-30.22904887827881,3.04,1.26,,,,87.5,2444,6.4,747798,553869,660707,667663,641857,678662,666134,686668,595909,54.13,,,0.0,,0,0,,24,6,Slider,1,0,0,1,0,1,0,1,Standard,Standard,152,0.028,-0.333,,,,0.333,,1,-1,0.629,0.371,27,19,28,20,2,1,,,,,2.8,-0.46,0.46,
FF,2024-03-26,94.6,-1.54,5.52,"Feltner, Ryan",800325,663372,,foul,,,,,4,Luis Lara called out on strikes.,S,L,R,COL,MIL,S,,,3,1,2024,-0.71,1.14,-0.66,2.21,,,,0,4,Top,,,,,,,3.875478822127784,-137.758328516478,-5.592374276084638,-9.886955688086228,27.144967213552917,-16.548599355163876,2.99,1.51,218,74.4,27,95.1,2356,6.3,747798,553869,660707,667663,641857,678662,666134,686668,595909,54.21,,,,,,,,24,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,212,0.0,-0.085,,,,0.085,88.0,1,-1,0.629,0.371,27,19,28,20,2,1,,,,,1.38,0.71,-0.71,
SL,2024-03-26,88.4,-1.71,5.53,"Feltner, Ryan",800325,663372,,ball,,,,,14,Luis Lara called out on strikes.,S,L,R,COL,MIL,B,,,2,1,2024,0.11,0.4,0.9,0.88,,,,0,4,Top,,,,,,,6.135360411800766,-128.58113815903187,-6.142018431838255,0.0710842319374988,24.01615965656506,-26.714893851837186,3.2,1.42,,,,88.8,2415,6.3,747798,553869,660707,667663,641857,678662,666134,686668,595909,54.17,,,,,,,,24,4,Slider,1,0,0,1,0,1,0,1,Standard,Standard,185,0.0,0.122,,,,-0.122,,1,-1,0.629,0.371,27,19,28,20,2,1,,,,,2.5,-0.11,0.11,
SL,2024-03-26,88.2,-1.71,5.55,"Feltner, Ryan",800325,663372,,ball,,,,,14,Luis Lara called out on strikes.,S,L,R,COL,MIL,B,,,1,1,2024,0.22,0.39,1.24,2.29,,,,0,4,Top,,,,,,,6.736038606834297,-128.39966377507295,-2.7323719907837933,1.1955806198272012,23.451540245449472,-27.534359341403903,3.14,1.45,,,,88.7,2433,6.3,747798,553869,660707,667663,641857,678662,666134,686668,595909,54.19,,,,,,,,24,3,Slider,1,0,0,1,0,1,0,1,Standard,Standard,183,0.0,0.053,,,,-0.053,,1,-1,0.629,0.371,27,19,28,20,2,1,,,,,2.51,-0.22,0.22,
CH,2024-03-26,84.2,-1.65,5.65,"Feltner, Ryan",800325,663372,,ball,,,,,1,Luis Lara called out on strikes.,S,L,R,COL,MIL,B,,,0,1,2024,-0.43,0.31,-0.53,3.3,,,,0,4,Top,,,,,,,3.4300614641702003,-122.59410133207784,0.2893343357875076,-4.972397146010372,23.529997675629648,-29.346116871277605,3.26,1.52,,,,84.0,1475,6.1,747798,553869,660707,667663,641857,678662,666134,686668,595909,54.42,,,,,,,,24,2,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,213,0.0,0.025,,,,-0.025,,1,-1,0.629,0.371,27,19,28,20,2,1,,,,,2.9,0.43,-0.43,
FF,2024-03-26,93.4,-1.54,5.6,"Feltner, Ryan",800325,663372,,foul,,,,,6,Luis Lara called out on strikes.,S,L,R,COL,MIL,S,,,0,0,2024,-0.13,0.94,0.66,2.4,,,,0,4,Top,,,,,,,5.946264763524451,-135.9589343378468,-4.602764601125671,-2.8205352752636874,27.96852214295825,-19.686168928946255,2.99,1.51,66,102.5,2,93.7,2040,6.3,747798,553869,660707,667663,641857,678662,666134,686668,595909,54.19,,,,,,,,24,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,210,0.0,-0.037,,,,0.037,102.5,1,-1,0.629,0.371,27,19,28,20,2,1,,,,,1.66,0.13,-0.13,
