pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-23,,,,"Pope, Austin",694368,687166,strikeout,swinging_strike,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,SF,AZ,S,2,,0,2,2024,,,,,,,687529,1,9,Bot,,,,,,,,,,,,,,,,,,,,,747835,688808,691726,800306,699912,800198,805842,679741,681184,,,,0.0,,0,0,,86,3,,5,11,5,11,11,5,5,11,,,,-0.002,-0.159,,,,0.159,,-6,-6,0.002,0.002,25,25,26,25,1,2,,,,,,,,
,2024-03-23,,,,"Pope, Austin",694368,687166,,swinging_strike,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,SF,AZ,S,,,0,1,2024,,,,,,,687529,1,9,Bot,,,,,,,,,,,,,,,,,,,,,747835,688808,691726,800306,699912,800198,805842,679741,681184,,,,,,,,,86,2,,5,11,5,11,11,5,5,11,,,,0.0,-0.052,,,,0.052,,-6,-6,0.002,0.002,25,25,26,25,1,2,,,,,,,,
,2024-03-23,,,,"Pope, Austin",694368,687166,,swinging_strike,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,SF,AZ,S,,,0,0,2024,,,,,,,687529,1,9,Bot,,,,,,,,,,,,,,,,,,,,,747835,688808,691726,800306,699912,800198,805842,679741,681184,,,,,,,,,86,1,,5,11,5,11,11,5,5,11,,,,0.0,-0.04,,,,0.04,,-6,-6,0.002,0.002,25,25,26,25,1,2,,,,,,,,
,2024-03-23,,,,"Pilkington, Konnor",694368,663455,field_out,hit_into_play,,,,,,Jimmy Glowenke pops out to shortstop Cristofer Torin in foul territory.,S,R,L,SF,AZ,X,6,popup,0,0,2024,,,,,,,,1,7,Bot,86.93,176.42,,,,,,,,,,,,,,,,,,,747835,645444,691726,800306,699912,800198,805842,679741,681184,,,,0.0,,0,0,,70,1,,5,11,5,11,11,5,5,11,,,,-0.004,-0.256,,,,0.256,,-6,-6,0.012,0.012,26,25,27,25,1,1,,,,,,,,
,2024-03-23,,,,"Allen, Logan",694368,663531,single,hit_into_play,,,,,,"Jimmy Glowenke singles on a ground ball to left fielder Lourdes Gurriel Jr. , deflected by shortstop Emmanuel Rivera.",S,R,L,SF,AZ,X,6,ground_ball,0,0,2024,,,,,,,,2,4,Bot,105.66,156.17,,,,,,,,,,,,,,,,,,,747835,645444,607054,621028,677942,656896,666971,677950,682998,,,,0.9,,1,0,,42,1,,5,4,5,4,4,5,5,4,,,,0.011,0.333,,,,-0.333,,1,1,0.655,0.655,27,25,27,25,3,0,,,,,,,,
SL,2024-03-22,,,,"Nahas, Joe",694368,687481,strikeout,swinging_strike,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,CHC,SF,S,2,,0,2,2024,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747852,595751,675085,690992,670237,676679,682662,682634,680711,,,,0.0,,0,0,,76,4,Slider,3,7,7,3,7,3,7,3,,,,0.001,-0.162,,,,0.162,,-4,4,0.014,0.986,24,25,25,25,1,0,,,,,,,,
FF,2024-03-22,,,,"Nahas, Joe",694368,687481,,foul,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,CHC,SF,S,,,0,2,2024,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747852,595751,675085,690992,670237,676679,682662,682634,680711,,,,,,,,,76,3,4-Seam Fastball,3,7,7,3,7,3,7,3,,,,0.0,0.0,,,,0.0,,-4,4,0.014,0.986,24,25,25,25,1,0,,,,,,,,
CU,2024-03-22,,,,"Nahas, Joe",694368,687481,,swinging_strike,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,CHC,SF,S,,,0,1,2024,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747852,595751,675085,690992,670237,676679,682662,682634,680711,,,,,,,,,76,2,Curveball,3,7,7,3,7,3,7,3,,,,0.0,-0.057,,,,0.057,,-4,4,0.014,0.986,24,25,25,25,1,0,,,,,,,,
FF,2024-03-22,,,,"Nahas, Joe",694368,687481,,foul,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,CHC,SF,S,,,0,0,2024,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747852,595751,675085,690992,670237,676679,682662,682634,680711,,,,,,,,,76,1,4-Seam Fastball,3,7,7,3,7,3,7,3,,,,0.0,-0.037,,,,0.037,,-4,4,0.014,0.986,24,25,25,25,1,0,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,strikeout,called_strike,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,S,2,,3,2,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,0.0,,0,0,,77,8,,4,7,7,4,7,4,7,4,,,,0.01,-0.419,,,,0.419,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,,ball,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,B,,,2,2,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,77,7,,4,7,7,4,7,4,7,4,,,,0.0,0.075,,,,-0.075,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,,foul,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,S,,,2,2,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,77,6,,4,7,7,4,7,4,7,4,,,,0.0,0.0,,,,0.0,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,,ball,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,B,,,1,2,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,77,5,,4,7,7,4,7,4,7,4,,,,0.0,0.026,,,,-0.026,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,,foul,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,S,,,1,2,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,77,4,,4,7,7,4,7,4,7,4,,,,0.0,0.0,,,,0.0,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,,foul,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,S,,,1,1,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,77,3,,4,7,7,4,7,4,7,4,,,,0.0,-0.114,,,,0.114,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,,called_strike,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,S,,,1,0,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,77,2,,4,7,7,4,7,4,7,4,,,,0.0,-0.062,,,,0.062,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Holub, Blake",694368,700183,,ball,,,,,,Jimmy Glowenke called out on strikes.,S,R,R,MIL,SF,B,,,0,0,2024,,,,,656883,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,77,1,,4,7,7,4,7,4,7,4,,,,0.0,0.038,,,,-0.038,,-3,3,0.022,0.978,25,25,26,25,1,4,,,,,,,,
,2024-03-21,,,,"Peguero, Elvis",694368,665625,strikeout,swinging_strike,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,MIL,SF,S,2,,0,2,2024,,,,,,,,0,7,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,0.0,,0,0,,60,3,,4,7,7,4,7,4,7,4,,,,0.009,-0.163,,,,0.163,,-3,3,0.098,0.902,27,25,27,25,1,3,,,,,,,,
,2024-03-21,,,,"Peguero, Elvis",694368,665625,,foul,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,MIL,SF,S,,,0,1,2024,,,,,,,,0,7,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,60,2,,4,7,7,4,7,4,7,4,,,,0.0,-0.054,,,,0.054,,-3,3,0.098,0.902,27,25,27,25,1,3,,,,,,,,
,2024-03-21,,,,"Peguero, Elvis",694368,665625,,called_strike,,,,,,Jimmy Glowenke strikes out swinging.,S,R,R,MIL,SF,S,,,0,0,2024,,,,,,,,0,7,Top,,,,,,,,,,,,,,,,,,,,,747867,606992,641343,694206,687401,668930,677578,663368,682631,,,,,,,,,60,1,,4,7,7,4,7,4,7,4,,,,0.0,-0.037,,,,0.037,,-3,3,0.098,0.902,27,25,27,25,1,3,,,,,,,,
,2024-03-21,,,,"Hudson, Bryan",694368,663542,force_out,hit_into_play,,,,,,"Jimmy Glowenke grounds into a force out, first baseman Jake Bauers to shortstop Willy Adames.   Tom Murphy to 3rd.    Blake Sabol out at 2nd.    Jimmy Glowenke to 1st.",S,R,L,MIL,SF,X,3,ground_ball,1,2,2024,,,,,,608596,666165,0,5,Top,151.68,164.32,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,0.0,,0,0,,40,4,,0,6,6,0,6,0,6,0,,,,0.002,-0.238,,,,0.238,,-6,6,0.023,0.977,27,25,27,25,1,2,,,,,,,,
,2024-03-21,,,,"Hudson, Bryan",694368,663542,,foul,,,,,,"Jimmy Glowenke grounds into a force out, first baseman Jake Bauers to shortstop Willy Adames.   Tom Murphy to 3rd.    Blake Sabol out at 2nd.    Jimmy Glowenke to 1st.",S,R,L,MIL,SF,S,,,1,1,2024,,,,,,608596,666165,0,5,Top,,,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,,,,,,40,3,,0,6,6,0,6,0,6,0,,,,0.0,-0.069,,,,0.069,,-6,6,0.023,0.977,27,25,27,25,1,2,,,,,,,,
,2024-03-21,,,,"Hudson, Bryan",694368,663542,,ball,,,,,,"Jimmy Glowenke grounds into a force out, first baseman Jake Bauers to shortstop Willy Adames.   Tom Murphy to 3rd.    Blake Sabol out at 2nd.    Jimmy Glowenke to 1st.",S,R,L,MIL,SF,B,,,0,1,2024,,,,,,608596,666165,0,5,Top,,,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,,,,,,40,2,,0,6,6,0,6,0,6,0,,,,0.0,0.034,,,,-0.034,,-6,6,0.023,0.977,27,25,27,25,1,2,,,,,,,,
,2024-03-21,,,,"Hudson, Bryan",694368,663542,,foul_bunt,,,,,,"Jimmy Glowenke grounds into a force out, first baseman Jake Bauers to shortstop Willy Adames.   Tom Murphy to 3rd.    Blake Sabol out at 2nd.    Jimmy Glowenke to 1st.",S,R,L,MIL,SF,S,,,0,0,2024,,,,,,608596,666165,0,5,Top,,,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,,,,,,40,1,,0,6,6,0,6,0,6,0,,,,0.0,-0.044,,,,0.044,,-6,6,0.023,0.977,27,25,27,25,1,2,,,,,,,,
,2024-03-21,,,,"Rund, Aaron",694368,810921,force_out,hit_into_play,,,,,,"Jimmy Glowenke grounds into a force out, fielded by third baseman Sal Frelick.   Luis Matos out at 3rd.",S,R,R,MIL,SF,X,5,ground_ball,1,2,2024,,,,,,682641,608596,2,3,Top,99.45,167.87,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,0.0,,0,0,,23,5,,0,3,3,0,3,0,3,0,,,,0.025,-0.189,,,,0.189,,-3,3,0.199,0.801,25,25,25,25,1,1,,,,,,,,
,2024-03-21,,,,"Rund, Aaron",694368,810921,,foul,,,,,,"Jimmy Glowenke grounds into a force out, fielded by third baseman Sal Frelick.   Luis Matos out at 3rd.",S,R,R,MIL,SF,S,,,1,2,2024,,,,,,682641,608596,2,3,Top,,,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,,,,,,23,4,,0,3,3,0,3,0,3,0,,,,0.0,0.0,,,,0.0,,-3,3,0.199,0.801,25,25,25,25,1,1,,,,,,,,
,2024-03-21,,,,"Rund, Aaron",694368,810921,,foul,,,,,,"Jimmy Glowenke grounds into a force out, fielded by third baseman Sal Frelick.   Luis Matos out at 3rd.",S,R,R,MIL,SF,S,,,1,1,2024,,,,,,682641,608596,2,3,Top,,,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,,,,,,23,3,,0,3,3,0,3,0,3,0,,,,0.0,-0.076,,,,0.076,,-3,3,0.199,0.801,25,25,25,25,1,1,,,,,,,,
,2024-03-21,,,,"Rund, Aaron",694368,810921,,foul,,,,,,"Jimmy Glowenke grounds into a force out, fielded by third baseman Sal Frelick.   Luis Matos out at 3rd.",S,R,R,MIL,SF,S,,,1,0,2024,,,,,,682641,608596,2,3,Top,,,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,,,,,,23,2,,0,3,3,0,3,0,3,0,,,,0.0,-0.042,,,,0.042,,-3,3,0.199,0.801,25,25,25,25,1,1,,,,,,,,
,2024-03-21,,,,"Rund, Aaron",694368,810921,,ball,,,,,,"Jimmy Glowenke grounds into a force out, fielded by third baseman Sal Frelick.   Luis Matos out at 3rd.",S,R,R,MIL,SF,B,,,0,0,2024,,,,,,682641,608596,2,3,Top,,,,,,,,,,,,,,,,,,,,,747867,661388,641343,668930,686217,642715,686894,669003,694192,,,,,,,,,23,1,,0,3,3,0,3,0,3,0,,,,0.0,0.026,,,,-0.026,,-3,3,0.199,0.801,25,25,25,25,1,1,,,,,,,,
