pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-23,,,,"Pérez, Francisco",703185,660906,field_out,hit_into_play,,,,,,"Nelson Rada grounds out, second baseman Colby Halter to first baseman Drew Lugbauer.",S,L,L,OAK,LAA,X,4,ground_ball,0,0,2024,,,,,,,691186,2,9,Top,148.97,164.76,,,,,,,,,,,,,,,,,,,747836,691740,656666,690985,680996,669722,683485,671271,687515,,,,0.0,,0,0,,81,1,,11,5,5,11,5,11,5,11,,,,0.0,-0.271,,,,0.271,,6,-6,1.0,0.0,26,18,27,19,1,2,,,,,,,,
,2024-03-23,,,,"Brooks, Aaron",703185,605156,strikeout,swinging_strike,,,,,,Nelson Rada strikes out swinging.,S,L,R,OAK,LAA,S,2,,0,2,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747836,691740,656666,690985,680996,669722,683485,671271,687515,,,,0.0,,0,0,,66,3,,10,3,3,10,3,10,3,10,,,,0.001,-0.163,,,,0.163,,7,-7,0.997,0.003,34,18,34,19,2,1,,,,,,,,
,2024-03-23,,,,"Brooks, Aaron",703185,605156,,swinging_strike,,,,,,Nelson Rada strikes out swinging.,S,L,R,OAK,LAA,S,,,0,1,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747836,691740,656666,690985,680996,669722,683485,671271,687515,,,,,,,,,66,2,,10,3,3,10,3,10,3,10,,,,0.0,-0.054,,,,0.054,,7,-7,0.997,0.003,34,18,34,19,2,1,,,,,,,,
,2024-03-23,,,,"Brooks, Aaron",703185,605156,,called_strike,,,,,,Nelson Rada strikes out swinging.,S,L,R,OAK,LAA,S,,,0,0,2024,,,,,,,,0,8,Top,,,,,,,,,,,,,,,,,,,,,747836,691740,656666,690985,680996,669722,683485,671271,687515,,,,,,,,,66,1,,10,3,3,10,3,10,3,10,,,,0.0,-0.037,,,,0.037,,7,-7,0.997,0.003,34,18,34,19,2,1,,,,,,,,
,2024-03-23,,,,"Brooks, Aaron",703185,605156,home_run,hit_into_play,,,,,,Nelson Rada homers (1) on a fly ball to right field.,S,L,R,OAK,LAA,X,,fly_ball,1,0,2024,,,,,,,,0,6,Top,226.03,61.85,,,,,,,,,,,,,,,,,,,747836,668832,656666,690985,680996,680474,669722,671271,687515,,,,2.0,,0,3,,45,2,,7,2,2,7,3,7,3,7,,,,-0.032,1.076,,,,-1.076,,5,-5,0.958,0.042,34,18,34,19,1,0,,,,,,,,
,2024-03-23,,,,"Brooks, Aaron",703185,605156,,ball,,,,,,Nelson Rada homers (1) on a fly ball to right field.,S,L,R,OAK,LAA,B,,,0,0,2024,,,,,,,,0,6,Top,,,,,,,,,,,,,,,,,,,,,747836,668832,656666,690985,680996,680474,669722,671271,687515,,,,,,,,,45,1,,7,2,2,7,2,7,2,7,,,,0.0,0.038,,,,-0.038,,5,-5,0.958,0.042,34,18,34,19,1,0,,,,,,,,
,2024-03-22,,,,"Banks, Tanner",703185,621383,field_out,hit_into_play,,,,,,"Nelson Rada grounds out, shortstop Zach Remillard to first baseman Gavin Sheets.",S,L,L,LAA,CWS,X,6,ground_ball,0,0,2024,,,,,,,,1,8,Bot,116.74,153.95,,,,,,,,,,,,,,,,,,,747850,642020,657757,664901,672820,621545,676113,592622,693049,,,,0.0,,0,0,,60,1,,2,0,2,0,0,2,2,0,,,,-0.005,-0.256,,,,0.256,,2,2,0.937,0.937,32,18,33,19,1,1,,,,,,,,
,2024-03-22,,,,"Kuhl, Chad",703185,641771,hit_by_pitch,hit_by_pitch,,,,,,Nelson Rada hit by pitch.,S,L,R,LAA,CWS,B,,,0,0,2024,,,,,,,,0,6,Bot,,,,,,,,,,,,,,,,,,,,,747850,642020,657757,664901,672820,621545,676113,592622,693049,,,,0.7,,0,0,,44,1,,1,0,1,0,0,1,1,0,,,,0.031,0.451,,,,-0.451,,1,1,0.746,0.746,31,18,32,19,1,0,,,,,,,,
,2024-03-20,,,,"Zerpa, Angel",703185,672582,strikeout,swinging_strike,,,,,,Nelson Rada strikes out swinging.,S,L,L,KC,LAA,S,2,,0,2,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747883,506702,668860,801442,665989,665987,701817,669336,674646,,,,0.0,,0,0,,73,3,,7,8,8,7,8,7,8,7,,,,0.016,-0.163,,,,0.163,,-1,1,0.158,0.842,24,18,25,19,1,0,,,,,,,,
,2024-03-20,,,,"Zerpa, Angel",703185,672582,,called_strike,,,,,,Nelson Rada strikes out swinging.,S,L,L,KC,LAA,S,,,0,1,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747883,506702,668860,801442,665989,665987,701817,669336,674646,,,,,,,,,73,2,,7,8,8,7,8,7,8,7,,,,0.0,-0.054,,,,0.054,,-1,1,0.158,0.842,24,18,25,19,1,0,,,,,,,,
