pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-10-19,86.1,2.16,6.12,"Rodón, Carlos",681807,607074,single,hit_into_play,,,,,14,"David Fry singles on a fly ball to shortstop Anthony Volpe, deflected by center fielder Aaron Judge.   Steven Kwan to 3rd.    David Fry to 2nd.",L,R,L,CLE,NYY,X,8,fly_ball,2,2,2024,1.11,0.02,0.88,2.1,,,680757,2,5,Bot,111.73,113.62,,,,,-5.289540594534892,-125.36973464681972,-3.3688461568708608,12.78203201463369,24.86975352939029,-31.481883600811347,3.32,1.53,236,75.5,40,86.2,1744,6.3,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.24,0.1,0.097,0.9,1,1,0,3,38,5,Changeup,2,0,2,0,0,2,2,0,Standard,Standard,139,0.021,0.394,57.0,8.1,0.123,-0.394,88.0,2,2,0.803,0.803,31,28,32,29,3,2,5,1,7,,3.04,1.11,-1.11,42.8
FF,2024-10-19,96.9,1.67,6.42,"Rodón, Carlos",681807,607074,,swinging_strike,,,,,6,"David Fry singles on a fly ball to shortstop Anthony Volpe, deflected by center fielder Aaron Judge.   Steven Kwan to 3rd.    David Fry to 2nd.",L,R,L,CLE,NYY,S,,,2,1,2024,0.77,1.62,0.47,2.53,,,680757,2,5,Bot,,,,,,,-4.905611607808797,-140.72962765492707,-8.417056238565468,11.326945166279012,34.73592689422869,-8.974897055617353,3.32,1.53,,,,95.7,2487,5.9,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.59,,,,,,,,38,4,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,148,0.0,-0.072,74.6,7.9,,0.072,,2,2,0.803,0.803,31,28,32,29,3,2,5,1,7,,0.84,0.77,-0.77,48.7
FC,2024-10-19,91.8,2.07,6.28,"Rodón, Carlos",681807,607074,,foul,,,,,1,"David Fry singles on a fly ball to shortstop Anthony Volpe, deflected by center fielder Aaron Judge.   Steven Kwan to 3rd.    David Fry to 2nd.",L,R,L,CLE,NYY,S,,,2,0,2024,-0.02,1.01,-0.46,3.11,,,680757,2,5,Bot,,,,,,,-6.327121024472809,-133.58636052027109,-4.344066550464882,1.1470564159261936,28.57026700525326,-19.303226305100633,3.32,1.53,309,96.4,27,91.3,2355,5.9,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.56,,,,,,,,38,3,Cutter,2,0,2,0,0,2,2,0,Standard,Standard,149,0.0,-0.048,65.6,8.1,,0.048,96.4,2,2,0.803,0.803,31,28,32,29,3,2,5,1,7,,1.69,-0.02,0.02,45.3
FC,2024-10-19,91.9,1.99,6.32,"Rodón, Carlos",681807,607074,,ball,,,,,12,"David Fry singles on a fly ball to shortstop Anthony Volpe, deflected by center fielder Aaron Judge.   Steven Kwan to 3rd.    David Fry to 2nd.",L,R,L,CLE,NYY,B,,,1,0,2024,-0.22,0.96,0.17,4.15,,,680757,2,5,Bot,,,,,,,-4.099611181818467,-133.80764159027123,-1.7386443540629188,-1.8145587579168931,28.60096446846044,-20.50410243765415,3.32,1.5,,,,91.4,2403,5.9,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.59,,,,,,,,38,2,Cutter,2,0,2,0,0,2,2,0,Strategic,Standard,159,0.0,0.05,,,,-0.05,,2,2,0.803,0.803,31,28,32,29,3,2,5,1,7,,1.74,-0.22,0.22,50.8
FF,2024-10-19,96.7,1.88,6.42,"Rodón, Carlos",681807,607074,,ball,,,,,12,"David Fry singles on a fly ball to shortstop Anthony Volpe, deflected by center fielder Aaron Judge.   Steven Kwan to 3rd.    David Fry to 2nd.",L,R,L,CLE,NYY,B,,,0,0,2024,0.82,1.81,2.4,3.88,,,680757,2,5,Bot,,,,,,,-0.4715288153951945,-140.646895157266,-5.203568895569675,10.863683370145598,36.292569582121686,-7.342583144642753,3.31,1.49,,,,95.3,2496,5.8,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.68,,,,,,,,38,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,147,0.0,0.034,,,,-0.034,,2,2,0.803,0.803,31,28,32,29,3,2,5,1,7,,0.66,0.82,-0.82,50.8
CH,2024-10-19,86.6,2.1,6.19,"Rodón, Carlos",681807,607074,strikeout,swinging_strike,,,,,14,David Fry strikes out swinging.,L,R,L,CLE,NYY,S,2,,0,2,2024,1.12,0.29,0.44,1.18,,,677587,1,3,Bot,,,,,,,-6.211894484748438,-125.96245195226548,-6.391617485594418,13.17680258967978,23.9722766685677,-27.982168893697445,3.32,1.53,,,,86.6,1792,6.2,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.31,,0.0,0.0,1,0,0,,23,3,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,132,-0.025,-0.159,66.7,8.9,,0.159,,1,1,0.675,0.675,31,28,32,29,2,1,5,1,7,,2.73,1.12,-1.12,44.9
FF,2024-10-19,95.0,1.76,6.39,"Rodón, Carlos",681807,607074,,foul,,,,,1,David Fry strikes out swinging.,L,R,L,CLE,NYY,S,,,0,1,2024,0.97,1.56,-0.51,3.14,,,677587,1,3,Bot,,,,,,,-8.07571632891454,-137.99116074025508,-6.305083424561252,14.270183834097104,32.18008526804771,-10.951913729660264,3.32,1.53,250,81.4,46,94.3,2342,6.1,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.43,,,,,,,,23,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,146,0.0,-0.052,71.0,7.7,,0.052,88.0,1,1,0.675,0.675,31,28,32,29,2,1,5,1,7,,0.98,0.97,-0.97,55.3
CH,2024-10-19,85.3,2.04,6.21,"Rodón, Carlos",681807,607074,,swinging_strike,,,,,8,David Fry strikes out swinging.,L,R,L,CLE,NYY,S,,,0,0,2024,1.3,0.33,0.21,1.92,,,677587,1,3,Bot,,,,,,,-6.905240287474837,-124.067793239442,-4.475276736912943,14.796691153739191,23.977592901898173,-28.05371401126908,3.32,1.53,,,,85.2,1732,6.2,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.33,,,,,,,,23,1,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,132,0.0,-0.04,64.8,9.1,,0.04,,1,1,0.675,0.675,31,28,32,29,2,1,5,1,7,,2.79,1.3,-1.3,44.2
FC,2024-10-19,93.2,2.03,6.39,"Rodón, Carlos",681807,607074,strikeout,swinging_strike,,,,,2,David Fry strikes out swinging.,L,R,L,CLE,NYY,S,2,,1,2,2024,-0.06,0.98,0.11,3.19,,,,1,1,Bot,,,,,,,-4.782013441415628,-135.80492129096717,-4.662794556969737,0.2137868211344681,26.128948961440095,-19.247925859712577,3.32,1.53,,,,92.9,2485,5.8,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.74,,0.0,0.0,1,0,0,,8,5,Cutter,0,0,0,0,0,0,0,0,Strategic,Standard,165,-0.016,-0.182,69.0,6.5,,0.182,,0,0,0.526,0.526,31,28,32,29,1,0,5,1,7,,1.61,-0.06,0.06,47.5
SL,2024-10-19,87.5,2.29,6.22,"Rodón, Carlos",681807,607074,,ball,,,,,13,David Fry strikes out swinging.,L,R,L,CLE,NYY,B,,,0,2,2024,-0.69,0.48,-0.65,0.59,,,,1,1,Bot,,,,,,,-5.632318588382704,-127.12341700913272,-8.331434974818965,-6.280274404450455,26.15908865198778,-25.49227765532358,3.26,1.48,,,,86.9,2754,6.0,775309,669224,519203,650402,665862,683011,657077,592450,665742,54.52,,,,,,,,8,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,285,0.0,0.02,,,,-0.02,,0,0,0.526,0.526,31,28,32,29,1,0,5,1,7,,2.51,-0.69,0.69,41.2
