pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-03-26,72.0,-3.77,1.28,"Rogers, Tyler",660829,643511,strikeout,swinging_strike,,,,,13,Hoy Park strikes out swinging.,S,L,R,SF,OAK,S,2,,2,2,2024,0.28,1.61,-0.84,1.76,,,,1,8,Top,,,,,,,5.310244447492199,-104.50393552749246,5.79362942286989,1.053302145435539,19.805330896760633,-21.85851979929596,3.25,1.43,,,,71.3,2138,6.2,747800,663698,666149,672640,467055,682617,596103,665998,682641,54.33,,,0.0,,0,0,,55,5,Slider,0,3,3,0,3,0,3,0,Standard,Standard,125,0.004,-0.225,,,,0.225,,-3,3,0.072,0.928,33,28,34,28,1,0,,,,,2.86,-0.28,0.28,
SI,2024-03-26,81.0,-3.71,1.21,"Rogers, Tyler",660829,643511,,called_strike,,,,,1,Hoy Park strikes out swinging.,S,L,R,SF,OAK,S,,,2,1,2024,-0.26,-0.87,-0.67,2.5,,,,1,8,Top,,,,,,,7.207062388398782,-117.17615894404668,11.15679360968585,-3.6885383022286864,21.119165404697867,-42.515091777235575,2.9,1.27,,,,80.5,1955,6.2,747800,663698,666149,672640,467055,682617,596103,665998,682641,54.31,,,,,,,,55,4,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,331,0.0,-0.078,,,,0.078,,-3,3,0.072,0.928,33,28,34,28,1,0,,,,,4.37,0.26,-0.26,
SI,2024-03-26,81.3,-3.75,1.25,"Rogers, Tyler",660829,643511,,foul,,,,,8,Hoy Park strikes out swinging.,S,L,R,SF,OAK,S,,,2,0,2024,-0.15,-0.99,-0.27,1.99,,,,1,8,Top,,,,,,,8.019129779881116,-117.64034342376468,10.131653550588137,-2.883351622416421,21.460055607061623,-43.54478614311176,3.25,1.43,1,71.0,-69,80.7,1830,6.1,747800,663698,666149,672640,467055,682617,596103,665998,682641,54.42,,,,,,,,55,3,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,326,0.0,-0.065,,,,0.065,88.0,-3,3,0.072,0.928,33,28,34,28,1,0,,,,,4.46,0.15,-0.15,
SI,2024-03-26,80.7,-3.84,1.25,"Rogers, Tyler",660829,643511,,ball,,,,,12,Hoy Park strikes out swinging.,S,L,R,SF,OAK,B,,,1,0,2024,-0.2,-0.82,1.41,2.85,,,,1,8,Top,,,,,,,11.893171316001462,-116.29842409737644,11.715038791555571,-3.703080214354748,18.473803315360463,-42.02049958052773,2.9,1.24,,,,80.2,1867,6.2,747800,663698,666149,672640,467055,682617,596103,665998,682641,54.34,,,,,,,,55,2,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,334,0.0,0.072,,,,-0.072,,-3,3,0.072,0.928,33,28,34,28,1,0,,,,,4.34,0.2,-0.2,
SI,2024-03-26,81.8,-3.57,1.25,"Rogers, Tyler",660829,643511,,ball,,,,,12,Hoy Park strikes out swinging.,S,L,R,SF,OAK,B,,,0,0,2024,-0.04,-1.09,1.8,2.23,,,,1,8,Top,,,,,,,12.06423022264874,-117.98166147185188,10.931475580665175,-2.568120659579165,21.75138672085,-44.89974433179578,2.93,1.27,,,,81.2,1902,6.3,747800,663698,666149,672640,467055,682617,596103,665998,682641,54.23,,,,,,,,55,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,332,0.0,0.039,,,,-0.039,,-3,3,0.072,0.928,33,28,34,28,1,0,,,,,4.55,0.04,-0.04,
FF,2024-03-25,95.5,-1.59,6.69,"Dabovich, R.J.",660829,681924,grounded_into_double_play,hit_into_play,,,,,2,"Hoy Park grounds into a double play, shortstop Marco Luciano to second baseman Donovan Walton to first baseman Blake Sabol.   Max Schuemann out at 2nd.    Hoy Park out at 1st.",S,L,R,OAK,SF,X,6,ground_ball,0,1,2024,0.09,1.49,-0.05,2.83,676116,,680474,1,8,Bot,109.07,142.91,,,,,3.857205976298641,-138.80194039143734,-7.81757722635532,0.2262229675431991,33.23257329900555,-11.325451434263533,3.25,1.43,106,77.7,8,95.0,2219,6.2,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.3,0.346,,0.0,,0,0,2,65,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,195,-0.118,-0.293,,,0.402,0.293,88.0,-3,-3,0.149,0.149,25,28,25,28,1,0,,,,,1.03,-0.09,0.09,
FF,2024-03-25,92.4,-1.73,6.64,"Dabovich, R.J.",660829,681924,,called_strike,,,,,5,"Hoy Park grounds into a double play, shortstop Marco Luciano to second baseman Donovan Walton to first baseman Blake Sabol.   Max Schuemann out at 2nd.    Hoy Park out at 1st.",S,L,R,OAK,SF,S,,,0,0,2024,0.16,1.63,-0.18,1.84,676116,,680474,1,8,Bot,,,,,,,3.578299305841075,-134.2237838936101,-9.834623451840764,1.0745896028083877,31.667560835624418,-10.475776770784856,2.78,1.2,,,,91.6,2099,6.1,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.37,,,,,,,,65,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,194,0.0,-0.045,,,,0.045,,-3,-3,0.149,0.149,25,28,25,28,1,0,,,,,1.07,-0.16,0.16,
,2024-03-23,,,,"Dana, Caden",660829,702674,single,hit_into_play,,,,,,Hoy Park singles on a ground ball to center fielder Nelson Rada.   Esteury Ruiz to 3rd.,S,L,R,OAK,LAA,X,8,ground_ball,0,0,2024,,,,,,,665923,0,4,Bot,106.39,92.27,,,,,,,,,,,,,,,,,,,747836,643348,694848,641779,605346,670869,702409,703185,669326,,,,0.9,,1,0,,33,1,,5,2,5,2,2,5,5,2,,,,0.038,0.449,,,,-0.449,,3,3,0.884,0.884,20,28,21,28,1,1,,,,,,,,
,2024-03-23,,,,"Yovan, Kenyon",660829,668719,double,hit_into_play,,,,,,Hoy Park doubles (5) on a line drive to left fielder Jo Adell.,S,L,R,OAK,LAA,X,7,line_drive,1,0,2024,,,,,,,,2,2,Bot,84.08,88.21,,,,,,,,,,,,,,,,,,,747836,642136,694848,641779,605346,670869,666176,666160,669326,,,,1.25,,1,1,,18,2,,3,2,3,2,2,3,3,2,,,,0.021,0.575,,,,-0.575,,1,1,0.626,0.626,26,28,27,28,1,0,,,,,,,,
,2024-03-23,,,,"Yovan, Kenyon",660829,668719,,ball,,,,,,Hoy Park doubles (5) on a line drive to left fielder Jo Adell.,S,L,R,OAK,LAA,B,,,0,0,2024,,,,,,,665923,1,2,Bot,,,,,,,,,,,,,,,,,,,,,747836,642136,694848,641779,605346,670869,666176,666160,669326,,,,,,,,,18,1,,3,2,3,2,2,3,3,2,,,,-0.036,0.036,,,,-0.036,,1,1,0.662,0.662,26,28,27,28,1,0,,,,,,,,
