pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2024-09-26,88.0,-2.74,5.66,"Sands, Cole",656537,663485,strikeout,swinging_strike,,,,,13,Derek Hill strikes out swinging.,R,R,R,MIN,MIA,S,2,,1,2,2024,-1.1,0.15,-0.23,1.04,,,660821,2,10,Top,,,,,,,8.229705779048901,-127.72690972830146,-5.234010934360422,-13.791511258601616,29.040983962273938,-29.56784430449038,3.49,1.6,,,,86.3,1723,5.6,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.92,,0.0,0.0,1,0,0,,83,4,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,253,0.046,-0.196,74.3,8.4,,0.196,,-1,1,0.392,0.608,26,28,27,29,1,4,1,1,3,,2.84,1.1,1.1,23.2
FC,2024-09-26,90.7,-2.52,5.73,"Sands, Cole",656537,663485,,ball,,,,,14,Derek Hill strikes out swinging.,R,R,R,MIN,MIA,B,,,0,2,2024,0.31,0.69,1.39,1.33,,,660821,2,10,Top,,,,,,,9.001441980003246,-131.75554763445606,-6.474777173413972,1.6826426819204243,28.2098611657007,-22.926398945747373,3.54,1.6,,,,89.6,2501,5.7,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.76,,,,,,,,83,3,Cutter,4,5,5,4,5,4,5,4,Standard,Standard,201,0.0,0.027,,,,-0.027,,-1,1,0.392,0.608,26,28,27,29,1,4,1,1,3,,2.09,-0.31,-0.31,30.0
FS,2024-09-26,86.5,-2.69,5.66,"Sands, Cole",656537,663485,,swinging_strike,,,,,8,Derek Hill strikes out swinging.,R,R,R,MIN,MIA,S,,,0,1,2024,-1.14,0.07,-0.05,1.49,,,660821,2,10,Top,,,,,,,8.494279165451065,-125.66216788983068,-3.793024760884138,-13.793013048747811,26.36798099681659,-30.826128359061325,3.49,1.6,,,,85.2,1635,5.6,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.89,,,,,,,,83,2,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,252,0.0,-0.054,73.4,8.2,,0.054,,-1,1,0.392,0.608,26,28,27,29,1,4,1,1,3,,2.99,1.14,1.14,23.1
FC,2024-09-26,90.6,-2.65,5.85,"Sands, Cole",656537,663485,,called_strike,,,,,1,Derek Hill strikes out swinging.,R,R,R,MIN,MIA,S,,,0,0,2024,0.41,0.71,-0.66,3.31,,,660821,2,10,Top,,,,,,,4.071258401064027,-131.99586732672677,-1.9518500786603283,3.943483951281761,26.779577939660108,-23.669611627907432,3.61,1.6,,,,89.7,2525,5.6,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.94,,,,,,,,83,1,Cutter,4,5,5,4,5,4,5,4,Standard,Standard,194,0.0,-0.047,,,,0.047,,-1,1,0.392,0.608,26,28,27,29,1,4,1,1,3,,2.05,-0.41,-0.41,25.5
KC,2024-09-26,85.0,-1.85,5.89,"Duran, Jhoan",656537,661395,strikeout,swinging_strike_blocked,,,,,14,"Derek Hill strikes out swinging, catcher Ryan Jeffers to first baseman Carlos Santana.",R,R,R,MIN,MIA,S,2,,0,2,2024,0.56,-1.0,0.05,0.25,,,,1,8,Top,,,,,,,3.3371205813799625,-123.75173544767968,-4.834849506677651,4.995147234325965,26.74889907931633,-41.58852089083819,3.49,1.6,,,,84.6,2496,6.2,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.32,,0.0,0.0,1,0,0,,63,3,Knuckle Curve,2,4,4,2,4,2,4,2,Standard,Standard,37,0.009,-0.162,59.6,8.4,,0.162,,-2,2,0.141,0.859,26,28,26,29,1,3,1,1,,,4.18,-0.56,-0.56,31.0
KC,2024-09-26,86.5,-1.92,5.91,"Duran, Jhoan",656537,661395,,swinging_strike,,,,,14,"Derek Hill strikes out swinging, catcher Ryan Jeffers to first baseman Carlos Santana.",R,R,R,MIN,MIA,S,,,0,1,2024,0.62,-0.88,0.98,1.65,,,,1,8,Top,,,,,,,5.652649714785593,-125.87620898567124,-2.1426928019894222,5.45332219355301,25.15203158744645,-41.34285624742733,3.49,1.6,,,,86.5,2524,6.2,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.27,,,,,,,,63,2,Knuckle Curve,2,4,4,2,4,2,4,2,Standard,Standard,48,0.0,-0.057,64.5,8.3,,0.057,,-2,2,0.141,0.859,26,28,26,29,1,3,1,1,,,3.92,-0.62,-0.62,33.0
FS,2024-09-26,97.8,-1.96,6.0,"Duran, Jhoan",656537,661395,,swinging_strike,,,,,7,"Derek Hill strikes out swinging, catcher Ryan Jeffers to first baseman Carlos Santana.",R,R,R,MIN,MIA,S,,,0,0,2024,-0.98,0.12,-0.42,2.09,,,,1,8,Top,,,,,,,6.409596936216079,-142.33543854340024,-5.340855092759306,-14.827603923770122,32.331536527610076,-29.4957419635834,3.49,1.6,,,,97.9,1707,6.3,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.21,,,,,,,,63,1,Split-Finger,2,4,4,2,4,2,4,2,Standard,Standard,230,0.0,-0.037,73.6,7.0,,0.037,,-2,2,0.141,0.859,26,28,26,29,1,3,1,1,,,2.26,0.98,0.98,34.1
SL,2024-09-26,82.4,-3.8,5.34,"Tonkin, Michael",656537,543859,field_out,hit_into_play,,,,,8,Derek Hill flies out to second baseman Kyle Farmer.,R,R,R,MIN,MIA,X,4,fly_ball,0,1,2024,0.14,-0.14,0.23,2.06,669394,660821,681146,2,5,Top,127.16,126.05,,,,,8.825579443225381,-119.78586899979742,-0.7054819704024615,-0.193699321910938,21.34947610201308,-33.56907971403361,3.49,1.6,186,87.2,58,82.2,2242,6.1,745853,680777,467793,571657,650489,621043,668885,621439,663616,54.44,0.023,0.027,0.0,1,0,0,3,41,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,54,0.023,-0.231,69.3,7.7,0.037,0.231,88.0,-4,4,0.088,0.912,34,28,35,29,1,2,2,1,1,,3.48,-0.14,-0.14,15.5
SL,2024-09-26,83.0,-3.82,5.36,"Tonkin, Michael",656537,543859,,foul,,,,,2,Derek Hill flies out to second baseman Kyle Farmer.,R,R,R,MIN,MIA,S,,,0,0,2024,0.29,-0.11,-0.12,3.2,669394,660821,681146,2,5,Top,,,,,,,7.856869257120616,-120.75201130569693,1.6522908969779695,1.4966278353646274,20.64282211664004,-33.72279451240139,3.49,1.6,192,72.5,57,82.9,2248,5.9,745853,680777,467793,571657,650489,621043,668885,621439,663616,54.55,,,,,,,,41,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,73,0.0,-0.044,60.8,6.3,,0.044,88.0,-4,4,0.088,0.912,34,28,35,29,1,2,2,1,1,,3.38,-0.29,-0.29,14.3
SL,2024-09-26,86.7,-2.63,6.1,"Festa, David",656537,701581,field_out,hit_into_play,,,,,5,Derek Hill pops out to first baseman Carlos Santana.,R,R,R,MIN,MIA,X,3,popup,2,0,2024,0.07,0.04,-0.16,2.88,,681146,,2,4,Top,130.99,173.62,,,,,5.826897714612608,-126.22451144260314,-1.620953872952922,-0.4579890033940632,25.021901731938872,-31.609840021125898,3.49,1.6,72,88.9,73,87.7,2615,6.8,745853,680777,467793,571657,650489,621043,668885,621439,663616,53.68,0.003,0.003,0.0,1,0,0,3,29,3,Slider,0,1,1,0,1,0,1,0,Standard,Standard,77,0.035,-0.339,75.0,7.2,0.003,0.339,88.9,-1,1,0.386,0.614,24,28,24,29,2,1,6,1,,,2.98,-0.07,-0.07,53.9
