pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-05-18,89.8,-2.4,3.91,"Schreiber, John",665923,670167,field_out,hit_into_play,,,,,8,"Esteury Ruiz grounds out, shortstop Bobby Witt Jr.  to first baseman Vinnie Pasquantino.",R,R,R,KC,OAK,X,6,ground_ball,2,1,2024,-1.14,-0.36,0.01,1.78,,,,1,7,Top,105.68,147.82,,,,,8.367363319951387,-130.47074147720758,1.4950407061473605,-14.76223884440464,26.663325169176897,-36.87187755980406,3.29,1.59,75,89.3,4,90.0,2061,6.4,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.09,0.434,0.415,0.0,1,0,0,4,53,4,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,251,0.023,-0.302,76.1,7.6,0.51,0.302,89.3,2,-2,0.857,0.143,30,25,30,25,1,2,4,2,4,,3.19,1.14,1.14,1.2
SI,2024-05-18,90.9,-2.63,3.93,"Schreiber, John",665923,670167,,ball,,,,,13,"Esteury Ruiz grounds out, shortstop Bobby Witt Jr.  to first baseman Vinnie Pasquantino.",R,R,R,KC,OAK,B,,,1,1,2024,-1.34,-0.32,-1.26,1.53,,,,1,7,Top,,,,,,,6.304397965735727,-132.29566269862227,0.5842281771792093,-17.074160625756733,27.188745873497595,-36.32003008311958,3.28,1.76,,,,91.2,2085,6.4,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.12,,,,,,,,53,3,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,259,0.0,0.059,,,,-0.059,,2,-2,0.857,0.143,30,25,30,25,1,2,4,2,4,,3.07,1.34,1.34,3.2
ST,2024-05-18,79.8,-2.51,3.66,"Schreiber, John",665923,670167,,ball,,,,,14,"Esteury Ruiz grounds out, shortstop Bobby Witt Jr.  to first baseman Vinnie Pasquantino.",R,R,R,KC,OAK,B,,,0,1,2024,0.87,0.13,2.55,1.77,,,,1,7,Top,,,,,,,9.498604597446786,-115.91207835456154,2.359465224986468,6.096525904989274,21.36435762122939,-31.730329169660475,3.28,1.6,,,,79.8,2551,6.3,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.16,,,,,,,,53,2,Sweeper,4,2,2,4,2,4,2,4,Standard,Standard,73,0.0,0.024,,,,-0.024,,2,-2,0.857,0.143,30,25,30,25,1,2,4,2,4,,3.46,-0.87,-0.87,-3.5
ST,2024-05-18,80.5,-2.69,3.66,"Schreiber, John",665923,670167,,called_strike,,,,,9,"Esteury Ruiz grounds out, shortstop Bobby Witt Jr.  to first baseman Vinnie Pasquantino.",R,R,R,KC,OAK,S,,,0,0,2024,1.02,-0.04,0.63,1.75,,,,1,7,Top,,,,,,,5.433013009375044,-117.12466679488678,2.543980869265747,8.357109008302015,22.43122453472437,-33.263201970378596,3.29,1.63,,,,80.5,2477,6.3,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.16,,,,,,,,53,1,Sweeper,4,2,2,4,2,4,2,4,Standard,Standard,79,0.0,-0.037,,,,0.037,,2,-2,0.857,0.143,30,25,30,25,1,2,4,2,4,,3.56,-1.02,-1.02,-1.9
SV,2024-05-18,80.7,-1.28,5.51,"Lugo, Seth",665923,607625,strikeout,swinging_strike,,,,,6,Esteury Ruiz strikes out swinging.,R,R,R,KC,OAK,S,2,,1,2,2024,1.4,-0.93,0.71,2.34,,,,0,5,Top,,,,,,,1.756515062280428,-117.38476978168254,1.4655682207201517,12.4047759246516,25.87680564647876,-41.23484397514509,3.29,1.59,,,,79.5,3385,5.9,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.62,,0.0,0.0,1,0,0,,35,4,Slurve,2,2,2,2,2,2,2,2,Standard,Standard,42,0.03,-0.186,68.2,7.4,,0.186,,0,0,0.5,0.5,34,25,35,25,2,1,6,2,6,,4.48,-1.4,-1.4,36.2
SI,2024-05-18,90.5,-1.16,5.27,"Lugo, Seth",665923,607625,,called_strike,,,,,7,Esteury Ruiz strikes out swinging.,R,R,R,KC,OAK,S,,,1,1,2024,-1.16,0.57,-0.48,1.67,,,,0,5,Top,,,,,,,4.171940194400381,-131.82844202461956,-4.312335250854781,-14.4368178843125,26.602861325758912,-24.78043948115291,3.29,1.64,,,,90.5,2427,6.1,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.39,,,,,,,,35,3,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,215,0.0,-0.056,,,,0.056,,0,0,0.5,0.5,34,25,35,25,2,1,6,2,6,,2.19,1.16,1.16,29.9
SI,2024-05-18,89.9,-1.19,5.33,"Lugo, Seth",665923,607625,,foul,,,,,13,Esteury Ruiz strikes out swinging.,R,R,R,KC,OAK,S,,,1,0,2024,-1.2,0.65,-0.85,2.13,,,,0,5,Top,,,,,,,3.3453427541207477,-131.03354177012304,-3.3939082976061115,-14.511587205699936,25.30573627716712,-24.18215058426421,3.29,1.59,3,87.9,-34,90.0,2438,6.1,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.44,,,,,,,,35,2,Sinker,2,2,2,2,2,2,2,2,Standard,Standard,214,0.0,-0.049,72.1,6.6,,0.049,88.0,0,0,0.5,0.5,34,25,35,25,2,1,6,2,6,,2.14,1.2,1.2,27.5
SV,2024-05-18,78.0,-1.34,5.54,"Lugo, Seth",665923,607625,,ball,,,,,14,Esteury Ruiz strikes out swinging.,R,R,R,KC,OAK,B,,,0,0,2024,1.38,-0.83,1.33,0.74,,,,0,5,Top,,,,,,,3.158576988547041,-113.47169630441284,-1.7992609070019938,11.138917097386392,23.896503479448388,-39.11665641594916,3.28,1.58,,,,76.5,3199,5.6,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.93,,,,,,,,35,1,Slurve,2,2,2,2,2,2,2,2,Standard,Standard,50,0.0,0.038,,,,-0.038,,0,0,0.5,0.5,34,25,35,25,2,1,6,2,6,,4.62,-1.38,-1.38,30.4
SV,2024-05-18,80.8,-1.15,5.44,"Lugo, Seth",665923,607625,strikeout,swinging_strike,,,,,9,Esteury Ruiz strikes out swinging.,R,R,R,KC,OAK,S,2,,2,2,2024,1.54,-0.96,0.43,1.57,,,680474,1,2,Top,,,,,,,0.557494325770369,-117.48045333019397,0.0403086179809195,13.892104668422768,27.68508785974782,-41.22097114046915,3.29,1.59,,,,79.3,3354,5.8,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.66,,0.0,0.0,1,0,0,,16,5,Slurve,2,2,2,2,2,2,2,2,Standard,Standard,44,0.029,-0.229,74.8,8.4,,0.229,,0,0,0.497,0.503,34,25,35,25,1,0,6,2,6,,4.53,-1.54,-1.54,32.0
FF,2024-05-18,91.5,-0.89,5.58,"Lugo, Seth",665923,607625,,ball,,,,,11,Esteury Ruiz strikes out swinging.,R,R,R,KC,OAK,B,,,1,2,2024,-0.44,1.76,-0.53,4.88,,,680474,1,2,Top,,,,,,,1.8360098703066652,-133.1972770234572,0.3451856304478963,-5.638822567094139,31.663412923659585,-11.682285097814304,3.28,1.59,,,,90.4,2347,5.9,746308,521692,686469,624428,672580,677951,669004,664728,676369,54.65,,,,,,,,16,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,212,0.0,0.048,,,,-0.048,,0,0,0.497,0.503,34,25,35,25,1,0,6,2,6,,0.98,0.44,0.44,34.1
