pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2024-07-06,84.5,-2.53,5.3,"Schwellenbach, Spencer",621311,680885,strikeout,swinging_strike,,,,,8,David Dahl strikes out swinging.,R,L,R,ATL,PHI,S,2,,0,2,2024,-0.83,0.06,-0.2,1.56,,,665561,2,4,Top,,,,,,,7.187224555060113,-122.93764264037613,-2.5515581234327143,-9.75410639999546,21.68496863086832,-31.32774627345565,3.36,1.56,,,,86.0,1466,7.0,747099,669221,621566,645277,663586,606115,642201,672284,594807,53.47,,0.0,0.0,1,0,0,,29,4,Split-Finger,3,1,1,3,1,3,1,3,Infield shade,Standard,253,0.025,-0.169,71.9,7.9,,0.169,,2,-2,0.768,0.232,24,30,24,30,2,1,6,2,6,,3.11,0.83,-0.83,30.4
FS,2024-07-06,83.5,-2.64,5.22,"Schwellenbach, Spencer",621311,680885,,foul,,,,,7,David Dahl strikes out swinging.,R,L,R,ATL,PHI,S,,,0,2,2024,-0.66,-0.01,-0.68,1.65,,,665561,2,4,Top,,,,,,,5.886746031680189,-121.56397095478732,-1.8634509468302851,-7.581626097103298,20.992485588501776,-32.13355561419611,3.36,1.56,8,66.4,-12,84.9,1427,6.9,747099,669221,621566,645277,663586,606115,642201,672284,594807,53.59,,,,,,,,29,3,Split-Finger,3,1,1,3,1,3,1,3,Infield shade,Standard,257,0.0,0.0,64.9,8.1,,0.0,88.0,2,-2,0.768,0.232,24,30,24,30,2,1,6,2,6,,3.24,0.66,-0.66,25.6
FS,2024-07-06,84.4,-2.45,5.39,"Schwellenbach, Spencer",621311,680885,,swinging_strike,,,,,8,David Dahl strikes out swinging.,R,L,R,ATL,PHI,S,,,0,1,2024,-1.04,0.07,-0.23,1.48,,,665561,2,4,Top,,,,,,,7.321634018666467,-122.7747318112473,-2.9406200593644996,-11.90361913452231,21.96377471016961,-31.131306271185597,3.36,1.56,,,,85.7,1448,6.9,747099,669221,621566,645277,663586,606115,642201,672284,594807,53.6,,,,,,,,29,2,Split-Finger,3,1,1,3,1,3,1,3,Infield shade,Standard,249,0.0,-0.054,66.9,8.6,,0.054,,2,-2,0.768,0.232,24,30,24,30,2,1,6,2,6,,3.11,1.04,-1.04,33.2
CU,2024-07-06,82.3,-2.41,5.43,"Schwellenbach, Spencer",621311,680885,,called_strike,,,,,13,David Dahl strikes out swinging.,R,L,R,ATL,PHI,S,,,0,0,2024,0.4,-0.55,-0.86,1.85,,,665561,2,4,Top,,,,,,,2.7953269004889596,-120.0518363559744,-0.638680621470603,3.3952389035717436,20.11088510503536,-37.658325122960434,3.23,1.47,,,,83.7,2369,6.8,747099,669221,621566,645277,663586,606115,642201,672284,594807,53.74,,,,,,,,29,1,Curveball,3,1,1,3,1,3,1,3,Standard,Standard,68,0.0,-0.047,,,,0.047,,2,-2,0.768,0.232,24,30,24,30,2,1,6,2,6,,3.87,-0.4,0.4,30.4
FS,2024-07-06,83.3,-2.32,5.29,"Schwellenbach, Spencer",621311,680885,strikeout,swinging_strike,,,,,7,David Dahl strikes out swinging.,R,L,R,ATL,PHI,S,2,,0,2,2024,-0.73,-0.01,-0.49,1.52,,,,0,3,Top,,,,,,,5.697545181400841,-121.32057522625132,-2.3026149950799626,-8.284648975068498,20.407385784412575,-32.09352174730132,3.36,1.56,,,,84.8,1343,6.9,747099,669221,621566,645277,663586,606115,642201,672284,594807,53.58,,0.0,0.0,1,0,0,,17,3,Split-Finger,3,0,0,3,0,3,0,3,Strategic,Standard,247,0.02,-0.163,67.4,8.1,,0.163,,3,-3,0.805,0.195,24,30,24,30,1,0,6,2,6,,3.25,0.73,-0.73,28.9
SI,2024-07-06,95.1,-2.3,5.52,"Schwellenbach, Spencer",621311,680885,,swinging_strike,,,,,1,David Dahl strikes out swinging.,R,L,R,ATL,PHI,S,,,0,1,2024,-1.01,0.75,-0.69,3.36,,,,0,3,Top,,,,,,,6.541980722683222,-138.51244564873298,-1.761620090098473,-14.450732692028332,28.39078341480126,-22.31302651648921,3.36,1.56,,,,96.2,1959,6.7,747099,669221,621566,645277,663586,606115,642201,672284,594807,53.79,,,,,,,,17,2,Sinker,3,0,0,3,0,3,0,3,Strategic,Standard,225,0.0,-0.054,64.4,5.6,,0.054,,3,-3,0.805,0.195,24,30,24,30,1,0,6,2,6,,1.75,1.01,-1.01,29.5
SI,2024-07-06,94.1,-2.4,5.52,"Schwellenbach, Spencer",621311,680885,,swinging_strike,,,,,13,David Dahl strikes out swinging.,R,L,R,ATL,PHI,S,,,0,0,2024,-1.26,0.5,-1.32,1.73,,,,0,3,Top,,,,,,,5.671264081678453,-137.00514874438846,-5.311238659813804,-17.122758019790602,28.65610281004189,-24.918816724454924,3.36,1.56,,,,95.1,2015,6.7,747099,669221,621566,645277,663586,606115,642201,672284,594807,53.77,,,,,,,,17,1,Sinker,3,0,0,3,0,3,0,3,Standard,Standard,228,0.0,-0.037,71.6,7.3,,0.037,,3,-3,0.805,0.195,24,30,24,30,1,0,6,2,6,,2.06,1.26,-1.26,28.0
FF,2024-07-04,93.3,-1.38,6.03,"Neris, Héctor",621311,593576,strikeout,swinging_strike,,,,,1,David Dahl strikes out swinging.,R,L,R,CHC,PHI,S,2,,1,2,2024,-0.79,1.43,-0.42,2.95,592206,,,2,9,Top,,,,,,,4.195316007578418,-135.8254214854142,-5.310173083637653,-10.672362437618505,29.57178360920773,-13.4683684684237,3.36,1.56,,,,93.3,2349,6.2,746857,621512,621550,663538,623520,621020,664023,641355,673548,54.28,,0.0,0.0,1,0,0,,74,5,4-Seam Fastball,10,2,2,10,2,10,2,10,Infield shade,Standard,225,0.0,-0.184,63.3,5.7,,0.184,,8,-8,1.0,0.0,35,30,35,30,1,3,5,2,3,2,1.18,0.79,-0.79,36.5
FF,2024-07-04,93.2,-1.66,5.84,"Neris, Héctor",621311,593576,,foul,,,,,12,David Dahl strikes out swinging.,R,L,R,CHC,PHI,S,,,1,2,2024,-0.71,1.22,0.78,3.68,592206,,,2,9,Top,,,,,,,7.801151843060952,-135.54772290489123,-2.464243819544816,-10.469271919073105,29.868777672015668,-16.80215340919259,3.36,1.56,83,84.8,88,92.8,2417,6.1,746857,621512,621550,663538,623520,621020,664023,641355,673548,54.39,,,,,,,,74,4,4-Seam Fastball,10,2,2,10,2,10,2,10,Infield shade,Standard,221,0.0,0.0,65.0,6.2,,0.0,88.0,8,-8,1.0,0.0,35,30,35,30,1,3,5,2,3,2,1.41,0.71,-0.71,34.0
FS,2024-07-04,83.7,-1.7,5.93,"Neris, Héctor",621311,593576,,ball,,,,,13,David Dahl strikes out swinging.,R,L,R,CHC,PHI,B,,,0,2,2024,-0.48,-0.11,-0.91,1.04,592206,,,2,9,Top,,,,,,,2.7914574620050208,-121.8260867187974,-4.647483822191971,-5.361543173765369,23.59711621268819,-32.60846853330183,3.21,1.51,,,,83.6,1034,6.2,746857,621512,621550,663538,623520,621020,664023,641355,673548,54.32,,,,,,,,74,3,Split-Finger,10,2,2,10,2,10,2,10,Infield shade,Standard,262,0.0,0.018,,,,-0.018,,8,-8,1.0,0.0,35,30,35,30,1,3,5,2,3,2,3.36,0.48,-0.48,32.8
