pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-10-02,87.0,2.53,5.09,"Scott, Tanner",669221,656945,strikeout,swinging_strike,,,,,13,Sean Murphy strikes out swinging.,F,R,L,SD,ATL,S,2,,2,2,2024,-0.69,-0.37,-0.36,1.29,,,624585,2,7,Top,,,,,,,-5.556137353088874,-126.71712278169348,-2.234498492544387,-6.318151043592106,24.80227019350445,-35.957922197912495,3.42,1.6,,,,87.3,2657,6.3,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.17,,0.0,0.0,1,0,0,,56,6,Slider,5,2,2,5,2,5,2,5,Strategic,Standard,277,0.02,-0.234,69.7,9.2,,0.234,,3,-3,0.926,0.074,29,29,30,30,1,2,6,2,3,,3.37,-0.69,0.69,33.7
SL,2024-10-02,87.7,2.61,5.03,"Scott, Tanner",669221,656945,,ball,,,,,13,Sean Murphy strikes out swinging.,F,R,L,SD,ATL,B,,,1,2,2024,-0.69,-0.38,-0.37,1.04,,,624585,2,7,Top,,,,,,,-5.811592583180668,-127.5462745225376,-2.7193264944991435,-6.2123093248506045,27.320883586239212,-35.91691868505747,3.46,1.66,,,,87.7,2735,6.4,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.06,,,,,,,,56,5,Slider,5,2,2,5,2,5,2,5,Standard,Standard,282,0.0,0.038,,,,-0.038,,3,-3,0.926,0.074,29,29,30,30,1,2,6,2,3,,3.35,-0.69,0.69,35.7
FF,2024-10-02,97.8,2.45,5.23,"Scott, Tanner",669221,656945,,foul,,,,,6,Sean Murphy strikes out swinging.,F,R,L,SD,ATL,S,,,1,2,2024,0.53,1.28,0.53,2.21,,,624585,2,7,Top,,,,,,,-6.402286197038015,-142.207036075278,-5.584162401217014,8.688700941357858,32.39302942937631,-13.680727041239836,3.42,1.6,251,78.0,32,97.5,2523,6.2,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.33,,,,,,,,56,4,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,145,0.0,0.0,72.2,7.4,,0.0,88.0,3,-3,0.926,0.074,29,29,30,30,1,2,6,2,3,,1.1,0.53,-0.53,35.0
FF,2024-10-02,96.4,2.41,5.24,"Scott, Tanner",669221,656945,,foul,,,,,13,Sean Murphy strikes out swinging.,F,R,L,SD,ATL,S,,,1,1,2024,0.46,1.37,-1.17,2.34,,,624585,2,7,Top,,,,,,,-10.54179646758519,-139.97102920797215,-5.218946456714539,8.434458631429644,31.89596927215599,-13.14394695393733,3.42,1.6,9,83.7,-13,96.3,2410,6.4,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.14,,,,,,,,56,3,4-Seam Fastball,5,2,2,5,2,5,2,5,Standard,Standard,136,0.0,-0.06,76.5,8.2,,0.06,88.0,3,-3,0.926,0.074,29,29,30,30,1,2,6,2,3,,1.1,0.46,-0.46,35.2
SL,2024-10-02,87.4,2.47,5.12,"Scott, Tanner",669221,656945,,ball,,,,,13,Sean Murphy strikes out swinging.,F,R,L,SD,ATL,B,,,0,1,2024,-0.68,-0.71,-0.07,1.03,,,624585,2,7,Top,,,,,,,-4.740191867090222,-127.24336501360034,-2.2354732881599655,-6.3897150626401755,25.92351135894415,-39.68723015801539,3.47,1.64,,,,87.5,2608,6.3,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.21,,,,,,,,56,2,Slider,5,2,2,5,2,5,2,5,Standard,Standard,286,0.0,0.032,,,,-0.032,,3,-3,0.926,0.074,29,29,30,30,1,2,6,2,3,,3.69,-0.68,0.68,32.6
SL,2024-10-02,86.5,2.72,5.05,"Scott, Tanner",669221,656945,,called_strike,,,,,6,Sean Murphy strikes out swinging.,F,R,L,SD,ATL,S,,,0,0,2024,-0.79,-0.51,0.56,2.51,,,624585,2,7,Top,,,,,,,-3.5256688241914476,-125.97223844290738,1.1684312907705268,-7.716722089792099,25.07468439792105,-38.0554135159419,3.42,1.64,,,,86.6,2762,6.3,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.24,,,,,,,,56,1,Slider,5,2,2,5,2,5,2,5,Standard,Standard,284,0.0,-0.047,,,,0.047,,3,-3,0.926,0.074,29,29,30,30,1,2,6,2,3,,3.55,-0.79,0.79,31.9
SI,2024-10-02,95.2,-2.12,5.9,"Hoeing, Bryan",669221,663773,field_out,hit_into_play,,,,,2,Sean Murphy grounds out to first baseman Donovan Solano.,F,R,R,SD,ATL,X,3,ground_ball,2,2,2024,-1.4,0.54,0.08,3.33,,,,2,5,Top,157.39,166.88,,,,,8.88197224684702,-138.2707688277084,-2.2405599956839892,-20.03396302432404,33.65566691737556,-24.961405030032545,3.42,1.6,11,96.1,-15,94.6,1959,6.2,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.27,0.194,0.158,0.0,1,0,0,2,39,5,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,235,0.009,-0.219,61.5,5.8,0.219,0.219,96.1,3,-3,0.883,0.117,27,29,28,30,1,1,4,2,3,,2.0,1.4,1.4,27.4
FS,2024-10-02,88.5,-1.75,6.36,"Hoeing, Bryan",669221,663773,,ball,,,,,14,Sean Murphy grounds out to first baseman Donovan Solano.,F,R,R,SD,ATL,B,,,1,2,2024,-0.57,-0.09,0.61,0.36,,,,2,5,Top,,,,,,,6.941738929092312,-128.4825031703347,-8.345536877506673,-7.74821779110094,26.787685300725677,-31.566429244240965,3.43,1.66,,,,88.4,1086,6.4,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.12,,,,,,,,39,4,Split-Finger,5,2,2,5,2,5,2,5,Standard,Standard,246,0.0,0.039,,,,-0.039,,3,-3,0.883,0.117,27,29,28,30,1,1,4,2,3,,3.01,0.57,0.57,42.8
SL,2024-10-02,84.6,-1.72,6.24,"Hoeing, Bryan",669221,663773,,swinging_strike,,,,,14,Sean Murphy grounds out to first baseman Donovan Solano.,F,R,R,SD,ATL,S,,,1,1,2024,-0.07,-0.29,0.33,1.2,,,,2,5,Top,,,,,,,4.9038053156993895,-122.90919825606704,-4.687709945875255,-1.8250667894048973,28.42138827708943,-34.18360519776528,3.42,1.6,,,,83.7,2180,6.2,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.32,,,,,,,,39,3,Slider,5,2,2,5,2,5,2,5,Standard,Standard,53,0.0,-0.064,,,,0.064,,3,-3,0.883,0.117,27,29,28,30,1,1,4,2,3,,3.52,0.07,0.07,38.5
SI,2024-10-02,94.5,-1.92,6.14,"Hoeing, Bryan",669221,663773,,ball,,,,,11,Sean Murphy grounds out to first baseman Donovan Solano.,F,R,R,SD,ATL,B,,,0,1,2024,-1.28,0.5,-1.04,3.34,,,,2,5,Top,,,,,,,5.159041811717176,-137.56350590680407,-2.752704261667774,-17.38033679248687,29.144688138500072,-25.361702590705207,3.54,1.73,,,,94.8,1970,6.4,775336,543309,456781,630105,592518,593428,595777,701538,665487,54.13,,,,,,,,39,2,Sinker,5,2,2,5,2,5,2,5,Standard,Standard,230,0.0,0.029,,,,-0.029,,3,-3,0.883,0.117,27,29,28,30,1,1,4,2,3,,2.04,1.28,1.28,34.4
