pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-03-20,96.5,-1.42,5.56,"Simon, Ben",694974,815084,field_out,hit_into_play,,,,,5,Colby Shade flies out to right fielder Brandon McIlwain.,S,R,R,MIA,NYM,X,9,fly_ball,3,2,2024,-0.72,1.29,0.2,2.63,,687859,,2,9,Bot,175.75,104.18,,,,,5.96090228058279,-140.5818324946352,-5.296582573409578,-10.79040508472077,27.12169543577937,-13.980610844318347,3.25,1.64,302,91.4,42,97.5,2190,6.4,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.06,0.011,,0.0,,0,0,3,81,6,4-Seam Fastball,3,6,3,6,6,3,3,6,Standard,Standard,217,-0.016,-0.298,,,0.03,0.298,91.4,-3,-3,0.016,0.016,22,22,22,23,1,1,,,,,1.12,0.72,0.72,
SL,2024-03-20,83.5,-1.83,5.27,"Simon, Ben",694974,815084,,ball,,,,,3,Colby Shade flies out to right fielder Brandon McIlwain.,S,R,R,MIA,NYM,B,,,2,2,2024,1.13,0.16,0.82,3.24,,687859,,2,9,Bot,,,,,,,3.8679168619091633,-121.66595346749097,1.395556171704482,10.61128861336021,22.15305543636206,-31.055390140494964,3.36,1.56,,,,83.8,2346,6.2,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.25,,,,,,,,81,5,Slider,3,6,3,6,6,3,3,6,Standard,Standard,63,0.0,0.049,,,,-0.049,,-3,-3,0.016,0.016,22,22,22,23,1,1,,,,,3.08,-1.13,-1.13,
SI,2024-03-20,94.1,-1.8,5.45,"Simon, Ben",694974,815084,,foul,,,,,11,Colby Shade flies out to right fielder Brandon McIlwain.,S,R,R,MIA,NYM,S,,,2,1,2024,-1.15,1.19,-1.03,2.46,,687859,,2,9,Bot,,,,,,,4.539736982495136,-137.00431930167036,-4.706160992694947,-15.47640013296785,29.809893852758965,-16.397465850329255,3.25,1.64,6,90.8,-21,94.4,2185,6.4,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.11,,,,,,,,81,4,Sinker,3,6,3,6,6,3,3,6,Standard,Standard,221,0.0,-0.062,,,,0.062,90.8,-3,-3,0.016,0.016,22,22,22,23,1,1,,,,,1.38,1.15,1.15,
FF,2024-03-20,95.9,-1.68,5.48,"Simon, Ben",694974,815084,,ball,,,,,12,Colby Shade flies out to right fielder Brandon McIlwain.,S,R,R,MIA,NYM,B,,,1,1,2024,-0.85,1.29,1.14,2.54,,687859,,2,9,Bot,,,,,,,9.368492207794445,-139.3941426803173,-5.107523153515922,-13.074283944016765,29.923441545069263,-14.288932158563096,3.41,1.56,,,,96.1,2279,6.4,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.11,,,,,,,,81,3,4-Seam Fastball,3,6,3,6,6,3,3,6,Standard,Standard,217,0.0,0.039,,,,-0.039,,-3,-3,0.016,0.016,22,22,22,23,1,1,,,,,1.18,0.85,0.85,
FC,2024-03-20,84.4,-2.08,5.1,"Simon, Ben",694974,815084,,ball,,,,,11,Colby Shade flies out to right fielder Brandon McIlwain.,S,R,R,MIA,NYM,B,,,0,1,2024,0.65,0.82,-0.22,3.85,,687859,,2,9,Bot,,,,,,,3.027166416937485,-122.87235064128744,1.8097738395684848,6.010341096793224,23.901909134903818,-24.46944464788286,3.45,1.65,,,,84.2,2351,6.1,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.4,,,,,,,,81,2,Cutter,3,6,3,6,6,3,3,6,Standard,Standard,68,0.0,0.012,,,,-0.012,,-3,-3,0.016,0.016,22,22,22,23,1,1,,,,,2.38,-0.65,-0.65,
SL,2024-03-20,82.2,-2.06,5.17,"Simon, Ben",694974,815084,,called_strike,,,,,2,Colby Shade flies out to right fielder Brandon McIlwain.,S,R,R,MIA,NYM,S,,,0,0,2024,0.57,-0.01,-0.13,3.53,,687859,,2,9,Bot,,,,,,,3.2762801928587955,-119.77617204804604,2.7418712404335404,4.94279676216414,20.70276092342537,-32.92625343723198,3.54,1.72,,,,82.3,2342,6.1,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.43,,,,,,,,81,1,Slider,3,6,3,6,6,3,3,6,Standard,Standard,77,0.0,-0.04,,,,0.04,,-3,-3,0.016,0.016,22,22,22,23,1,1,,,,,3.34,-0.57,-0.57,
SI,2024-03-20,95.5,-1.24,5.89,"Moreno, Luis",694974,691032,walk,ball,,,,,14,Colby Shade walks.,S,R,R,MIA,NYM,B,,,3,2,2024,-1.19,0.59,1.94,1.57,,,,0,8,Bot,,,,,,,11.00367770489011,-138.69958663334793,-7.089867548391058,-17.726860744430997,27.39654811824861,-23.168821053060952,3.43,1.61,,,,95.5,2370,6.1,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.39,,,0.7,,0,0,,68,7,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,225,0.078,0.371,,,,-0.371,,-2,-2,0.156,0.156,25,22,25,23,1,0,,,,,1.9,1.19,1.19,
SI,2024-03-20,95.3,-1.37,6.0,"Moreno, Luis",694974,691032,,foul,,,,,5,Colby Shade walks.,S,R,R,MIA,NYM,S,,,3,2,2024,-1.15,0.59,-0.24,2.67,,,,0,8,Bot,,,,,,,5.553700328538297,-138.72244604776435,-4.414065163607055,-16.15188999736408,30.790065242125888,-23.753580464105585,3.25,1.64,,,,94.9,2332,6.0,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.49,,,,,,,,68,6,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,220,0.0,0.0,,,,0.0,,-2,-2,0.156,0.156,25,22,25,23,1,0,,,,,1.92,1.15,1.15,
SL,2024-03-20,84.9,-1.65,5.74,"Moreno, Luis",694974,691032,,ball,,,,,12,Colby Shade walks.,S,R,R,MIA,NYM,B,,,2,2,2024,0.35,-0.41,1.61,3.24,,,,0,8,Bot,,,,,,,6.8917241844910295,-123.55535480995938,1.1994184686076568,2.450366641897526,21.48437107104181,-36.84727392961231,3.32,1.54,,,,84.9,2598,6.0,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.51,,,,,,,,68,5,Slider,3,5,3,5,5,3,3,5,Standard,Standard,49,0.0,0.107,,,,-0.107,,-2,-2,0.156,0.156,25,22,25,23,1,0,,,,,3.54,-0.35,-0.35,
SI,2024-03-20,94.8,-1.43,6.01,"Moreno, Luis",694974,691032,,ball,,,,,14,Colby Shade walks.,S,R,R,MIA,NYM,B,,,1,2,2024,-1.0,0.36,1.34,2.02,,,,0,8,Bot,,,,,,,9.356549927133363,-137.74881177980745,-5.560938138726652,-14.737481192838302,28.75990654763185,-26.49302788088347,3.5,1.52,,,,94.2,2333,5.9,747888,663584,679545,692944,682239,696281,666126,684519,666140,54.65,,,,,,,,68,4,Sinker,3,5,3,5,5,3,3,5,Standard,Standard,220,0.0,0.04,,,,-0.04,,-2,-2,0.156,0.156,25,22,25,23,1,0,,,,,2.17,1.0,1.0,
