pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,94.2,-2.71,5.76,"Soroka, Michael",693307,647336,strikeout,swinging_strike,,,,,12,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,S,2,,2,2,2024,-0.6,1.26,0.33,3.81,,,,1,8,Bot,,,,,,,9.125218392697198,-136.93694102186657,-2.1479099548539025,-9.525872743344262,29.82306161316847,-15.97158410814753,3.52,1.61,,,,93.5,2552,5.9,746414,642020,683734,672820,678246,676070,643217,666150,676113,54.62,,0.0,0.0,1,0,0,,60,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,219,-0.008,-0.225,68.9,6.3,,0.225,,-4,-4,0.025,0.025,26,25,27,26,1,2,3,3,,,1.31,0.6,0.6,34.1
FF,2024-09-28,94.5,-2.72,5.67,"Soroka, Michael",693307,647336,,ball,,,,,12,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,B,,,1,2,2024,-0.33,1.24,0.94,4.6,,,,1,8,Bot,,,,,,,10.228407824927432,-137.33838559406212,0.1278951974579335,-6.397602021392583,28.88346069411511,-16.666643361322382,3.54,1.6,,,,94.1,2611,6.0,746414,642020,683734,672820,678246,676070,643217,666150,676113,54.46,,,,,,,,60,4,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,214,0.0,0.043,,,,-0.043,,-4,-4,0.025,0.025,26,25,27,26,1,2,3,3,,,1.31,0.33,0.33,33.2
SL,2024-09-28,80.3,-2.64,5.96,"Soroka, Michael",693307,647336,,foul,,,,,14,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,S,,,1,1,2024,0.61,-0.75,0.32,1.14,,,,1,8,Bot,,,,,,,5.361862094219197,-116.88576999518462,-2.5072798008124915,4.432492495776102,23.749658070884777,-38.709064383854994,3.52,1.61,3,78.5,-20,79.5,2959,5.9,746414,642020,683734,672820,678246,676070,643217,666150,676113,54.58,,,,,,,,60,3,Slider,0,4,0,4,4,0,0,4,Standard,Standard,49,0.0,-0.061,68.5,8.3,,0.061,88.0,-4,-4,0.025,0.025,26,25,27,26,1,2,3,3,,,4.3,-0.61,-0.61,37.0
SL,2024-09-28,81.6,-2.55,5.79,"Soroka, Michael",693307,647336,,ball,,,,,14,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,B,,,0,1,2024,0.33,-0.25,2.16,1.2,,,,1,8,Bot,,,,,,,9.917366576620209,-118.51869771881046,-3.258081680126448,1.27144178616402,22.434680673803324,-34.069823734635,3.51,1.55,,,,81.2,2846,6.1,746414,642020,683734,672820,678246,676070,643217,666150,676113,54.41,,,,,,,,60,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,49,0.0,0.024,,,,-0.024,,-4,-4,0.025,0.025,26,25,27,26,1,2,3,3,,,3.68,-0.33,-0.33,35.2
FF,2024-09-28,93.3,-2.68,5.67,"Soroka, Michael",693307,647336,,called_strike,,,,,5,Dillon Dingler strikes out swinging.,R,R,R,DET,CWS,S,,,0,0,2024,-0.9,1.28,0.17,2.56,,,,1,8,Bot,,,,,,,9.279933380268874,-135.56759365677,-5.039704839375572,-13.169268163770916,29.24842604628431,-15.419638476856289,3.54,1.62,,,,92.9,2561,6.1,746414,642020,683734,672820,678246,676070,643217,666150,676113,54.42,,,,,,,,60,1,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,219,0.0,-0.037,,,,0.037,,-4,-4,0.025,0.025,26,25,27,26,1,2,3,3,,,1.34,0.9,0.9,40.4
SL,2024-09-28,84.8,-2.34,5.88,"Burke, Sean",693307,680732,double,hit_into_play,,,,,14,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,X,,ground_ball,3,1,2024,0.47,0.42,0.31,1.2,,,,2,5,Bot,74.43,155.71,,,,,5.329632271948801,-123.45913454112562,-5.566753401447284,3.822130672756934,22.48711659191169,-26.97742333144689,3.52,1.61,120,81.7,13,86.2,2299,7.0,746414,642020,683734,672820,678246,676070,643217,666150,676113,53.55,0.709,0.662,1.25,1,1,1,4,37,5,Slider,0,1,0,1,1,0,0,1,Standard,Standard,183,0.035,0.456,70.3,8.6,0.794,-0.456,88.0,-1,-1,0.349,0.349,24,25,25,26,2,1,6,3,,,2.72,-0.47,-0.47,39.2
CU,2024-09-28,79.0,-2.13,6.04,"Burke, Sean",693307,680732,,ball,,,,,14,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,B,,,2,1,2024,0.58,-1.12,0.58,0.41,,,,2,5,Bot,,,,,,,4.875579066843956,-114.90098114151589,-3.3694594194255982,4.208713699163383,22.196642660667,-41.61467962894374,3.59,1.64,,,,79.7,2463,6.9,746414,642020,683734,672820,678246,676070,643217,666150,676113,53.63,,,,,,,,37,4,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,27,0.0,0.112,,,,-0.112,,-1,-1,0.349,0.349,24,25,25,26,2,1,6,3,,,4.79,-0.58,-0.58,43.6
FF,2024-09-28,94.8,-2.09,6.12,"Burke, Sean",693307,680732,,ball,,,,,12,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,B,,,1,1,2024,-0.63,1.54,0.23,4.16,,,,2,5,Bot,,,,,,,7.553106436385682,-137.89012081087537,-2.9171444327699017,-9.696492586553008,30.826299704654748,-12.076630163204218,3.59,1.7,,,,95.8,2575,6.9,746414,642020,683734,672820,678246,676070,643217,666150,676113,53.58,,,,,,,,37,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,206,0.0,0.058,,,,-0.058,,-1,-1,0.349,0.349,24,25,25,26,2,1,6,3,,,1.0,0.63,0.63,43.3
FF,2024-09-28,94.2,-2.07,6.09,"Burke, Sean",693307,680732,,foul,,,,,6,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,S,,,1,0,2024,-0.43,1.51,0.59,2.8,,,,2,5,Bot,,,,,,,7.949300258700106,-136.95019690916715,-6.272208796182951,-7.110840747634016,28.69279806171661,-11.880105186128777,3.52,1.61,236,81.9,56,95.4,2535,6.9,746414,642020,683734,672820,678246,676070,643217,666150,676113,53.57,,,,,,,,37,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,201,0.0,-0.051,69.9,7.8,,0.051,88.0,-1,-1,0.349,0.349,24,25,25,26,2,1,6,3,,,1.05,0.43,0.43,43.8
SL,2024-09-28,86.5,-2.42,5.79,"Burke, Sean",693307,680732,,ball,,,,,14,Dillon Dingler hits a ground-rule double (5) on a ground ball down the left-field line.,R,R,R,DET,CWS,B,,,0,0,2024,0.39,0.69,1.26,-0.88,,,,2,5,Bot,,,,,,,8.06044023725453,-125.4325157258652,-11.184903558946498,2.49952825116484,25.10536822152316,-22.79105958548493,3.51,1.64,,,,87.4,2441,7.0,746414,642020,683734,672820,678246,676070,643217,666150,676113,53.49,,,,,,,,37,1,Slider,0,1,0,1,1,0,0,1,Standard,Standard,211,0.0,0.04,,,,-0.04,,-1,-1,0.349,0.349,24,25,25,26,2,1,6,3,,,2.38,-0.39,-0.39,45.5
