pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-07-05,89.7,2.16,6.17,"Steele, Justin",593934,657006,field_out,hit_into_play,,,,,4,"Miguel Sanó grounds out, third baseman Miles Mastrobuoni to first baseman Michael Busch.",R,R,L,CHC,LAA,X,5,ground_ball,1,0,2024,-0.17,0.87,-0.35,2.6,,,,1,7,Top,100.47,162.91,,,,,-5.85861852182059,-130.64302741253053,-4.761954545220616,-0.8579231029658446,24.256795453727833,-21.43256303526424,3.68,1.74,5,83.2,-28,90.3,2318,6.3,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.16,0.051,0.049,0.0,1,0,0,2,54,2,4-Seam Fastball,5,1,1,5,1,5,1,5,Standard,Standard,167,0.009,-0.295,76.2,7.2,0.062,0.295,88.0,4,-4,0.961,0.039,28,31,29,31,3,2,6,1,6,,1.93,-0.17,0.17,46.2
SL,2024-07-05,79.4,2.3,6.31,"Steele, Justin",593934,657006,,ball,,,,,12,"Miguel Sanó grounds out, third baseman Miles Mastrobuoni to first baseman Michael Busch.",R,R,L,CHC,LAA,B,,,0,0,2024,-1.15,0.46,0.23,4.14,,,,1,7,Top,,,,,,,-2.3662620754871093,-115.75103935305523,1.0862226529483543,-9.963836918386196,20.72129888857488,-28.39400342157031,3.83,1.71,,,,79.2,2585,6.0,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.53,,,,,,,,54,1,Slider,5,1,1,5,1,5,1,5,Standard,Standard,300,0.0,0.039,,,,-0.039,,4,-4,0.961,0.039,28,31,29,31,3,2,6,1,6,,3.13,-1.15,1.15,51.1
SL,2024-07-05,81.7,2.07,6.2,"Steele, Justin",593934,657006,field_out,hit_into_play,,,,,5,Miguel Sanó lines out to shortstop Dansby Swanson.,R,R,L,CHC,LAA,X,6,line_drive,1,1,2024,-1.2,0.08,-0.25,2.45,,,,0,5,Top,98.54,144.21,,,,,-2.904149519608038,-118.98919242180509,-2.0192556842947647,-10.832709463056846,22.70182072275587,-31.237174609317023,3.68,1.74,158,83.8,14,81.5,2612,6.1,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.37,0.886,0.864,0.0,1,0,0,4,35,3,Slider,3,0,0,3,0,3,0,3,Standard,Standard,303,0.022,-0.243,79.5,8.1,1.082,0.243,88.0,3,-3,0.846,0.154,28,31,29,31,2,1,6,1,6,,3.33,-1.2,1.2,46.9
FF,2024-07-05,90.2,1.95,6.25,"Steele, Justin",593934,657006,,ball,,,,,1,Miguel Sanó lines out to shortstop Dansby Swanson.,R,R,L,CHC,LAA,B,,,0,1,2024,-0.12,0.85,-0.45,3.82,,,,0,5,Top,,,,,,,-5.678170489334839,-131.33052779304822,-1.9096854504720449,-0.2576551249838482,26.778701365665498,-22.157342006669744,3.84,1.84,,,,90.1,2384,6.1,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.37,,,,,,,,35,2,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,168,0.0,0.025,,,,-0.025,,3,-3,0.846,0.154,28,31,29,31,2,1,6,1,6,,1.94,-0.12,0.12,46.9
SL,2024-07-05,81.3,2.09,6.25,"Steele, Justin",593934,657006,,called_strike,,,,,5,Miguel Sanó lines out to shortstop Dansby Swanson.,R,R,L,CHC,LAA,S,,,0,0,2024,-0.83,0.19,0.12,2.76,,,,0,5,Top,,,,,,,-2.8186038335383437,-118.380416581172,-1.587569390375804,-7.312110048721188,22.654946007570803,-30.31807772873637,3.81,1.7,,,,81.1,2554,6.1,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.41,,,,,,,,35,1,Slider,3,0,0,3,0,3,0,3,Standard,Standard,300,0.0,-0.037,,,,0.037,,3,-3,0.846,0.154,28,31,29,31,2,1,6,1,6,,3.26,-0.83,0.83,47.3
SL,2024-07-05,83.6,2.23,6.14,"Steele, Justin",593934,657006,strikeout,swinging_strike,,,,,13,Miguel Sanó strikes out swinging.,R,R,L,CHC,LAA,S,2,,2,2,2024,-1.04,0.03,-0.93,1.08,,,,2,2,Top,,,,,,,-5.225932993270179,-121.72064761739117,-5.347738983851662,-9.486077780347816,21.938183024625513,-31.06490938553894,3.68,1.74,,,,83.8,2773,6.2,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.26,,0.0,0.0,1,0,0,,14,5,Slider,2,0,0,2,0,2,0,2,Standard,Standard,307,0.009,-0.219,42.5,7.8,,0.219,,2,-2,0.745,0.255,28,31,29,31,1,0,6,1,6,,3.2,-1.04,1.04,46.0
SL,2024-07-05,84.2,2.19,6.26,"Steele, Justin",593934,657006,,swinging_strike,,,,,8,Miguel Sanó strikes out swinging.,R,R,L,CHC,LAA,S,,,2,1,2024,-0.98,0.04,-0.09,1.63,,,,2,2,Top,,,,,,,-3.3478227687222377,-122.595618197436,-4.48769397473752,-9.295928270052222,22.537084525642157,-31.1174074716539,3.68,1.74,,,,84.3,2872,6.2,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.33,,,,,,,,14,4,Slider,2,0,0,2,0,2,0,2,Standard,Standard,304,0.0,-0.084,74.0,8.8,,0.084,,2,-2,0.745,0.255,28,31,29,31,1,0,6,1,6,,3.15,-0.98,0.98,47.6
SL,2024-07-05,83.5,2.22,6.16,"Steele, Justin",593934,657006,,ball,,,,,13,Miguel Sanó strikes out swinging.,R,R,L,CHC,LAA,B,,,1,1,2024,-1.06,0.12,-0.14,1.55,,,,2,2,Top,,,,,,,-3.3244072890006553,-121.58640008930468,-4.463508005700687,-9.998566627148074,21.844920188250516,-30.316961963687255,3.84,1.78,,,,83.7,2778,6.2,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.29,,,,,,,,14,3,Slider,2,0,0,2,0,2,0,2,Standard,Standard,298,0.0,0.058,,,,-0.058,,2,-2,0.745,0.255,28,31,29,31,1,0,6,1,6,,3.12,-1.06,1.06,45.9
FF,2024-07-05,92.1,2.18,6.13,"Steele, Justin",593934,657006,,foul,,,,,5,Miguel Sanó strikes out swinging.,R,R,L,CHC,LAA,S,,,1,0,2024,0.02,1.13,-0.01,2.45,,,,2,2,Top,,,,,,,-5.600980515125719,-134.05741219847062,-6.056798261215991,1.3085549272644794,24.350038194018776,-17.39554100304662,3.68,1.74,212,73.4,52,92.7,2426,6.3,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.24,,,,,,,,14,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,157,0.0,-0.051,79.4,7.7,,0.051,88.0,2,-2,0.745,0.255,28,31,29,31,1,0,6,1,6,,1.52,0.02,-0.02,45.7
FF,2024-07-05,90.3,2.2,6.21,"Steele, Justin",593934,657006,,ball,,,,,1,Miguel Sanó strikes out swinging.,R,R,L,CHC,LAA,B,,,0,0,2024,-0.24,0.9,-0.66,3.7,,,,2,2,Top,,,,,,,-6.628489446570102,-131.54245389544462,-2.3291854859759233,-1.6270682311396778,22.889667106446595,-21.360816985148297,3.84,1.73,,,,91.0,2453,6.3,746859,621512,683737,663538,670156,621020,664023,641355,673548,54.22,,,,,,,,14,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,153,0.0,0.04,,,,-0.04,,2,-2,0.745,0.255,28,31,29,31,1,0,6,1,6,,1.85,-0.24,0.24,47.3
SI,2024-07-04,98.7,-2.2,6.03,"Erceg, Lucas",593934,668674,field_out,hit_into_play,,,,,4,"Miguel Sanó grounds out, shortstop Max Schuemann to first baseman Tyler Soderstrom.",R,R,R,OAK,LAA,X,6,ground_ball,1,0,2024,-1.5,0.86,-0.46,2.69,,,,1,8,Top,111.67,152.93,,,,,8.244289614892846,-143.4068805309896,-5.616804055620031,-22.571788747080497,35.004541564327184,-19.12343840829767,3.67,1.74,3,76.4,-37,98.7,1970,6.5,745641,668832,691016,680869,695391,680474,609280,668709,671732,53.99,0.051,0.059,0.0,1,0,0,2,62,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,228,0.007,-0.295,79.5,7.1,0.051,0.295,88.0,4,-4,0.98,0.02,29,31,29,31,1,3,2,4,3,1,1.49,1.5,1.5,43.5
SI,2024-07-04,99.4,-2.02,6.04,"Erceg, Lucas",593934,668674,,ball,,,,,14,"Miguel Sanó grounds out, shortstop Max Schuemann to first baseman Tyler Soderstrom.",R,R,R,OAK,LAA,B,,,0,0,2024,-1.15,1.08,1.24,1.61,,,,1,8,Top,,,,,,,11.665850118101726,-144.0866096277215,-9.31920585275596,-18.594478530303185,30.43272122872802,-15.100345703642333,3.84,1.87,,,,100.1,2009,6.7,745641,668832,691016,680869,695391,680474,609280,668709,671732,53.84,,,,,,,,62,1,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,224,0.0,0.039,,,,-0.039,,4,-4,0.98,0.02,29,31,29,31,1,3,2,4,3,1,1.23,1.15,1.15,45.1
