pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-25,,,,"Svanson, Matt",689047,694335,field_out,hit_into_play,,,,,,Jacob Wetzel flies out to center fielder Michael Siani.,S,L,R,CHC,STL,X,8,fly_ball,2,0,2024,,,,,,,,2,9,Bot,123.4,71.05,,,,,,,,,,,,,,,,,,,748338,686780,689750,665877,694271,695336,701675,672279,690443,,,,0.0,,0,0,,74,3,,3,6,3,6,6,3,3,6,,,,-0.005,-0.363,,,,0.363,,-3,-3,0.005,0.005,25,24,25,24,1,0,,,,,,,,
,2024-03-25,,,,"Svanson, Matt",689047,694335,,ball,,,,,,Jacob Wetzel flies out to center fielder Michael Siani.,S,L,R,CHC,STL,B,,,1,0,2024,,,,,,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,748338,686780,689750,665877,694271,695336,701675,672279,690443,,,,,,,,,74,2,,3,6,3,6,6,3,3,6,,,,0.0,0.068,,,,-0.068,,-3,-3,0.005,0.005,25,24,25,24,1,0,,,,,,,,
,2024-03-25,,,,"Svanson, Matt",689047,694335,,ball,,,,,,Jacob Wetzel flies out to center fielder Michael Siani.,S,L,R,CHC,STL,B,,,0,0,2024,,,,,,,,2,9,Bot,,,,,,,,,,,,,,,,,,,,,748338,686780,689750,665877,694271,695336,701675,672279,690443,,,,,,,,,74,1,,3,6,3,6,6,3,3,6,,,,0.0,0.04,,,,-0.04,,-3,-3,0.005,0.005,25,24,25,24,1,0,,,,,,,,
,2024-03-23,,,,"Myers, Tobias",689047,668964,strikeout,called_strike,,,,,,Jacob Wetzel called out on strikes.,S,L,R,CHC,MIL,S,2,,1,2,2024,,,,,681868,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747830,671272,702726,687401,686554,687521,677578,676896,694192,,,,0.0,,0,0,,65,4,,2,6,2,6,6,2,2,6,,,,-0.026,-0.318,,,,0.318,,-4,-4,0.051,0.051,25,24,26,24,1,0,,,,,,,,
,2024-03-23,,,,"Myers, Tobias",689047,668964,,ball,,,,,,Jacob Wetzel called out on strikes.,S,L,R,CHC,MIL,B,,,0,2,2024,,,,,681868,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747830,671272,702726,687401,686554,687521,677578,676896,694192,,,,,,,,,65,3,,2,6,2,6,6,2,2,6,,,,0.0,0.01,,,,-0.01,,-4,-4,0.051,0.051,25,24,26,24,1,0,,,,,,,,
,2024-03-23,,,,"Myers, Tobias",689047,668964,,foul,,,,,,Jacob Wetzel called out on strikes.,S,L,R,CHC,MIL,S,,,0,1,2024,,,,,681868,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747830,671272,702726,687401,686554,687521,677578,676896,694192,,,,,,,,,65,2,,2,6,2,6,6,2,2,6,,,,0.0,-0.1,,,,0.1,,-4,-4,0.051,0.051,25,24,26,24,1,0,,,,,,,,
,2024-03-23,,,,"Myers, Tobias",689047,668964,,swinging_strike,,,,,,Jacob Wetzel called out on strikes.,S,L,R,CHC,MIL,S,,,0,0,2024,,,,,681868,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747830,671272,702726,687401,686554,687521,677578,676896,694192,,,,,,,,,65,1,,2,6,2,6,6,2,2,6,,,,0.0,-0.049,,,,0.049,,-4,-4,0.051,0.051,25,24,26,24,1,0,,,,,,,,
FF,2024-03-21,98.9,-1.77,5.65,"Vodnik, Victor",689047,680767,strikeout,swinging_strike,,,,,11,Jacob Wetzel strikes out swinging.,S,L,R,COL,CHC,S,2,,0,2,2024,-0.31,1.32,-0.24,4.12,,,,0,9,Top,,,,,,,4.909644552068685,-143.96910804150875,-1.8454216575555984,-5.456200349932285,32.66391639152501,-13.528954213573153,3.08,1.55,,,,99.4,2318,6.5,747869,680862,680693,663731,691720,679734,680683,605548,669911,53.98,,,0.0,,0,0,,61,3,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,202,0.058,-0.163,,,,0.163,,0,0,0.5,0.5,24,24,25,24,1,0,,,,,1.0,0.31,-0.31,
CH,2024-03-21,91.5,-2.45,4.93,"Vodnik, Victor",689047,680767,,called_strike,,,,,9,Jacob Wetzel strikes out swinging.,S,L,R,COL,CHC,S,,,0,1,2024,-1.28,0.02,0.39,1.94,,,,0,9,Top,,,,,,,10.00524473956808,-132.9528789974695,-1.7136869907972323,-17.361976924517354,27.854331506215868,-31.786990736541235,3.46,1.55,,,,92.1,1760,6.7,747869,680862,680693,663731,691720,679734,680683,605548,669911,53.82,,,,,,,,61,2,Changeup,2,2,2,2,2,2,2,2,Standard,Standard,243,0.0,-0.054,,,,0.054,,0,0,0.5,0.5,24,24,25,24,1,0,,,,,2.71,1.28,-1.28,
FF,2024-03-21,97.0,-2.02,5.52,"Vodnik, Victor",689047,680767,,swinging_strike,,,,,12,Jacob Wetzel strikes out swinging.,S,L,R,COL,CHC,S,,,0,0,2024,-0.47,1.12,0.46,3.72,,,,0,9,Top,,,,,,,7.786049912495029,-141.14728146094868,-1.8685574049770284,-8.00628468915864,31.540851334473864,-16.952407817234935,3.08,1.55,,,,97.8,2237,6.7,747869,680862,680693,663731,691720,679734,680683,605548,669911,53.8,,,,,,,,61,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,204,0.0,-0.037,,,,0.037,,0,0,0.5,0.5,24,24,25,24,1,0,,,,,1.3,0.47,-0.47,
