pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-09-29,83.7,-1.47,5.59,"Taylor, Troy",691016,700187,field_out,hit_into_play,,,,,2,Tyler Soderstrom flies out to center fielder Victor Robles.,R,L,R,SEA,OAK,X,8,fly_ball,2,1,2024,1.47,-0.34,-0.11,3.0,,,,0,9,Top,106.87,63.6,,,,,0.2294226064187081,-121.87106313499648,1.082183811858991,14.626562446488704,24.34587703599206,-36.03473397193822,3.42,1.6,339,91.7,31,82.2,2665,5.3,745201,641598,670042,660844,668942,664238,668227,645302,571745,55.19,0.069,0.098,0.0,1,0,0,3,66,4,Sweeper,6,2,2,6,2,6,2,6,Infield shade,Standard,48,0.008,-0.296,75.5,7.0,0.186,0.296,91.7,4,-4,0.987,0.013,22,22,23,23,1,3,2,1,,,3.6,-1.47,1.47,29.2
FF,2024-09-29,95.1,-1.44,5.56,"Taylor, Troy",691016,700187,,foul,,,,,7,Tyler Soderstrom flies out to center fielder Victor Robles.,R,L,R,SEA,OAK,S,,,2,0,2024,-1.57,0.77,-0.82,1.91,,,,0,9,Top,,,,,,,5.08413255180172,-138.2994307771554,-5.54779140522194,-21.282315873425127,33.505848903818496,-21.178418031337184,3.42,1.6,1,63.8,-59,93.7,2380,5.7,745201,641598,670042,660844,668942,664238,668227,645302,571745,54.79,,,,,,,,66,3,4-Seam Fastball,6,2,2,6,2,6,2,6,Infield shade,Standard,243,0.0,-0.065,71.7,7.7,,0.065,88.0,4,-4,0.987,0.013,22,22,23,23,1,3,2,1,,,1.77,1.57,-1.57,27.9
FF,2024-09-29,95.9,-1.42,5.59,"Taylor, Troy",691016,700187,,ball,,,,,13,Tyler Soderstrom flies out to center fielder Victor Robles.,R,L,R,SEA,OAK,B,,,1,0,2024,-1.53,1.03,-0.24,1.43,,,,0,9,Top,,,,,,,6.533669690585834,-139.27540165154468,-7.595355025178047,-21.35833311385328,34.46751637764402,-17.21986436386955,3.51,1.62,,,,94.8,2407,6.0,745201,641598,670042,660844,668942,664238,668227,645302,571745,54.54,,,,,,,,66,2,4-Seam Fastball,6,2,2,6,2,6,2,6,Infield shade,Standard,238,0.0,0.069,,,,-0.069,,4,-4,0.987,0.013,22,22,23,23,1,3,2,1,,,1.48,1.53,-1.53,29.4
ST,2024-09-29,83.6,-1.56,5.59,"Taylor, Troy",691016,700187,,ball,,,,,13,Tyler Soderstrom flies out to center fielder Victor Robles.,R,L,R,SEA,OAK,B,,,0,0,2024,1.21,-0.42,-1.08,2.3,,,,0,9,Top,,,,,,,-1.2566452116664677,-121.7029465095911,-0.2938961462545202,12.223269320999709,25.720623789494496,-36.48448048225397,3.54,1.62,,,,81.9,2651,5.3,745201,641598,670042,660844,668942,664238,668227,645302,571745,55.22,,,,,,,,66,1,Sweeper,6,2,2,6,2,6,2,6,Infield shade,Standard,52,0.0,0.038,,,,-0.038,,4,-4,0.987,0.013,22,22,23,23,1,3,2,1,,,3.7,-1.21,1.21,29.9
SI,2024-09-29,91.5,1.64,5.25,"Speier, Gabe",691016,642100,single,hit_into_play,,,,,3,Tyler Soderstrom singles on a ground ball to left fielder Randy Arozarena.,R,L,L,SEA,OAK,X,7,ground_ball,1,0,2024,1.39,0.64,0.63,3.05,,,,1,7,Top,67.35,128.7,,,,,-5.484097644684659,-133.24932827676056,-1.0782355825176893,17.694793686952735,28.05508698307869,-24.55012244080035,3.42,1.6,92,71.2,6,90.7,1945,5.7,745201,663728,670042,593871,668942,660844,668227,664238,645302,54.8,0.177,0.158,0.9,1,1,0,2,50,2,Sinker,6,0,0,6,0,6,0,6,Infield shade,Standard,135,-0.005,0.383,67.0,5.5,0.202,-0.383,88.0,6,-6,0.991,0.009,29,22,29,23,1,2,2,1,,,2.08,1.39,1.39,26.8
SI,2024-09-29,92.0,1.51,5.23,"Speier, Gabe",691016,642100,,ball,,,,,13,Tyler Soderstrom singles on a ground ball to left fielder Randy Arozarena.,R,L,L,SEA,OAK,B,,,0,0,2024,1.49,0.45,-0.33,1.04,,,,1,7,Top,,,,,,,-7.822437726546136,-133.75213489069543,-5.72535680199293,19.525735002099424,28.308969498947334,-25.72255378744436,3.6,1.66,,,,91.3,2035,5.9,745201,663728,670042,593871,668942,660844,668227,664238,645302,54.63,,,,,,,,50,1,Sinker,6,0,0,6,0,6,0,6,Infield shade,Standard,135,0.0,0.039,,,,-0.039,,6,-6,0.991,0.009,29,22,29,23,1,2,2,1,,,2.24,1.49,1.49,27.2
SL,2024-09-29,89.2,-1.15,5.81,"Gilbert, Logan",691016,669302,strikeout,swinging_strike,,,,,1,Tyler Soderstrom strikes out swinging.,R,L,R,SEA,OAK,S,2,,3,2,2024,0.16,0.09,-0.44,3.07,,,,2,4,Top,,,,,,,1.451859879507381,-129.92637449513973,-0.8705229334260748,1.4849618644574882,29.353125628449703,-31.151220841140447,3.42,1.6,,,,90.9,1962,7.4,745201,663728,670042,593871,668942,641487,668227,677594,645302,53.07,,0.0,0.0,1,0,0,,22,6,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,70,0.013,-0.325,77.9,7.1,,0.325,,0,0,0.546,0.454,27,22,27,23,2,1,5,1,,,2.78,-0.16,0.16,43.0
SL,2024-09-29,89.7,-1.0,5.72,"Gilbert, Logan",691016,669302,,swinging_strike,,,,,9,Tyler Soderstrom strikes out swinging.,R,L,R,SEA,OAK,S,,,3,1,2024,0.19,0.12,0.5,1.78,,,,2,4,Top,,,,,,,3.3695799473024093,-130.49111049478722,-3.995417417981808,1.4069629015453176,30.51973047024715,-30.168738702002376,3.42,1.6,,,,91.1,1889,7.4,745201,663728,670042,593871,668942,641487,668227,677594,645302,53.08,,,,,,,,22,5,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,144,0.0,-0.089,72.2,9.3,,0.089,,0,0,0.546,0.454,27,22,27,23,2,1,5,1,,,2.75,-0.19,0.19,43.6
CU,2024-09-29,87.2,-1.04,5.81,"Gilbert, Logan",691016,669302,,ball,,,,,14,Tyler Soderstrom strikes out swinging.,R,L,R,SEA,OAK,B,,,2,1,2024,1.05,-0.09,0.85,0.54,,,,2,4,Top,,,,,,,2.441249183852876,-126.89522114809684,-6.420750953969424,10.835331826964392,25.652055992652656,-32.091497927323175,3.47,1.63,,,,88.8,2159,7.2,745201,663728,670042,593871,668942,641487,668227,677594,645302,53.28,,,,,,,,22,4,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,41,0.0,0.112,,,,-0.112,,0,0,0.546,0.454,27,22,27,23,2,1,5,1,,,3.09,-1.05,1.05,45.8
SL,2024-09-29,91.9,-1.03,5.71,"Gilbert, Logan",691016,669302,,ball,,,,,14,Tyler Soderstrom strikes out swinging.,R,L,R,SEA,OAK,B,,,1,1,2024,0.25,0.3,0.95,0.86,,,,2,4,Top,,,,,,,4.586204199839192,-133.600430897958,-7.181551513281637,1.960025318860774,29.92795835670978,-27.18996178725373,3.35,1.61,,,,93.7,1758,7.5,745201,663728,670042,593871,668942,641487,668227,677594,645302,53.03,,,,,,,,22,3,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,247,0.0,0.058,,,,-0.058,,0,0,0.546,0.454,27,22,27,23,2,1,5,1,,,2.41,-0.25,0.25,41.0
