pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-22,,,,"Tinoco, Jesus",691277,622786,field_out,hit_into_play,,,,,,Deyvison De Los Santos flies out to left fielder Geisel Cepeda.,S,R,R,CLE,TEX,X,7,fly_ball,0,0,2024,,,,,,,669384,2,8,Bot,73.04,105.38,,,,,,,,,,,,,,,,,,,747849,663727,677049,695508,701295,806964,808206,686863,687526,,,,0.0,,0,0,,67,1,,10,0,10,0,0,10,10,0,,,,0.0,-0.271,,,,0.271,,10,10,1.0,1.0,29,21,29,21,1,1,,,,,,,,
,2024-03-22,,,,"Sborz, Josh",691277,622250,field_out,hit_into_play,,,,,,Deyvison De Los Santos flies out to right fielder Jose Barrero.,S,R,R,CLE,TEX,X,9,fly_ball,0,0,2024,,,,,,,,0,6,Bot,194.95,100.8,,,,,,,,,,,,,,,,,,,747849,668800,665120,679822,669413,806964,656537,686863,676480,,,,0.0,,0,0,,51,1,,10,0,10,0,0,10,10,0,,,,0.0,-0.254,,,,0.254,,10,10,0.999,0.999,30,21,31,21,1,0,,,,,,,,
,2024-03-19,,,,"Koenig, Jared",691277,657649,field_out,hit_into_play,,,,,,Deyvison De Los Santos lines out to left fielder Blake Perkins.,S,R,L,CLE,MIL,X,7,line_drive,0,0,2024,,,,,,,,0,9,Bot,83.58,91.46,,,,,,,,,,,,,,,,,,,747890,606992,672012,624414,686554,668930,663368,669003,686217,,,,0.0,,0,0,,74,1,,5,8,5,8,8,5,5,8,,,,-0.021,-0.254,,,,0.254,,-3,-3,0.038,0.038,30,21,30,21,1,3,,,,,,,,
,2024-03-19,,,,"Paredes, Enoli",691277,660600,strikeout,swinging_strike,,,,,,Deyvison De Los Santos strikes out swinging.,S,R,R,CLE,MIL,S,2,,0,2,2024,,,,,,,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,747890,596142,672012,624414,686554,668930,663368,669003,686217,,,,0.0,,0,0,,52,3,,5,5,5,5,5,5,5,5,,,,-0.024,-0.162,,,,0.162,,0,0,0.541,0.541,28,21,29,21,1,2,,,,,,,,
,2024-03-19,,,,"Paredes, Enoli",691277,660600,,swinging_strike,,,,,,Deyvison De Los Santos strikes out swinging.,S,R,R,CLE,MIL,S,,,0,1,2024,,,,,,,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,747890,596142,672012,624414,686554,668930,663368,669003,686217,,,,,,,,,52,2,,5,5,5,5,5,5,5,5,,,,0.0,-0.057,,,,0.057,,0,0,0.541,0.541,28,21,29,21,1,2,,,,,,,,
,2024-03-19,,,,"Paredes, Enoli",691277,660600,,swinging_strike,,,,,,Deyvison De Los Santos strikes out swinging.,S,R,R,CLE,MIL,S,,,0,0,2024,,,,,,,,1,6,Bot,,,,,,,,,,,,,,,,,,,,,747890,596142,672012,624414,686554,668930,663368,669003,686217,,,,,,,,,52,1,,5,5,5,5,5,5,5,5,,,,0.0,-0.037,,,,0.037,,0,0,0.541,0.541,28,21,29,21,1,2,,,,,,,,
,2024-03-19,,,,"Rea, Colin",691277,607067,force_out,hit_into_play,,,,,,"Deyvison De Los Santos grounds into a force out, shortstop Willy Adames to second baseman Joey Ortiz.   Myles Straw to 3rd.    Brayan Rocchio out at 2nd.    Deyvison De Los Santos to 1st.",S,R,R,CLE,MIL,X,6,ground_ball,0,0,2024,,,,,,664702,677587,0,4,Bot,109.43,152.8,,,,,,,,,,,,,,,,,,,747890,596142,641343,687401,655316,642715,663368,669003,686217,,,,0.0,,0,0,,34,1,,3,3,3,3,3,3,3,3,,,,-0.025,-0.316,,,,0.316,,0,0,0.663,0.663,33,21,34,21,2,1,,,,,,,,
,2024-03-19,,,,"Rea, Colin",691277,607067,strikeout,swinging_strike,,,,,,Deyvison De Los Santos strikes out swinging.,S,R,R,CLE,MIL,S,2,,0,2,2024,,,,,,677587,,1,2,Bot,,,,,,,,,,,,,,,,,,,,,747890,596142,641343,687401,655316,642715,663368,669003,686217,,,,0.0,,0,0,,16,3,,2,0,2,0,0,2,2,0,,,,-0.024,-0.174,,,,0.174,,2,2,0.768,0.768,33,21,34,21,1,0,,,,,,,,
,2024-03-19,,,,"Rea, Colin",691277,607067,,swinging_strike,,,,,,Deyvison De Los Santos strikes out swinging.,S,R,R,CLE,MIL,S,,,0,1,2024,,,,,,677587,,1,2,Bot,,,,,,,,,,,,,,,,,,,,,747890,596142,641343,687401,655316,642715,663368,669003,686217,,,,,,,,,16,2,,2,0,2,0,0,2,2,0,,,,0.0,-0.065,,,,0.065,,2,2,0.768,0.768,33,21,34,21,1,0,,,,,,,,
,2024-03-19,,,,"Rea, Colin",691277,607067,,swinging_strike,,,,,,Deyvison De Los Santos strikes out swinging.,S,R,R,CLE,MIL,S,,,0,0,2024,,,,,,677587,,1,2,Bot,,,,,,,,,,,,,,,,,,,,,747890,596142,641343,687401,655316,642715,663368,669003,686217,,,,,,,,,16,1,,2,0,2,0,0,2,2,0,,,,0.0,-0.036,,,,0.036,,2,2,0.768,0.768,33,21,34,21,1,0,,,,,,,,
