pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2024-06-09,84.2,-2.02,6.34,"Walker, Taijuan",683146,592836,field_out,hit_into_play,,,,,1,"Brett Baty grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",R,L,R,PHI,NYM,X,6,ground_ball,2,1,2024,-0.7,-0.1,-0.44,3.03,,,,0,6,Top,121.0,146.14,,,,,5.054958482539113,-122.57663732373597,-1.1082153030611823,-8.064879535788577,24.576704022268153,-33.204138858576506,3.55,1.65,36,94.6,-2,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,0.323,0.296,0.0,1,0,0,2,41,4,Split-Finger,3,0,0,3,0,3,0,3,,,,0.023,-0.296,,,0.347,0.296,94.6,3,-3,0.872,0.128,31,24,32,25,2,1,7,10,6,,3.32,0.7,-0.7,
FS,2024-06-09,84.9,-2.03,6.29,"Walker, Taijuan",683146,592836,,ball,,,,,8,"Brett Baty grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",R,L,R,PHI,NYM,B,,,1,1,2024,-0.88,0.09,0.27,1.69,,,,0,6,Top,,,,,,,7.131341632437412,-123.31630272823236,-4.553451752415427,-10.400402779850006,25.785311629119708,-30.521379131510397,3.55,1.65,,,,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,41,3,Split-Finger,3,0,0,3,0,3,0,3,,,,0.0,0.053,,,,-0.053,,3,-3,0.872,0.128,31,24,32,25,2,1,7,10,6,,3.1,0.88,-0.88,
SI,2024-06-09,88.9,-1.79,6.52,"Walker, Taijuan",683146,592836,,ball,,,,,11,"Brett Baty grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",R,L,R,PHI,NYM,B,,,0,1,2024,-1.37,1.11,-0.59,3.81,,,,0,6,Top,,,,,,,5.846093289154054,-129.34882674610037,-2.8710324803008023,-16.643143914948027,29.277611016146693,-19.3120043308625,3.55,1.65,,,,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,41,2,Sinker,3,0,0,3,0,3,0,3,,,,0.0,0.025,,,,-0.025,,3,-3,0.872,0.128,31,24,32,25,2,1,7,10,6,,1.79,1.37,-1.37,
CU,2024-06-09,71.7,-2.06,6.52,"Walker, Taijuan",683146,592836,,foul,,,,,9,"Brett Baty grounds out, shortstop Edmundo Sosa to first baseman Bryce Harper.",R,L,R,PHI,NYM,S,,,0,0,2024,0.74,-1.22,0.55,2.21,,,,0,6,Top,,,,,,,3.901018046912918,-104.21646884310177,1.1554178611702497,4.560939498101932,19.98473957938381,-41.42055755965928,3.55,1.65,14,84.0,-9,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,41,1,Curveball,3,0,0,3,0,3,0,3,,,,0.0,-0.037,,,,0.037,88.0,3,-3,0.872,0.128,31,24,32,25,2,1,7,10,6,,5.71,-0.74,0.74,
FF,2024-06-09,91.5,-1.73,6.43,"Walker, Taijuan",683146,592836,single,hit_into_play,,,,,1,Brett Baty singles on a sharp line drive to right fielder Nick Castellanos.,R,L,R,PHI,NYM,X,9,line_drive,2,2,2024,-0.5,1.53,-0.37,3.62,,,,1,3,Top,165.31,116.17,,,,,4.532101329190336,-133.036610466874,-4.4616950865259115,-7.021588656754766,31.850164613380443,-13.36123349510638,3.55,1.65,230,107.6,12,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,0.9,0.916,0.9,1,1,0,5,16,6,4-Seam Fastball,1,0,0,1,0,1,0,1,,,,-0.029,0.453,,,1.222,-0.453,107.6,1,-1,0.643,0.357,31,24,32,25,1,0,7,10,6,,1.23,0.5,-0.5,
CU,2024-06-09,76.8,-1.99,6.34,"Walker, Taijuan",683146,592836,,foul,,,,,14,Brett Baty singles on a sharp line drive to right fielder Nick Castellanos.,R,L,R,PHI,NYM,S,,,2,2,2024,0.53,-0.85,0.15,1.06,,,,1,3,Top,,,,,,,3.5735407131730454,-111.73850304534234,-2.5485521461797394,3.642405604300357,22.62926376426954,-38.9281397861868,3.55,1.65,,,,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,16,5,Curveball,1,0,0,1,0,1,0,1,,,,0.0,0.0,,,,0.0,,1,-1,0.643,0.357,31,24,32,25,1,0,7,10,6,,4.75,-0.53,0.53,
FF,2024-06-09,91.1,-1.85,6.47,"Walker, Taijuan",683146,592836,,foul_tip,,,,,12,Brett Baty singles on a sharp line drive to right fielder Nick Castellanos.,R,L,R,PHI,NYM,S,,,2,1,2024,-0.72,1.42,0.69,3.79,,,,1,3,Top,,,,,,,7.909023037437955,-132.38895512144884,-3.818126212263453,-10.256202182300935,31.73724001481594,-14.907196794952384,3.55,1.65,,,,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,16,4,4-Seam Fastball,1,0,0,1,0,1,0,1,,,,0.0,-0.078,,,,0.078,,1,-1,0.643,0.357,31,24,32,25,1,0,7,10,6,,1.36,0.72,-0.72,
FF,2024-06-09,90.7,-1.88,6.35,"Walker, Taijuan",683146,592836,,foul,,,,,1,Brett Baty singles on a sharp line drive to right fielder Nick Castellanos.,R,L,R,PHI,NYM,S,,,2,0,2024,-0.71,1.31,-0.49,3.62,,,,1,3,Top,,,,,,,4.993333166968764,-131.99080614517442,-3.689867337323578,-9.36722405922894,30.290157739727373,-16.265117713524855,3.55,1.65,206,69.4,28,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,16,3,4-Seam Fastball,1,0,0,1,0,1,0,1,,,,0.0,-0.065,,,,0.065,88.0,1,-1,0.643,0.357,31,24,32,25,1,0,7,10,6,,1.47,0.71,-0.71,
CU,2024-06-09,74.6,-2.01,6.32,"Walker, Taijuan",683146,592836,,ball,,,,,14,Brett Baty singles on a sharp line drive to right fielder Nick Castellanos.,R,L,R,PHI,NYM,B,,,1,0,2024,0.62,-0.98,1.09,-0.24,,,,1,3,Top,,,,,,,5.275430551417307,-108.47846640883544,-4.4563308045374495,3.819345052561399,21.390642534781666,-39.1998805531801,3.55,1.65,,,,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,16,2,Curveball,1,0,0,1,0,1,0,1,,,,0.0,0.072,,,,-0.072,,1,-1,0.643,0.357,31,24,32,25,1,0,7,10,6,,5.13,-0.62,0.62,
FF,2024-06-09,90.7,-1.79,6.44,"Walker, Taijuan",683146,592836,,ball,,,,,12,Brett Baty singles on a sharp line drive to right fielder Nick Castellanos.,R,L,R,PHI,NYM,B,,,0,0,2024,-0.69,1.55,1.09,2.94,,,,1,3,Top,,,,,,,8.688922924315891,-131.5940040101483,-6.061604429943932,-10.05050535716721,31.255599305809785,-13.048989109534938,3.55,1.65,,,,,,,745571,592663,547180,642215,664761,624641,593160,679032,592206,54.13,,,,,,,,16,1,4-Seam Fastball,1,0,0,1,0,1,0,1,,,,0.0,0.039,,,,-0.039,,1,-1,0.643,0.357,31,24,32,25,1,0,7,10,6,,1.26,0.69,-0.69,
SI,2024-05-30,99.4,-2.95,5.97,"Martinez, Justin",683146,679885,grounded_into_double_play,hit_into_play,,,,,7,"Brett Baty grounds into a double play, shortstop Kevin Newman to first baseman Christian Walker.   Mark Vientos out at 2nd.    Brett Baty out at 1st.",R,L,R,NYM,AZ,X,6,ground_ball,0,0,2024,-1.54,0.72,-0.33,1.82,,,668901,0,4,Bot,119.94,147.23,,,,,10.819378760461698,-144.2362701786784,-7.668030253901266,-23.968542427344016,34.08329775204822,-20.358694194249832,3.56,1.66,102,101.8,4,99.8,2063,6.7,745819,672515,572233,606466,553993,621028,666971,682998,656976,53.82,0.566,0.509,0.0,1,0,0,4,34,1,Sinker,1,2,1,2,2,1,1,2,Standard,Standard,225,-0.101,-0.352,75.4,7.3,0.597,0.352,101.8,-1,-1,0.47,0.47,22,24,23,25,1,1,1,1,3,10,1.6,1.54,-1.54,40.9
FF,2024-05-30,91.5,2.52,5.41,"Hughes, Brandon",683146,676714,walk,ball,,,,,13,Brett Baty walks.,R,L,L,NYM,AZ,B,,,3,2,2024,0.8,1.31,-0.29,1.45,,,,2,2,Bot,,,,,,,-8.940622646791228,-132.65565218291525,-6.914866564677877,11.470546508990685,32.209244082269294,-15.342833458877989,3.56,1.66,,,,92.0,2246,7.1,745819,672515,572233,606466,553993,621028,666971,682998,656976,53.38,,0.689131,0.7,1,0,0,,15,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,127,0.013,0.267,,,,-0.267,,0,0,0.511,0.511,28,24,29,25,1,0,2,1,2,10,1.46,0.8,0.8,24.5
FF,2024-05-30,91.6,2.52,5.54,"Hughes, Brandon",683146,676714,,ball,,,,,11,Brett Baty walks.,R,L,L,NYM,AZ,B,,,2,2,2024,0.69,1.5,-0.79,4.65,,,,2,2,Bot,,,,,,,-10.068435779743684,-132.94582852549607,0.5142290137004814,10.589216110029776,32.47046155514555,-14.937744036881796,3.59,1.66,,,,92.8,2386,7.5,745819,672515,572233,606466,553993,621028,666971,682998,656976,53.05,,,,,,,,15,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,135,0.0,0.106,,,,-0.106,,0,0,0.511,0.511,28,24,29,25,1,0,2,1,2,10,1.26,0.69,0.69,27.3
SL,2024-05-30,81.6,2.77,5.31,"Hughes, Brandon",683146,676714,,ball,,,,,14,Brett Baty walks.,R,L,L,NYM,AZ,B,,,1,2,2024,-0.84,0.13,0.03,1.44,,,,2,2,Bot,,,,,,,-4.601212579195022,-118.64356188068982,-2.2565886315465895,-6.85223938396599,26.39964785809933,-30.748333259772338,3.62,1.74,,,,82.1,2483,7.1,745819,672515,572233,606466,553993,621028,666971,682998,656976,53.43,,,,,,,,15,4,Slider,0,0,0,0,0,0,0,0,Strategic,Standard,269,0.0,0.039,,,,-0.039,,0,0,0.511,0.511,28,24,29,25,1,0,2,1,2,10,3.35,-0.84,-0.84,22.1
SI,2024-05-30,90.9,2.61,5.49,"Hughes, Brandon",683146,676714,,foul,,,,,6,Brett Baty walks.,R,L,L,NYM,AZ,S,,,1,1,2024,1.32,0.61,0.34,2.51,,,,2,2,Bot,,,,,,,-8.663393336435904,-132.02025533742508,-2.820123217128596,17.385198342331073,31.378527433451776,-24.638158278471245,3.56,1.66,4,73.4,-30,92.0,2234,7.3,745819,672515,572233,606466,553993,621028,666971,682998,656976,53.21,,,,,,,,15,3,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,138,0.0,-0.064,78.8,7.3,,0.064,88.0,0,0,0.511,0.511,28,24,29,25,1,0,2,1,2,10,2.18,1.32,1.32,27.0
FF,2024-05-30,91.9,2.38,5.57,"Hughes, Brandon",683146,676714,,ball,,,,,11,Brett Baty walks.,R,L,L,NYM,AZ,B,,,0,1,2024,0.63,1.26,-0.85,3.52,,,,2,2,Bot,,,,,,,-9.62307570442176,-133.51813176599285,-2.059976322987366,9.60587340285298,29.62145810491785,-16.882001570118007,3.61,1.67,,,,92.4,2378,6.7,745819,672515,572233,606466,553993,621028,666971,682998,656976,53.77,,,,,,,,15,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,140,0.0,0.029,,,,-0.029,,0,0,0.511,0.511,28,24,29,25,1,0,2,1,2,10,1.45,0.63,0.63,28.1
FF,2024-05-30,90.6,2.61,5.53,"Hughes, Brandon",683146,676714,,foul,,,,,5,Brett Baty walks.,R,L,L,NYM,AZ,S,,,0,0,2024,0.55,1.17,0.02,2.9,,,,2,2,Bot,,,,,,,-7.729336364616367,-131.7557530922799,-3.1417249990205787,8.05839136964532,29.047867061697808,-18.133958092486505,3.56,1.66,291,90.5,26,91.4,2288,6.9,745819,672515,572233,606466,553993,621028,666971,682998,656976,53.61,,,,,,,,15,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,133,0.0,-0.041,72.3,6.0,,0.041,90.5,0,0,0.511,0.511,28,24,29,25,1,0,2,1,2,10,1.62,0.55,0.55,27.3
