pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-08-18,82.7,1.86,5.88,"Abbott, Andrew",521692,671096,field_out,hit_into_play,,,,,6,Salvador Perez pops out to first baseman Spencer Steer in foul territory.,R,R,L,CIN,KC,X,3,popup,1,2,2024,-0.91,0.43,0.63,2.8,,,,2,5,Top,161.15,187.22,,,,,-1.0514723124894474,-120.54795127496048,-1.4382554985705207,-8.730488905231425,21.45865982838194,-27.940404783182913,3.64,1.69,99,87.6,75,83.6,2653,6.6,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.87,0.006,0.006,0.0,1,0,0,3,37,4,Sweeper,0,4,4,0,4,0,4,0,Standard,Standard,269,0.003,-0.18,71.6,8.3,0.009,0.18,88.0,-4,4,0.108,0.892,25,34,25,34,3,2,6,1,,1,2.87,-0.91,0.91,42.3
CH,2024-08-18,85.3,1.97,5.86,"Abbott, Andrew",521692,671096,,foul,,,,,6,Salvador Perez pops out to first baseman Spencer Steer in foul territory.,R,R,L,CIN,KC,S,,,1,1,2024,1.06,0.89,0.3,2.64,,,,2,5,Top,,,,,,,-6.127685742091352,-124.17623926423752,-3.104936293035252,12.21536402627603,24.09489557510855,-22.51441431250713,3.64,1.69,139,85.4,73,86.0,2035,6.7,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.83,,,,,,,,37,3,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,135,0.0,-0.064,75.3,7.9,,0.064,88.0,-4,4,0.108,0.892,25,34,25,34,3,2,6,1,,1,2.23,1.06,-1.06,40.9
CU,2024-08-18,80.1,1.8,5.98,"Abbott, Andrew",521692,671096,,ball,,,,,14,Salvador Perez pops out to first baseman Spencer Steer in foul territory.,R,R,L,CIN,KC,B,,,0,1,2024,-1.17,-0.06,1.18,2.05,,,,2,5,Top,,,,,,,0.8436395767613725,-116.66569394443886,-1.874352804114576,-10.814250674257394,21.935647365887256,-32.610197207887005,3.64,1.7,,,,80.5,2813,6.5,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.98,,,,,,,,37,2,Curveball,0,4,4,0,4,0,4,0,Standard,Standard,299,0.0,0.029,,,,-0.029,,-4,4,0.108,0.892,25,34,25,34,3,2,6,1,,1,3.61,-1.17,1.17,49.0
ST,2024-08-18,82.8,2.02,5.86,"Abbott, Andrew",521692,671096,,foul,,,,,6,Salvador Perez pops out to first baseman Spencer Steer in foul territory.,R,R,L,CIN,KC,S,,,0,0,2024,-0.56,0.58,0.53,2.96,,,,2,5,Top,,,,,,,-2.332198561433238,-120.76046390486084,-1.367105404416687,-5.115895911197235,21.26479743458933,-26.36541575484224,3.64,1.69,,,,84.0,2749,6.7,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.77,,,,,,,,37,1,Sweeper,0,4,4,0,4,0,4,0,Standard,Standard,277,0.0,-0.041,77.0,8.2,,0.041,,-4,4,0.108,0.892,25,34,25,34,3,2,6,1,,1,2.7,-0.56,0.56,46.2
FF,2024-08-18,91.9,1.78,5.86,"Abbott, Andrew",686469,671096,sac_fly,hit_into_play,,,,,3,Vinnie Pasquantino out on a sacrifice fly to center fielder TJ Friedl. Maikel Garcia scores.,R,L,L,CIN,KC,X,8,line_drive,2,1,2024,0.79,1.46,0.48,3.52,672580,,,1,5,Top,116.15,70.96,,,,,-5.023917687367732,-133.7588512676258,-3.280701073365623,10.599779041219026,28.8346578932092,-14.111552422032338,3.48,1.63,319,86.1,25,92.4,2304,6.6,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.94,0.114,0.13,0.0,1,0,0,3,36,4,4-Seam Fastball,0,3,3,0,4,0,4,0,Strategic,Standard,151,-0.016,-0.107,70.6,6.3,0.199,0.107,88.0,-3,3,0.124,0.876,25,26,25,27,3,2,6,1,,1,1.23,0.79,0.79,42.4
FF,2024-08-18,91.3,1.82,5.85,"Abbott, Andrew",686469,671096,,ball,,,,,12,Vinnie Pasquantino out on a sacrifice fly to center fielder TJ Friedl. Maikel Garcia scores.,R,L,L,CIN,KC,B,,,1,1,2024,0.73,1.46,1.41,3.28,672580,,,1,5,Top,,,,,,,-2.626073975897432,-132.96654187488477,-3.77891586672977,9.215195612050236,27.94877147667282,-14.233065430120078,3.53,1.77,,,,91.9,2223,6.6,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.95,,,,,,,,36,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,146,0.0,0.02,,,,-0.02,,-3,3,0.124,0.876,25,26,25,27,3,2,6,1,,1,1.27,0.73,0.73,43.6
FF,2024-08-18,91.8,1.91,5.91,"Abbott, Andrew",686469,671096,,ball,,,,,11,Vinnie Pasquantino out on a sacrifice fly to center fielder TJ Friedl. Maikel Garcia scores.,R,L,L,CIN,KC,B,,,0,1,2024,0.6,1.38,-0.5,4.84,672580,,,1,5,Top,,,,,,,-7.4020099874245,-133.6283793750241,0.0933664850793286,8.674961924667423,26.605582240800175,-15.74670355434613,3.56,1.68,,,,92.2,2292,6.4,746676,571912,668715,663697,669289,682829,666181,670770,641584,54.13,,,,,,,,36,2,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,144,0.0,0.025,,,,-0.025,,-3,3,0.124,0.876,25,26,25,27,3,2,6,1,,1,1.3,0.6,0.6,46.4
FF,2024-08-18,91.7,1.85,5.87,"Abbott, Andrew",686469,671096,,called_strike,,,,,5,Vinnie Pasquantino out on a sacrifice fly to center fielder TJ Friedl. Maikel Garcia scores.,R,L,L,CIN,KC,S,,,0,0,2024,0.94,1.33,-0.15,2.46,672580,,,1,5,Top,,,,,,,-7.1095127341871045,-133.35170491695376,-5.689703905532655,12.678182779197677,27.230975779148647,-15.215402843389333,3.56,1.74,,,,92.3,2276,6.5,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.96,,,,,,,,36,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Strategic,Standard,142,0.0,-0.049,,,,0.049,,-3,3,0.124,0.876,25,26,25,27,3,2,6,1,,1,1.37,0.94,0.94,44.3
FF,2024-08-18,91.9,1.96,5.78,"Abbott, Andrew",677951,671096,field_out,hit_into_play,,,,,2,Bobby Witt Jr. flies out to right fielder Jake Fraley. Maikel Garcia to 3rd.,R,R,L,CIN,KC,X,9,fly_ball,1,1,2024,0.9,1.18,-0.09,3.16,,672580,,0,5,Top,189.62,88.94,,,,,-7.187195480410197,-133.60331836892018,-3.3445692823025017,12.34752999365751,28.46698022781232,-17.54848192759584,3.51,1.64,315,92.9,42,92.3,2359,6.6,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.92,0.014,0.025,0.0,1,0,0,3,35,3,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,144,0.003,-0.267,72.0,6.4,0.043,0.267,92.9,-3,3,0.121,0.879,25,24,25,24,3,2,6,1,,1,1.52,0.9,-0.9,40.7
FF,2024-08-18,92.0,1.84,5.87,"Abbott, Andrew",677951,671096,,foul,,,,,12,Bobby Witt Jr. flies out to right fielder Jake Fraley. Maikel Garcia to 3rd.,R,R,L,CIN,KC,S,,,1,0,2024,0.87,1.32,1.47,2.75,,672580,,0,5,Top,,,,,,,-2.8243016639175194,-133.9638653959724,-4.993585801713487,11.065937975290645,26.875832574718324,-15.435793954013665,3.51,1.64,9,69.6,-16,92.7,2243,6.5,746676,571912,668715,663697,669289,682829,666181,670770,641584,53.98,,,,,,,,35,2,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,139,0.0,-0.036,67.6,7.1,,0.036,88.0,-3,3,0.121,0.879,25,24,25,24,3,2,6,1,,1,1.36,0.87,-0.87,45.0
