pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-25,87.0,-2.51,5.54,"Anderson, Justin",621493,605121,grounded_into_double_play,hit_into_play,,,,,8,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to second baseman Lenyn Sosa to first baseman Andrew Vaughn. Michael Stefanic out at 2nd. Taylor Ward out at 1st.",R,R,R,CWS,LAA,X,5,ground_ball,2,2,2024,0.76,0.14,-0.11,1.69,642136,672569,683021,1,8,Top,101.83,166.79,,,,,4.2343416245536405,-126.75349143281186,-3.4544046181057713,7.481861777554678,23.94598148504388,-30.151576512836503,3.29,1.58,9,92.2,-10,88.5,2567,7.0,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.51,0.217,0.21,0.0,1,0,0,2,68,5,Slider,3,3,3,3,3,3,3,3,Standard,Standard,66,0.285,-0.232,71.0,7.6,0.254,0.232,92.2,0,0,0.32,0.68,31,30,32,31,1,4,1,1,,1,2.84,-0.76,-0.76,32.1
SL,2024-09-25,86.6,-2.59,5.46,"Anderson, Justin",621493,605121,,blocked_ball,,,,,14,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to second baseman Lenyn Sosa to first baseman Andrew Vaughn. Michael Stefanic out at 2nd. Taylor Ward out at 1st.",R,R,R,CWS,LAA,B,,,1,2,2024,0.9,0.24,0.5,-0.27,642136,672569,683021,1,8,Top,,,,,,,5.658856408337114,-125.94911455509342,-8.146955047599626,8.606184711235757,23.23254267516174,-28.23186335760981,3.41,1.61,,,,88.6,2562,7.3,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.16,,,,,,,,68,4,Slider,3,3,3,3,3,3,3,3,Standard,Standard,53,0.0,0.04,,,,-0.04,,0,0,0.32,0.68,31,30,32,31,1,4,1,1,,1,2.78,-0.9,-0.9,31.1
FF,2024-09-25,95.7,-2.42,5.68,"Anderson, Justin",621493,605121,,swinging_strike,,,,,3,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to second baseman Lenyn Sosa to first baseman Andrew Vaughn. Michael Stefanic out at 2nd. Taylor Ward out at 1st.",R,R,R,CWS,LAA,S,,,1,1,2024,-0.62,1.46,0.81,3.37,642136,672569,683021,1,8,Top,,,,,,,10.033898490049964,-138.95769819959222,-3.8024394339081704,-10.266461445911466,30.938449969935103,-12.574236271522034,3.29,1.58,,,,96.7,2309,7.0,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.55,,,,,,,,68,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,212,0.0,-0.07,64.6,6.2,,0.07,,0,0,0.32,0.68,31,30,32,31,1,4,1,1,,1,1.04,0.62,0.62,34.3
SL,2024-09-25,86.5,-2.6,5.65,"Anderson, Justin",621493,605121,,foul,,,,,6,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to second baseman Lenyn Sosa to first baseman Andrew Vaughn. Michael Stefanic out at 2nd. Taylor Ward out at 1st.",R,R,R,CWS,LAA,S,,,1,0,2024,0.88,0.41,0.39,2.73,642136,672569,683021,1,8,Top,,,,,,,5.381465674241187,-125.92012832574868,-1.6205856188338803,8.37790482009558,24.412573786880223,-27.678381715640633,3.29,1.58,278,84.8,42,87.3,2508,6.7,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.84,,,,,,,,68,2,Slider,3,3,3,3,3,3,3,3,Standard,Standard,50,0.0,-0.062,64.6,6.2,,0.062,88.0,0,0,0.32,0.68,31,30,32,31,1,4,1,1,,1,2.62,-0.88,-0.88,34.1
SL,2024-09-25,86.2,-2.61,5.75,"Anderson, Justin",621493,605121,,ball,,,,,12,"Taylor Ward grounds into a double play, third baseman Miguel Vargas to second baseman Lenyn Sosa to first baseman Andrew Vaughn. Michael Stefanic out at 2nd. Taylor Ward out at 1st.",R,R,R,CWS,LAA,B,,,0,0,2024,0.83,0.51,0.86,3.38,642136,672569,683021,1,8,Top,,,,,,,6.6077035624753515,-125.5085989773193,-0.4700047481721064,7.579477539855395,24.0602196935175,-26.82501421788407,3.44,1.64,,,,87.0,2506,6.7,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.84,,,,,,,,68,1,Slider,3,3,3,3,3,3,3,3,Standard,Standard,68,0.0,0.039,,,,-0.039,,0,0,0.32,0.68,31,30,32,31,1,4,1,1,,1,2.54,-0.83,-0.83,32.3
SL,2024-09-25,86.3,-2.64,5.68,"Anderson, Justin",683021,605121,single,hit_into_play,,,,,5,Michael Stefanic singles on a soft bunt ground ball to pitcher Justin Anderson. Eric Wagaman scores. Matt Thaiss to 3rd. Gustavo Campero to 2nd.,R,R,R,CWS,LAA,X,1,ground_ball,1,1,2024,0.86,0.35,-0.01,2.48,676572,642136,672569,1,8,Top,127.05,192.35,,,,,4.531689464640416,-125.65232428182853,-2.133198692223536,8.237475828815667,24.619928102966774,-28.29314842301858,3.3,1.51,16,22.5,5,87.2,2553,6.7,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.75,0.286,0.235,0.9,1,1,0,1,67,3,Slider,3,2,2,3,3,3,3,3,Standard,Standard,69,-0.204,0.289,10.4,1.3,0.314,-0.289,88.0,1,-1,0.524,0.476,31,28,32,28,1,0,1,4,,1,2.7,-0.86,-0.86,35.7
SL,2024-09-25,85.8,-2.74,5.72,"Anderson, Justin",683021,605121,,called_strike,,,,,4,Michael Stefanic singles on a soft bunt ground ball to pitcher Justin Anderson. Eric Wagaman scores. Matt Thaiss to 3rd. Gustavo Campero to 2nd.,R,R,R,CWS,LAA,S,,,1,0,2024,1.23,0.36,-0.42,2.17,676572,642136,672569,1,8,Top,,,,,,,3.00312117250661,-125.02043957289636,-2.897124194831222,12.353992116461953,24.54743999514521,-28.063634503299298,3.34,1.59,,,,86.5,2661,6.6,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.88,,,,,,,,67,2,Slider,3,2,2,3,2,3,2,3,Standard,Standard,66,0.0,-0.062,,,,0.062,,1,-1,0.524,0.476,31,28,32,28,1,0,1,4,,1,2.72,-1.23,-1.23,31.6
SI,2024-09-25,95.5,-2.29,5.78,"Anderson, Justin",683021,605121,,blocked_ball,,,,,14,Michael Stefanic singles on a soft bunt ground ball to pitcher Justin Anderson. Eric Wagaman scores. Matt Thaiss to 3rd. Gustavo Campero to 2nd.,R,R,R,CWS,LAA,B,,,0,0,2024,-1.3,0.44,0.75,0.84,676572,642136,672569,1,8,Top,,,,,,,11.04906379449064,-138.4117188952892,-8.414903208022453,-19.202133117700356,31.149227740253483,-24.669969021319396,3.32,1.69,,,,96.2,1935,7.0,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.55,,,,,,,,67,1,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,219,0.0,0.039,,,,-0.039,,1,-1,0.524,0.476,31,28,32,28,1,0,1,4,,1,2.08,1.3,1.3,36.7
FF,2024-09-25,95.8,-2.47,5.62,"Anderson, Justin",672569,605121,single,hit_into_play,,,,,1,Gustavo Campero singles on a line drive to center fielder Luis Robert Jr. Eric Wagaman to 3rd. Matt Thaiss to 2nd.,R,L,R,CWS,LAA,X,8,line_drive,0,2,2024,-0.58,1.26,-0.4,3.19,,676572,642136,1,8,Top,111.54,87.17,,,,,6.862988906249207,-139.42020512170865,-3.7091245001561246,-9.144386014702896,31.770655872063692,-15.04832238686614,3.1,1.45,236,88.2,14,97.0,2238,7.0,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.52,0.957,0.927,0.9,1,1,0,4,66,3,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,216,-0.138,0.566,62.7,5.7,1.156,-0.566,88.2,1,-1,0.662,0.338,31,26,32,27,1,3,1,3,,1,1.22,0.58,-0.58,34.3
SL,2024-09-25,86.0,-2.61,5.63,"Anderson, Justin",672569,605121,,foul,,,,,14,Gustavo Campero singles on a line drive to center fielder Luis Robert Jr. Eric Wagaman to 3rd. Matt Thaiss to 2nd.,R,L,R,CWS,LAA,S,,,0,1,2024,1.01,0.78,0.3,1.07,,676572,642136,1,8,Top,,,,,,,4.886695507400587,-125.06990093207008,-6.147744134506342,9.499437004169572,26.289922736422845,-22.92548484612487,3.1,1.45,4,68.4,-16,86.4,2617,6.7,746742,686676,683734,672820,678246,676070,643217,673357,666150,53.84,,,,,,,,66,2,Slider,3,2,2,3,2,3,2,3,Standard,Standard,65,0.0,-0.048,62.8,8.4,,0.048,88.0,1,-1,0.662,0.338,31,26,32,27,1,3,1,3,,1,2.32,-1.01,1.01,32.6
