pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-17,,,,"Arejula, Luis",807799,700728,field_out,hit_into_play,,,,,,"Masataka Yoshida grounds out, third baseman Oswaldo Cabrera to first baseman Anthony Rizzo.",S,L,R,BOS,NYY,X,5,ground_ball,0,0,2024,,,,,,596115,543068,2,1,Bot,103.21,170.23,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,0.0,,0,0,,17,1,,9,0,9,0,0,9,9,0,,,,-0.003,-0.28,,,,0.28,,9,9,0.987,0.987,22,30,22,31,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",543068,700728,hit_by_pitch,hit_by_pitch,,,,,,C.J. Cron hit by pitch.,S,R,R,BOS,NYY,B,,,0,0,2024,,,,,,596115,,2,1,Bot,,,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,0.7,,0,0,,16,1,,9,0,9,0,0,9,9,0,,,,0.001,0.112,,,,-0.112,,9,9,0.986,0.986,22,34,22,34,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",596115,700728,double,hit_into_play,,,,,,Trevor Story hits a ground-rule double (4) on a fly ball to right field.,S,R,R,BOS,NYY,X,,fly_ball,0,0,2024,,,,,,,,2,1,Bot,202.7,117.84,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,1.25,,1,1,,15,1,,9,0,9,0,0,9,9,0,,,,0.001,0.614,,,,-0.614,,9,9,0.985,0.985,22,31,22,32,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",646240,700728,home_run,hit_into_play,,,,,,Rafael Devers homers (4) on a fly ball to left field.   Jarren Duran scores.,S,L,R,BOS,NYY,X,,fly_ball,3,1,2024,,,,,680776,,,2,1,Bot,37.22,66.46,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,2.0,,0,3,,14,5,,7,0,7,0,0,9,9,0,,,,0.021,1.369,,,,-1.369,,7,7,0.964,0.964,22,27,22,28,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",646240,700728,,ball,,,,,,Rafael Devers homers (4) on a fly ball to left field.   Jarren Duran scores.,S,L,R,BOS,NYY,B,,,2,1,2024,,,,,680776,,,2,1,Bot,,,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,,,,,,14,4,,7,0,7,0,0,7,7,0,,,,0.0,0.042,,,,-0.042,,7,7,0.964,0.964,22,27,22,28,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",646240,700728,,ball,,,,,,Rafael Devers homers (4) on a fly ball to left field.   Jarren Duran scores.,S,L,R,BOS,NYY,B,,,1,1,2024,,,,,680776,,,2,1,Bot,,,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,,,,,,14,3,,7,0,7,0,0,7,7,0,,,,0.0,0.047,,,,-0.047,,7,7,0.964,0.964,22,27,22,28,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",646240,700728,,swinging_strike,,,,,,Rafael Devers homers (4) on a fly ball to left field.   Jarren Duran scores.,S,L,R,BOS,NYY,S,,,1,0,2024,,,,,680776,,,2,1,Bot,,,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,,,,,,14,2,,7,0,7,0,0,7,7,0,,,,0.0,-0.039,,,,0.039,,7,7,0.964,0.964,22,27,22,28,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",646240,700728,,ball,,,,,,Rafael Devers homers (4) on a fly ball to left field.   Jarren Duran scores.,S,L,R,BOS,NYY,B,,,0,0,2024,,,,,680776,,,2,1,Bot,,,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,,,,,,14,1,,7,0,7,0,0,7,7,0,,,,0.0,0.032,,,,-0.032,,7,7,0.964,0.964,22,27,22,28,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",680776,700728,triple,hit_into_play,,,,,,Jarren Duran triples (1) on a fly ball to center fielder Trent Grisham.,S,L,R,BOS,NYY,X,8,fly_ball,0,0,2024,,,,,,,,2,1,Bot,99.15,58.83,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,1.6,,1,2,,13,1,,7,0,7,0,0,7,7,0,,,,0.004,0.655,,,,-0.655,,7,7,0.96,0.96,22,27,22,28,1,1,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",665839,700728,field_out,hit_into_play,,,,,,Enmanuel Valdez flies out to left fielder Everson Pereira.,S,L,R,BOS,NYY,X,7,fly_ball,0,0,2024,,,,,,,,1,1,Bot,72.24,113.77,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,0.0,,0,0,,12,1,,7,0,7,0,0,7,7,0,,,,-0.002,-0.256,,,,0.256,,7,7,0.962,0.962,22,25,22,26,1,0,,,,,,,,
,2024-03-17,,,,"Arejula, Luis",657136,700728,home_run,hit_into_play,,,,,,Connor Wong homers (1) on a fly ball to left field.   Wilyer Abreu scores.,S,R,R,BOS,NYY,X,,fly_ball,0,0,2024,,,,,,,677800,1,1,Bot,12.85,64.43,,,,,,,,,,,,,,,,,,,747921,624431,519203,702332,665828,675656,677592,663757,670768,,,,2.0,,0,3,,11,1,,5,0,5,0,0,7,7,0,,,,0.047,1.436,,,,-1.436,,5,5,0.915,0.915,22,28,22,28,1,0,,,,,,,,
