pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-10-05,83.2,3.16,6.19,"Banks, Tanner",624413,621383,field_out,hit_into_play,,,,,3,Pete Alonso lines out to center fielder Johan Rojas.,D,R,L,PHI,NYM,X,8,line_drive,2,2,2024,-1.09,0.48,0.46,3.37,,,607043,2,9,Top,130.23,61.09,,,,,-4.03215235083319,-121.10257286961836,-0.9219712301991808,-9.785520842169507,25.50160052188789,-27.496523531951357,3.43,1.59,342,96.9,21,82.3,2445,5.9,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.65,0.257,0.315,0.0,1,0,0,4,72,7,Curveball,1,6,6,1,6,1,6,1,Standard,Standard,278,0.001,-0.234,73.8,7.1,0.496,0.234,96.9,-5,5,0.006,0.994,32,29,33,30,1,4,6,2,,1,2.83,-1.09,1.09,43.4
FF,2024-10-05,93.8,2.58,6.42,"Banks, Tanner",624413,621383,,foul,,,,,5,Pete Alonso lines out to center fielder Johan Rojas.,D,R,L,PHI,NYM,S,,,2,2,2024,0.36,1.44,-0.23,2.17,,,607043,2,9,Top,,,,,,,-7.994339123531836,-136.17514801854833,-8.387926970803676,6.223136936731483,30.502556175251552,-12.499676986285866,3.43,1.59,193,81.8,62,93.2,2253,6.1,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.41,,,,,,,,72,6,4-Seam Fastball,1,6,6,1,6,1,6,1,Standard,Standard,155,0.0,0.0,75.5,7.2,,0.0,88.0,-5,5,0.006,0.994,32,29,33,30,1,4,6,2,,1,1.16,0.36,-0.36,53.4
FF,2024-10-05,94.0,2.51,6.55,"Banks, Tanner",624413,621383,,ball,,,,,12,Pete Alonso lines out to center fielder Johan Rojas.,D,R,L,PHI,NYM,B,,,1,2,2024,0.23,1.36,0.21,4.96,,,607043,2,9,Top,,,,,,,-6.424700861155075,-136.87844043543618,-1.4264797230618205,4.184740872144135,28.48714781404581,-14.961101803032298,3.37,1.59,,,,93.6,2276,5.9,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.6,,,,,,,,72,5,4-Seam Fastball,1,6,6,1,6,1,6,1,Standard,Standard,154,0.0,0.038,,,,-0.038,,-5,5,0.006,0.994,32,29,33,30,1,4,6,2,,1,1.21,0.23,-0.23,51.5
SL,2024-10-05,88.6,2.75,6.3,"Banks, Tanner",624413,621383,,foul,,,,,6,Pete Alonso lines out to center fielder Johan Rojas.,D,R,L,PHI,NYM,S,,,1,2,2024,-0.55,0.47,0.54,2.5,,,607043,2,9,Top,,,,,,,-4.253369563819013,-129.081948421808,-4.3398250421683855,-5.462653509370438,22.473698445801325,-26.220559314251936,3.43,1.59,189,72.3,30,89.4,2381,6.3,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.17,,,,,,,,72,4,Slider,1,6,6,1,6,1,6,1,Standard,Standard,204,0.0,0.0,73.6,6.9,,0.0,88.0,-5,5,0.006,0.994,32,29,33,30,1,4,6,2,,1,2.38,-0.55,0.55,46.3
SL,2024-10-05,89.7,2.71,6.38,"Banks, Tanner",624413,621383,,foul,,,,,4,Pete Alonso lines out to center fielder Johan Rojas.,D,R,L,PHI,NYM,S,,,1,1,2024,-0.43,0.45,-0.73,2.41,,,607043,2,9,Top,,,,,,,-7.572685403995798,-130.36682831903934,-4.69613048876415,-3.2310858453090745,28.49165739227079,-26.27578629413387,3.43,1.59,143,63.5,63,89.0,2399,6.0,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.46,,,,,,,,72,3,Slider,1,6,6,1,6,1,6,1,Standard,Standard,178,0.0,-0.06,74.7,7.3,,0.06,88.0,-5,5,0.006,0.994,32,29,33,30,1,4,6,2,,1,2.4,-0.43,0.43,47.9
SL,2024-10-05,87.2,2.74,6.37,"Banks, Tanner",624413,621383,,called_strike,,,,,3,Pete Alonso lines out to center fielder Johan Rojas.,D,R,L,PHI,NYM,S,,,1,0,2024,-0.58,0.35,0.49,2.85,,,607043,2,9,Top,,,,,,,-4.198281199605331,-127.01512738059805,-3.043485719341203,-5.462317489779305,24.816215260443155,-27.951674218775903,3.3,1.54,,,,87.0,2450,6.0,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.49,,,,,,,,72,2,Slider,1,6,6,1,6,1,6,1,Standard,Standard,231,0.0,-0.048,,,,0.048,,-5,5,0.006,0.994,32,29,33,30,1,4,6,2,,1,2.63,-0.58,0.58,45.1
FF,2024-10-05,94.5,2.67,6.4,"Banks, Tanner",624413,621383,,ball,,,,,11,Pete Alonso lines out to center fielder Johan Rojas.,D,R,L,PHI,NYM,B,,,0,0,2024,-0.11,1.3,-1.2,2.64,,,607043,2,9,Top,,,,,,,-9.762027131516223,-137.12423948121466,-6.912110365083514,0.8830186765341679,31.421172158754857,-14.407587114499805,3.55,1.69,,,,93.7,2315,6.1,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.45,,,,,,,,72,1,4-Seam Fastball,1,6,6,1,6,1,6,1,Standard,Standard,153,0.0,0.034,,,,-0.034,,-5,5,0.006,0.994,32,29,33,30,1,4,6,2,,1,1.28,-0.11,0.11,51.0
CU,2024-10-05,80.9,2.84,6.28,"Banks, Tanner",607043,621383,single,hit_into_play,,,,,6,"Brandon Nimmo singles on a sharp line drive to right fielder Nick Castellanos, deflected by second baseman Bryson Stott. Harrison Bader scores.",D,L,L,PHI,NYM,X,4,line_drive,1,0,2024,-1.27,-0.02,0.39,2.8,,664056,,2,9,Top,172.45,114.74,,,,,-3.0460390918053775,-117.8101368988506,-1.0866462467820492,-11.230924162386938,22.15059036084684,-32.351333741379115,3.51,1.76,166,101.8,7,80.5,2439,5.9,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.56,0.666,0.616,0.9,1,1,0,4,71,2,Curveball,1,5,5,1,6,1,6,1,Standard,Standard,296,-0.008,0.657,75.9,7.0,0.748,-0.657,101.8,-4,4,0.014,0.986,32,31,33,31,1,4,6,2,,1,3.49,-1.27,-1.27,42.4
SI,2024-10-05,93.6,2.54,6.51,"Banks, Tanner",607043,621383,,ball,,,,,12,"Brandon Nimmo singles on a sharp line drive to right fielder Nick Castellanos, deflected by second baseman Bryson Stott. Harrison Bader scores.",D,L,L,PHI,NYM,B,,,0,0,2024,0.76,0.61,2.1,2.87,,664056,,2,9,Top,,,,,,,-2.8049017889701284,-136.25334024111802,-4.971853950054665,10.130833078497552,29.811984490696577,-23.663550219241003,3.59,1.78,,,,92.9,2194,5.9,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.64,,,,,,,,71,1,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,153,0.0,0.014,,,,-0.014,,-4,4,0.014,0.986,32,31,33,31,1,4,6,2,,1,1.99,0.76,0.76,47.3
CU,2024-10-05,82.6,3.13,6.14,"Banks, Tanner",682668,621383,strikeout,called_strike,,,,,6,Luisangel Acuña called out on strikes.,D,R,L,PHI,NYM,S,2,,2,2,2024,-1.08,0.39,0.5,2.67,,664056,,1,9,Top,,,,,,,-3.871732420973121,-120.2330135193108,-2.1653827099699456,-9.68815443954755,24.076764528624025,-28.1385824300268,3.29,1.58,,,,82.1,2397,6.0,775318,592663,547180,681082,664761,607208,669016,679032,592206,54.46,,0.0,0.0,1,0,0,,70,5,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,286,0.002,-0.217,,,,0.217,,-4,4,0.012,0.988,32,22,33,22,1,0,6,5,,3,2.95,-1.08,1.08,43.1
