pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-25,91.1,2.24,6.59,"Basso, Brady",660758,669620,field_out,hit_into_play,,,,,12,Sandro Fabian flies out to right fielder Lawrence Butler.,R,R,L,OAK,TEX,X,9,fly_ball,0,0,2024,0.59,1.05,0.95,2.8,,,,2,3,Top,188.17,69.25,,,,,-4.511010013805242,-132.65696131933566,-5.927613835434137,7.924532575027988,26.133985167034822,-18.729543713945848,3.32,1.51,355,99.2,25,91.5,2253,6.3,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.2,0.449,0.699,0.0,1,0,0,6,26,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,159,0.005,-0.256,71.2,7.1,1.222,0.256,99.2,-4,4,0.147,0.853,26,26,27,26,2,1,7,14,,,1.68,0.59,-0.59,54.2
FF,2024-09-25,91.8,2.2,6.55,"Basso, Brady",679822,669620,field_out,hit_into_play,,,,,12,Justin Foscue flies out to center fielder Daz Cameron.,R,R,L,OAK,TEX,X,8,fly_ball,2,0,2024,0.32,1.32,0.87,2.69,,,,1,3,Top,133.41,79.79,,,,,-4.0546245044835825,-133.57115925005962,-6.78841856077092,4.731943746056594,28.342005709984107,-15.165848678010406,3.41,1.59,297,94.4,45,92.1,2276,6.4,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.07,0.011,0.021,0.0,1,0,0,3,25,3,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,164,0.006,-0.367,71.0,7.1,0.036,0.367,94.4,-4,4,0.141,0.859,26,25,27,25,2,1,7,1,,,1.39,0.32,-0.32,54.8
FF,2024-09-25,91.6,2.26,6.58,"Basso, Brady",679822,669620,,ball,,,,,12,Justin Foscue flies out to center fielder Daz Cameron.,R,R,L,OAK,TEX,B,,,1,0,2024,0.36,1.21,1.57,3.17,,,,1,3,Top,,,,,,,-2.5356604269567184,-133.40075575098595,-5.400587215776982,4.880879265950363,26.966277510160047,-16.792220430079198,3.43,1.61,,,,92.1,2269,6.4,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.08,,,,,,,,25,2,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,163,0.0,0.072,,,,-0.072,,-4,4,0.141,0.859,26,25,27,25,2,1,7,1,,,1.49,0.36,-0.36,56.8
CU,2024-09-25,76.0,2.05,6.63,"Basso, Brady",679822,669620,,ball,,,,,13,Justin Foscue flies out to center fielder Daz Cameron.,R,R,L,OAK,TEX,B,,,0,0,2024,-0.32,-1.42,-0.66,1.51,,,,1,3,Top,,,,,,,-5.104955609270212,-110.58600808757888,-1.1140797061362884,-1.751127744893751,19.64606511659599,-43.82254792855795,3.48,1.68,,,,76.3,2269,6.5,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.01,,,,,,,,25,1,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,345,0.0,0.039,,,,-0.039,,-4,4,0.141,0.859,26,25,27,25,2,1,7,1,,,5.36,-0.32,0.32,60.8
FF,2024-09-25,93.4,2.26,6.58,"Basso, Brady",663993,669620,strikeout,called_strike,,,,,4,Nathaniel Lowe called out on strikes.,R,L,L,OAK,TEX,S,2,,3,2,2024,0.1,1.58,-0.5,2.69,,,,0,3,Top,,,,,,,-7.3285103461550625,-135.79049111559607,-7.779595075987475,2.7389232491778257,27.80084526596297,-11.120874179392873,3.57,1.63,,,,93.9,2285,6.5,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.03,,0.0,0.0,1,0,0,,24,6,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,159,0.009,-0.333,,,,0.333,,-4,4,0.132,0.868,26,28,27,29,2,1,7,1,,1,1.03,0.1,0.1,56.0
SI,2024-09-25,92.0,2.26,6.53,"Basso, Brady",663993,669620,,ball,,,,,14,Nathaniel Lowe called out on strikes.,R,L,L,OAK,TEX,B,,,2,2,2024,0.79,0.87,0.79,1.43,,,,0,3,Top,,,,,,,-5.44690353319475,-133.78095333737173,-9.01895151599222,10.580135222857937,26.304986517941387,-20.08486920731954,3.63,1.72,,,,92.5,2111,6.4,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.08,,,,,,,,24,5,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,163,0.0,0.107,,,,-0.107,,-4,4,0.132,0.868,26,28,27,29,2,1,7,1,,1,1.81,0.79,0.79,57.9
CU,2024-09-25,75.9,1.93,6.68,"Basso, Brady",663993,669620,,ball,,,,,4,Nathaniel Lowe called out on strikes.,R,L,L,OAK,TEX,B,,,1,2,2024,-0.37,-1.39,-0.55,2.47,,,,0,3,Top,,,,,,,-4.538740191385352,-110.53023710438131,0.7550814382289102,-2.235993423958917,19.739676052412793,-43.95964547839277,3.5,1.55,,,,76.2,2268,6.5,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.01,,,,,,,,24,4,Curveball,1,5,5,1,5,1,5,1,Standard,Standard,340,0.0,0.04,,,,-0.04,,-4,4,0.132,0.868,26,28,27,29,2,1,7,1,,1,5.35,-0.37,-0.37,60.9
FF,2024-09-25,92.7,2.41,6.51,"Basso, Brady",663993,669620,,ball,,,,,12,Nathaniel Lowe called out on strikes.,R,L,L,OAK,TEX,B,,,0,2,2024,0.22,1.46,1.38,3.77,,,,0,3,Top,,,,,,,-3.130844730003232,-134.9149794583425,-4.444352474005643,3.3945062426192627,28.767138618436302,-13.5298975048416,3.57,1.61,,,,92.8,2229,6.3,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.18,,,,,,,,24,3,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,158,0.0,0.023,,,,-0.023,,-4,4,0.132,0.868,26,28,27,29,2,1,7,1,,1,1.18,0.22,0.22,52.5
SI,2024-09-25,90.5,2.25,6.55,"Basso, Brady",663993,669620,,foul,,,,,12,Nathaniel Lowe called out on strikes.,R,L,L,OAK,TEX,S,,,0,1,2024,0.9,0.93,0.87,3.38,,,,0,3,Top,,,,,,,-5.37293886620988,-131.81953407912098,-4.0492155133897825,11.572332199095024,25.36844627691442,-20.59572078178321,3.35,1.53,289,83.7,30,91.1,2132,6.4,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.12,,,,,,,,24,2,Sinker,1,5,5,1,5,1,5,1,Standard,Standard,165,0.0,-0.054,66.1,6.1,,0.054,88.0,-4,4,0.132,0.868,26,28,27,29,2,1,7,1,,1,1.82,0.9,0.9,54.6
FF,2024-09-25,92.3,2.16,6.59,"Basso, Brady",663993,669620,,called_strike,,,,,2,Nathaniel Lowe called out on strikes.,R,L,L,OAK,TEX,S,,,0,0,2024,0.08,1.3,-0.17,3.16,,,,0,3,Top,,,,,,,-6.138837390559056,-134.38139506263653,-5.816268694159737,2.2303720286781057,26.451263651407174,-15.36639064509606,3.58,1.7,,,,92.9,2256,6.4,745607,669127,691016,680869,687231,805779,663527,663662,671732,54.06,,,,,,,,24,1,4-Seam Fastball,1,5,5,1,5,1,5,1,Standard,Standard,164,0.0,-0.037,,,,0.037,,-4,4,0.132,0.868,26,28,27,29,2,1,7,1,,1,1.36,0.08,0.08,54.6
