pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-05-02,94.1,-1.84,5.42,"Beede, Tyler",673237,595881,single,hit_into_play,,,,,5,Yainer Diaz singles on a line drive to right fielder Will Brennan.   Alex Bregman scores.    Kyle Tucker scores.    Jeremy Peña to 3rd.,R,R,R,HOU,CLE,X,9,line_drive,2,2,2024,-1.17,0.91,-0.25,2.59,608324,663656,665161,1,7,Bot,184.73,121.17,,,,,6.738292734616327,-136.85199807562438,-3.595865664221553,-16.251470889509,33.122471746430136,-20.172429317097265,3.22,1.52,194,76.4,18,93.9,1866,6.4,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.06,0.957,0.894,0.9,1,1,0,4,61,7,4-Seam Fastball,5,2,5,2,2,7,7,2,Standard,Standard,236,0.025,0.487,72.0,6.6,1.056,-0.487,88.0,3,3,0.966,0.966,31,25,31,26,1,3,4,1,,1,1.69,1.17,1.17,31.4
CU,2024-05-02,76.3,-1.71,5.35,"Beede, Tyler",673237,595881,,foul,,,,,9,Yainer Diaz singles on a line drive to right fielder Will Brennan.   Alex Bregman scores.    Kyle Tucker scores.    Jeremy Peña to 3rd.,R,R,R,HOU,CLE,S,,,2,2,2024,1.35,-0.36,0.34,1.45,608324,663656,665161,1,7,Bot,,,,,,,1.891858517435403,-111.08195382668085,-0.4502074185449444,10.663304962218591,22.32666971528711,-35.26391305577362,3.22,1.52,202,77.0,20,76.0,2158,6.3,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.17,,,,,,,,61,6,Curveball,5,2,5,2,2,5,5,2,Standard,Standard,49,0.0,0.0,74.4,8.2,,0.0,88.0,3,3,0.966,0.966,31,25,31,26,1,3,4,1,,1,4.31,-1.35,-1.35,33.0
SI,2024-05-02,91.2,-1.72,5.36,"Beede, Tyler",673237,595881,,ball,,,,,14,Yainer Diaz singles on a line drive to right fielder Will Brennan.   Alex Bregman scores.    Kyle Tucker scores.    Jeremy Peña to 3rd.,R,R,R,HOU,CLE,B,,,1,2,2024,-1.45,0.46,0.78,1.16,608324,663656,665161,1,7,Bot,,,,,,,9.39964554194128,-132.3939374062525,-5.6228116071341825,-19.052605241314524,29.155244203066673,-25.72738000582433,3.04,1.37,,,,91.0,1806,6.4,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.12,,,,,,,,61,5,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,244,0.0,0.04,,,,-0.04,,3,3,0.966,0.966,31,25,31,26,1,3,4,1,,1,2.3,1.45,1.45,29.6
CU,2024-05-02,77.7,-1.75,5.33,"Beede, Tyler",673237,595881,,blocked_ball,,,,,14,Yainer Diaz singles on a line drive to right fielder Will Brennan.   Alex Bregman scores.    Kyle Tucker scores.    Jeremy Peña to 3rd.,R,R,R,HOU,CLE,B,,,0,2,2024,1.28,-0.47,1.69,0.09,608324,663656,665161,1,7,Bot,,,,,,,5.024096499511979,-112.9088007388485,-3.310213290469581,9.719786115069365,24.32837315845984,-35.658917910778015,3.11,1.34,,,,77.1,2195,6.4,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.15,,,,,,,,61,4,Curveball,5,2,5,2,2,5,5,2,Standard,Standard,44,0.0,0.02,,,,-0.02,,3,3,0.966,0.966,31,25,31,26,1,3,4,1,,1,4.31,-1.28,-1.28,33.5
CU,2024-05-02,76.3,-1.71,5.32,"Beede, Tyler",673237,595881,,foul,,,,,14,Yainer Diaz singles on a line drive to right fielder Will Brennan.   Alex Bregman scores.    Kyle Tucker scores.    Jeremy Peña to 3rd.,R,R,R,HOU,CLE,S,,,0,2,2024,1.05,-0.34,0.45,0.85,608324,663656,665161,1,7,Bot,,,,,,,2.6539711069114613,-110.97719488472178,-1.6469740602368947,8.058772663986028,22.40451548473153,-34.85097335014098,3.22,1.52,,,,75.9,2158,6.3,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.22,,,,,,,,61,3,Curveball,5,2,5,2,2,5,5,2,Standard,Standard,53,0.0,0.0,73.3,8.5,,0.0,,3,3,0.966,0.966,31,25,31,26,1,3,4,1,,1,4.3,-1.05,-1.05,32.5
SI,2024-05-02,91.1,-1.8,5.29,"Beede, Tyler",673237,595881,,called_strike,,,,,9,Yainer Diaz singles on a line drive to right fielder Will Brennan.   Alex Bregman scores.    Kyle Tucker scores.    Jeremy Peña to 3rd.,R,R,R,HOU,CLE,S,,,0,1,2024,-1.3,0.34,0.65,1.74,608324,663656,665161,1,7,Bot,,,,,,,8.943919460310696,-132.29663332582254,-3.6891118929666735,-17.189440465513698,30.50618783422251,-27.55296382266399,3.18,1.41,,,,90.9,1600,6.4,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.05,,,,,,,,61,2,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,245,0.0,-0.072,,,,0.072,,3,3,0.966,0.966,31,25,31,26,1,3,4,1,,1,2.44,1.3,1.3,29.5
SI,2024-05-02,91.4,-1.83,5.35,"Beede, Tyler",673237,595881,,foul,,,,,5,Yainer Diaz singles on a line drive to right fielder Will Brennan.   Alex Bregman scores.    Kyle Tucker scores.    Jeremy Peña to 3rd.,R,R,R,HOU,CLE,S,,,0,0,2024,-1.44,0.27,-0.27,2.35,608324,663656,665161,1,7,Bot,,,,,,,7.033280400653665,-132.78839963227014,-2.169380840955742,-18.603782928918452,31.662495544932064,-28.768400637360926,3.22,1.52,199,73.9,51,91.0,1752,6.4,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.12,,,,,,,,61,1,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,245,0.0,-0.041,70.6,6.8,,0.041,88.0,3,3,0.966,0.966,31,25,31,26,1,3,4,1,,1,2.5,1.44,1.44,30.4
FS,2024-05-02,85.8,-1.79,5.34,"Beede, Tyler",665161,595881,hit_by_pitch,hit_by_pitch,,,,,11,Jeremy Peña hit by pitch.    Jose Altuve scores.    Alex Bregman to 3rd.    Kyle Tucker to 2nd.,R,R,R,HOU,CLE,B,,,3,2,2024,-1.22,0.21,-1.76,3.16,514888,608324,663656,1,7,Bot,,,,,,,2.5673480648857834,-124.97626267708682,0.6923837301153504,-13.328959074394602,26.310675487300763,-30.313600472653853,3.64,1.78,,,,86.1,1180,6.5,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.0,,0.720192,0.7,1,0,0,,60,6,Split-Finger,4,2,4,2,2,5,5,2,Infield shade,Standard,253,0.034,0.281,,,,-0.281,,2,2,0.932,0.932,31,26,31,27,1,3,4,1,,1,2.89,1.22,1.22,32.6
FS,2024-05-02,86.1,-1.75,5.37,"Beede, Tyler",665161,595881,,ball,,,,,13,Jeremy Peña hit by pitch.    Jose Altuve scores.    Alex Bregman to 3rd.    Kyle Tucker to 2nd.,R,R,R,HOU,CLE,B,,,2,2,2024,-1.36,0.69,-1.47,2.4,514888,608324,663656,1,7,Bot,,,,,,,3.4202865135133624,-125.30993073529322,-2.2032159013371015,-14.984362919660803,25.986054413601707,-24.66187901032941,3.46,1.64,,,,86.4,1270,6.6,746403,666310,647304,665926,608070,677587,680757,672356,686823,53.94,,,,,,,,60,5,Split-Finger,4,2,4,2,2,4,4,2,Infield shade,Standard,255,0.0,0.134,,,,-0.134,,2,2,0.932,0.932,31,26,31,27,1,3,4,1,,1,2.39,1.36,1.36,32.3
FF,2024-05-02,93.4,-1.69,5.43,"Beede, Tyler",665161,595881,,ball,,,,,11,Jeremy Peña hit by pitch.    Jose Altuve scores.    Alex Bregman to 3rd.    Kyle Tucker to 2nd.,R,R,R,HOU,CLE,B,,,1,2,2024,-1.08,1.09,-1.69,2.6,514888,608324,663656,1,7,Bot,,,,,,,2.3862737528867237,-135.9911237326087,-3.898572650487108,-13.884858511092084,31.37915631380152,-18.030540319747928,3.53,1.65,,,,93.2,1899,6.3,746403,666310,647304,665926,608070,677587,680757,672356,686823,54.23,,,,,,,,60,4,4-Seam Fastball,4,2,4,2,2,4,4,2,Infield shade,Standard,238,0.0,0.04,,,,-0.04,,2,2,0.932,0.932,31,26,31,27,1,3,4,1,,1,1.53,1.08,1.08,30.7
