pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-24,,,,"Benton, Trey",694362,668998,strikeout,called_strike,,,,,,Blake Dunn called out on strikes.,S,R,R,CIN,CLE,S,2,,0,2,2024,,,,,,,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.0,,0,0,,73,3,,7,7,7,7,7,7,7,7,,,,-0.025,-0.157,,,,0.157,,0,0,0.525,0.525,26,25,26,26,1,0,,,,,,,,
,2024-03-24,,,,"Benton, Trey",694362,668998,,called_strike,,,,,,Blake Dunn called out on strikes.,S,R,R,CIN,CLE,S,,,0,1,2024,,,,,,,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,73,2,,7,7,7,7,7,7,7,7,,,,0.0,-0.058,,,,0.058,,0,0,0.525,0.525,26,25,26,26,1,0,,,,,,,,
,2024-03-24,,,,"Benton, Trey",694362,668998,,called_strike,,,,,,Blake Dunn called out on strikes.,S,R,R,CIN,CLE,S,,,0,0,2024,,,,,,,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,73,1,,7,7,7,7,7,7,7,7,,,,0.0,-0.041,,,,0.041,,0,0,0.525,0.525,26,25,26,26,1,0,,,,,,,,
,2024-03-24,,,,"Benton, Trey",699114,668998,strikeout,swinging_strike_blocked,,,,,,Leonardo Balcazar strikes out swinging.,S,R,R,CIN,CLE,S,2,,0,2,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.0,,0,0,,72,3,,7,7,7,7,7,7,7,7,,,,-0.034,-0.162,,,,0.162,,0,0,0.559,0.559,26,20,26,20,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",699114,668998,,swinging_strike,,,,,,Leonardo Balcazar strikes out swinging.,S,R,R,CIN,CLE,S,,,0,1,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,72,2,,7,7,7,7,7,7,7,7,,,,0.0,-0.057,,,,0.057,,0,0,0.559,0.559,26,20,26,20,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",699114,668998,,swinging_strike,,,,,,Leonardo Balcazar strikes out swinging.,S,R,R,CIN,CLE,S,,,0,0,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,72,1,,7,7,7,7,7,7,7,7,,,,0.0,-0.037,,,,0.037,,0,0,0.559,0.559,26,20,26,20,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",680756,668998,home_run,hit_into_play,,,,,,Mat Nelson homers (1) on a line drive to left center field.,S,R,R,CIN,CLE,X,,line_drive,2,1,2024,,,,,,,,1,8,Bot,57.72,57.49,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,2.0,,0,3,,71,4,,6,7,6,7,7,7,7,7,,,,0.324,1.536,,,,-1.536,,-1,-1,0.235,0.235,26,25,26,25,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",680756,668998,,foul,,,,,,Mat Nelson homers (1) on a line drive to left center field.,S,R,R,CIN,CLE,S,,,2,0,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,71,3,,6,7,6,7,7,6,6,7,,,,0.0,-0.065,,,,0.065,,-1,-1,0.235,0.235,26,25,26,25,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",680756,668998,,ball,,,,,,Mat Nelson homers (1) on a line drive to left center field.,S,R,R,CIN,CLE,B,,,1,0,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,71,2,,6,7,6,7,7,6,6,7,,,,0.0,0.072,,,,-0.072,,-1,-1,0.235,0.235,26,25,26,25,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",665912,668998,strikeout,swinging_strike,,,,,,Miguel Hernandez strikes out swinging.,S,R,R,CIN,CLE,S,2,,0,2,2024,,,,,,,,0,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,0.0,,0,0,,70,3,,6,7,6,7,7,6,6,7,,,,-0.062,-0.163,,,,0.163,,-1,-1,0.297,0.297,26,25,26,25,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",665912,668998,,swinging_strike,,,,,,Miguel Hernandez strikes out swinging.,S,R,R,CIN,CLE,S,,,0,1,2024,,,,,,,,0,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,70,2,,6,7,6,7,7,6,6,7,,,,0.0,-0.054,,,,0.054,,-1,-1,0.297,0.297,26,25,26,25,1,1,,,,,,,,
,2024-03-24,,,,"Benton, Trey",665912,668998,,swinging_strike,,,,,,Miguel Hernandez strikes out swinging.,S,R,R,CIN,CLE,S,,,0,0,2024,,,,,,,,0,8,Bot,,,,,,,,,,,,,,,,,,,,,747818,814816,691408,696135,682177,691410,805865,809945,688907,,,,,,,,,70,1,,6,7,6,7,7,6,6,7,,,,0.0,-0.037,,,,0.037,,-1,-1,0.297,0.297,26,25,26,25,1,1,,,,,,,,
,2024-03-18,,,,"Benton, Trey",643217,668998,strikeout,swinging_strike,,,,,,Andrew Benintendi strikes out swinging.,S,L,R,CWS,CLE,S,2,,0,2,2024,,,,,,545358,621545,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,0.0,,0,0,,42,3,,1,8,1,8,8,1,1,8,,,,-0.01,-0.186,,,,0.186,,-7,-7,0.029,0.029,26,29,26,30,1,2,,,,,,,,
,2024-03-18,,,,"Benton, Trey",643217,668998,,swinging_strike,,,,,,Andrew Benintendi strikes out swinging.,S,L,R,CWS,CLE,S,,,0,1,2024,,,,,,545358,621545,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,,,,,,42,2,,1,8,1,8,8,1,1,8,,,,0.0,-0.046,,,,0.046,,-7,-7,0.029,0.029,26,29,26,30,1,2,,,,,,,,
,2024-03-18,,,,"Benton, Trey",643217,668998,,swinging_strike,,,,,,Andrew Benintendi strikes out swinging.,S,L,R,CWS,CLE,S,,,0,0,2024,,,,,,545358,621545,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,,,,,,42,1,,1,8,1,8,8,1,1,8,,,,0.0,-0.048,,,,0.048,,-7,-7,0.029,0.029,26,29,26,30,1,2,,,,,,,,
,2024-03-18,,,,"Benton, Trey",664901,668998,field_out,hit_into_play,,,,,,Danny Mendick flies out to second baseman José Tena.,S,R,R,CWS,CLE,X,4,fly_ball,0,0,2024,,,,,,545358,621545,1,4,Bot,148.38,116.95,,,,,,,,,,,,,,,,,,,747906,595978,681807,677588,682177,677587,691277,664702,800050,,,,0.0,,0,0,,41,1,,1,8,1,8,8,1,1,8,,,,-0.014,-0.239,,,,0.239,,-7,-7,0.043,0.043,26,30,26,31,1,1,,,,,,,,
