pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-29,95.5,-0.65,5.53,"Berroa, Prelander",679529,672860,walk,ball,,,,,14,Spencer Torkelson walks. Matt Vierling scores. Wenceel Pérez to 3rd. Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,3,2,2024,-0.53,1.55,1.37,1.89,663837,672761,690291,2,8,Bot,,,,,,,6.497373084738096,-138.79799186812195,-7.426984534945393,-8.314681589979346,30.28378476180777,-10.680394306762723,3.41,1.57,,,,95.2,2329,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.36,,0.689131,0.7,1,0,0,,77,6,4-Seam Fastball,4,9,4,9,9,5,5,9,Standard,Standard,206,0.035,0.251,,,,-0.251,,-5,-5,0.032,0.032,24,24,24,25,1,3,2,1,,2,0.95,0.53,0.53,46.7
FF,2024-09-29,94.6,-0.6,5.62,"Berroa, Prelander",679529,672860,,called_strike,,,,,2,Spencer Torkelson walks. Matt Vierling scores. Wenceel Pérez to 3rd. Jace Jung to 2nd.,R,R,R,DET,CWS,S,,,3,1,2024,-0.64,1.32,-0.21,2.98,663837,672761,690291,2,8,Bot,,,,,,,2.4218249732501644,-137.75914930476983,-4.157918378889539,-8.639016555213614,29.367805534379976,-14.66817071333632,3.48,1.57,,,,94.4,2250,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.45,,,,,,,,77,5,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,211,0.0,-0.07,,,,0.07,,-5,-5,0.032,0.032,24,24,24,25,1,3,2,1,,2,1.22,0.64,0.64,49.1
FF,2024-09-29,95.9,-0.65,5.61,"Berroa, Prelander",679529,672860,,called_strike,,,,,7,Spencer Torkelson walks. Matt Vierling scores. Wenceel Pérez to 3rd. Jace Jung to 2nd.,R,R,R,DET,CWS,S,,,3,0,2024,-0.73,1.35,-0.59,1.84,663837,672761,690291,2,8,Bot,,,,,,,1.811323025796896,-139.5337699745924,-7.378772979811859,-9.886666849082806,31.264023385401305,-13.116711034874864,3.41,1.57,,,,95.6,2408,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.37,,,,,,,,77,4,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,214,0.0,-0.065,,,,0.065,,-5,-5,0.032,0.032,24,24,24,25,1,3,2,1,,2,1.13,0.73,0.73,46.5
SL,2024-09-29,86.4,-0.7,5.67,"Berroa, Prelander",679529,672860,,ball,,,,,14,Spencer Torkelson walks. Matt Vierling scores. Wenceel Pérez to 3rd. Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,2,0,2024,0.28,0.29,0.32,1.17,663837,672761,690291,2,8,Bot,,,,,,,1.8609455487903916,-125.85241296650524,-5.11894926108753,2.628709000054592,24.692848446998937,-28.241161424819975,3.43,1.52,,,,86.1,2471,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.54,,,,,,,,77,3,Slider,4,9,4,9,9,4,4,9,Standard,Standard,114,0.0,0.108,,,,-0.108,,-5,-5,0.032,0.032,24,24,24,25,1,3,2,1,,2,2.74,-0.28,-0.28,51.4
SL,2024-09-29,84.9,-0.73,5.67,"Berroa, Prelander",679529,672860,,ball,,,,,11,Spencer Torkelson walks. Matt Vierling scores. Wenceel Pérez to 3rd. Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,1,0,2024,0.54,0.16,-1.24,2.79,663837,672761,690291,2,8,Bot,,,,,,,-2.2412561514349876,-123.75068677102053,-0.790143672259336,5.974253644798801,22.851878595420853,-30.61307022405252,3.41,1.52,,,,84.6,2357,5.8,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.65,,,,,,,,77,2,Slider,4,9,4,9,9,4,4,9,Standard,Standard,155,0.0,0.088,,,,-0.088,,-5,-5,0.032,0.032,24,24,24,25,1,3,2,1,,2,2.98,-0.54,-0.54,48.5
FF,2024-09-29,96.3,-0.8,5.59,"Berroa, Prelander",679529,672860,,ball,,,,,13,Spencer Torkelson walks. Matt Vierling scores. Wenceel Pérez to 3rd. Jace Jung to 2nd.,R,R,R,DET,CWS,B,,,0,0,2024,-0.83,1.25,-0.15,1.45,663837,672761,690291,2,8,Bot,,,,,,,3.565083320511995,-140.11623657509287,-8.235660670608844,-11.689478577546923,31.035697787222425,-14.057599225627138,3.54,1.62,,,,96.1,2213,6.2,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.34,,,,,,,,77,1,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210,0.0,0.031,,,,-0.031,,-5,-5,0.032,0.032,24,24,24,25,1,3,2,1,,2,1.2,0.83,0.83,49.0
SL,2024-09-29,84.6,-0.44,5.75,"Berroa, Prelander",690291,672860,walk,ball,,,,,11,Jace Jung walks. Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,3,2,2024,0.27,-0.04,-0.51,4.03,663837,,672761,2,8,Bot,,,,,,,-0.6974484754022129,-123.35015561585742,2.2660917634458624,2.8698997324893325,21.166364734768297,-33.111306590555145,3.07,1.41,,,,84.7,2501,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.55,,0.689131,0.7,1,0,0,,76,6,Slider,4,9,4,9,9,4,4,9,Standard,Standard,96,0.016,0.178,,,,-0.178,,-5,-5,0.016,0.016,24,23,24,24,1,0,2,1,,10,3.17,-0.27,0.27,56.5
SL,2024-09-29,85.5,-0.53,5.69,"Berroa, Prelander",690291,672860,,called_strike,,,,,5,Jace Jung walks. Wenceel Pérez to 2nd.,R,L,R,DET,CWS,S,,,3,1,2024,0.36,0.08,-0.23,2.28,663837,,672761,2,8,Bot,,,,,,,-0.0193919912847208,-124.62376805261655,-1.9559376442529703,3.8223240233229,23.75483812454537,-31.193401696650195,2.94,1.39,,,,85.3,2316,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.57,,,,,,,,76,5,Slider,4,9,4,9,9,4,4,9,Standard,Standard,130,0.0,-0.075,,,,0.075,,-5,-5,0.016,0.016,24,23,24,24,1,0,2,1,,10,3.02,-0.36,0.36,48.4
SL,2024-09-29,85.8,-0.55,5.76,"Berroa, Prelander",690291,672860,,ball,,,,,11,Jace Jung walks. Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,2,1,2024,0.38,-0.07,-1.21,3.94,663837,,672761,2,8,Bot,,,,,,,-2.3101665885904956,-125.02747972486016,1.9767804312463304,4.433968844634774,21.22386448128515,-33.41582379286834,3.02,1.36,,,,85.9,2468,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.57,,,,,,,,76,4,Slider,4,9,4,9,9,4,4,9,Standard,Standard,100,0.0,0.098,,,,-0.098,,-5,-5,0.016,0.016,24,23,24,24,1,0,2,1,,10,3.12,-0.38,0.38,50.4
FF,2024-09-29,96.8,-0.49,5.64,"Berroa, Prelander",690291,672860,,blocked_ball,,,,,14,Jace Jung walks. Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,1,1,2024,-0.54,1.49,0.04,0.25,663837,,672761,2,8,Bot,,,,,,,2.6609610084444357,-140.54949880263013,-12.228763647288233,-7.815713355729019,29.18952672867762,-9.93169834791431,3.15,1.39,,,,96.9,2379,6.3,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.2,,,,,,,,76,3,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,211,0.0,0.024,,,,-0.024,,-5,-5,0.016,0.016,24,23,24,24,1,0,2,1,,10,0.94,0.54,-0.54,49.7
FF,2024-09-29,95.2,-0.48,5.71,"Berroa, Prelander",690291,672860,,foul,,,,,3,Jace Jung walks. Wenceel Pérez to 2nd.,R,L,R,DET,CWS,S,,,1,0,2024,-0.32,1.32,0.82,2.83,663837,,672761,2,8,Bot,,,,,,,4.124271932612991,-138.62699943864828,-4.902201414025962,-5.045623384789541,28.3176478399241,-14.287586664558836,3.31,1.54,125,63.1,69,95.2,2073,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.46,,,,,,,,76,2,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210,0.0,-0.045,72.6,7.3,,0.045,88.0,-5,-5,0.016,0.016,24,23,24,24,1,0,2,1,,10,1.18,0.32,-0.32,49.2
FF,2024-09-29,95.7,-0.57,5.67,"Berroa, Prelander",690291,672860,,ball,,,,,11,Jace Jung walks. Wenceel Pérez to 2nd.,R,L,R,DET,CWS,B,,,0,0,2024,-0.37,1.08,-0.75,3.87,663837,,672761,2,8,Bot,,,,,,,0.363464987359972,-139.4282474704346,-1.6078248339894314,-4.985252419626754,29.406589393087028,-17.840734963074727,3.23,1.52,,,,95.8,1999,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.39,,,,,,,,76,1,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210,0.0,0.03,,,,-0.03,,-5,-5,0.016,0.016,24,23,24,24,1,0,2,1,,10,1.39,0.37,-0.37,49.4
FF,2024-09-29,95.6,-0.46,5.64,"Berroa, Prelander",672761,672860,single,hit_into_play,,,,,4,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr. Matt Vierling to 3rd.,R,L,R,DET,CWS,X,8,ground_ball,3,2,2024,-0.68,1.39,-0.6,2.39,,,663837,2,8,Bot,141.62,98.0,,,,,1.1608972819562382,-139.24912132220877,-6.075426432981904,-9.052804430539592,30.867904433029835,-12.948675479245336,3.13,1.45,87,76.9,7,95.3,2345,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.47,0.289,0.273,0.9,1,1,0,2,75,6,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,210,0.006,0.308,72.5,7.0,0.327,-0.308,88.0,-5,-5,0.01,0.01,24,24,24,25,1,3,2,1,,2,1.1,0.68,-0.68,52.4
FF,2024-09-29,96.5,-0.63,5.64,"Berroa, Prelander",672761,672860,,called_strike,,,,,11,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr. Matt Vierling to 3rd.,R,L,R,DET,CWS,S,,,3,1,2024,-0.48,1.45,-0.12,3.42,,,663837,2,8,Bot,,,,,,,2.460148353676006,-140.5404970519485,-3.6333750095395017,-6.931936439859103,32.09520175226578,-12.380553969743628,3.28,1.62,,,,96.2,2426,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.4,,,,,,,,75,5,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,209,0.0,-0.065,,,,0.065,,-5,-5,0.01,0.01,24,24,24,25,1,3,2,1,,2,1.0,0.48,-0.48,47.0
FF,2024-09-29,96.5,-0.32,5.73,"Berroa, Prelander",672761,672860,,ball,,,,,12,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr. Matt Vierling to 3rd.,R,L,R,DET,CWS,B,,,2,1,2024,-0.47,1.48,0.97,2.3,,,663837,2,8,Bot,,,,,,,4.485280488597852,-140.3660094746459,-6.886425633284776,-7.237172907535742,32.02634534063969,-11.28374579255903,3.12,1.44,,,,96.1,2452,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.38,,,,,,,,75,4,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,208,0.0,0.078,,,,-0.078,,-5,-5,0.01,0.01,24,24,24,25,1,3,2,1,,2,0.97,0.47,-0.47,53.4
SL,2024-09-29,88.1,-0.6,5.69,"Berroa, Prelander",672761,672860,,ball,,,,,13,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr. Matt Vierling to 3rd.,R,L,R,DET,CWS,B,,,1,1,2024,0.19,0.32,-1.19,1.14,,,663837,2,8,Bot,,,,,,,-1.8229203606240472,-128.2553056596196,-5.627523134676805,2.4779697156360485,25.129301149164853,-27.698523193304368,3.07,1.41,,,,87.7,2488,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.59,,,,,,,,75,3,Slider,4,9,4,9,9,4,4,9,Standard,Standard,182,0.0,0.05,,,,-0.05,,-5,-5,0.01,0.01,24,24,24,25,1,3,2,1,,2,2.6,-0.19,0.19,51.7
FF,2024-09-29,98.0,-0.39,5.76,"Berroa, Prelander",672761,672860,,ball,,,,,11,Wenceel Pérez singles on a ground ball to center fielder Luis Robert Jr. Matt Vierling to 3rd.,R,L,R,DET,CWS,B,,,0,1,2024,-0.51,1.34,-1.17,4.81,,,663837,2,8,Bot,,,,,,,-0.921783830529872,-142.72241030333316,-0.1747795013984676,-6.771486774561171,33.27525129129094,-14.004548805200978,3.12,1.49,,,,97.5,2377,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.52,,,,,,,,75,2,4-Seam Fastball,4,9,4,9,9,4,4,9,Standard,Standard,206,0.0,0.032,,,,-0.032,,-5,-5,0.01,0.01,24,24,24,25,1,3,2,1,,2,1.03,0.51,-0.51,52.7
