pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-09-28,83.2,-1.77,5.59,"Bird, Jake",571771,656234,field_out,hit_into_play,,,,,8,"Enrique Hernández grounds out, third baseman Ryan McMahon to first baseman Michael Toglia.",R,R,R,COL,LAD,X,5,ground_ball,2,2,2024,1.13,-0.57,0.12,2.1,606192,571970,669242,2,9,Top,100.66,163.34,,,,,2.115010794908564,-121.21268001063748,-0.4792456636216954,10.858255781279674,22.082853131110458,-37.96760660725057,3.35,1.63,14,91.8,-8,83.1,2869,6.0,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.46,0.209,0.184,0.0,1,0,0,2,81,5,Curveball,2,13,13,2,13,2,13,2,Strategic,Standard,67,0.0,-0.268,68.3,7.7,0.24,0.268,91.8,-11,11,0.0,1.0,28,32,29,33,1,5,2,1,,1,3.84,-1.13,-1.13,26.5
SL,2024-09-28,88.1,-2.41,5.14,"Bird, Jake",571771,656234,,blocked_ball,,,,,14,"Enrique Hernández grounds out, third baseman Ryan McMahon to first baseman Michael Toglia.",R,R,R,COL,LAD,B,,,1,2,2024,0.46,0.09,0.91,0.76,606192,571970,669242,2,9,Top,,,,,,,7.076421817046601,-128.19623844688476,-4.763755858303815,3.789471243988229,23.549833247875384,-30.46246778119872,3.35,1.68,,,,88.0,2675,6.0,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.54,,,,,,,,81,4,Slider,2,13,13,2,13,2,13,2,Strategic,Standard,79,0.0,0.052,,,,-0.052,,-11,11,0.0,1.0,28,32,29,33,1,5,2,1,,1,2.82,-0.46,-0.46,16.7
SI,2024-09-28,95.6,-2.32,5.26,"Bird, Jake",571771,656234,,called_strike,,,,,5,"Enrique Hernández grounds out, third baseman Ryan McMahon to first baseman Michael Toglia.",R,R,R,COL,LAD,S,,,1,1,2024,-0.89,0.24,0.04,2.19,606192,571970,669242,2,9,Top,,,,,,,8.192396678962119,-139.16196747491702,-3.0845146889447923,-13.244507102998725,26.638950479936156,-28.581325955122313,3.35,1.67,,,,95.9,1894,6.1,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.4,,,,,,,,81,3,Sinker,2,13,13,2,13,2,13,2,Strategic,Standard,246,0.0,-0.05,,,,0.05,,-11,11,0.0,1.0,28,32,29,33,1,5,2,1,,1,2.22,0.89,0.89,18.3
SL,2024-09-28,85.9,-2.37,4.87,"Bird, Jake",571771,656234,,ball,,,,,14,"Enrique Hernández grounds out, third baseman Ryan McMahon to first baseman Michael Toglia.",R,R,R,COL,LAD,B,,,0,1,2024,0.64,0.09,1.43,0.75,606192,571970,669242,2,9,Top,,,,,,,7.658163729075343,-124.97230827349402,-3.729147455372438,5.400565262403704,22.840521142919336,-30.733724105490623,3.37,1.67,,,,85.8,2710,6.0,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.48,,,,,,,,81,2,Slider,2,13,13,2,13,2,13,2,Strategic,Standard,84,0.0,0.031,,,,-0.031,,-11,11,0.0,1.0,28,32,29,33,1,5,2,1,,1,2.98,-0.64,-0.64,15.3
SL,2024-09-28,85.5,-2.44,5.02,"Bird, Jake",571771,656234,,called_strike,,,,,9,"Enrique Hernández grounds out, third baseman Ryan McMahon to first baseman Michael Toglia.",R,R,R,COL,LAD,S,,,0,0,2024,0.55,-0.01,0.43,2.0,606192,571970,669242,2,9,Top,,,,,,,5.59001617633293,-124.52762248946586,-0.91347005676709,4.830118733112776,22.021880408981797,-32.334046093025904,3.35,1.64,,,,85.2,2646,5.8,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.71,,,,,,,,81,1,Slider,2,13,13,2,13,2,13,2,Strategic,Standard,84,0.0,-0.044,,,,0.044,,-11,11,0.0,1.0,28,32,29,33,1,5,2,1,,1,3.09,-0.55,-0.55,17.6
SL,2024-09-28,86.1,-2.44,5.08,"Bird, Jake",669242,656234,hit_by_pitch,hit_by_pitch,,,,,14,Tommy Edman hit by pitch.,R,L,R,COL,LAD,B,,,0,1,2024,0.72,0.1,1.94,0.6,606192,571970,,2,9,Top,,,,,,,8.893256615685097,-125.17438343508336,-4.629803411009334,6.019892411098691,23.119567077665245,-30.37194591006678,3.25,1.48,,,,85.9,2757,6.1,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.45,,0.720192,0.7,1,0,0,,80,2,Slider,2,13,13,2,13,2,13,2,Infield shade,Standard,75,0.0,0.185,,,,-0.185,,-11,11,0.0,1.0,28,29,29,29,1,5,2,1,,1,2.95,-0.72,0.72,14.0
CU,2024-09-28,80.1,-2.13,5.41,"Bird, Jake",669242,656234,,called_strike,,,,,7,Tommy Edman hit by pitch.,R,L,R,COL,LAD,S,,,0,0,2024,1.1,-0.67,-0.72,1.86,606192,571970,,2,9,Top,,,,,,,1.052765375630918,-116.80573091849408,0.0657421153264583,9.9182096819604,20.460816920565872,-38.54078282173851,3.14,1.32,,,,80.1,2811,6.0,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.47,,,,,,,,80,1,Curveball,2,13,13,2,13,2,13,2,Standard,Standard,64,0.0,-0.046,,,,0.046,,-11,11,0.0,1.0,28,29,29,29,1,5,2,1,,1,4.19,-1.1,1.1,33.1
SL,2024-09-28,84.5,-2.47,4.91,"Bird, Jake",669257,656234,field_out,hit_into_play,,,,,12,Will Smith flies out to second baseman Aaron Schunk.,R,R,R,COL,LAD,X,4,fly_ball,1,0,2024,0.71,0.01,1.1,2.65,606192,571970,,1,9,Top,138.98,117.21,,,,,6.882038631307504,-122.99720323865373,0.99339039645642,6.06883102315301,22.12028710819863,-32.40931670077128,3.28,1.49,209,79.3,58,84.8,2650,6.3,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.24,0.026,0.024,0.0,1,0,0,3,79,2,Slider,2,13,13,2,13,2,13,2,Strategic,Standard,75,0.0,-0.256,67.2,7.9,0.029,0.256,88.0,-11,11,0.0,1.0,28,29,29,29,1,5,2,2,,7,3.15,-0.71,-0.71,14.3
FC,2024-09-28,93.6,-2.06,5.44,"Bird, Jake",669257,656234,,ball,,,,,14,Will Smith flies out to second baseman Aaron Schunk.,R,R,R,COL,LAD,B,,,0,0,2024,0.05,0.84,1.98,1.55,606192,571970,,1,9,Top,,,,,,,10.297432779963264,-136.09757315031382,-6.246678137729581,-1.1423409108669964,23.036727272766115,-20.59410384829043,3.28,1.52,,,,94.2,2469,6.2,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.33,,,,,,,,79,1,Cutter,2,13,13,2,13,2,13,2,Standard,Standard,204,0.0,0.025,,,,-0.025,,-11,11,0.0,1.0,28,29,29,29,1,5,2,2,,7,1.72,-0.05,-0.05,28.9
SI,2024-09-28,95.3,-2.48,5.01,"Bird, Jake",571970,656234,double,hit_into_play,,,,,6,Max Muncy doubles (17) on a sharp line drive to right fielder Jake Cave. Chris Taylor scores. Gavin Lux scores. Teoscar Hernández to 3rd.,R,L,R,COL,LAD,X,9,line_drive,1,0,2024,-0.89,0.15,0.62,2.33,621035,666158,606192,1,9,Top,219.76,78.25,,,,,10.083493244045574,-138.68916295802796,-1.8416713687488389,-13.495410885876543,24.17326473672608,-30.036363086167835,3.03,1.53,319,105.6,19,95.5,1994,5.9,746499,691011,669911,668845,641857,678662,666134,656541,595909,54.6,0.611,0.824,1.25,1,1,1,6,78,2,Sinker,2,11,11,2,13,2,13,2,Standard,Standard,249,0.0,0.66,70.4,6.6,1.382,-0.66,105.6,-9,9,0.0,1.0,28,33,29,34,1,5,2,2,,1,2.31,0.89,-0.89,14.0
