pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-07-23,86.7,-3.08,5.52,"Bloss, Jake",671732,814005,field_out,hit_into_play,,,,,14,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.",R,L,R,OAK,HOU,X,3,ground_ball,1,2,2024,-0.02,0.61,1.0,1.3,,,,2,4,Bot,160.54,160.56,,,,,9.910594354069053,-125.92060998996092,-5.189684454718286,-2.2361368820970697,25.623763092259185,-24.734440617516015,3.74,1.78,6,75.2,-14,87.8,2408,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.43,0.063,0.058,0.0,1,0,0,2,33,6,Slider,5,1,5,1,1,5,5,1,Infield shade,Standard,184,-0.003,-0.18,69.8,7.9,0.081,0.18,88.0,4,4,0.908,0.908,23,23,23,24,3,2,12,1,,1,2.43,0.02,-0.02,39.6
FF,2024-07-23,92.5,-2.82,5.58,"Bloss, Jake",671732,814005,,ball,,,,,14,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.",R,L,R,OAK,HOU,B,,,0,2,2024,-0.64,1.53,0.9,0.58,,,,2,4,Bot,,,,,,,10.955928539866772,-133.7168921699349,-10.210202485951656,-10.362914372202152,34.17427174606876,-11.4996102917828,3.67,1.76,,,,92.4,2424,7.0,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.46,,,,,,,,33,5,4-Seam Fastball,5,1,5,1,1,5,5,1,Infield shade,Standard,211,0.0,0.023,,,,-0.023,,4,4,0.908,0.908,23,23,23,24,3,2,12,1,,1,1.21,0.64,-0.64,43.6
FF,2024-07-23,91.8,-2.83,5.63,"Bloss, Jake",671732,814005,,foul,,,,,1,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.",R,L,R,OAK,HOU,S,,,0,2,2024,-0.49,1.47,-0.62,3.36,,,,2,4,Bot,,,,,,,6.750133218182535,-133.4907533190433,-3.055612990843308,-7.417340560771185,30.610116503999244,-14.189905380141852,3.74,1.78,290,87.1,43,92.5,2335,6.9,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.63,,,,,,,,33,4,4-Seam Fastball,5,1,5,1,1,5,5,1,Infield shade,Standard,213,0.0,0.0,69.1,6.1,,0.0,88.0,4,4,0.908,0.908,23,23,23,24,3,2,12,1,,1,1.25,0.49,-0.49,40.6
FF,2024-07-23,91.8,-2.77,5.6,"Bloss, Jake",671732,814005,,foul,,,,,4,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.",R,L,R,OAK,HOU,S,,,0,2,2024,-0.56,1.47,-0.58,2.85,,,,2,4,Bot,,,,,,,6.817408232668988,-133.4979422493212,-4.324543802206189,-8.211215189290774,29.01341512008353,-13.821895327119424,3.74,1.78,186,77.1,18,92.7,2409,6.9,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.64,,,,,,,,33,3,4-Seam Fastball,5,1,5,1,1,5,5,1,Infield shade,Standard,209,0.0,0.0,62.8,5.6,,0.0,88.0,4,4,0.908,0.908,23,23,23,24,3,2,12,1,,1,1.24,0.56,-0.56,43.0
FF,2024-07-23,91.4,-2.82,5.62,"Bloss, Jake",671732,814005,,called_strike,,,,,7,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.",R,L,R,OAK,HOU,S,,,0,1,2024,-0.78,1.33,-0.43,2.34,,,,2,4,Bot,,,,,,,7.764642682300967,-132.76674947921103,-5.267240507521479,-10.845614166663818,28.485828013116723,-15.444459507596832,3.78,1.81,,,,92.1,2355,6.8,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.68,,,,,,,,33,2,4-Seam Fastball,5,1,5,1,1,5,5,1,Infield shade,Standard,211,0.0,-0.058,,,,0.058,,4,4,0.908,0.908,23,23,23,24,3,2,12,1,,1,1.4,0.78,-0.78,39.5
SL,2024-07-23,87.3,-3.09,5.54,"Bloss, Jake",671732,814005,,called_strike,,,,,1,"Lawrence Butler grounds out, first baseman Jon Singleton to pitcher Jake Bloss.",R,L,R,OAK,HOU,S,,,0,0,2024,0.29,0.84,-0.37,3.42,,,,2,4,Bot,,,,,,,6.027403460707758,-127.02791106448991,-0.6833659234355404,1.892929134744077,25.29564868327171,-23.13188152506811,3.76,1.8,,,,88.6,2423,7.0,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.46,,,,,,,,33,1,Slider,5,1,5,1,1,5,5,1,Infield shade,Standard,180,0.0,-0.041,,,,0.041,,4,4,0.908,0.908,23,23,23,24,3,2,12,1,,1,2.14,-0.29,0.29,39.9
SL,2024-07-23,84.9,-2.87,5.5,"Bloss, Jake",680474,814005,field_out,hit_into_play,,,,,4,Max Schuemann flies out to left fielder Yordan Alvarez.,R,R,R,OAK,HOU,X,7,fly_ball,2,1,2024,0.4,0.46,-0.28,2.79,,,,1,4,Bot,88.77,110.03,,,,,5.324521244616118,-123.53754964607838,-0.8785732148809852,2.925458066586472,26.708971721536635,-27.49306138302463,3.42,1.63,241,76.3,44,85.8,2366,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.44,0.094,0.088,0.0,1,0,0,3,32,4,Slider,5,1,5,1,1,5,5,1,Standard,Standard,174,-0.005,-0.302,75.9,6.6,0.114,0.302,88.0,4,4,0.913,0.913,23,27,23,27,2,1,12,1,,1,2.72,-0.4,-0.4,44.4
SL,2024-07-23,86.1,-2.94,5.44,"Bloss, Jake",680474,814005,,called_strike,,,,,6,Max Schuemann flies out to left fielder Yordan Alvarez.,R,R,R,OAK,HOU,S,,,2,0,2024,0.1,0.68,0.36,2.41,,,,1,4,Bot,,,,,,,7.745271934735388,-125.1346540566026,-2.349155144799687,-0.4963899887540321,25.700146358228505,-24.7487788870144,3.45,1.67,,,,87.2,2473,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.39,,,,,,,,32,3,Slider,5,1,5,1,1,5,5,1,Standard,Standard,175,0.0,-0.065,,,,0.065,,4,4,0.913,0.913,23,27,23,27,2,1,12,1,,1,2.41,-0.1,-0.1,39.2
ST,2024-07-23,81.6,-2.96,5.51,"Bloss, Jake",680474,814005,,ball,,,,,11,Max Schuemann flies out to left fielder Yordan Alvarez.,R,R,R,OAK,HOU,B,,,1,0,2024,0.45,0.63,-1.0,2.95,,,,1,4,Bot,,,,,,,3.588636356757625,-118.70922577392864,-0.260902419742396,3.3914342598338214,27.05616488681168,-26.461613692747175,3.45,1.67,,,,82.1,2323,7.1,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.44,,,,,,,,32,2,Sweeper,5,1,5,1,1,5,5,1,Standard,Standard,112,0.0,0.072,,,,-0.072,,4,4,0.913,0.913,23,27,23,27,2,1,12,1,,1,2.85,-0.45,-0.45,39.8
SL,2024-07-23,85.5,-3.03,5.53,"Bloss, Jake",680474,814005,,ball,,,,,11,Max Schuemann flies out to left fielder Yordan Alvarez.,R,R,R,OAK,HOU,B,,,0,0,2024,0.2,0.58,0.0,4.03,,,,1,4,Bot,,,,,,,6.795325140439521,-124.2708373978062,1.6464152498721338,0.6698232421905644,26.236701129591477,-26.731656472090684,3.45,1.56,,,,86.3,2445,7.0,745632,605170,572138,514888,608324,665161,670541,676694,694388,53.55,,,,,,,,32,1,Slider,5,1,5,1,1,5,5,1,Standard,Standard,176,0.0,0.039,,,,-0.039,,4,4,0.913,0.913,23,27,23,27,2,1,12,1,,1,2.55,-0.2,-0.2,39.7
