pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-29,99.8,-1.33,6.05,"Boyle, Joe",660844,671212,field_out,hit_into_play,,,,,6,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,X,8,fly_ball,3,1,2024,-0.57,1.36,0.55,2.26,593871,,645302,2,6,Bot,143.48,84.4,,,,,6.534234380056233,-145.01942354806997,-8.244947014626936,-9.68222699703662,35.8907957667228,-11.261934634276384,3.31,1.5,290,85.7,40,100.0,2591,6.6,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.88,0.011,0.019,0.0,1,0,0,3,48,5,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,214,-0.002,-0.406,68.8,7.4,0.031,0.406,88.0,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.95,0.57,-0.57,44.3
FF,2024-09-29,99.8,-1.27,6.05,"Boyle, Joe",660844,671212,,ball,,,,,11,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,B,,,2,1,2024,-0.5,1.38,-1.5,3.32,593871,,645302,2,6,Bot,,,,,,,0.5525073041042527,-145.2817439325536,-5.401720332414453,-7.217522644925194,35.39639725651204,-11.525545576126325,3.36,1.56,,,,100.0,2477,6.5,745201,668832,691016,680869,663527,669397,663662,668709,664913,54.01,,,,,,,,48,4,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,214,0.0,0.098,,,,-0.098,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.91,0.5,-0.5,44.8
FF,2024-09-29,100.2,-1.46,6.04,"Boyle, Joe",660844,671212,,ball,,,,,11,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,B,,,1,1,2024,-0.49,1.45,-1.45,3.18,593871,,645302,2,6,Bot,,,,,,,1.192656728707512,-145.89173105545856,-6.0028196143165315,-7.301664390354191,35.06613436433305,-10.235730687930674,3.41,1.62,,,,100.6,2539,6.5,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.98,,,,,,,,48,3,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,213,0.0,0.024,,,,-0.024,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.82,0.49,-0.49,46.7
FF,2024-09-29,100.0,-1.28,6.06,"Boyle, Joe",660844,671212,,called_strike,,,,,4,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,S,,,1,0,2024,-0.46,1.58,-0.5,2.74,593871,,645302,2,6,Bot,,,,,,,3.2393610440234974,-145.41890149674498,-7.491764897308539,-7.342001689527999,36.249944837421374,-8.274487039493549,3.4,1.57,,,,100.2,2532,6.6,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.93,,,,,,,,48,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,213,0.0,-0.045,,,,0.045,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,0.72,0.46,-0.46,40.3
FF,2024-09-29,99.6,-1.16,5.9,"Boyle, Joe",660844,671212,,ball,,,,,13,Leo Rivas flies out to center fielder JJ Bleday.,R,L,R,SEA,OAK,B,,,0,0,2024,-0.81,1.3,-0.23,1.32,593871,,645302,2,6,Bot,,,,,,,4.514239240846324,-144.69731111364234,-10.255705838479065,-12.420852186036866,34.978133140344084,-11.7051108252145,3.33,1.6,,,,100.1,2562,6.8,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.74,,,,,,,,48,1,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,214,0.0,0.03,,,,-0.03,,6,6,0.988,0.988,24,26,25,27,1,0,4,2,,,1.01,0.81,-0.81,42.9
FF,2024-09-29,100.5,-1.32,6.03,"Boyle, Joe",645302,671212,force_out,hit_into_play,,,,,14,"Victor Robles grounds into a force out, first baseman Tyler Soderstrom to shortstop Nick Allen.   Jorge Polanco to 3rd.    J.P. Crawford out at 2nd.    Victor Robles to 1st.",R,R,R,SEA,OAK,X,3,ground_ball,3,2,2024,-0.26,1.59,0.93,1.94,,593871,641487,1,6,Bot,148.99,161.15,,,,,6.8823368225127455,-145.91928828238676,-9.769819129305622,-5.395900635921987,35.84690201030015,-7.243748508413868,3.07,1.43,5,83.6,-20,100.7,2664,6.6,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.89,0.066,0.068,0.0,1,0,0,2,47,6,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,212,-0.002,-0.364,61.7,6.0,0.068,0.364,88.0,6,6,0.99,0.99,24,27,25,27,1,3,4,1,,,0.68,0.26,0.26,39.9
SL,2024-09-29,90.1,-1.26,5.92,"Boyle, Joe",645302,671212,,ball,,,,,14,"Victor Robles grounds into a force out, first baseman Tyler Soderstrom to shortstop Nick Allen.   Jorge Polanco to 3rd.    J.P. Crawford out at 2nd.    Victor Robles to 1st.",R,R,R,SEA,OAK,B,,,2,2,2024,0.42,-0.09,1.9,1.23,,593871,641487,1,6,Bot,,,,,,,6.976657769260276,-131.00816012790307,-5.4432922769222944,3.184369317843452,29.763155840409368,-32.21796797397159,3.07,1.4,,,,90.2,2389,6.6,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.95,,,,,,,,47,5,Slider,6,0,6,0,0,6,6,0,Standard,Standard,79,0.0,0.086,,,,-0.086,,6,6,0.99,0.99,24,27,25,27,1,3,4,1,,,2.92,-0.42,-0.42,42.2
FF,2024-09-29,99.9,-1.27,6.06,"Boyle, Joe",645302,671212,,ball,,,,,11,"Victor Robles grounds into a force out, first baseman Tyler Soderstrom to shortstop Nick Allen.   Jorge Polanco to 3rd.    J.P. Crawford out at 2nd.    Victor Robles to 1st.",R,R,R,SEA,OAK,B,,,1,2,2024,-0.46,1.41,-0.62,3.8,,593871,641487,1,6,Bot,,,,,,,2.889971935206659,-145.39048092780482,-4.145155974925657,-7.230840314979422,36.103784882733486,-11.5036451987657,3.06,1.43,,,,100.0,2506,6.5,745201,668832,691016,680869,663527,669397,663662,668709,664913,54.02,,,,,,,,47,4,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,212,0.0,0.035,,,,-0.035,,6,6,0.99,0.99,24,27,25,27,1,3,4,1,,,0.89,0.46,0.46,41.5
FF,2024-09-29,100.1,-1.28,5.98,"Boyle, Joe",645302,671212,,swinging_strike,,,,,6,"Victor Robles grounds into a force out, first baseman Tyler Soderstrom to shortstop Nick Allen.   Jorge Polanco to 3rd.    J.P. Crawford out at 2nd.    Victor Robles to 1st.",R,R,R,SEA,OAK,S,,,1,1,2024,-0.62,1.34,0.6,2.38,,593871,641487,1,6,Bot,,,,,,,6.698579833090022,-145.52795451944468,-7.754044810535483,-10.388450026819411,34.68123522246776,-11.543399751286964,3.07,1.43,,,,100.6,2496,6.6,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.86,,,,,,,,47,3,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,215,0.0,-0.04,68.0,6.1,,0.04,,6,6,0.99,0.99,24,27,25,27,1,3,4,1,,,0.95,0.62,0.62,38.5
FF,2024-09-29,100.3,-1.32,5.99,"Boyle, Joe",645302,671212,,foul,,,,,3,"Victor Robles grounds into a force out, first baseman Tyler Soderstrom to shortstop Nick Allen.   Jorge Polanco to 3rd.    J.P. Crawford out at 2nd.    Victor Robles to 1st.",R,R,R,SEA,OAK,S,,,1,0,2024,-0.63,1.37,0.67,2.63,,593871,641487,1,6,Bot,,,,,,,7.036653844740711,-145.58438063544844,-7.099694878088607,-10.82629953028263,40.12197247291877,-11.1851714996349,3.07,1.43,232,86.5,53,100.0,2766,6.7,745201,668832,691016,680869,663527,669397,663662,668709,664913,53.81,,,,,,,,47,2,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,210,0.0,-0.054,69.2,6.5,,0.054,88.0,6,6,0.99,0.99,24,27,25,27,1,3,4,1,,,0.94,0.63,0.63,39.9
