pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-03-26,83.2,-1.99,5.77,"Brigham, Jeff",684852,656257,strikeout,called_strike,,,,,11,Geraldo Quintero called out on strikes.,S,L,R,MIN,ATL,S,2,,2,2,2024,1.1,0.24,-0.03,3.04,,,,2,7,Top,,,,,,,2.312791509756658,-121.21549639493595,-0.3379558971521311,10.488330022775376,22.25719580788203,-29.93666498305246,2.9,1.46,,,,82.8,2866,5.9,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.65,,,0.0,,0,0,,57,7,Sweeper,6,6,6,6,6,6,6,6,,,66,0.019,-0.219,,,,0.219,,0,0,0.567,0.433,32,22,32,23,1,1,,,,,3.03,-1.1,1.1,
FC,2024-03-26,91.6,-2.15,5.76,"Brigham, Jeff",684852,656257,,foul,,,,,4,Geraldo Quintero called out on strikes.,S,L,R,MIN,ATL,S,,,2,2,2024,-0.23,1.19,-0.31,2.02,,,,2,7,Top,,,,,,,5.127082870766228,-133.41219839956523,-6.247547688832622,-3.6969931131634337,23.931269904395684,-16.78653696949724,2.9,1.46,264,81.2,52,91.8,2843,6.0,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.48,,,,,,,,57,6,Cutter,6,6,6,6,6,6,6,6,,,202,0.0,0.0,,,,0.0,88.0,0,0,0.567,0.433,32,22,32,23,1,1,,,,,1.48,0.23,-0.23,
FC,2024-03-26,91.4,-2.14,5.7,"Brigham, Jeff",684852,656257,,foul,,,,,12,Geraldo Quintero called out on strikes.,S,L,R,MIN,ATL,S,,,2,2,2024,-0.22,1.4,0.04,3.26,,,,2,7,Top,,,,,,,5.934188829707114,-133.06712232705544,-3.3587017046633023,-3.696201202414633,24.778237575592392,-14.930372776905472,2.9,1.46,232,71.5,39,91.4,2635,6.0,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.51,,,,,,,,57,5,Cutter,6,6,6,6,6,6,6,6,,,203,0.0,0.0,,,,0.0,88.0,0,0,0.567,0.433,32,22,32,23,1,1,,,,,1.3,0.22,-0.22,
FF,2024-03-26,94.1,-2.05,5.94,"Brigham, Jeff",684852,656257,,ball,,,,,11,Geraldo Quintero called out on strikes.,S,L,R,MIN,ATL,B,,,1,2,2024,-1.1,1.21,-1.38,3.63,,,,2,7,Top,,,,,,,4.13870894610241,-137.01628810999017,-2.9487023192046005,-14.754466190781244,31.0448909444476,-16.51290132562329,2.9,1.46,,,,93.4,2437,5.9,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.59,,,,,,,,57,4,4-Seam Fastball,6,6,6,6,6,6,6,6,,,221,0.0,0.039,,,,-0.039,,0,0,0.567,0.433,32,22,32,23,1,1,,,,,1.37,1.1,-1.1,
FC,2024-03-26,89.9,-2.44,5.65,"Brigham, Jeff",684852,656257,,swinging_strike,,,,,2,Geraldo Quintero called out on strikes.,S,L,R,MIN,ATL,S,,,1,1,2024,0.02,0.75,-0.14,2.83,,,,2,7,Top,,,,,,,5.619578085239565,-130.8983472177233,-2.612369945771765,-0.951754011669288,26.70761460093284,-23.19723270558701,2.9,1.46,,,,89.4,2708,5.9,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.64,,,,,,,,57,3,Cutter,6,6,6,6,6,6,6,6,,,198,0.0,-0.064,,,,0.064,,0,0,0.567,0.433,32,22,32,23,1,1,,,,,2.06,-0.02,0.02,
FC,2024-03-26,89.9,-2.26,5.72,"Brigham, Jeff",684852,656257,,ball,,,,,11,Geraldo Quintero called out on strikes.,S,L,R,MIN,ATL,B,,,0,1,2024,-0.08,1.02,-0.21,3.83,,,,2,7,Top,,,,,,,5.203068437740388,-130.9252649670417,-0.8640361554592384,-2.015394699710664,27.873052451003183,-20.501977591756287,2.9,1.46,,,,89.2,2548,5.8,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.7,,,,,,,,57,2,Cutter,6,6,6,6,6,6,6,6,,,196,0.0,0.029,,,,-0.029,,0,0,0.567,0.433,32,22,32,23,1,1,,,,,1.8,0.08,-0.08,
FC,2024-03-26,91.1,-2.27,5.66,"Brigham, Jeff",684852,656257,,foul,,,,,5,Geraldo Quintero called out on strikes.,S,L,R,MIN,ATL,S,,,0,0,2024,-0.05,1.04,0.24,1.99,,,,2,7,Top,,,,,,,6.371857537500824,-132.64487039167884,-5.610016949677943,-1.7471424025251532,24.78999365995212,-18.89135439063531,2.9,1.46,3,77.1,-31,91.3,2534,6.1,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.41,,,,,,,,57,1,Cutter,6,6,6,6,6,6,6,6,,,206,0.0,-0.041,,,,0.041,88.0,0,0,0.567,0.433,32,22,32,23,1,1,,,,,1.68,0.05,-0.05,
FC,2024-03-26,90.1,-2.21,5.76,"Brigham, Jeff",687862,656257,strikeout,swinging_strike,,,,,14,Cody Milligan strikes out swinging.,S,L,R,MIN,ATL,S,2,,1,2,2024,0.07,0.95,1.36,2.06,,,,1,7,Top,,,,,,,8.646070959384826,-130.93802458912683,-5.233281274004522,-0.9008573683184918,25.272091631615673,-20.363702123776235,3.08,1.55,,,,89.7,2528,5.9,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.59,,,0.0,,0,0,,56,4,Cutter,6,6,6,6,6,6,6,6,,,198,0.028,-0.182,,,,0.182,,0,0,0.539,0.461,32,25,32,26,1,1,,,,,1.85,-0.07,0.07,
FF,2024-03-26,93.0,-1.94,5.93,"Brigham, Jeff",687862,656257,,ball,,,,,11,Cody Milligan strikes out swinging.,S,L,R,MIN,ATL,B,,,0,2,2024,-0.73,1.38,-1.77,4.15,,,,1,7,Top,,,,,,,2.016495532187082,-135.38308966392233,-1.7626157607738204,-9.443792934338584,31.410223089279555,-15.08944486176626,3.08,1.55,,,,92.0,2492,5.8,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.67,,,,,,,,56,3,4-Seam Fastball,6,6,6,6,6,6,6,6,,,218,0.0,0.02,,,,-0.02,,0,0,0.539,0.461,32,25,32,26,1,1,,,,,1.27,0.73,-0.73,
FC,2024-03-26,91.5,-2.33,5.77,"Brigham, Jeff",687862,656257,,swinging_strike,,,,,2,Cody Milligan strikes out swinging.,S,L,R,MIN,ATL,S,,,0,1,2024,0.09,1.09,0.07,3.09,,,,1,7,Top,,,,,,,5.814043268844346,-133.11988251713564,-3.209369673645978,-0.2768488470929666,29.616917151993885,-18.68405188636812,3.08,1.55,,,,90.6,2593,5.9,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.64,,,,,,,,56,2,Cutter,6,6,6,6,6,6,6,6,,,201,0.0,-0.057,,,,0.057,,0,0,0.539,0.461,32,25,32,26,1,1,,,,,1.64,-0.09,0.09,
FF,2024-03-26,94.4,-2.11,5.85,"Brigham, Jeff",687862,656257,,called_strike,,,,,6,Cody Milligan strikes out swinging.,S,L,R,MIN,ATL,S,,,0,0,2024,-0.96,1.3,0.51,2.31,,,,1,7,Top,,,,,,,8.869535915258432,-137.0416995658361,-6.329585330644426,-14.062655104577503,31.903402658642538,-14.488882222856947,3.08,1.55,,,,93.5,2386,6.0,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.51,,,,,,,,56,1,4-Seam Fastball,6,6,6,6,6,6,6,6,,,221,0.0,-0.037,,,,0.037,,0,0,0.539,0.461,32,25,32,26,1,1,,,,,1.28,0.96,-0.96,
FF,2024-03-26,93.3,-2.14,5.91,"Brigham, Jeff",800056,656257,field_out,hit_into_play,,,,,11,"Jace Grady grounds out, second baseman Anthony Prato to first baseman Jake Rucker.",S,L,R,MIN,ATL,X,4,ground_ball,0,0,2024,-0.9,1.34,-0.99,2.57,,,,0,7,Top,146.79,150.77,,,,,4.895132029664607,-135.81962568316737,-5.789302800487559,-12.221436169533778,28.017334183885236,-14.459833298039769,3.17,1.6,38,75.2,0,92.9,2324,5.9,747804,675910,696160,668791,592348,571657,679938,680737,681831,54.6,0.111,,0.0,,0,0,2,55,1,4-Seam Fastball,6,6,6,6,6,6,6,6,,,216,0.039,-0.254,,,0.119,0.254,88.0,0,0,0.5,0.5,32,23,32,23,1,1,,,,,1.26,0.9,-0.9,
ST,2024-03-26,83.1,-2.27,5.67,"Brigham, Jeff",695462,656257,strikeout,swinging_strike,,,,,13,Cal Conley strikes out swinging.,S,L,R,MIN,ATL,S,2,,0,2,2024,1.43,0.21,-0.84,2.21,,,691503,2,6,Top,,,,,,,0.4788325454178567,-121.17003943650832,-1.9298669858889397,14.03006315758319,22.601724175400523,-29.9606863749429,3.03,1.53,,,,82.7,2866,5.8,747804,543877,666135,668791,592348,571657,679938,680737,675910,54.72,,,0.0,,0,0,,49,3,Sweeper,4,6,6,4,6,4,6,4,,,70,0.018,-0.169,,,,0.169,,-2,2,0.23,0.77,32,24,32,25,1,0,,,,,3.07,-1.43,1.43,
FF,2024-03-26,95.0,-1.94,5.94,"Brigham, Jeff",695462,656257,,foul,,,,,12,Cal Conley strikes out swinging.,S,L,R,MIN,ATL,S,,,0,1,2024,-0.78,1.43,0.23,3.19,,,691503,2,6,Top,,,,,,,7.353951150482071,-137.95302459426645,-4.597395673811161,-11.76191376373514,35.774654519399014,-13.155027807660606,3.03,1.53,151,74.3,72,93.5,2513,5.9,747804,543877,666135,668791,592348,571657,679938,680737,675910,54.62,,,,,,,,49,2,4-Seam Fastball,4,6,6,4,6,4,6,4,,,214,0.0,-0.054,,,,0.054,88.0,-2,2,0.23,0.77,32,24,32,25,1,0,,,,,1.14,0.78,-0.78,
FC,2024-03-26,91.5,-2.13,5.76,"Brigham, Jeff",695462,656257,,foul,,,,,3,Cal Conley strikes out swinging.,S,L,R,MIN,ATL,S,,,0,0,2024,-0.35,0.98,0.72,2.67,,,691503,2,6,Top,,,,,,,7.911001394645238,-133.21846655257758,-4.133507078564179,-5.703050559434926,24.170544872271098,-19.75464400196731,3.03,1.53,69,98.9,2,91.7,2623,6.0,747804,543877,666135,668791,592348,571657,679938,680737,675910,54.49,,,,,,,,49,1,Cutter,4,6,6,4,6,4,6,4,,,200,0.0,-0.047,,,,0.047,98.9,-2,2,0.23,0.77,32,24,32,25,1,0,,,,,1.7,0.35,-0.35,
FF,2024-03-26,96.0,-1.95,5.95,"Brigham, Jeff",686948,656257,strikeout,swinging_strike,,,,,11,Drake Baldwin strikes out swinging.,S,L,R,MIN,ATL,S,2,,0,2,2024,-0.93,1.54,-0.44,3.64,,,691503,1,6,Top,,,,,,,6.067586091377097,-139.61803551763188,-3.9169038869603656,-13.60826368619049,35.411142411980194,-11.442659493654618,3.21,1.62,,,,94.9,2493,6.0,747804,543877,666135,668791,592348,571657,679938,680737,675910,54.54,,,0.0,,0,0,,48,3,4-Seam Fastball,4,6,6,4,6,4,6,4,,,215,0.02,-0.159,,,,0.159,,-2,2,0.21,0.79,32,23,32,23,1,0,,,,,0.96,0.93,-0.93,
FC,2024-03-26,91.0,-2.23,5.7,"Brigham, Jeff",686948,656257,,swinging_strike,,,,,12,Drake Baldwin strikes out swinging.,S,L,R,MIN,ATL,S,,,0,1,2024,-0.07,1.01,0.24,3.56,,,691503,1,6,Top,,,,,,,6.311927407714632,-132.50963095272692,-1.6837512431300246,-2.0020190130982622,25.113391314854315,-20.071402750989915,3.21,1.62,,,,91.0,2609,6.0,747804,543877,666135,668791,592348,571657,679938,680737,675910,54.49,,,,,,,,48,2,Cutter,4,6,6,4,6,4,6,4,,,198,0.0,-0.052,,,,0.052,,-2,2,0.21,0.79,32,23,32,23,1,0,,,,,1.72,0.07,-0.07,
FF,2024-03-26,95.1,-2.06,5.88,"Brigham, Jeff",686948,656257,,called_strike,,,,,12,Drake Baldwin strikes out swinging.,S,L,R,MIN,ATL,S,,,0,0,2024,-0.96,1.54,0.15,3.5,,,691503,1,6,Top,,,,,,,7.893649127229989,-138.18113251398577,-3.982300723208334,-14.148198430564268,32.39841540754833,-11.77380311774827,3.34,1.69,,,,94.3,2564,6.0,747804,543877,666135,668791,592348,571657,679938,680737,675910,54.48,,,,,,,,48,1,4-Seam Fastball,4,6,6,4,6,4,6,4,,,215,0.0,-0.04,,,,0.04,,-2,2,0.21,0.79,32,23,32,23,1,0,,,,,1.0,0.96,-0.96,
