pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-17,,,,"Burgos, Juan",694374,686228,double,hit_into_play,,,,,,"Tim Tawa doubles (1) on a ground ball to left fielder Isiah Gilliam.   Jose Fernandez scores.    Kevin Graham scores.    Tim Tawa to 3rd.  Tim Tawa advances to 3rd, on a throwing error by left fielder Isiah Gilliam.",S,R,R,SEA,AZ,X,7,ground_ball,0,0,2024,,,,,699912,,681184,2,9,Top,50.18,119.12,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,1.25,,1,1,,69,1,,4,3,3,4,5,4,5,4,,,,-0.678,0.904,,,,-0.904,,1,-1,0.841,0.159,24,25,25,25,1,1,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",681184,686228,walk,ball,,,,,,Kevin Graham walks.,S,L,R,SEA,AZ,B,,,3,0,2024,,,,,699912,,,2,9,Top,,,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,0.7,,0,0,,68,4,,4,3,3,4,3,4,3,4,,,,-0.034,0.052,,,,-0.052,,1,-1,0.875,0.125,24,24,25,25,1,1,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",681184,686228,,ball,,,,,,Kevin Graham walks.,S,L,R,SEA,AZ,B,,,2,0,2024,,,,,699912,,,2,9,Top,,,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,,,,,,68,3,,4,3,3,4,3,4,3,4,,,,0.0,0.031,,,,-0.031,,1,-1,0.875,0.125,24,24,25,25,1,1,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",681184,686228,,ball,,,,,,Kevin Graham walks.,S,L,R,SEA,AZ,B,,,1,0,2024,,,,,699912,,,2,9,Top,,,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,,,,,,68,2,,4,3,3,4,3,4,3,4,,,,0.0,0.055,,,,-0.055,,1,-1,0.875,0.125,24,24,25,25,1,1,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",681184,686228,,ball,,,,,,Kevin Graham walks.,S,L,R,SEA,AZ,B,,,0,0,2024,,,,,699912,,688808,1,9,Top,,,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,,,,,,68,1,,4,3,3,4,3,4,3,4,,,,0.24,0.024,,,,-0.024,,1,-1,0.635,0.365,24,24,25,25,1,1,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",688808,686228,single,hit_into_play,,,,,,David Martin singles on a ground ball to center fielder Jonatan Clase.   Kevin Sim scores.    Jose Fernandez to 3rd.,S,L,R,SEA,AZ,X,8,ground_ball,0,0,2024,,,,,,691726,699912,1,9,Top,146.19,100.29,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,0.9,,1,0,,67,1,,4,2,2,4,3,4,3,4,,,,-0.206,0.48,,,,-0.48,,2,-2,0.841,0.159,24,23,25,24,1,0,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",694211,686228,field_out,hit_into_play,,,,,,Manuel Pena lines out to left fielder Isiah Gilliam.,S,L,R,SEA,AZ,X,7,line_drive,0,0,2024,,,,,,691726,699912,0,9,Top,59.33,104.87,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,0.0,,0,0,,66,1,,4,2,2,4,2,4,2,4,,,,0.102,-0.247,,,,0.247,,2,-2,0.739,0.261,24,20,25,21,1,0,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",699912,686228,field_error,hit_into_play,,,,,,Jose Fernandez reaches on a fielding error by shortstop Ryan Bliss.   Kevin Sim to 2nd.,S,R,R,SEA,AZ,X,6,ground_ball,0,0,2024,,,,,,,691726,0,9,Top,117.74,144.57,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,0.9,,0,0,,65,1,,4,2,2,4,2,4,2,4,,,,-0.116,0.459,,,,-0.459,,2,-2,0.855,0.145,24,20,25,21,1,0,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",691726,686228,walk,ball,,,,,,Kevin Sim walks.,S,R,R,SEA,AZ,B,,,3,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,0.7,,0,0,,64,4,,4,2,2,4,2,4,2,4,,,,-0.074,0.197,,,,-0.197,,2,-2,0.929,0.071,24,22,25,22,1,0,,,,,,,,
,2024-03-17,,,,"Burgos, Juan",691726,686228,,ball,,,,,,Kevin Sim walks.,S,R,R,SEA,AZ,B,,,2,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747919,680971,692044,681377,687730,669208,656462,682729,666211,,,,,,,,,64,3,,4,2,2,4,2,4,2,4,,,,0.0,0.147,,,,-0.147,,2,-2,0.929,0.071,24,22,25,22,1,0,,,,,,,,
