pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-29,84.7,-1.92,6.39,"Burr, Ryan",667472,621114,field_out,hit_into_play,,,,,14,Dane Myers lines out to center fielder Jonatan Clase.,R,R,R,TOR,MIA,X,8,line_drive,3,2,2024,0.36,-0.34,0.33,1.17,,,681146,2,1,Top,132.78,65.82,,,,,4.557590208520023,-123.27711089082032,-5.2771318139289205,2.9057769487381147,22.591001234297742,-34.83044880921419,3.64,1.7,344,95.9,20,85.6,2634,6.7,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.79,0.26,0.293,0.0,1,0,0,4,6,6,Slider,0,2,2,0,2,0,2,0,Standard,Standard,80,0.017,-0.32,71.2,8.5,0.467,0.32,95.9,-2,2,0.325,0.675,30,28,30,28,1,0,2,1,,,3.49,-0.36,-0.36,54.0
SL,2024-09-29,83.6,-1.98,6.46,"Burr, Ryan",667472,621114,,called_strike,,,,,14,Dane Myers lines out to center fielder Jonatan Clase.,R,R,R,TOR,MIA,S,,,3,1,2024,0.49,-0.33,0.14,1.4,,,681146,2,1,Top,,,,,,,3.9466627342304257,-121.74783123373145,-4.714915604746174,4.281636636520253,20.66734675498218,-34.89169056180735,3.63,1.76,,,,84.9,2651,6.8,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.69,,,,,,,,6,5,Slider,0,2,2,0,2,0,2,0,Standard,Standard,77,0.0,-0.065,,,,0.065,,-2,2,0.325,0.675,30,28,30,28,1,0,2,1,,,3.55,-0.49,-0.49,55.2
FF,2024-09-29,93.2,-1.7,6.51,"Burr, Ryan",667472,621114,,called_strike,,,,,4,Dane Myers lines out to center fielder Jonatan Clase.,R,R,R,TOR,MIA,S,,,3,0,2024,0.18,1.53,-0.56,2.72,,,681146,2,1,Top,,,,,,,2.563879936830918,-135.60972291042813,-7.422477691265442,1.684676230696322,28.021599826775553,-11.90454483937872,3.84,1.73,,,,94.5,2292,6.9,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.57,,,,,,,,6,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,192,0.0,-0.046,,,,0.046,,-2,2,0.325,0.675,30,28,30,28,1,0,2,1,,,1.08,-0.18,-0.18,58.0
FF,2024-09-29,93.5,-1.68,6.48,"Burr, Ryan",667472,621114,,ball,,,,,14,Dane Myers lines out to center fielder Jonatan Clase.,R,R,R,TOR,MIA,B,,,2,0,2024,0.06,1.39,1.72,2.6,,,681146,2,1,Top,,,,,,,8.701087817242986,-135.84569815165966,-7.413784136408274,-0.9709828068064036,27.111861885656083,-13.4835595291744,3.57,1.65,,,,94.7,2281,6.9,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.62,,,,,,,,6,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,189,0.0,0.076,,,,-0.076,,-2,2,0.325,0.675,30,28,30,28,1,0,2,1,,,1.21,-0.06,-0.06,57.8
SL,2024-09-29,83.8,-1.99,6.41,"Burr, Ryan",667472,621114,,blocked_ball,,,,,14,Dane Myers lines out to center fielder Jonatan Clase.,R,R,R,TOR,MIA,B,,,1,0,2024,0.46,-0.58,0.88,0.73,,,681146,2,1,Top,,,,,,,5.778374194863847,-121.98821470143878,-5.6573595706139095,3.5305089164692416,22.13709640546534,-37.105069446376355,3.7,1.76,,,,84.7,2655,6.6,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.85,,,,,,,,6,2,Slider,0,2,2,0,2,0,2,0,Standard,Standard,70,0.0,0.05,,,,-0.05,,-2,2,0.325,0.675,30,28,30,28,1,0,2,1,,,3.8,-0.46,-0.46,53.6
SL,2024-09-29,85.1,-1.85,6.38,"Burr, Ryan",667472,621114,,ball,,,,,14,Dane Myers lines out to center fielder Jonatan Clase.,R,R,R,TOR,MIA,B,,,0,0,2024,0.44,-0.43,1.27,1.59,,,681146,2,1,Top,,,,,,,6.51430417652844,-123.77513693415436,-4.119744744993454,3.280617418076945,23.13045093109747,-36.04404339616555,3.78,1.71,,,,85.9,2638,6.7,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.8,,,,,,,,6,1,Slider,0,2,2,0,2,0,2,0,Standard,Standard,69,0.0,0.034,,,,-0.034,,-2,2,0.325,0.675,30,28,30,28,1,0,2,1,,,3.57,-0.44,-0.44,59.1
FF,2024-09-29,92.4,-1.73,6.52,"Burr, Ryan",660821,621114,strikeout,swinging_strike,,,,,13,Jesús Sánchez strikes out swinging.,R,L,R,TOR,MIA,S,2,,3,2,2024,-0.11,1.37,-0.89,2.34,,,681146,1,1,Top,,,,,,,2.384699864617924,-134.3452326179688,-7.884250481135224,-1.8096141615073125,29.025630906587786,-14.118309160854311,3.53,1.72,,,,93.2,2181,6.8,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.7,,0.0,0.0,1,0,0,,5,7,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,195,0.021,-0.306,76.4,7.3,,0.306,,-2,2,0.304,0.696,30,26,30,27,1,0,2,1,,,1.31,0.11,-0.11,60.1
SL,2024-09-29,83.1,-1.89,6.43,"Burr, Ryan",660821,621114,,foul,,,,,7,Jesús Sánchez strikes out swinging.,R,L,R,TOR,MIA,S,,,3,2,2024,0.47,-0.37,-0.44,1.91,,,681146,1,1,Top,,,,,,,2.434617556875432,-121.03411953605448,-3.18581502765931,4.098277174552916,23.61682825044014,-35.41414999783784,3.53,1.72,162,71.7,67,83.8,2648,6.7,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.83,,,,,,,,5,6,Slider,0,2,2,0,2,0,2,0,Infield shade,Standard,73,0.0,0.0,74.8,7.8,,0.0,88.0,-2,2,0.304,0.696,30,26,30,27,1,0,2,1,,,3.67,-0.47,0.47,57.9
FF,2024-09-29,92.1,-1.8,6.48,"Burr, Ryan",660821,621114,,called_strike,,,,,1,Jesús Sánchez strikes out swinging.,R,L,R,TOR,MIA,S,,,3,1,2024,0.15,1.25,-0.59,3.32,,,681146,1,1,Top,,,,,,,2.7536499587425887,-134.13379999276526,-4.979357206154188,1.2259250329789315,27.98127801578419,-16.17106718502492,3.55,1.76,,,,93.1,2174,6.8,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.73,,,,,,,,5,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,187,0.0,-0.092,,,,0.092,,-2,2,0.304,0.696,30,26,30,27,1,0,2,1,,,1.42,-0.15,0.15,60.1
SL,2024-09-29,83.1,-1.86,6.45,"Burr, Ryan",660821,621114,,ball,,,,,11,Jesús Sánchez strikes out swinging.,R,L,R,TOR,MIA,B,,,2,1,2024,0.31,-0.17,-1.28,2.67,,,681146,1,1,Top,,,,,,,0.7373129614853309,-121.08949966161308,-1.9307900601796733,2.922235938074224,21.38082892116064,-33.75957884124884,3.55,1.71,,,,84.0,2554,6.6,744880,623168,687462,676914,665782,676391,694388,682729,672642,53.9,,,,,,,,5,4,Slider,0,2,2,0,2,0,2,0,Infield shade,Standard,80,0.0,0.112,,,,-0.112,,-2,2,0.304,0.696,30,26,30,27,1,0,2,1,,,3.44,-0.31,0.31,58.6
