pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-08-24,74.3,2.42,6.42,"Bush, Ky",656716,681066,field_out,hit_into_play,,,,,8,Zach McKinstry grounds out to first baseman Gavin Sheets.,R,L,L,CWS,DET,X,3,ground_ball,1,0,2024,-0.53,-1.12,0.2,1.76,,,678009,2,3,Top,131.63,193.77,,,,,-3.6541822332683545,-108.15712016671434,-0.3510896786198709,-3.544270962503724,18.95743494203332,-41.08157650312874,3.33,1.58,36,90.6,0,74.8,2451,6.7,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.83,0.334,0.314,0.0,1,0,0,2,24,2,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,329,0.006,-0.304,67.8,6.9,0.399,0.304,90.6,-5,5,0.093,0.907,24,29,25,29,2,1,6,1,,1,5.24,-0.53,-0.53,48.1
SL,2024-08-24,79.5,2.61,6.26,"Bush, Ky",656716,681066,,ball,,,,,12,Zach McKinstry grounds out to first baseman Gavin Sheets.,R,L,L,CWS,DET,B,,,0,0,2024,-0.41,-0.18,0.56,3.47,,,678009,2,3,Top,,,,,,,-3.760873584076709,-115.75824312274462,0.9289433949791784,-3.060985039823576,19.59891886167762,-34.145509469941544,3.29,1.47,,,,80.4,2275,6.6,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.86,,,,,,,,24,1,Slider,0,5,5,0,5,0,5,0,Standard,Standard,278,0.0,0.034,,,,-0.034,,-5,5,0.093,0.907,24,29,25,29,2,1,6,1,,1,3.75,-0.41,-0.41,42.4
FF,2024-08-24,90.8,2.15,6.36,"Bush, Ky",678009,681066,single,hit_into_play,,,,,4,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,X,8,line_drive,3,2,2024,0.21,1.23,-0.62,2.29,,668670,,2,3,Top,138.87,77.12,,,,,-7.428899672680505,-131.9021974659531,-6.927519501146139,3.935011439478367,27.265711468702367,-16.54360113138503,3.49,1.67,234,87.8,14,91.5,1965,6.7,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.76,0.957,0.927,0.9,1,1,0,4,23,8,4-Seam Fastball,0,4,4,0,5,0,5,0,Standard,Standard,158,-0.044,0.674,73.7,7.3,1.156,-0.674,88.0,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,1.54,0.21,0.21,51.7
SL,2024-08-24,82.8,2.5,6.32,"Bush, Ky",678009,681066,,foul,,,,,5,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,S,,,3,2,2024,-0.23,0.14,-0.16,2.7,,668670,,2,3,Top,,,,,,,-5.680012614180883,-120.63773460453884,-2.1573686149315394,-1.2923385025857017,20.556194548184138,-30.63053953613104,3.49,1.67,178,68.3,33,84.0,2272,6.7,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.8,,,,,,,,23,7,Slider,0,4,4,0,4,0,4,0,Standard,Standard,220,0.0,0.0,73.8,6.9,,0.0,88.0,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,3.15,-0.23,-0.23,43.7
FF,2024-08-24,91.4,2.34,6.3,"Bush, Ky",678009,681066,,foul,,,,,7,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,S,,,3,2,2024,0.32,1.37,-0.46,1.83,,668670,,2,3,Top,,,,,,,-7.799247141147438,-132.70969405874897,-8.401099200625184,5.323773659255192,26.34858066350727,-14.393469890889683,3.49,1.67,135,75.2,12,92.3,2153,6.8,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.72,,,,,,,,23,6,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,154,0.0,0.0,69.0,7.2,,0.0,88.0,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,1.36,0.32,0.32,45.0
FF,2024-08-24,90.2,2.33,6.27,"Bush, Ky",678009,681066,,swinging_strike,,,,,13,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,S,,,3,1,2024,0.25,1.52,-0.62,1.28,,668670,,2,3,Top,,,,,,,-7.906362072589067,-130.87819263806938,-9.7355017519251,4.468931370995269,26.901757196883224,-12.7867388305275,3.49,1.67,,,,90.9,2128,6.8,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.71,,,,,,,,23,5,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,159,0.0,-0.059,70.7,7.7,,0.059,,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,1.29,0.25,0.25,45.1
FF,2024-08-24,90.4,2.24,6.34,"Bush, Ky",678009,681066,,called_strike,,,,,1,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,S,,,3,0,2024,0.14,1.38,-0.55,3.11,,668670,,2,3,Top,,,,,,,-7.312365651287598,-131.51698148661217,-5.104512482478608,3.160553988870737,27.258191500338825,-15.28439448112699,3.5,1.71,,,,91.2,2146,6.7,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.77,,,,,,,,23,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,156,0.0,-0.03,,,,0.03,,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,1.41,0.14,0.14,52.2
FF,2024-08-24,90.2,2.32,6.25,"Bush, Ky",678009,681066,,ball,,,,,13,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,B,,,2,0,2024,0.51,1.34,-0.32,0.69,,668670,,2,3,Top,,,,,,,-7.723436294237264,-130.90651880957503,-10.822457915524836,7.433078066253744,25.40867654708086,-14.66383265455814,3.57,1.75,,,,91.3,2145,6.9,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.61,,,,,,,,23,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,153,0.0,0.048,,,,-0.048,,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,1.46,0.51,0.51,45.7
SL,2024-08-24,80.9,2.48,6.44,"Bush, Ky",678009,681066,,ball,,,,,11,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,B,,,1,0,2024,-0.23,0.06,-0.62,3.91,,668670,,2,3,Top,,,,,,,-6.530620669952632,-117.71765826449698,0.8233608613618464,-1.1140425986971312,19.315029164969577,-31.94630595186116,3.54,1.7,,,,81.9,2363,6.6,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.86,,,,,,,,23,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,279,0.0,0.024,,,,-0.024,,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,3.39,-0.23,-0.23,46.5
SL,2024-08-24,82.5,2.27,6.35,"Bush, Ky",678009,681066,,blocked_ball,,,,,13,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.  Jake Rogers scores.,R,L,L,CWS,DET,B,,,0,0,2024,-0.27,0.14,-1.0,0.67,,668670,,2,3,Top,,,,,,,-6.948406789012285,-119.90913022846632,-6.740292026545271,-1.417155965011725,21.39668842033622,-29.760331802612175,3.57,1.72,,,,83.2,2337,6.6,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.89,,,,,,,,23,1,Slider,0,4,4,0,4,0,4,0,Standard,Standard,207,0.0,0.014,,,,-0.014,,-4,4,0.137,0.863,24,24,25,25,2,1,6,1,,1,3.19,-0.27,-0.27,44.9
FF,2024-08-24,90.6,2.39,6.3,"Bush, Ky",668670,681066,double,hit_into_play,,,,,8,Jake Rogers doubles (12) on a sharp line drive to left fielder Corey Julks.   Riley Greene scores.,R,R,L,CWS,DET,X,7,line_drive,1,0,2024,0.47,1.39,-0.01,1.86,682985,,,2,3,Top,81.29,61.95,,,,,-7.014112771601864,-131.6344228267494,-8.194144027120855,6.859343582648952,26.827035023299786,-14.448899819151812,3.29,1.52,294,105.2,18,91.2,2091,6.6,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.85,0.531,0.666,1.25,1,1,1,5,22,2,4-Seam Fastball,0,3,3,0,4,0,4,0,Standard,Standard,153,-0.064,0.788,72.6,7.9,1.073,-0.788,105.2,-3,3,0.201,0.799,24,29,25,29,2,1,6,2,,3,1.39,0.47,-0.47,43.3
CU,2024-08-24,74.6,2.3,6.45,"Bush, Ky",668670,681066,,ball,,,,,13,Jake Rogers doubles (12) on a sharp line drive to left fielder Corey Julks.   Riley Greene scores.,R,R,L,CWS,DET,B,,,0,0,2024,-0.52,-0.95,-1.06,0.78,682985,,,2,3,Top,,,,,,,-6.013502061157209,-108.49634353665289,-2.794630438579426,-3.091876091325586,18.883555496835857,-39.38732122978014,3.32,1.54,,,,75.0,2429,6.6,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.92,,,,,,,,22,1,Curveball,0,3,3,0,3,0,3,0,Standard,Standard,332,0.0,0.032,,,,-0.032,,-3,3,0.201,0.799,24,29,25,29,2,1,6,2,,3,5.05,-0.52,0.52,50.7
FF,2024-08-24,91.7,2.32,6.4,"Bush, Ky",690993,681066,field_out,hit_into_play,,,,,7,"Colt Keith grounds out, first baseman Gavin Sheets to second baseman Lenyn Sosa.   Andy Ibáñez scores.    Riley Greene to 3rd.",R,L,L,CWS,DET,X,3,ground_ball,1,2,2024,0.22,1.42,-0.8,1.94,628451,682985,,1,3,Top,137.63,173.64,,,,,-8.39063890210065,-133.06951039863108,-8.549184921683665,4.299985049499966,27.431007996162748,-13.632769008192598,3.24,1.6,2,65.5,-50,92.4,2241,6.7,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.75,0.243,0.257,0.0,1,0,0,2,21,4,4-Seam Fastball,0,2,2,0,3,0,3,0,Strategic,Standard,157,-0.012,-0.053,62.6,6.4,0.243,0.053,88.0,-2,2,0.213,0.787,24,22,25,23,2,1,6,1,,1,1.3,0.22,0.22,47.4
SL,2024-08-24,82.6,2.24,6.34,"Bush, Ky",690993,681066,,ball,,,,,13,"Colt Keith grounds out, first baseman Gavin Sheets to second baseman Lenyn Sosa.   Andy Ibáñez scores.    Riley Greene to 3rd.",R,L,L,CWS,DET,B,,,0,2,2024,-0.1,0.09,-1.54,1.57,628451,682985,,1,3,Top,,,,,,,-8.449776004436872,-120.11305957472246,-4.60586588589963,0.4957791999633784,21.339968647221188,-30.629749891438426,3.28,1.65,,,,83.3,2411,6.6,746756,686676,657757,672820,678246,681460,667452,673357,666150,53.93,,,,,,,,21,3,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,271,0.0,0.007,,,,-0.007,,-2,2,0.213,0.787,24,22,25,23,2,1,6,1,,1,3.23,-0.1,-0.1,45.1
SL,2024-08-24,81.0,2.33,6.4,"Bush, Ky",690993,681066,,foul,,,,,9,"Colt Keith grounds out, first baseman Gavin Sheets to second baseman Lenyn Sosa.   Andy Ibáñez scores.    Riley Greene to 3rd.",R,L,L,CWS,DET,S,,,0,1,2024,-0.26,-0.18,0.32,1.82,628451,682985,,1,3,Top,,,,,,,-3.994290662840516,-118.07308329035396,-3.353130109014532,-1.7726499207888071,20.23666408145013,-33.45957789295988,3.24,1.6,181,96.3,13,81.6,2312,6.4,746756,686676,657757,672820,678246,681460,667452,673357,666150,54.13,,,,,,,,21,2,Slider,0,2,2,0,2,0,2,0,Strategic,Standard,277,0.0,-0.087,70.4,7.8,,0.087,96.3,-2,2,0.213,0.787,24,22,25,23,2,1,6,1,,1,3.61,-0.26,-0.26,45.4
