pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
,2024-03-24,,,,"Byrne, Michael",680757,680758,field_error,hit_into_play,,,,,,"Steven Kwan reaches on a throwing error by first baseman Alex McGarry.   David Fry to 3rd.  Steven Kwan out at 2nd, pitcher Michael Byrne to shortstop Miguel Hernandez.   David Fry to 3rd.",S,L,R,CIN,CLE,X,3,ground_ball,0,0,2024,,,,,,,681807,2,6,Top,144.92,177.64,,,,,,,,,,,,,,,,,,,747818,680756,685127,699114,687331,665912,668843,546990,677956,,,,0.9,,0,0,,53,1,,6,7,7,6,7,6,7,6,,,,0.026,0.417,,,,-0.417,,-1,1,0.361,0.639,27,26,27,27,1,3,,,,,,,,
,2024-03-24,,,,"Byrne, Michael",681807,680758,single,hit_into_play,,,,,,David Fry singles on a line drive to center fielder Anthony Alford.   Gabriel Arias scores.,S,R,R,CIN,CLE,X,8,line_drive,0,0,2024,,,,,672356,,,2,6,Top,117.04,105.65,,,,,,,,,,,,,,,,,,,747818,680756,685127,699114,687331,665912,668843,546990,677956,,,,0.9,,1,0,,52,1,,6,6,6,6,7,6,7,6,,,,-0.153,0.734,,,,-0.734,,0,0,0.514,0.486,27,28,27,29,1,2,,,,,,,,
,2024-03-24,,,,"Byrne, Michael",664314,680758,strikeout,swinging_strike,,,,,,Estevan Florial strikes out swinging.,S,L,R,CIN,CLE,S,2,,0,2,2024,,,,,672356,,,1,6,Top,,,,,,,,,,,,,,,,,,,,,747818,680756,685127,699114,687331,665912,668843,546990,677956,,,,0.0,,0,0,,51,3,,6,6,6,6,6,6,6,6,,,,0.097,-0.308,,,,0.308,,0,0,0.417,0.583,27,26,27,27,1,2,,,,,,,,
,2024-03-24,,,,"Byrne, Michael",664314,680758,,swinging_strike,,,,,,Estevan Florial strikes out swinging.,S,L,R,CIN,CLE,S,,,0,1,2024,,,,,672356,,,1,6,Top,,,,,,,,,,,,,,,,,,,,,747818,680756,685127,699114,687331,665912,668843,546990,677956,,,,,,,,,51,2,,6,6,6,6,6,6,6,6,,,,0.0,-0.1,,,,0.1,,0,0,0.417,0.583,27,26,27,27,1,2,,,,,,,,
,2024-03-24,,,,"Byrne, Michael",664314,680758,,swinging_strike,,,,,,Estevan Florial strikes out swinging.,S,L,R,CIN,CLE,S,,,0,0,2024,,,,,672356,,,1,6,Top,,,,,,,,,,,,,,,,,,,,,747818,680756,685127,699114,687331,665912,668843,546990,677956,,,,,,,,,51,1,,6,6,6,6,6,6,6,6,,,,0.0,-0.049,,,,0.049,,0,0,0.417,0.583,27,26,27,27,1,2,,,,,,,,
,2024-03-21,,,,"Byrne, Michael",668942,680758,strikeout,called_strike,,,,,,Josh Rojas called out on strikes.,S,L,R,SEA,CIN,S,2,,0,2,2024,,,,,663728,571745,664238,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747871,571912,605361,663697,600869,682829,668715,656413,666181,,,,0.0,,0,0,,38,3,,3,3,3,3,3,3,3,3,,,,-0.086,-0.188,,,,0.188,,0,0,0.586,0.586,27,30,27,30,1,1,,,,,,,,
,2024-03-21,,,,"Byrne, Michael",668942,680758,,foul,,,,,,Josh Rojas called out on strikes.,S,L,R,SEA,CIN,S,,,0,1,2024,,,,,663728,571745,664238,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747871,571912,605361,663697,600869,682829,668715,656413,666181,,,,,,,,,38,2,,3,3,3,3,3,3,3,3,,,,0.0,-0.042,,,,0.042,,0,0,0.586,0.586,27,30,27,30,1,1,,,,,,,,
,2024-03-21,,,,"Byrne, Michael",668942,680758,,called_strike,,,,,,Josh Rojas called out on strikes.,S,L,R,SEA,CIN,S,,,0,0,2024,,,,,663728,571745,664238,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747871,571912,605361,663697,600869,682829,668715,656413,666181,,,,,,,,,38,1,,3,3,3,3,3,3,3,3,,,,0.0,-0.044,,,,0.044,,0,0,0.586,0.586,27,30,27,30,1,1,,,,,,,,
,2024-03-17,,,,"Byrne, Michael",664314,680758,strikeout,called_strike,,,,,,Estevan Florial called out on strikes.,S,L,R,CLE,CIN,S,2,,0,2,2024,,,,,,,,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747918,571912,687952,680574,600869,682829,663697,666181,641584,,,,0.0,,0,0,,31,3,,4,0,4,0,0,4,4,0,,,,-0.003,-0.157,,,,0.157,,4,4,0.908,0.908,27,26,27,27,1,1,,,,,,,,
,2024-03-17,,,,"Byrne, Michael",664314,680758,,called_strike,,,,,,Estevan Florial called out on strikes.,S,L,R,CLE,CIN,S,,,0,1,2024,,,,,,,,2,4,Bot,,,,,,,,,,,,,,,,,,,,,747918,571912,687952,680574,600869,682829,663697,666181,641584,,,,,,,,,31,2,,4,0,4,0,0,4,4,0,,,,0.0,-0.058,,,,0.058,,4,4,0.908,0.908,27,26,27,27,1,1,,,,,,,,
