pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-10-02,96.2,-2.38,5.41,"Cano, Yennier",592669,666974,field_out,hit_into_play,,,,,8,"Hunter Renfroe grounds out, pitcher Yennier Cano to first baseman Ryan Mountcastle.",F,R,R,BAL,KC,X,1,ground_ball,2,1,2024,-1.45,-0.29,-0.08,1.65,,,,2,7,Top,118.27,187.52,,,,,9.321425258865816,-139.76573310185194,-3.674963471986211,-21.08001239244902,32.36641735177741,-35.34420275387633,3.4,1.62,1,58.2,-55,95.4,2151,6.0,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.51,0.203,0.211,0.0,1,0,0,1,60,4,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,256,0.012,-0.303,75.7,7.9,0.203,0.303,88.0,-1,1,0.342,0.658,30,32,30,32,1,3,4,3,,5,2.77,1.45,1.45,12.8
SL,2024-10-02,87.3,-2.61,5.25,"Cano, Yennier",592669,666974,,ball,,,,,14,"Hunter Renfroe grounds out, pitcher Yennier Cano to first baseman Ryan Mountcastle.",F,R,R,BAL,KC,B,,,1,1,2024,0.83,0.12,0.97,1.2,,,,2,7,Top,,,,,,,6.8527920925531145,-126.92649340123594,-3.794494139169591,7.537785400890923,26.804968728666548,-30.275599675883964,3.34,1.64,,,,86.4,2482,5.8,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.67,,,,,,,,60,3,Slider,1,2,2,1,2,1,2,1,Standard,Standard,55,0.0,0.058,,,,-0.058,,-1,1,0.342,0.658,30,32,30,32,1,3,4,3,,5,2.88,-0.83,-0.83,11.0
SL,2024-10-02,87.0,-2.75,5.26,"Cano, Yennier",592669,666974,,swinging_strike,,,,,6,"Hunter Renfroe grounds out, pitcher Yennier Cano to first baseman Ryan Mountcastle.",F,R,R,BAL,KC,S,,,1,0,2024,0.43,0.54,0.54,2.67,,,641658,1,7,Top,,,,,,,6.941189761135018,-126.63803673287865,-1.134172684698223,3.1936495654139776,25.62630327955417,-26.335000698916247,3.4,1.62,,,,86.2,2339,5.8,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.74,,,,,,,,60,2,Slider,1,2,2,1,2,1,2,1,Standard,Standard,45,0.044,-0.047,73.6,9.0,,0.047,,-1,1,0.298,0.702,30,32,30,32,1,3,4,3,,5,2.47,-0.43,-0.43,14.1
SI,2024-10-02,95.6,-2.39,5.43,"Cano, Yennier",592669,666974,,ball,,,,,13,"Hunter Renfroe grounds out, pitcher Yennier Cano to first baseman Ryan Mountcastle.",F,R,R,BAL,KC,B,,,0,0,2024,-1.56,-0.28,-0.39,1.38,,,641658,1,7,Top,,,,,,,8.685204735053468,-138.8683185392489,-4.393818025908363,-22.13953119313521,31.32899716832987,-34.93666229364044,3.48,1.68,,,,94.8,2034,5.9,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.59,,,,,,,,60,1,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,262,0.0,0.036,,,,-0.036,,-1,1,0.298,0.702,30,32,30,32,1,3,4,3,,5,2.78,1.56,1.56,16.0
SI,2024-10-02,95.7,-2.52,5.44,"Cano, Yennier",669004,666974,single,hit_into_play,,,,,4,MJ Melendez singles on a ground ball to left fielder Heston Kjerstad.,F,L,R,BAL,KC,X,7,ground_ball,0,0,2024,-1.5,-0.26,-0.71,2.36,,,,1,7,Top,98.47,97.49,,,,,8.095192765110841,-139.2204561376855,-1.9385908845069255,-21.30588880668656,31.11363719513871,-35.32445312877984,3.31,1.58,17,111.4,-7,95.1,2125,6.0,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.55,0.389,0.365,0.9,1,1,0,2,59,1,Sinker,1,2,2,1,2,1,2,1,Infield shade,Standard,258,-0.026,0.422,,,0.416,-0.422,111.4,-1,1,0.324,0.676,30,25,30,26,1,3,4,1,,3,2.75,1.5,-1.5,12.7
SI,2024-10-02,96.4,-2.52,5.42,"Cano, Yennier",493329,666974,field_out,hit_into_play,,,,,7,"Yuli Gurriel grounds out, third baseman Ramón Urías to first baseman Ryan Mountcastle.",F,R,R,BAL,KC,X,5,ground_ball,1,1,2024,-1.6,-0.23,-0.67,1.88,,,,0,7,Top,98.47,161.07,,,,,8.473465191348144,-140.02762048488032,-3.2516845327038975,-22.96712029678252,33.066222741173206,-34.59008152560842,3.44,1.55,7,102.2,-15,95.4,2112,5.9,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.61,0.2,0.194,0.0,1,0,0,2,58,3,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,255,0.024,-0.243,76.0,7.7,0.201,0.243,102.2,-1,1,0.3,0.7,30,40,30,40,1,3,4,1,,3,2.7,1.6,1.6,17.9
SL,2024-10-02,85.8,-2.66,5.18,"Cano, Yennier",493329,666974,,ball,,,,,14,"Yuli Gurriel grounds out, third baseman Ramón Urías to first baseman Ryan Mountcastle.",F,R,R,BAL,KC,B,,,0,1,2024,1.16,0.05,2.43,0.4,,,,0,7,Top,,,,,,,9.573971341029123,-124.58045751528766,-5.008394883114601,9.879419034084366,27.52702407533816,-30.75332699117807,3.5,1.64,,,,84.6,2530,5.8,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.66,,,,,,,,58,2,Slider,1,2,2,1,2,1,2,1,Standard,Standard,56,0.0,0.025,,,,-0.025,,-1,1,0.3,0.7,30,40,30,40,1,3,4,1,,3,3.09,-1.16,-1.16,8.3
SI,2024-10-02,95.1,-2.37,5.54,"Cano, Yennier",493329,666974,,called_strike,,,,,4,"Yuli Gurriel grounds out, third baseman Ramón Urías to first baseman Ryan Mountcastle.",F,R,R,BAL,KC,S,,,0,0,2024,-1.57,0.01,-0.38,2.27,,,,0,7,Top,,,,,,,8.599444218448573,-138.29818572267243,-2.923230769906852,-22.009712230570763,30.79952403238191,-31.599006450604772,3.52,1.58,,,,93.9,2094,5.6,775341,668939,663624,676059,602104,683002,677008,656775,623993,54.86,,,,,,,,58,1,Sinker,1,2,2,1,2,1,2,1,Standard,Standard,267,0.0,-0.037,,,,0.037,,-1,1,0.3,0.7,30,40,30,40,1,3,4,1,,3,2.51,1.57,1.57,12.7
CH,2024-10-02,92.8,-2.43,5.63,"Cano, Yennier",521692,666974,strikeout,swinging_strike_blocked,,,,,13,Salvador Perez strikes out swinging.,F,R,R,BAL,KC,S,2,,0,2,2024,-1.6,0.18,-1.01,0.87,686681,677951,686469,2,6,Top,,,,,,,7.055660886039217,-134.77190607971943,-6.683927215976904,-21.0126338924649,30.427619596282113,-28.704729192546676,3.63,1.68,,,,91.7,1793,5.8,775341,668939,663624,676059,602104,683002,681297,656775,623993,54.65,,0.0,0.0,1,0,0,,54,4,Changeup,1,2,2,1,2,1,2,1,Standard,Standard,264,0.076,-0.188,74.6,9.0,,0.188,,-1,1,0.311,0.689,30,34,30,34,1,3,4,1,,3,2.49,1.6,1.6,18.8
SL,2024-10-02,87.7,-2.56,5.29,"Cano, Yennier",521692,666974,,foul,,,,,8,Salvador Perez strikes out swinging.,F,R,R,BAL,KC,S,,,0,2,2024,0.26,0.04,0.25,1.8,686681,677951,686469,2,6,Top,,,,,,,6.208635642710483,-127.52212734934557,-2.340875349606364,1.4235794711211145,29.129149883965475,-31.390257399593764,3.63,1.68,2,84.4,-42,86.8,2321,6.0,775341,668939,663624,676059,602104,683002,681297,656775,623993,54.51,,,,,,,,54,3,Slider,1,2,2,1,2,1,2,1,Standard,Standard,51,0.0,0.0,69.2,7.8,,0.0,88.0,-1,1,0.311,0.689,30,34,30,34,1,3,4,1,,3,2.95,-0.26,-0.26,15.8
