pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,97.0,-1.4,5.69,"Castillo, Diego",623993,650895,field_out,hit_into_play,,,,,6,"Anthony Santander grounds out, second baseman Edouard Julien to first baseman Carlos Santana.",R,L,R,MIN,BAL,X,4,ground_ball,2,2,2024,-0.76,0.84,0.3,2.43,702616,,,2,7,Top,147.94,150.11,,,,,6.237707105928082,-141.20859118677967,-5.100022967992592,-11.560755732528303,30.173749977188635,-19.930944350729593,3.3,1.63,23,81.7,-4,96.4,2278,5.8,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.74,0.14,0.119,0.0,1,0,0,2,63,5,4-Seam Fastball,0,9,9,0,9,0,9,0,Strategic,Standard,223,0.0,-0.217,70.7,6.1,0.158,0.217,88.0,-9,9,0.002,0.998,30,29,30,30,2,4,25,1,,3,1.57,0.76,-0.76,28.2
SL,2024-09-28,87.0,-1.5,5.75,"Castillo, Diego",623993,650895,,foul,,,,,2,"Anthony Santander grounds out, second baseman Edouard Julien to first baseman Carlos Santana.",R,L,R,MIN,BAL,S,,,2,1,2024,0.47,-0.1,-0.07,2.8,702616,,,2,7,Top,,,,,,,2.44467164515789,-126.89442650933988,-0.8943822466242398,4.832518704865169,19.136998195240672,-33.26584651103693,3.3,1.63,153,70.3,67,87.0,2404,5.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.91,,,,,,,,63,4,Slider,0,9,9,0,9,0,9,0,Strategic,Standard,109,0.0,-0.103,71.9,6.5,,0.103,88.0,-9,9,0.002,0.998,30,29,30,30,2,4,25,1,,3,3.03,-0.47,0.47,32.3
FF,2024-09-28,91.3,-1.44,5.64,"Castillo, Diego",623993,650895,,blocked_ball,,,,,14,"Anthony Santander grounds out, second baseman Edouard Julien to first baseman Carlos Santana.",R,L,R,MIN,BAL,B,,,1,1,2024,-0.89,0.78,0.0,0.43,702616,,,2,7,Top,,,,,,,5.494876644874948,-132.66543739706646,-8.843723403268758,-11.634212584818076,26.908175708542725,-21.26229640514519,3.01,1.46,,,,90.7,1678,5.9,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.61,,,,,,,,63,3,4-Seam Fastball,0,9,9,0,9,0,9,0,Strategic,Standard,227,0.0,0.047,,,,-0.047,,-9,9,0.002,0.998,30,29,30,30,2,4,25,1,,3,1.95,0.89,-0.89,28.7
FF,2024-09-28,97.5,-1.31,5.71,"Castillo, Diego",623993,650895,,ball,,,,,14,"Anthony Santander grounds out, second baseman Edouard Julien to first baseman Carlos Santana.",R,L,R,MIN,BAL,B,,,0,1,2024,-0.95,0.91,1.13,1.75,702616,,,2,7,Top,,,,,,,8.620152381866612,-141.66353499985263,-7.168643334862135,-14.755896719113926,30.56635401010475,-18.481098120017695,2.99,1.34,,,,96.6,2209,5.7,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.75,,,,,,,,63,2,4-Seam Fastball,0,9,9,0,9,0,9,0,Standard,Standard,229,0.0,0.032,,,,-0.032,,-9,9,0.002,0.998,30,29,30,30,2,4,25,1,,3,1.49,0.95,-0.95,29.0
SL,2024-09-28,87.6,-1.41,5.78,"Castillo, Diego",623993,650895,,called_strike,,,,,5,"Anthony Santander grounds out, second baseman Edouard Julien to first baseman Carlos Santana.",R,L,R,MIN,BAL,S,,,0,0,2024,0.6,-0.01,-0.01,2.06,702616,,,2,7,Top,,,,,,,2.132783475121343,-127.62468914134492,-2.8289685715982005,6.099006207800898,26.61558769788484,-31.85844268045898,3.15,1.5,,,,86.6,2565,5.6,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.92,,,,,,,,63,1,Slider,0,9,9,0,9,0,9,0,Standard,Standard,98,0.0,-0.039,,,,0.039,,-9,9,0.002,0.998,30,29,30,30,2,4,25,1,,3,2.97,-0.6,0.6,32.7
CH,2024-09-28,89.7,-1.46,5.65,"Castillo, Diego",668939,650895,field_out,hit_into_play,,,,,9,"Adley Rutschman grounds out, second baseman Edouard Julien to first baseman Carlos Santana. Emmanuel Rivera scores. Jackson Holliday to 3rd.",R,L,R,MIN,BAL,X,4,ground_ball,1,1,2024,-0.8,0.26,0.29,1.65,656896,702616,,1,7,Top,155.82,156.78,,,,,5.955682137261826,-130.4764161580225,-4.401858358892955,-10.372229844335704,27.46392696536483,-28.519636698983273,3.41,1.65,51,104.0,1,88.9,1421,5.8,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.66,0.5,0.455,0.0,1,0,0,4,62,3,Changeup,0,8,8,0,9,0,9,0,Standard,Standard,232,0.0,-0.15,70.2,6.7,0.548,0.15,104.0,-8,8,0.002,0.998,30,26,30,26,1,4,25,1,,1,2.58,0.8,-0.8,31.6
SI,2024-09-28,90.8,-1.39,5.66,"Castillo, Diego",668939,650895,,ball,,,,,14,"Adley Rutschman grounds out, second baseman Edouard Julien to first baseman Carlos Santana. Emmanuel Rivera scores. Jackson Holliday to 3rd.",R,L,R,MIN,BAL,B,,,0,1,2024,-0.75,0.87,1.54,-0.03,,656896,702616,1,7,Top,,,,,,,8.838741005797347,-131.63533624463767,-10.088559992258086,-10.575596787373785,26.60734100152828,-20.08144326567505,3.32,1.48,,,,90.0,1605,5.9,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.6,,,,,,,,62,2,Sinker,0,8,8,0,8,0,8,0,Standard,Standard,224,-0.001,0.015,,,,-0.015,,-8,8,0.003,0.997,30,26,30,26,1,4,25,1,,1,1.9,0.75,-0.75,32.1
FF,2024-09-28,96.9,-1.46,5.64,"Castillo, Diego",668939,650895,,called_strike,,,,,2,"Adley Rutschman grounds out, second baseman Edouard Julien to first baseman Carlos Santana. Emmanuel Rivera scores. Jackson Holliday to 3rd.",R,L,R,MIN,BAL,S,,,0,0,2024,-0.66,0.94,-0.05,2.85,,656896,702616,1,7,Top,,,,,,,5.209841261092495,-141.0991837503962,-4.07859410396092,-9.944955517045464,29.469690403745325,-18.82677648292078,3.25,1.57,,,,96.3,2143,5.8,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.75,,,,,,,,62,1,4-Seam Fastball,0,8,8,0,8,0,8,0,Standard,Standard,224,0.0,-0.039,,,,0.039,,-8,8,0.003,0.997,30,26,30,26,1,4,25,1,,1,1.46,0.66,-0.66,27.9
FF,2024-09-28,96.5,-1.4,5.69,"Castillo, Diego",702616,650895,single,hit_into_play,,,,,2,Jackson Holliday singles on a sharp ground ball to second baseman Edouard Julien. Emmanuel Rivera to 2nd.,R,L,R,MIN,BAL,X,4,ground_ball,1,1,2024,-0.61,1.09,-0.16,2.91,,,656896,1,7,Top,138.57,145.29,,,,,4.651418010269397,-140.43440467482074,-4.273690920310697,-9.145096232579029,31.324314587400146,-17.03430784791993,3.44,1.63,65,106.2,2,95.7,2212,5.8,745849,680777,467793,666397,571657,686797,650489,668885,622534,54.74,0.531,0.482,0.9,1,1,0,4,61,3,4-Seam Fastball,0,8,8,0,8,0,8,0,Strategic,Standard,222,0.0,0.416,74.0,7.4,0.57,-0.416,106.2,-8,8,0.003,0.997,30,20,30,21,1,4,25,1,,1,1.36,0.61,-0.61,30.9
SL,2024-09-28,86.4,-1.5,5.66,"Castillo, Diego",702616,650895,,called_strike,,,,,8,Jackson Holliday singles on a sharp ground ball to second baseman Edouard Julien. Emmanuel Rivera to 2nd.,R,L,R,MIN,BAL,S,,,1,0,2024,0.4,0.22,0.03,1.64,,,656896,1,7,Top,,,,,,,2.7822343731461414,-125.97548186828465,-3.890600358267477,3.9074758031232713,20.872849824165925,-29.359070802513873,3.2,1.42,,,,85.9,2488,5.5,745849,680777,467793,666397,571657,686797,650489,668885,622534,55.05,,,,,,,,61,2,Slider,0,8,8,0,8,0,8,0,Strategic,Standard,160,0.0,-0.047,,,,0.047,,-8,8,0.003,0.997,30,20,30,21,1,4,25,1,,1,2.78,-0.4,0.4,26.8
