pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-28,89.8,-1.47,5.84,"Chivilli, Angel",660271,683409,field_out,hit_into_play,,,,,3,Shohei Ohtani lines out sharply to right fielder Jake Cave.,R,L,R,COL,LAD,X,9,line_drive,1,2,2024,0.07,0.26,0.53,2.93,,,571771,2,7,Top,182.86,88.17,,,,,4.793753433734204,-130.83505657922265,-1.8686659652156732,-0.0707410773173365,24.021719297621587,-28.94929987144449,3.45,1.59,308,100.2,19,90.4,2229,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.2,0.343,0.402,0.0,1,0,0,5,58,4,Slider,2,8,8,2,8,2,8,2,Infield shade,Standard,185,0.001,-0.197,75.7,7.2,0.62,0.197,100.2,-6,6,0.016,0.984,21,29,22,30,1,4,2,1,,1,2.53,-0.07,0.07,41.2
CH,2024-09-28,90.2,-1.52,5.89,"Chivilli, Angel",660271,683409,,ball,,,,,13,Shohei Ohtani lines out sharply to right fielder Jake Cave.,R,L,R,COL,LAD,B,,,0,2,2024,-1.05,-0.08,-1.75,1.43,,,571771,2,7,Top,,,,,,,1.6782147249968833,-131.38722356273215,-5.011716141420522,-12.576567061240215,26.619123370252588,-32.281209225475806,3.45,1.66,,,,90.5,1704,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.2,,,,,,,,58,3,Changeup,2,8,8,2,8,2,8,2,Infield shade,Standard,244,0.0,0.027,,,,-0.027,,-6,6,0.016,0.984,21,29,22,30,1,4,2,1,,1,2.87,1.05,-1.05,40.4
CH,2024-09-28,89.9,-1.64,5.85,"Chivilli, Angel",660271,683409,,swinging_strike,,,,,8,Shohei Ohtani lines out sharply to right fielder Jake Cave.,R,L,R,COL,LAD,S,,,0,1,2024,-0.71,-0.06,0.07,1.57,,,571771,2,7,Top,,,,,,,5.716107914764754,-130.92448490790767,-4.573886201124112,-9.264172114884763,24.284601395899102,-32.23517390111741,3.45,1.59,,,,90.4,1639,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.22,,,,,,,,58,2,Changeup,2,8,8,2,8,2,8,2,Infield shade,Standard,245,0.0,-0.054,72.8,8.5,,0.054,,-6,6,0.016,0.984,21,29,22,30,1,4,2,1,,1,2.85,0.71,-0.71,39.7
SL,2024-09-28,89.0,-1.7,5.77,"Chivilli, Angel",660271,683409,,swinging_strike,,,,,14,Shohei Ohtani lines out sharply to right fielder Jake Cave.,R,L,R,COL,LAD,S,,,0,0,2024,0.0,0.2,0.21,1.15,,,571771,2,7,Top,,,,,,,4.694553917219367,-129.60633732743153,-5.788318552842872,-0.8641777244604443,25.1500276338452,-28.93980145076455,3.45,1.59,,,,89.6,2010,6.4,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.07,,,,,,,,58,1,Slider,2,8,8,2,8,2,8,2,Infield shade,Strategic,213,0.0,-0.047,76.1,8.8,,0.047,,-6,6,0.016,0.984,21,29,22,30,1,4,2,1,,1,2.65,0.0,0.0,37.9
SL,2024-09-28,91.1,-1.56,5.83,"Chivilli, Angel",681624,683409,strikeout,swinging_strike,,,,,14,Andy Pages strikes out swinging.,R,R,R,COL,LAD,S,2,,3,2,2024,0.06,0.14,0.63,0.93,,,571771,1,7,Top,,,,,,,5.358584079747145,-132.54572201177217,-6.762067221529882,-0.3456466335427907,26.856043321903176,-29.326114379037417,3.52,1.62,,,,91.4,2132,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.16,,0.0,0.0,1,0,0,,57,6,Slider,2,8,8,2,8,2,8,2,Standard,Standard,206,0.002,-0.306,73.1,8.2,,0.306,,-6,6,0.014,0.986,21,23,22,24,1,1,2,1,,1,2.6,-0.06,-0.06,36.4
FF,2024-09-28,95.9,-1.49,5.76,"Chivilli, Angel",681624,683409,,foul,,,,,7,Andy Pages strikes out swinging.,R,R,R,COL,LAD,S,,,3,1,2024,-1.06,0.46,-0.63,1.59,,,571771,1,7,Top,,,,,,,4.676423178680202,-139.58935175731054,-6.519712392079134,-14.92677945822226,28.74485493997807,-24.925826971108275,3.52,1.62,4,76.7,-21,96.3,2105,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.19,,,,,,,,57,5,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,238,0.0,-0.092,75.9,8.3,,0.092,88.0,-6,6,0.014,0.986,21,23,22,24,1,1,2,1,,1,2.0,1.06,1.06,37.2
FF,2024-09-28,93.9,-1.21,5.93,"Chivilli, Angel",681624,683409,,ball,,,,,14,Andy Pages strikes out swinging.,R,R,R,COL,LAD,B,,,2,1,2024,-1.08,0.59,1.8,2.34,,,571771,1,7,Top,,,,,,,10.195350274959976,-136.502568695693,-4.9549646942076375,-15.619490950392992,26.306875975541995,-23.899653932402405,3.52,1.61,,,,94.4,2072,6.4,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.12,,,,,,,,57,4,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,236,0.0,0.112,,,,-0.112,,-6,6,0.014,0.986,21,23,22,24,1,1,2,1,,1,1.97,1.08,1.08,38.7
FF,2024-09-28,96.6,-1.31,5.88,"Chivilli, Angel",681624,683409,,called_strike,,,,,6,Andy Pages strikes out swinging.,R,R,R,COL,LAD,S,,,2,0,2024,-0.81,0.94,0.46,2.78,,,571771,1,7,Top,,,,,,,6.53427421086277,-140.58494124505614,-4.8903230071461135,-12.166853712244048,28.3367283656842,-18.757813839494226,3.52,1.6,,,,97.0,2208,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.23,,,,,,,,57,3,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,230,0.0,-0.057,,,,0.057,,-6,6,0.014,0.986,21,23,22,24,1,1,2,1,,1,1.48,0.81,0.81,37.7
SL,2024-09-28,88.0,-1.62,5.75,"Chivilli, Angel",681624,683409,,ball,,,,,14,Andy Pages strikes out swinging.,R,R,R,COL,LAD,B,,,1,0,2024,0.25,0.11,0.1,1.3,,,571771,1,7,Top,,,,,,,3.6725838956542023,-128.1802504536828,-5.0174936090978015,2.0780843289300153,23.8620489999328,-30.155032068529454,3.52,1.68,,,,88.5,2100,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.19,,,,,,,,57,2,Slider,2,8,8,2,8,2,8,2,Standard,Standard,179,0.0,0.056,,,,-0.056,,-6,6,0.014,0.986,21,23,22,24,1,1,2,1,,1,2.8,-0.25,-0.25,37.0
FF,2024-09-28,95.8,-1.43,5.86,"Chivilli, Angel",681624,683409,,ball,,,,,12,Andy Pages strikes out swinging.,R,R,R,COL,LAD,B,,,0,0,2024,-0.96,0.85,1.03,3.57,,,571771,1,7,Top,,,,,,,8.632900570101164,-139.372923387884,-2.387567358028998,-14.317954257815105,29.03524735673894,-20.769686844769307,3.52,1.6,,,,96.1,2192,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.19,,,,,,,,57,1,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,234,0.0,0.036,,,,-0.036,,-6,6,0.014,0.986,21,23,22,24,1,1,2,1,,1,1.62,0.96,0.96,36.3
