pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-10-01,77.8,-0.65,6.55,"Civale, Aaron",607043,650644,field_out,hit_into_play,,,,,4,"Brandon Nimmo grounds out, second baseman Brice Turang to first baseman Rhys Hoskins.",F,L,R,MIL,NYM,X,4,ground_ball,0,2,2024,1.02,-1.41,-0.81,2.4,,,,2,9,Top,153.68,154.67,,,,,-2.179148549045941,-113.13742418175568,0.6582525200453919,9.147598761686105,23.578810682567916,-44.51983551591156,3.47,1.73,72,86.7,4,76.2,3140,5.5,775340,661388,656555,668930,687401,642715,694192,669003,686217,55.03,0.414,0.389,0.0,1,0,0,2,73,4,Curveball,4,8,8,4,8,4,8,4,Standard,Standard,37,0.001,-0.157,68.9,8.0,0.496,0.157,88.0,-4,4,0.015,0.985,29,31,29,31,2,4,5,1,,1,5.22,-1.02,1.02,51.9
SI,2024-10-01,93.5,-1.1,6.19,"Civale, Aaron",607043,650644,,foul,,,,,11,"Brandon Nimmo grounds out, second baseman Brice Turang to first baseman Rhys Hoskins.",F,L,R,MIL,NYM,S,,,0,2,2024,-1.28,0.97,-0.43,3.66,,,,2,9,Top,,,,,,,4.486233409140723,-136.14324076958064,-2.872452655280413,-16.950327182049847,30.66592076634784,-19.68460457446744,3.47,1.73,229,71.9,43,92.2,2171,5.5,775340,661388,656555,668930,687401,642715,694192,669003,686217,54.99,,,,,,,,73,3,Sinker,4,8,8,4,8,4,8,4,Standard,Standard,212,0.0,0.0,56.4,5.9,,0.0,88.0,-4,4,0.015,0.985,29,31,29,31,2,4,5,1,,1,1.64,1.28,-1.28,42.9
FC,2024-10-01,89.3,-0.98,6.29,"Civale, Aaron",607043,650644,,swinging_strike,,,,,14,"Brandon Nimmo grounds out, second baseman Brice Turang to first baseman Rhys Hoskins.",F,L,R,MIL,NYM,S,,,0,1,2024,0.37,0.64,0.26,1.53,,,,2,9,Top,,,,,,,2.2443928250972416,-129.87285728451002,-6.9554625828692584,3.7304908430741057,27.822790778321902,-23.658897064251622,3.47,1.73,,,,88.1,2603,5.6,775340,661388,656555,668930,687401,642715,694192,669003,686217,54.9,,,,,,,,73,2,Cutter,4,8,8,4,8,4,8,4,Standard,Standard,170,0.0,-0.058,73.6,8.9,,0.058,,-4,4,0.015,0.985,29,31,29,31,2,4,5,1,,1,2.23,-0.37,0.37,49.3
ST,2024-10-01,80.7,-1.18,6.15,"Civale, Aaron",607043,650644,,called_strike,,,,,5,"Brandon Nimmo grounds out, second baseman Brice Turang to first baseman Rhys Hoskins.",F,L,R,MIL,NYM,S,,,0,0,2024,1.21,0.05,-0.19,2.97,,,,2,9,Top,,,,,,,-0.091643838130172,-117.53891430177138,-0.5037074445823753,11.203954906688493,23.24657889680729,-31.820739223797823,3.67,1.79,,,,79.6,2993,5.6,775340,661388,656555,668930,687401,642715,694192,669003,686217,54.91,,,,,,,,73,1,Sweeper,4,8,8,4,8,4,8,4,Standard,Standard,66,0.0,-0.041,,,,0.041,,-4,4,0.015,0.985,29,31,29,31,2,4,5,1,,1,3.45,-1.21,1.21,40.2
FC,2024-10-01,90.0,-0.37,6.41,"Civale, Aaron",578428,650644,field_out,hit_into_play,,,,,9,"Jose Iglesias grounds out, third baseman Joey Ortiz to first baseman Rhys Hoskins.",F,R,R,MIL,NYM,X,5,ground_ball,2,0,2024,0.12,0.86,0.62,1.4,,,,1,9,Top,104.93,169.94,,,,,2.188126972910115,-130.8728464003392,-8.171162016378508,0.8848745491740436,27.036652496656256,-20.798674686468352,3.19,1.44,25,78.2,-2,88.8,2608,5.5,775340,661388,656555,668930,687401,642715,694192,669003,686217,54.98,0.103,0.094,0.0,1,0,0,2,72,3,Cutter,4,8,8,4,8,4,8,4,Standard,Standard,186,0.001,-0.367,72.7,7.8,0.106,0.367,88.0,-4,4,0.014,0.986,29,34,29,34,1,4,5,1,,1,1.95,-0.12,-0.12,47.2
FC,2024-10-01,89.3,-0.32,6.44,"Civale, Aaron",578428,650644,,ball,,,,,14,"Jose Iglesias grounds out, third baseman Joey Ortiz to first baseman Rhys Hoskins.",F,R,R,MIL,NYM,B,,,1,0,2024,0.5,0.81,1.56,0.22,,,,1,9,Top,,,,,,,3.5256336831158364,-129.69868401405284,-10.810691608965625,4.928174064643084,27.193421185288894,-20.95048302568004,3.23,1.44,,,,87.8,2619,5.5,775340,661388,656555,668930,687401,642715,694192,669003,686217,55.02,,,,,,,,72,2,Cutter,4,8,8,4,8,4,8,4,Standard,Standard,176,0.0,0.072,,,,-0.072,,-4,4,0.014,0.986,29,34,29,34,1,4,5,1,,1,2.06,-0.5,-0.5,49.8
FC,2024-10-01,88.7,-0.24,6.42,"Civale, Aaron",578428,650644,,ball,,,,,14,"Jose Iglesias grounds out, third baseman Joey Ortiz to first baseman Rhys Hoskins.",F,R,R,MIL,NYM,B,,,0,0,2024,0.57,0.74,1.36,1.18,,,,1,9,Top,,,,,,,2.68636721874738,-129.06489280382797,-8.23377616456935,5.816609809558662,26.882744002622363,-22.429992552505,3.31,1.44,,,,87.8,2616,5.7,775340,661388,656555,668930,687401,642715,694192,669003,686217,54.77,,,,,,,,72,1,Cutter,4,8,8,4,8,4,8,4,Standard,Standard,167,0.0,0.039,,,,-0.039,,-4,4,0.014,0.986,29,34,29,34,1,4,5,1,,1,2.16,-0.57,-0.57,51.3
FC,2024-10-01,89.2,-1.05,6.34,"Civale, Aaron",596019,650644,field_out,hit_into_play,,,,,5,Francisco Lindor pops out to third baseman Joey Ortiz.,F,L,R,MIL,NYM,X,5,popup,0,0,2024,0.37,0.85,0.07,2.1,,,,0,9,Top,115.0,161.6,,,,,1.9417633672003576,-129.8205911800797,-6.092881847334675,3.7856339927328584,28.380313631928,-21.536779657610182,3.3,1.51,104,82.0,72,87.8,2520,5.5,775340,661388,656555,668930,687401,642715,694192,669003,686217,55.0,0.003,0.003,0.0,1,0,0,3,71,1,Cutter,4,8,8,4,8,4,8,4,Standard,Standard,178,0.001,-0.254,76.8,8.1,0.003,0.254,88.0,-4,4,0.013,0.987,29,30,29,31,1,4,5,1,,1,2.03,-0.37,0.37,46.8
ST,2024-10-01,80.2,-0.63,6.21,"Civale, Aaron",682626,650644,field_out,hit_into_play,,,,,1,Francisco Alvarez lines out to shortstop Willy Adames.,F,R,R,MIL,NYM,X,6,line_drive,0,2,2024,1.14,-0.53,-0.63,3.35,,,,2,8,Top,104.88,146.98,,,,,-2.104589952505704,-116.7051480024698,1.376480251023695,10.765191792230002,23.122923087660453,-37.49600986716368,3.28,1.53,145,66.1,19,78.8,2940,5.4,775340,661388,656555,668930,687401,642715,694192,669003,686217,55.08,0.56,0.504,0.0,1,0,0,4,67,3,Sweeper,4,8,8,4,8,4,8,4,Strategic,Standard,58,0.002,-0.157,66.8,6.1,0.564,0.157,88.0,-4,4,0.037,0.963,29,22,29,23,1,3,5,1,,1,4.09,-1.14,-1.14,40.9
FF,2024-10-01,93.7,-0.31,6.34,"Civale, Aaron",682626,650644,,foul,,,,,14,Francisco Alvarez lines out to shortstop Willy Adames.,F,R,R,MIL,NYM,S,,,0,1,2024,-0.46,1.56,1.2,2.37,,,,2,8,Top,,,,,,,4.823496825450157,-136.1313818047245,-7.80540449030218,-6.84376415998912,31.953262261771233,-11.24092656893588,3.28,1.53,204,72.3,28,92.1,2416,5.6,775340,661388,656555,668930,687401,642715,694192,669003,686217,54.93,,,,,,,,67,2,4-Seam Fastball,4,8,8,4,8,4,8,4,Strategic,Standard,209,0.0,-0.058,71.0,7.2,,0.058,88.0,-4,4,0.037,0.963,29,22,29,23,1,3,5,1,,1,1.06,0.46,0.46,46.8
