pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,2024-10-28,94.2,-3.16,5.74,"Cousins, Jake",669242,664776,strikeout_double_play,swinging_strike,,,,,11,"Tommy Edman strikes out swinging and Enrique Hernández caught stealing 2nd, catcher Jose Trevino to shortstop Anthony Volpe to catcher Jose Trevino.",W,L,R,NYY,LAD,S,2,,3,2,2024,-1.45,0.73,-0.98,3.16,,,571771,1,6,Top,,,,,,,8.962945476880313,-136.7606505552745,-2.5842372079768534,-20.18960940866222,33.13145107059791,-22.6152032996153,3.28,1.51,,,,94.7,2385,7.0,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.55,,0.0,0.0,1,0,0,,45,6,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,235,0.014,-0.306,60.4,5.4,,0.306,,-4,4,0.074,0.926,29,29,30,29,1,2,2,2,,1,1.87,1.45,-1.45,22.6
SI,2024-10-28,93.0,-3.31,5.71,"Cousins, Jake",669242,664776,,ball,,,,,11,"Tommy Edman strikes out swinging and Enrique Hernández caught stealing 2nd, catcher Jose Trevino to shortstop Anthony Volpe to catcher Jose Trevino.",W,L,R,NYY,LAD,B,,,2,2,2024,-1.31,0.68,-1.17,3.76,,,571771,1,6,Top,,,,,,,8.444603565290855,-135.17861318318697,-0.6575389222719122,-18.024100684843653,32.4221600631127,-23.990712114765145,3.27,1.52,,,,93.3,2378,6.8,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.72,,,,,,,,45,5,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,230,0.0,0.077,,,,-0.077,,-4,4,0.074,0.926,29,29,30,29,1,2,2,2,,1,1.98,1.31,-1.31,21.9
SL,2024-10-28,81.1,-3.41,5.73,"Cousins, Jake",669242,664776,,ball,,,,,13,"Tommy Edman strikes out swinging and Enrique Hernández caught stealing 2nd, catcher Jose Trevino to shortstop Anthony Volpe to catcher Jose Trevino.",W,L,R,NYY,LAD,B,,,1,2,2024,1.22,-0.02,-1.18,2.43,,,571771,1,6,Top,,,,,,,2.6777031915701444,-118.02017289152964,-0.5880617097569354,10.624991018498337,26.132902091736053,-32.47698175370135,3.38,1.51,,,,81.4,2558,6.9,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.64,,,,,,,,45,4,Slider,0,4,4,0,4,0,4,0,Standard,Standard,50,0.0,0.048,,,,-0.048,,-4,4,0.074,0.926,29,29,30,29,1,2,2,2,,1,3.53,-1.22,1.22,25.5
SL,2024-10-28,81.7,-3.29,5.66,"Cousins, Jake",669242,664776,,ball,,,,,14,"Tommy Edman strikes out swinging and Enrique Hernández caught stealing 2nd, catcher Jose Trevino to shortstop Anthony Volpe to catcher Jose Trevino.",W,L,R,NYY,LAD,B,,,0,2,2024,1.45,-0.05,1.62,1.35,,,571771,1,6,Top,,,,,,,8.335213860049237,-118.567229668988,-2.888446846121088,11.617200532048292,26.92155438316955,-32.23834966261609,3.29,1.51,,,,82.0,2618,7.1,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.42,,,,,,,,45,3,Slider,0,4,4,0,4,0,4,0,Standard,Standard,46,0.0,0.022,,,,-0.022,,-4,4,0.074,0.926,29,29,30,29,1,2,2,2,,1,3.54,-1.45,1.45,20.7
SL,2024-10-28,81.0,-3.5,5.55,"Cousins, Jake",669242,664776,,swinging_strike,,,,,14,"Tommy Edman strikes out swinging and Enrique Hernández caught stealing 2nd, catcher Jose Trevino to shortstop Anthony Volpe to catcher Jose Trevino.",W,L,R,NYY,LAD,S,,,0,1,2024,1.36,0.03,0.75,0.9,,,571771,1,6,Top,,,,,,,6.944272535660003,-117.7120059866567,-3.715776550003125,11.036147685312075,25.65364372287505,-31.30796668000109,3.28,1.51,,,,81.3,2612,6.9,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.61,,,,,,,,45,2,Slider,0,4,4,0,4,0,4,0,Standard,Standard,47,0.0,-0.052,69.8,8.1,,0.052,,-4,4,0.074,0.926,29,29,30,29,1,2,2,2,,1,3.49,-1.36,1.36,21.1
SI,2024-10-28,92.9,-3.26,5.55,"Cousins, Jake",669242,664776,,called_strike,,,,,5,"Tommy Edman strikes out swinging and Enrique Hernández caught stealing 2nd, catcher Jose Trevino to shortstop Anthony Volpe to catcher Jose Trevino.",W,L,R,NYY,LAD,S,,,0,0,2024,-1.62,0.44,0.1,2.38,,,571771,1,6,Top,,,,,,,12.305779113789448,-134.57132993352997,-3.200137036887278,-22.52015586163177,32.17618846309469,-26.309615756023835,3.32,1.51,,,,93.4,2316,7.0,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.45,,,,,,,,45,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,238,0.0,-0.04,,,,0.04,,-4,4,0.074,0.926,29,29,30,29,1,2,2,2,,1,2.25,1.62,-1.62,19.1
SI,2024-10-28,93.0,-3.24,5.73,"Cousins, Jake",571771,664776,single,hit_into_play,,,,,1,Enrique Hernández singles on a ground ball to center fielder Aaron Judge.   Gavin Lux scores.,W,R,R,NYY,LAD,X,8,ground_ball,1,0,2024,-1.54,0.77,-0.72,3.07,,666158,,1,6,Top,121.22,116.15,,,,,10.003374460530477,-134.9554146865475,-2.7174764043243735,-21.078756432281825,30.85015137344174,-22.34265406322885,3.36,1.64,67,100.4,2,94.1,2353,7.2,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.29,0.509,0.469,0.9,1,1,0,4,44,2,Sinker,0,3,3,0,4,0,4,0,Strategic,Standard,233,-0.044,0.529,71.5,6.7,0.565,-0.529,100.4,-3,3,0.118,0.882,29,32,30,33,1,2,2,2,,1,1.89,1.54,1.54,21.0
SL,2024-10-28,82.9,-3.16,5.66,"Cousins, Jake",571771,664776,,ball,,,,,14,Enrique Hernández singles on a ground ball to center fielder Aaron Judge.   Gavin Lux scores.,W,R,R,NYY,LAD,B,,,0,0,2024,1.32,-0.11,3.29,0.58,,,666158,1,6,Top,,,,,,,12.255737783820312,-120.0180941530033,-4.781564155780666,9.85513738200722,26.976427638555943,-32.36793662815665,3.29,1.65,,,,83.0,2665,7.0,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.5,,,,,,,,44,1,Slider,0,3,3,0,3,0,3,0,Standard,Standard,44,-0.009,0.036,,,,-0.036,,-3,3,0.127,0.873,29,32,30,33,1,2,2,2,,1,3.51,-1.32,-1.32,22.4
FF,2024-10-28,93.7,-3.19,5.7,"Cousins, Jake",666158,664776,hit_by_pitch,hit_by_pitch,,,,,12,Gavin Lux hit by pitch.,W,L,R,NYY,LAD,B,,,2,2,2024,-1.02,1.37,2.15,3.82,,,,1,6,Top,,,,,,,16.110402104311365,-135.40791872216317,-2.044754737199737,-16.161628079238263,31.25468894046571,-15.08421276856303,3.24,1.58,,,,94.0,2348,7.0,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.54,,0.720192,0.7,1,0,0,,43,6,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,231,-0.011,0.456,,,,-0.456,,-3,3,0.138,0.862,29,26,30,27,1,2,2,3,,1,1.27,1.02,-1.02,25.5
SI,2024-10-28,94.6,-3.16,5.7,"Cousins, Jake",666158,664776,,foul,,,,,2,Gavin Lux hit by pitch.,W,L,R,NYY,LAD,S,,,2,2,2024,-1.74,0.95,0.24,3.15,,,,1,6,Top,,,,,,,12.867592830265124,-137.11602137033591,-3.030523836713483,-24.80874232054712,31.87689552953872,-19.702592729791284,3.24,1.58,193,72.1,54,95.1,2411,6.9,775298,624431,519203,650402,665862,683011,657077,592450,665742,53.57,,,,,,,,43,5,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,234,0.0,0.0,75.2,7.1,,0.0,88.0,-3,3,0.138,0.862,29,26,30,27,1,2,2,3,,1,1.63,1.74,-1.74,20.9
