pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-09-28,88.7,-3.36,5.32,"Criswell, Jeff",666158,676105,strikeout,swinging_strike,,,,,5,Gavin Lux strikes out swinging. Chris Taylor steals (5) 2nd base.,R,L,R,COL,LAD,S,2,,3,2,2024,-0.01,0.27,-0.23,2.2,660271,,621035,0,6,Top,,,,,,,7.681746923044917,-129.1875781402057,-2.2387636357345713,-1.4208470072402084,21.730297944851017,-28.930525446067865,3.24,1.56,,,,89.5,2521,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.2,,0.0,0.0,1,0,0,,48,6,Slider,2,8,8,2,8,2,8,2,Standard,Standard,258,0.003,-0.295,67.8,8.0,,0.295,,-6,6,0.012,0.988,25,26,25,27,1,3,3,1,,7,2.58,0.01,-0.01,31.4
FF,2024-09-28,95.1,-3.33,5.24,"Criswell, Jeff",666158,676105,,swinging_strike,,,,,4,Gavin Lux strikes out swinging. Chris Taylor steals (5) 2nd base.,R,L,R,COL,LAD,S,,,3,1,2024,-1.02,0.94,-0.35,2.53,660271,,621035,0,6,Top,,,,,,,10.10563568335131,-138.1958240926237,-3.604727044024908,-15.16308397489571,27.441553338620785,-19.497899353525455,3.24,1.56,,,,95.5,2451,6.4,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.13,,,,,,,,48,5,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,232,0.0,-0.086,70.1,7.7,,0.086,,-6,6,0.012,0.988,25,26,25,27,1,3,3,1,,7,1.57,1.02,-1.02,31.2
CH,2024-09-28,87.8,-3.22,5.4,"Criswell, Jeff",666158,676105,,ball,,,,,13,Gavin Lux strikes out swinging. Chris Taylor steals (5) 2nd base.,R,L,R,COL,LAD,B,,,2,1,2024,-1.06,0.55,-0.15,0.69,660271,,621035,0,6,Top,,,,,,,9.61680757316105,-127.51225501075868,-6.535677900016017,-13.37093022218288,20.95205740772887,-25.124235537181036,3.34,1.52,,,,88.5,2231,6.4,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.1,,,,,,,,48,4,Changeup,2,8,8,2,8,2,8,2,Standard,Standard,246,0.0,0.05,,,,-0.05,,-6,6,0.012,0.988,25,26,25,27,1,3,3,1,,7,2.37,1.06,-1.06,31.1
FF,2024-09-28,95.0,-3.36,5.19,"Criswell, Jeff",666158,676105,,called_strike,,,,,7,Gavin Lux strikes out swinging. Chris Taylor steals (5) 2nd base.,R,L,R,COL,LAD,S,,,2,0,2024,-0.86,0.86,-0.74,1.75,660271,,621035,0,6,Top,,,,,,,8.771322889628314,-138.24737839669947,-5.405512002755397,-12.694485693809234,24.154603780853968,-20.149293607908263,3.36,1.62,,,,95.9,2296,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.18,,,,,,,,48,3,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,232,0.0,-0.069,,,,0.069,,-6,6,0.012,0.988,25,26,25,27,1,3,3,1,,7,1.62,0.86,-0.86,27.5
CH,2024-09-28,86.9,-3.28,5.29,"Criswell, Jeff",666158,676105,,blocked_ball,,,,,13,Gavin Lux strikes out swinging. Chris Taylor steals (5) 2nd base.,R,L,R,COL,LAD,B,,,1,0,2024,-1.36,0.28,-0.78,0.55,660271,,621035,0,6,Top,,,,,,,8.756088359117234,-126.34113533789478,-5.8364093337464364,-16.236543129238385,22.37447115378332,-28.19567113762628,3.44,1.59,,,,87.3,2323,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.19,,,,,,,,48,2,Changeup,2,8,8,2,8,2,8,2,Standard,Standard,249,0.0,0.042,,,,-0.042,,-6,6,0.012,0.988,25,26,25,27,1,3,3,1,,7,2.71,1.36,-1.36,29.0
FF,2024-09-28,94.5,-3.23,5.26,"Criswell, Jeff",666158,676105,,ball,,,,,11,Gavin Lux strikes out swinging. Chris Taylor steals (5) 2nd base.,R,L,R,COL,LAD,B,,,0,0,2024,-0.77,0.98,-2.13,2.86,660271,,621035,0,6,Top,,,,,,,4.589285913928562,-137.6003629886178,-2.8176675823730446,-10.712780037958002,27.516489071658683,-19.297633372286217,3.24,1.47,,,,95.0,2179,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.2,,,,,,,,48,1,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,241,0.0,0.021,,,,-0.021,,-6,6,0.012,0.988,25,26,25,27,1,3,3,1,,7,1.55,0.77,-0.77,28.4
FF,2024-09-28,94.7,-3.3,5.28,"Criswell, Jeff",621035,676105,single,hit_into_play,,,,,5,Chris Taylor singles on a ground ball to shortstop Ezequiel Tovar. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,X,6,ground_ball,3,2,2024,-0.76,0.86,-0.22,2.66,,660271,,0,6,Top,122.48,167.58,,,,,9.760370029088168,-137.6798913947171,-3.156136244552247,-11.687518481505665,26.192641648521377,-20.707216447067832,3.53,1.63,4,52.8,-34,95.3,2430,6.4,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.12,0.131,0.138,0.9,1,1,0,1,47,6,4-Seam Fastball,2,8,8,2,8,2,8,2,Standard,Standard,233,-0.005,0.472,65.8,6.3,0.135,-0.472,88.0,-6,6,0.017,0.983,25,33,25,34,1,0,3,1,,1,1.66,0.76,0.76,30.1
SL,2024-09-28,89.3,-3.27,5.33,"Criswell, Jeff",621035,676105,,ball,,,,,14,Chris Taylor singles on a ground ball to shortstop Ezequiel Tovar. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,B,,,2,2,2024,0.16,0.47,0.53,0.91,,660271,,0,6,Top,,,,,,,9.036308755597329,-129.74738844756934,-5.919005522090162,0.1659630051725015,23.489074889322332,-25.85422655108357,3.58,1.62,,,,89.9,2222,6.4,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.06,,,,,,,,47,5,Slider,2,8,8,2,8,2,8,2,Standard,Standard,233,0.0,0.063,,,,-0.063,,-6,6,0.017,0.983,25,33,25,34,1,0,3,1,,1,2.36,-0.16,-0.16,33.3
SL,2024-09-28,89.9,-3.24,5.29,"Criswell, Jeff",621035,676105,,ball,,,,,14,Chris Taylor singles on a ground ball to shortstop Ezequiel Tovar. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,B,,,1,2,2024,0.13,0.62,1.58,0.79,,660271,,0,6,Top,,,,,,,11.671263215314609,-130.5150778241597,-6.568703849604734,-0.493951265881198,21.92534022280883,-23.987753697814295,3.58,1.72,,,,90.6,2297,6.4,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.13,,,,,,,,47,4,Slider,2,8,8,2,8,2,8,2,Strategic,Standard,245,0.0,0.053,,,,-0.053,,-6,6,0.017,0.983,25,33,25,34,1,0,3,1,,1,2.17,-0.13,-0.13,29.8
SL,2024-09-28,89.3,-3.22,5.34,"Criswell, Jeff",621035,676105,,called_strike,,,,,5,Chris Taylor singles on a ground ball to shortstop Ezequiel Tovar. Shohei Ohtani to 3rd.,R,R,R,COL,LAD,S,,,1,1,2024,0.22,0.35,-0.01,2.44,,,660271,0,6,Top,,,,,,,7.441490019053018,-130.0303424535449,-1.9228734092712336,1.105823296736368,24.90970275678616,-27.953070328175496,3.59,1.73,,,,89.7,2280,6.3,746499,696100,669911,668845,641857,678662,666134,656541,595909,54.19,,,,,,,,47,3,Slider,2,8,8,2,8,2,8,2,Standard,Standard,211,-0.003,-0.049,,,,0.049,,-6,6,0.02,0.98,25,33,25,34,1,0,3,1,,1,2.48,-0.22,-0.22,36.4
