pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-07-30,91.3,-4.57,4.13,"Cuas, Jose",663624,621016,strikeout,swinging_strike,,,,,11,Ryan Mountcastle strikes out swinging.,R,R,R,BAL,TOR,S,2,,2,2,2024,-0.72,0.89,-0.53,4.16,668939,623993,656811,2,7,Bot,,,,,,,11.733541747092348,-132.53081540804388,4.075618070917386,-10.82602258041636,25.77613525313539,-22.746594757291536,3.62,1.78,,,,91.8,2252,6.5,747005,661531,665489,687462,676391,677870,672642,662139,680718,53.96,,0.0,0.0,1,0,0,,63,5,4-Seam Fastball,6,2,6,2,2,6,6,2,Strategic,Standard,251,-0.008,-0.263,67.5,5.7,,0.263,,4,4,0.976,0.976,30,27,30,27,1,3,27,1,,1,1.84,0.72,0.72,4.9
FF,2024-07-30,92.9,-4.47,4.29,"Cuas, Jose",663624,621016,,ball,,,,,11,Ryan Mountcastle strikes out swinging.,R,R,R,BAL,TOR,B,,,1,2,2024,-0.58,0.71,-1.55,4.84,668939,623993,656811,2,7,Bot,,,,,,,8.746378689500538,-134.93581387784883,5.679675178465961,-8.917599473587616,28.95606820123662,-25.02749253146766,3.5,1.75,,,,93.1,2277,6.5,747005,661531,665489,687462,676391,677870,672642,662139,680718,53.99,,,,,,,,63,4,4-Seam Fastball,6,2,6,2,2,6,6,2,Standard,Standard,240,0.0,0.052,,,,-0.052,,4,4,0.976,0.976,30,27,30,27,1,3,27,1,,1,1.94,0.58,0.58,3.5
SI,2024-07-30,92.7,-4.58,4.11,"Cuas, Jose",663624,621016,,foul,,,,,11,Ryan Mountcastle strikes out swinging.,R,R,R,BAL,TOR,S,,,1,1,2024,-1.26,-0.14,-1.66,2.95,668939,623993,656811,2,7,Bot,,,,,,,10.224716798063984,-134.56474574226024,3.1477325486270487,-17.462793733370898,28.939588582976512,-34.779819052065925,3.62,1.78,2,41.3,-52,92.8,2407,6.4,747005,661531,665489,687462,676391,677870,672642,662139,680718,54.06,,,,,,,,63,3,Sinker,6,2,6,2,2,6,6,2,Standard,Standard,251,0.0,-0.05,65.3,5.9,,0.05,88.0,4,4,0.976,0.976,30,27,30,27,1,3,27,1,,1,2.8,1.26,1.26,2.6
ST,2024-07-30,82.0,-4.52,4.13,"Cuas, Jose",663624,621016,,ball,,,,,11,Ryan Mountcastle strikes out swinging.,R,R,R,BAL,TOR,B,,,0,1,2024,0.71,0.2,-2.53,2.8,668939,623993,656811,2,7,Bot,,,,,,,3.1441779363138274,-119.42979587678286,3.156133778525432,6.272838944260816,22.215023986241,-31.087156187363036,3.56,1.81,,,,83.0,2486,6.8,747005,661531,665489,687462,676391,677870,672642,662139,680718,53.69,,,,,,,,63,2,Sweeper,6,2,6,2,2,6,6,2,Standard,Standard,56,0.0,0.031,,,,-0.031,,4,4,0.976,0.976,30,27,30,27,1,3,27,1,,1,3.18,-0.71,-0.71,3.3
SI,2024-07-30,91.8,-4.59,4.24,"Cuas, Jose",663624,621016,,called_strike,,,,,11,Ryan Mountcastle strikes out swinging.,R,R,R,BAL,TOR,S,,,0,0,2024,-1.16,0.03,-1.14,3.32,668939,623993,656811,2,7,Bot,,,,,,,11.240778227162842,-133.1843750566427,3.477026306751701,-16.110233359953646,26.313783979225747,-32.76909764078217,3.71,1.82,,,,92.3,2411,6.5,747005,661531,665489,687462,676391,677870,672642,662139,680718,53.95,,,,,,,,63,1,Sinker,6,2,6,2,2,6,6,2,Strategic,Standard,249,0.0,-0.044,,,,0.044,,4,4,0.976,0.976,30,27,30,27,1,3,27,1,,1,2.67,1.16,1.16,4.4
FF,2024-07-30,91.6,-4.66,4.11,"Cuas, Jose",656811,621016,walk,ball,,,,,11,Ryan O'Hearn walks. Adley Rutschman to 3rd. Anthony Santander to 2nd.,R,L,R,BAL,TOR,B,,,3,2,2024,-0.72,0.8,-1.96,4.1,,668939,623993,2,7,Bot,,,,,,,8.430657494491536,-133.1428062427059,4.091023415995278,-10.307100758580477,25.85591305857719,-23.672606317888075,3.63,1.62,,,,92.4,2237,6.6,747005,661531,665489,687462,676391,677870,672642,662139,680718,53.91,,0.689131,0.7,1,0,0,,62,6,4-Seam Fastball,6,2,6,2,2,6,6,2,Infield shade,Standard,249,0.003,0.216,,,,-0.216,,4,4,0.973,0.973,30,30,30,31,1,3,27,1,,1,1.91,0.72,-0.72,1.6
FF,2024-07-30,92.2,-4.5,4.09,"Cuas, Jose",656811,621016,,foul,,,,,1,Ryan O'Hearn walks. Adley Rutschman to 3rd. Anthony Santander to 2nd.,R,L,R,BAL,TOR,S,,,3,1,2024,-1.14,0.7,-0.81,3.58,,668939,623993,2,7,Bot,,,,,,,11.887884384316422,-133.69918062335336,3.038816249466674,-16.13476869671393,27.85874789843597,-24.63686130460208,3.51,1.66,166,76.8,15,92.6,2397,6.6,747005,661531,665489,687462,676391,677870,672642,662139,680718,53.88,,,,,,,,62,5,4-Seam Fastball,6,2,6,2,2,6,6,2,Infield shade,Standard,252,0.0,-0.074,72.2,7.0,,0.074,88.0,4,4,0.973,0.973,30,30,30,31,1,3,27,1,,1,1.99,1.14,-1.14,2.2
FF,2024-07-30,92.7,-4.53,4.18,"Cuas, Jose",656811,621016,,ball,,,,,11,Ryan O'Hearn walks. Adley Rutschman to 3rd. Anthony Santander to 2nd.,R,L,R,BAL,TOR,B,,,2,1,2024,-0.86,0.79,-1.31,4.39,,668939,623993,2,7,Bot,,,,,,,10.123496782307557,-134.61168592720955,4.625578629861854,-12.620307151928449,28.339858749453608,-23.76767702732381,3.54,1.49,,,,92.9,2368,6.4,747005,661531,665489,687462,676391,677870,672642,662139,680718,54.06,,,,,,,,62,4,4-Seam Fastball,6,2,6,2,2,6,6,2,Infield shade,Standard,245,0.0,0.065,,,,-0.065,,4,4,0.973,0.973,30,30,30,31,1,3,27,1,,1,1.86,0.86,-0.86,1.9
FF,2024-07-30,92.5,-4.54,4.08,"Cuas, Jose",656811,621016,,ball,,,,,11,Ryan O'Hearn walks. Adley Rutschman to 3rd. Anthony Santander to 2nd.,R,L,R,BAL,TOR,B,,,1,1,2024,-0.73,1.03,-1.15,3.16,,668939,623993,2,7,Bot,,,,,,,10.24916904246558,-134.37194503862173,1.234659736218837,-11.02702937726934,29.394146319357823,-20.239073581230084,3.57,1.53,,,,92.5,2312,6.4,747005,661531,665489,687462,676391,677870,672642,662139,680718,54.07,,,,,,,,62,3,4-Seam Fastball,6,2,6,2,2,6,6,2,Infield shade,Standard,259,0.0,0.042,,,,-0.042,,4,4,0.973,0.973,30,30,30,31,1,3,27,1,,1,1.65,0.73,-0.73,0.8
FF,2024-07-30,92.5,-4.46,4.13,"Cuas, Jose",656811,621016,,called_strike,,,,,3,Ryan O'Hearn walks. Adley Rutschman to 3rd. Anthony Santander to 2nd.,R,L,R,BAL,TOR,S,,,1,0,2024,-1.06,0.66,0.36,2.97,,668939,623993,2,7,Bot,,,,,,,14.646457522036016,-133.9312204616873,1.4662044124306552,-15.82461999369441,28.045852254543544,-24.77359379955573,3.55,1.6,,,,92.8,2398,6.7,747005,661531,665489,687462,676391,677870,672642,662139,680718,53.82,,,,,,,,62,2,4-Seam Fastball,6,2,6,2,2,6,6,2,Infield shade,Standard,254,0.0,-0.042,,,,0.042,,4,4,0.973,0.973,30,30,30,31,1,3,27,1,,1,2.02,1.06,-1.06,2.3
