pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CU,2024-09-28,74.3,-1.65,5.91,"Curry, Xzavion",676914,675540,field_out,hit_into_play,,,,,9,"Davis Schneider grounds out, shortstop Xavier Edwards to first baseman Jake Burger.",R,R,R,TOR,MIA,X,6,ground_ball,1,1,2024,1.11,-1.09,0.3,1.93,,,,2,5,Bot,116.22,153.83,,,,,2.038068316260592,-108.10974262892144,1.0841487077843524,8.208078796762052,21.225369887553757,-41.12623196795733,2.98,1.49,3,58.2,-31,73.8,2522,6.2,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.28,0.1,0.082,0.0,1,0,0,1,37,3,Curveball,1,2,1,2,2,1,1,2,Infield shade,Standard,37,-0.016,-0.244,68.1,7.7,0.11,0.244,88.0,-1,-1,0.349,0.349,25,25,26,25,2,1,6,1,,1,5.27,-1.11,-1.11,60.5
FF,2024-09-28,92.2,-1.35,6.03,"Curry, Xzavion",676914,675540,,called_strike,,,,,12,"Davis Schneider grounds out, shortstop Xavier Edwards to first baseman Jake Burger.",R,R,R,TOR,MIA,S,,,1,0,2024,-0.51,1.53,0.31,3.24,,,,2,5,Bot,,,,,,,5.3297398849816515,-134.1490795840541,-4.551429561683261,-7.397954894774069,30.65177823322989,-12.920601783438052,3.06,1.46,,,,92.0,1978,6.3,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.19,,,,,,,,37,2,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,199,0.0,-0.051,,,,0.051,,-1,-1,0.349,0.349,25,25,26,25,2,1,6,1,,1,1.16,0.51,0.51,60.6
FF,2024-09-28,92.6,-1.27,6.01,"Curry, Xzavion",676914,675540,,ball,,,,,12,"Davis Schneider grounds out, shortstop Xavier Edwards to first baseman Jake Burger.",R,R,R,TOR,MIA,B,,,0,0,2024,-0.45,1.41,1.1,3.07,,,,2,5,Bot,,,,,,,7.030587360315553,-134.62705653735495,-4.770350527442391,-6.995466585196252,29.329089863332698,-14.23400682330458,2.99,1.51,,,,92.5,2008,6.3,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.21,,,,,,,,37,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,196,0.0,0.04,,,,-0.04,,-1,-1,0.349,0.349,25,25,26,25,2,1,6,1,,1,1.26,0.45,0.45,64.2
FF,2024-09-28,92.7,-1.62,6.02,"Curry, Xzavion",680718,675540,field_out,hit_into_play,,,,,3,"Addison Barger grounds out, shortstop Xavier Edwards to first baseman Jake Burger.",R,L,R,TOR,MIA,X,6,ground_ball,1,2,2024,-0.31,1.42,0.32,3.65,,,,1,5,Bot,116.0,147.0,,,,,5.64046124012093,-134.93694157376189,-3.363395823651842,-5.054758447127797,29.90593090339482,-14.291726260177,3.63,1.75,127,82.5,8,92.3,2043,6.1,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.42,0.423,0.389,0.0,1,0,0,4,36,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,197,-0.024,-0.182,71.4,6.4,0.466,0.182,88.0,-1,-1,0.373,0.373,25,24,26,25,2,1,6,1,,1,1.23,0.31,-0.31,59.0
CU,2024-09-28,73.5,-1.73,5.93,"Curry, Xzavion",680718,675540,,called_strike,,,,,1,"Addison Barger grounds out, shortstop Xavier Edwards to first baseman Jake Burger.",R,L,R,TOR,MIA,S,,,1,1,2024,1.14,-1.13,-0.62,3.15,,,,1,5,Bot,,,,,,,0.2681864452894501,-106.80895421233112,3.7080902772510456,8.623597366808173,20.51806187683472,-41.71228934927299,3.57,1.64,,,,72.7,2495,6.0,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.49,,,,,,,,36,3,Curveball,1,2,1,2,2,1,1,2,Strategic,Standard,30,0.0,-0.061,,,,0.061,,-1,-1,0.373,0.373,25,24,26,25,2,1,6,1,,1,5.4,-1.14,1.14,59.0
CU,2024-09-28,74.1,-1.67,5.91,"Curry, Xzavion",680718,675540,,ball,,,,,13,"Addison Barger grounds out, shortstop Xavier Edwards to first baseman Jake Burger.",R,L,R,TOR,MIA,B,,,0,1,2024,0.92,-1.24,-0.27,0.98,,,,1,5,Bot,,,,,,,1.2511589043953408,-107.91477011761548,-0.5961125911102192,6.901444320635446,20.825818989507244,-41.87449392021545,3.64,1.72,,,,73.9,2544,6.3,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.15,,,,,,,,36,2,Curveball,1,2,1,2,2,1,1,2,Strategic,Standard,32,0.0,0.024,,,,-0.024,,-1,-1,0.373,0.373,25,24,26,25,2,1,6,1,,1,5.42,-0.92,0.92,60.8
FF,2024-09-28,92.5,-1.56,5.98,"Curry, Xzavion",680718,675540,,called_strike,,,,,8,"Addison Barger grounds out, shortstop Xavier Edwards to first baseman Jake Burger.",R,L,R,TOR,MIA,S,,,0,0,2024,-0.36,1.52,0.27,1.9,,,,1,5,Bot,,,,,,,5.402465929977797,-134.4201213373918,-7.875346252543987,-5.524044179781908,28.836811644114388,-12.164585597691122,3.64,1.75,,,,92.1,2055,6.1,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.42,,,,,,,,36,1,4-Seam Fastball,1,2,1,2,2,1,1,2,Strategic,Standard,204,0.0,-0.037,,,,0.037,,-1,-1,0.373,0.373,25,24,26,25,2,1,6,1,,1,1.14,0.36,-0.36,59.1
CU,2024-09-28,72.5,-1.72,5.97,"Curry, Xzavion",676391,675540,field_out,hit_into_play,,,,,6,Ernie Clement lines out softly to pitcher Xzavion Curry.,R,R,R,TOR,MIA,X,1,line_drive,0,0,2024,1.24,-0.87,0.32,2.45,,,,0,5,Bot,128.38,169.96,,,,,1.9399130263740176,-105.5550176285989,1.9473825223387904,8.802349781097735,19.98393704137324,-39.25745190110144,3.37,1.56,79,51.8,15,72.0,2401,6.1,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.38,0.14,0.133,0.0,1,0,0,1,35,1,Curveball,1,2,1,2,2,1,1,2,Infield shade,Standard,36,-0.034,-0.254,63.8,7.3,0.156,0.254,88.0,-1,-1,0.407,0.407,25,28,26,28,2,1,6,1,,1,5.25,-1.24,-1.24,60.2
SL,2024-09-28,83.3,-1.65,5.98,"Curry, Xzavion",672386,675540,field_out,hit_into_play,,,,,9,Alejandro Kirk lines out to first baseman Jake Burger.,R,R,R,TOR,MIA,X,3,line_drive,0,1,2024,0.78,-0.16,0.79,1.74,,,,2,4,Bot,156.16,162.44,,,,,4.071059065492062,-121.30621219074088,-2.980445763373271,6.912087346162354,23.76147680327187,-33.33421011400127,3.08,1.46,121,70.0,12,83.2,2336,6.2,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.33,0.311,0.283,0.0,1,0,0,2,30,2,Slider,1,2,1,2,2,1,1,2,Standard,Standard,106,-0.013,-0.215,67.3,7.8,0.348,0.215,88.0,-1,-1,0.369,0.369,25,25,26,26,2,1,6,1,,,3.44,-0.78,-0.78,59.6
CU,2024-09-28,74.1,-1.66,5.87,"Curry, Xzavion",672386,675540,,swinging_strike,,,,,13,Alejandro Kirk lines out to first baseman Jake Burger.,R,R,R,TOR,MIA,S,,,0,0,2024,0.66,-1.3,-0.31,0.49,,,,2,4,Bot,,,,,,,1.5972729871022582,-107.77534937742992,-1.3549042464412977,4.754330646356254,21.59434938868508,-42.15609894993426,3.08,1.46,,,,73.6,2465,6.3,744878,640902,669394,691594,681393,669364,665052,667472,660821,54.25,,,,,,,,30,1,Curveball,1,2,1,2,2,1,1,2,Standard,Standard,29,0.0,-0.041,71.5,8.4,,0.041,,-1,-1,0.369,0.369,25,25,26,26,2,1,6,1,,,5.51,-0.66,-0.66,59.8
