pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-03-25,95.5,-1.59,6.69,"Dabovich, R.J.",660829,681924,grounded_into_double_play,hit_into_play,,,,,2,"Hoy Park grounds into a double play, shortstop Marco Luciano to second baseman Donovan Walton to first baseman Blake Sabol.   Max Schuemann out at 2nd.    Hoy Park out at 1st.",S,L,R,OAK,SF,X,6,ground_ball,0,1,2024,0.09,1.49,-0.05,2.83,676116,,680474,1,8,Bot,109.07,142.91,,,,,3.857205976298641,-138.80194039143734,-7.81757722635532,0.2262229675431991,33.23257329900555,-11.325451434263533,3.25,1.43,106,77.7,8,95.0,2219,6.2,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.3,0.346,,0.0,,0,0,2,65,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,195,-0.118,-0.293,,,0.402,0.293,88.0,-3,-3,0.149,0.149,25,28,25,28,1,0,,,,,1.03,-0.09,0.09,
FF,2024-03-25,92.4,-1.73,6.64,"Dabovich, R.J.",660829,681924,,called_strike,,,,,5,"Hoy Park grounds into a double play, shortstop Marco Luciano to second baseman Donovan Walton to first baseman Blake Sabol.   Max Schuemann out at 2nd.    Hoy Park out at 1st.",S,L,R,OAK,SF,S,,,0,0,2024,0.16,1.63,-0.18,1.84,676116,,680474,1,8,Bot,,,,,,,3.578299305841075,-134.2237838936101,-9.834623451840764,1.0745896028083877,31.667560835624418,-10.475776770784856,2.78,1.2,,,,91.6,2099,6.1,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.37,,,,,,,,65,1,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,194,0.0,-0.045,,,,0.045,,-3,-3,0.149,0.149,25,28,25,28,1,0,,,,,1.07,-0.16,0.16,
FF,2024-03-25,93.7,-1.48,6.69,"Dabovich, R.J.",680474,681924,walk,ball,,,,,11,Max Schuemann walks.,S,R,R,OAK,SF,B,,,3,1,2024,0.07,1.53,-1.1,3.37,676116,,,1,8,Bot,,,,,,,0.8160765101159819,-136.4192983550094,-6.1721314039823385,0.7189249781547794,30.712831161778823,-11.89765437218266,3.48,1.65,,,,93.2,2113,6.0,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.49,,,0.7,,0,0,,64,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,196,0.041,0.112,,,,-0.112,,-3,-3,0.108,0.108,25,27,25,27,1,0,,,,,1.07,-0.07,-0.07,
FF,2024-03-25,95.0,-1.52,6.71,"Dabovich, R.J.",680474,681924,,called_strike,,,,,5,Max Schuemann walks.,S,R,R,OAK,SF,S,,,3,0,2024,0.01,1.56,-0.26,2.55,676116,,,1,8,Bot,,,,,,,3.267409420306006,-138.10895208636603,-8.663037830609753,-0.5997907150863155,31.396724627160136,-10.524071334347123,3.28,1.57,,,,94.6,2183,6.1,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.37,,,,,,,,64,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,196,0.0,-0.057,,,,0.057,,-3,-3,0.108,0.108,25,27,25,27,1,0,,,,,0.98,-0.01,-0.01,
FF,2024-03-25,93.5,-1.51,6.72,"Dabovich, R.J.",680474,681924,,ball,,,,,11,Max Schuemann walks.,S,R,R,OAK,SF,B,,,2,0,2024,0.18,1.38,-0.14,4.08,676116,,,1,8,Bot,,,,,,,3.12254768155746,-136.11841901492616,-4.055104394024228,1.4605759241122478,31.829050195360637,-14.41967759414478,3.45,1.65,,,,92.8,2083,6.0,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.48,,,,,,,,64,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,194,0.0,0.077,,,,-0.077,,-3,-3,0.108,0.108,25,27,25,27,1,0,,,,,1.24,-0.18,-0.18,
FF,2024-03-25,93.7,-1.61,6.69,"Dabovich, R.J.",680474,681924,,ball,,,,,11,Max Schuemann walks.,S,R,R,OAK,SF,B,,,1,0,2024,0.06,1.4,-0.58,5.46,,676116,,1,8,Bot,,,,,,,2.521144407027036,-136.46691780698927,-0.53783617085267,0.1335529218927199,31.483213776720625,-14.833319326991568,3.34,1.62,,,,93.1,2108,6.0,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.53,,,,,,,,64,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,188,0.015,0.042,,,,-0.042,,-3,-3,0.093,0.093,25,27,25,27,1,0,,,,,1.2,-0.06,-0.06,
KC,2024-03-25,85.0,-1.54,6.66,"Dabovich, R.J.",680474,681924,,ball,,,,,11,Max Schuemann walks.,S,R,R,OAK,SF,B,,,0,0,2024,-0.16,-0.48,-1.06,5.74,,676116,,1,8,Bot,,,,,,,1.4197912491150155,-123.59474921530249,5.123741683638338,-1.9205743043740435,25.80254491826433,-38.363398091519805,3.39,1.62,,,,84.5,2473,6.1,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.42,,,,,,,,64,1,Knuckle Curve,1,4,1,4,4,1,1,4,Strategic,Standard,9,0.0,0.027,,,,-0.027,,-3,-3,0.093,0.093,25,27,25,27,1,0,,,,,3.65,0.16,0.16,
FF,2024-03-25,96.3,-1.39,6.69,"Dabovich, R.J.",647351,681924,strikeout,swinging_strike,,,,,14,Abraham Toro strikes out swinging.,S,L,R,OAK,SF,S,2,,2,2,2024,0.1,1.43,0.78,1.38,,676116,,0,8,Bot,,,,,,,5.49700893048091,-139.6891836365174,-11.670234414141824,-0.0149528981900736,32.76382008247515,-10.921875299378897,3.3,1.58,,,,95.7,2232,6.2,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.31,,,0.0,,0,0,,63,5,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,198,-0.049,-0.291,,,,0.291,,-3,-3,0.142,0.142,25,27,25,28,1,1,,,,,1.05,-0.1,0.1,
FF,2024-03-25,94.8,-1.49,6.64,"Dabovich, R.J.",647351,681924,,called_strike,,,,,9,Abraham Toro strikes out swinging.,S,L,R,OAK,SF,S,,,2,1,2024,0.1,1.42,0.39,1.69,,676116,,0,8,Bot,,,,,,,4.658069803141133,-137.71771940382703,-10.372704996283233,0.2589387129487022,30.236245504544744,-11.980376560938756,3.37,1.71,,,,94.4,2201,6.1,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.35,,,,,,,,63,4,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,199,0.0,-0.06,,,,0.06,,-3,-3,0.142,0.142,25,27,25,28,1,1,,,,,1.12,-0.1,0.1,
FF,2024-03-25,94.7,-1.5,6.62,"Dabovich, R.J.",647351,681924,,ball,,,,,14,Abraham Toro strikes out swinging.,S,L,R,OAK,SF,B,,,1,1,2024,0.06,1.51,0.24,1.5,,676116,,0,8,Bot,,,,,,,4.390581439242005,-137.49926123848732,-10.993298158557725,-0.2451440765891824,31.659123528678556,-10.739982569687426,3.31,1.71,,,,94.3,2247,6.3,747807,663698,666165,622268,467055,682617,666149,665998,682641,54.24,,,,,,,,63,3,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,197,0.0,0.041,,,,-0.041,,-3,-3,0.142,0.142,25,27,25,28,1,1,,,,,1.05,-0.06,0.06,
