pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-03-19,93.2,-1.58,6.06,"Darnell, Dugan",681807,699911,field_out,hit_into_play,,,,,2,David Fry lines out to left fielder Hunter Stovall.,S,R,R,COL,CLE,X,7,line_drive,1,2,2024,-0.42,1.67,-0.22,3.31,624513,,672356,2,7,Top,54.48,89.31,,,,,4.438618964451476,-135.59000308738234,-4.969302878576188,-6.207605530001776,30.678167541641056,-10.705644335387118,3.21,1.62,323,94.5,24,93.3,2375,6.4,747894,553869,680693,691182,682653,690022,667663,678837,692585,54.06,0.177,,0.0,,0,0,3,63,5,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,199,0.026,-0.206,,,0.353,0.206,94.5,4,-4,0.948,0.052,27,28,27,29,1,3,,,,,0.96,0.42,0.42,
FS,2024-03-19,86.4,-1.77,5.92,"Darnell, Dugan",681807,699911,,foul,,,,,13,David Fry lines out to left fielder Hunter Stovall.,S,R,R,COL,CLE,S,,,1,2,2024,-1.07,0.87,-0.84,1.38,624513,,672356,2,7,Top,,,,,,,4.427975836715308,-125.68773878420764,-6.426141064068648,-12.20640964994121,23.98416885640716,-21.913860268795865,3.21,1.62,,,,87.3,1730,6.7,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.75,,,,,,,,63,4,Split-Finger,7,3,3,7,3,7,3,7,Standard,Standard,212,0.0,0.0,,,,0.0,,4,-4,0.948,0.052,27,28,27,29,1,3,,,,,2.17,1.07,1.07,
FS,2024-03-19,87.1,-2.0,6.06,"Darnell, Dugan",681807,699911,,ball,,,,,11,David Fry lines out to left fielder Hunter Stovall.,S,R,R,COL,CLE,B,,,0,2,2024,-1.11,0.95,-1.85,2.74,624513,,672356,2,7,Top,,,,,,,2.6472974266201175,-126.79745742681423,-3.808936477631202,-12.584742688315444,24.94205513394532,-21.325163837457293,3.31,1.51,,,,87.7,1726,6.5,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.96,,,,,,,,63,3,Split-Finger,7,3,3,7,3,7,3,7,Standard,Standard,213,0.0,0.035,,,,-0.035,,4,-4,0.948,0.052,27,28,27,29,1,3,,,,,2.04,1.11,1.11,
FF,2024-03-19,93.9,-1.73,5.97,"Darnell, Dugan",681807,699911,,swinging_strike,,,,,11,David Fry lines out to left fielder Hunter Stovall.,S,R,R,COL,CLE,S,,,0,1,2024,-0.37,1.68,-0.03,3.66,624513,,672356,2,7,Top,,,,,,,5.229356523437744,-136.56939648165482,-3.960801831389794,-5.897890959974851,32.16699679212905,-10.588688184512389,3.21,1.62,,,,94.0,2388,6.5,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.98,,,,,,,,63,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,195,0.0,-0.082,,,,0.082,,4,-4,0.948,0.052,27,28,27,29,1,3,,,,,0.93,0.37,0.37,
CU,2024-03-19,81.0,-2.09,5.93,"Darnell, Dugan",681807,699911,,called_strike,,,,,4,David Fry lines out to left fielder Hunter Stovall.,S,R,R,COL,CLE,S,,,0,0,2024,-0.01,-0.61,-0.42,1.97,624513,,672356,2,7,Top,,,,,,,3.753976133995296,-117.8836198639635,-1.041972218912048,-0.8625648225689845,22.852745852139,-37.82879047768671,3.06,1.47,,,,81.2,2255,6.5,747894,553869,680693,691182,682653,690022,667663,678837,692585,54.03,,,,,,,,63,1,Curveball,7,3,3,7,3,7,3,7,Standard,Standard,41,0.0,-0.046,,,,0.046,,4,-4,0.948,0.052,27,28,27,29,1,3,,,,,4.08,0.01,0.01,
FF,2024-03-19,92.5,-1.69,5.93,"Darnell, Dugan",686823,699911,strikeout,foul_tip,,,,,12,Will Brennan strikes out on a foul tip.,S,L,R,COL,CLE,S,2,,3,2,2024,-0.61,1.74,0.36,3.78,624513,,672356,1,7,Top,,,,,,,6.597273541109791,-134.48872172498193,-3.4386851999170656,-8.87477138216565,31.2805293728954,-10.564775471459669,3.21,1.62,,,,92.7,2258,6.6,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.87,,,0.0,,0,0,,62,6,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,200,0.038,-0.353,,,,0.353,,4,-4,0.91,0.09,27,26,27,26,1,3,,,,,0.94,0.61,-0.61,
FF,2024-03-19,92.3,-1.71,5.98,"Darnell, Dugan",686823,699911,,foul,,,,,5,Will Brennan strikes out on a foul tip.,S,L,R,COL,CLE,S,,,3,1,2024,-0.67,1.74,0.22,2.26,624513,,672356,1,7,Top,,,,,,,6.407806232554933,-134.18367642987283,-7.424800970685306,-9.506089855775324,29.409646891505307,-9.773540805722236,3.21,1.62,202,66.9,32,92.6,2318,6.6,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.94,,,,,,,,62,5,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,205,0.0,-0.109,,,,0.109,88.0,4,-4,0.91,0.09,27,26,27,26,1,3,,,,,0.95,0.67,-0.67,
FS,2024-03-19,85.6,-1.92,6.0,"Darnell, Dugan",686823,699911,,ball,,,,,11,Will Brennan strikes out on a foul tip.,S,L,R,COL,CLE,B,,,2,1,2024,-1.24,0.84,-1.01,3.27,624513,,672356,1,7,Top,,,,,,,4.681832937951238,-124.68860839863537,-1.8930249170346332,-13.894301106620208,23.87293041961121,-23.267237052095258,3.35,1.56,,,,86.2,1515,6.5,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.98,,,,,,,,62,4,Split-Finger,7,3,3,7,3,7,3,7,Standard,Standard,225,0.0,0.113,,,,-0.113,,4,-4,0.91,0.09,27,26,27,26,1,3,,,,,2.26,1.24,-1.24,
FF,2024-03-19,92.2,-1.73,5.95,"Darnell, Dugan",686823,699911,,called_strike,,,,,7,Will Brennan strikes out on a foul tip.,S,L,R,COL,CLE,S,,,2,0,2024,-0.46,1.79,-0.57,2.03,624513,,672356,1,7,Top,,,,,,,3.9591151205291113,-134.07969109564158,-8.041859142900083,-6.403250543730769,29.620421365031397,-9.05069572999476,3.25,1.53,,,,92.7,2331,6.7,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.85,,,,,,,,62,3,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,202,0.0,-0.066,,,,0.066,,4,-4,0.91,0.09,27,26,27,26,1,3,,,,,0.9,0.46,-0.46,
FF,2024-03-19,92.6,-1.84,5.91,"Darnell, Dugan",686823,699911,,ball,,,,,11,Will Brennan strikes out on a foul tip.,S,L,R,COL,CLE,B,,,1,0,2024,-0.58,1.68,-1.1,2.5,624513,,672356,1,7,Top,,,,,,,3.175928388124308,-134.6566292324298,-6.554260194175961,-7.78197843035373,30.34437727726323,-10.554510754567383,3.22,1.53,,,,92.9,2267,6.6,747894,553869,680693,691182,682653,690022,667663,678837,692585,53.88,,,,,,,,62,2,4-Seam Fastball,7,3,3,7,3,7,3,7,Standard,Standard,207,0.0,0.028,,,,-0.028,,4,-4,0.91,0.09,27,26,27,26,1,3,,,,,0.99,0.58,-0.58,
