pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-29,95.3,-1.85,5.32,"De Los Santos, Enyel",681481,660853,grounded_into_double_play,hit_into_play,,,,,4,"Kerry Carpenter grounds into a double play, third baseman Miguel Vargas to shortstop Jacob Amaya to first baseman Andrew Vaughn. Parker Meadows out at 2nd. Kerry Carpenter out at 1st.",R,L,R,DET,CWS,X,5,ground_ball,0,1,2024,-1.07,1.08,-0.29,2.24,,,678009,1,9,Bot,109.64,168.19,,,,,6.47918174516777,-138.69068133585216,-4.953362739855368,-15.227559177103066,27.260768735771876,-17.27631381618937,3.32,1.6,49,105.9,0,95.6,2120,6.2,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.33,0.517,0.484,0.0,1,0,0,4,84,2,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,228,-0.016,-0.273,72.3,6.5,0.572,0.273,105.9,-4,-4,0.016,0.016,28,26,29,27,1,4,2,1,,2,1.4,1.07,-1.07,25.3
SL,2024-09-29,86.0,-1.92,5.25,"De Los Santos, Enyel",681481,660853,,foul,,,,,5,"Kerry Carpenter grounds into a double play, third baseman Miguel Vargas to shortstop Jacob Amaya to first baseman Andrew Vaughn. Parker Meadows out at 2nd. Kerry Carpenter out at 1st.",R,L,R,DET,CWS,S,,,0,0,2024,0.12,0.41,0.01,2.19,,,678009,1,9,Bot,,,,,,,4.317363985167778,-125.30608306174804,-1.9230443676426645,0.4713964591959403,22.358037944431832,-27.663597459096593,3.32,1.6,187,84.2,69,86.2,2152,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.41,,,,,,,,84,1,Slider,5,9,5,9,9,5,5,9,Infield shade,Standard,199,0.0,-0.04,75.8,7.7,,0.04,88.0,-4,-4,0.016,0.016,28,26,29,27,1,4,2,1,,2,2.64,-0.12,0.12,22.2
FF,2024-09-29,95.9,-1.85,5.38,"De Los Santos, Enyel",678009,660853,single,hit_into_play,,,,,4,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.,R,L,R,DET,CWS,X,8,line_drive,2,0,2024,-1.08,1.0,-0.37,2.3,,,,1,9,Bot,129.24,111.84,,,,,6.325559746289792,-139.60380013225478,-4.814166190525357,-15.457134169602677,28.720307207408663,-18.24905656884956,3.44,1.61,174,94.9,8,96.0,2168,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.37,0.597,0.546,0.9,1,1,0,4,83,3,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,234,0.01,0.31,66.0,7.0,0.66,-0.31,94.9,-4,-4,0.006,0.006,28,24,29,25,1,4,2,1,,2,1.46,1.08,-1.08,22.8
SL,2024-09-29,85.4,-1.99,5.28,"De Los Santos, Enyel",678009,660853,,ball,,,,,14,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.,R,L,R,DET,CWS,B,,,1,0,2024,0.13,0.45,0.51,1.33,,,,1,9,Bot,,,,,,,5.6260236689468135,-124.37537018019992,-3.9822956353114822,0.3244495048046047,22.48953163139047,-26.88881415720989,3.33,1.57,,,,85.7,2164,6.2,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.26,,,,,,,,83,2,Slider,5,9,5,9,9,5,5,9,Standard,Standard,202,0.0,0.072,,,,-0.072,,-4,-4,0.006,0.006,28,24,29,25,1,4,2,1,,2,2.64,-0.13,0.13,24.5
FF,2024-09-29,95.0,-1.81,5.45,"De Los Santos, Enyel",678009,660853,,ball,,,,,11,Parker Meadows singles on a line drive to center fielder Luis Robert Jr.,R,L,R,DET,CWS,B,,,0,0,2024,-1.08,0.98,-0.63,3.93,,,,1,9,Bot,,,,,,,5.493920104381398,-138.3276080050476,-0.531107160449505,-15.138296621459215,30.075816311682587,-19.68169598653867,3.33,1.59,,,,95.0,2167,6.2,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.3,,,,,,,,83,1,4-Seam Fastball,5,9,5,9,9,5,5,9,Infield shade,Standard,225,0.0,0.039,,,,-0.039,,-4,-4,0.006,0.006,28,24,29,25,1,4,2,1,,2,1.54,1.08,-1.08,26.0
FF,2024-09-29,96.4,-1.91,5.33,"De Los Santos, Enyel",656716,660853,field_out,hit_into_play,,,,,4,"Tigers challenged (catch or drop), call on the field was upheld: Zach McKinstry flies out to right fielder Dominic Fletcher.",R,L,R,DET,CWS,X,9,fly_ball,2,2,2024,-1.36,1.24,-0.35,2.62,,,,0,9,Bot,178.68,64.94,,,,,7.226741507022672,-140.2258005353116,-4.444549649632684,-19.581792820320825,32.47042715249573,-15.006528191554052,3.23,1.55,388,100.8,28,96.2,2345,6.3,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.25,0.591,1.106,0.0,1,0,0,6,82,5,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,229,-0.01,-0.227,68.6,6.8,2.104,0.227,100.8,-4,-4,0.016,0.016,28,29,29,29,1,0,2,1,,3,1.22,1.36,-1.36,22.3
SL,2024-09-29,84.7,-2.06,5.31,"De Los Santos, Enyel",656716,660853,,called_strike,,,,,7,"Tigers challenged (catch or drop), call on the field was upheld: Zach McKinstry flies out to right fielder Dominic Fletcher.",R,L,R,DET,CWS,S,,,1,1,2024,0.36,0.29,-0.71,1.82,,,,0,9,Bot,,,,,,,2.4436738277299788,-123.4467504871861,-2.4646282695961785,3.2220844906289248,22.83323421878834,-28.891358444117376,3.1,1.44,,,,84.9,2226,6.2,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.32,,,,,,,,82,3,Slider,5,9,5,9,9,5,5,9,Standard,Standard,155,0.0,-0.056,,,,0.056,,-4,-4,0.016,0.016,28,29,29,29,1,0,2,1,,3,2.85,-0.36,0.36,24.9
SL,2024-09-29,85.4,-2.0,5.26,"De Los Santos, Enyel",656716,660853,,called_strike,,,,,7,"Tigers challenged (catch or drop), call on the field was upheld: Zach McKinstry flies out to right fielder Dominic Fletcher.",R,L,R,DET,CWS,S,,,1,0,2024,0.02,0.26,-0.43,1.92,,,,0,9,Bot,,,,,,,3.653972453017927,-124.39984392379893,-2.155415278437779,-0.4501756578121724,22.74958643855207,-29.283281491319578,3.05,1.41,,,,85.7,2183,6.2,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.25,,,,,,,,82,2,Slider,5,9,5,9,9,5,5,9,Standard,Standard,208,0.0,-0.049,,,,0.049,,-4,-4,0.016,0.016,28,29,29,29,1,0,2,1,,3,2.84,-0.02,0.02,24.1
FF,2024-09-29,95.9,-1.94,5.35,"De Los Santos, Enyel",656716,660853,,ball,,,,,13,"Tigers challenged (catch or drop), call on the field was upheld: Zach McKinstry flies out to right fielder Dominic Fletcher.",R,L,R,DET,CWS,B,,,0,0,2024,-1.13,1.03,-1.08,1.8,,,,0,9,Bot,,,,,,,4.798994144990094,-139.51204065379318,-6.109380850705349,-15.89275427966389,30.56093686886223,-17.48270548207229,3.07,1.52,,,,95.6,2221,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.44,,,,,,,,82,1,4-Seam Fastball,5,9,5,9,9,5,5,9,Standard,Standard,233,0.0,0.038,,,,-0.038,,-4,-4,0.016,0.016,28,29,29,29,1,0,2,1,,3,1.44,1.13,-1.13,25.0
SL,2024-09-29,86.3,-1.97,5.32,"De Los Santos, Enyel",700242,660853,field_out,hit_into_play,,,,,4,"Trey Sweeney grounds out, pitcher Enyel De Los Santos to first baseman Andrew Vaughn.",R,L,R,DET,CWS,X,1,ground_ball,0,1,2024,0.14,0.59,-0.45,2.42,672761,690291,679529,2,8,Bot,124.87,184.47,,,,,3.3307177956616605,-125.67203396328114,-1.902879910093087,0.82632290835081,23.833025116246223,-25.77173036710072,3.65,1.72,2,65.0,-58,86.4,2272,6.1,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.36,0.283,0.272,0.0,1,0,0,2,78,2,Slider,5,9,5,9,9,5,5,9,Infield shade,Standard,209,-0.054,-0.234,76.3,8.3,0.306,0.234,88.0,-4,-4,0.067,0.067,28,24,29,24,1,3,2,2,,2,2.45,-0.14,0.14,26.1
