pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-27,93.0,0.98,6.28,"Detmers, Reid",641680,672282,strikeout,swinging_strike,,,,,11,Jonah Heim strikes out swinging.,R,R,L,LAA,TEX,S,2,,0,2,2024,0.79,1.61,-0.4,4.31,,,,2,5,Top,,,,,,,-5.276977239454181,-135.33399396716783,-2.805143971685971,10.819528544558644,29.780104642435145,-11.980594307878055,3.38,1.57,,,,92.9,2202,6.3,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.24,,0.0,0.0,1,0,0,,39,3,4-Seam Fastball,1,4,4,1,4,1,4,1,Standard,Standard,153,0.005,-0.157,38.3,4.8,,0.157,,-3,3,0.174,0.826,24,29,25,29,3,2,6,2,,1,1.03,0.79,-0.79,50.8
FF,2024-09-27,91.9,1.15,6.14,"Detmers, Reid",641680,672282,,foul,,,,,11,Jonah Heim strikes out swinging.,R,R,L,LAA,TEX,S,,,0,1,2024,0.56,1.49,-1.13,2.89,,,,2,5,Top,,,,,,,-6.986765033052877,-133.61114013570753,-5.623730766774791,8.222330210990188,28.02110720612785,-13.33273788706244,3.38,1.57,4,68.6,-36,92.0,2011,6.3,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.15,,,,,,,,39,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shade,Standard,151,0.0,-0.058,27.4,4.8,,0.058,88.0,-3,3,0.174,0.826,24,29,25,29,3,2,6,2,,1,1.21,0.56,-0.56,49.0
CU,2024-09-27,72.2,1.0,6.36,"Detmers, Reid",641680,672282,,called_strike,,,,,3,Jonah Heim strikes out swinging.,R,R,L,LAA,TEX,S,,,0,0,2024,-0.72,-1.19,0.55,3.54,,,,2,5,Top,,,,,,,0.337656458955356,-104.9581471745268,3.863046336462295,-5.381833034124332,18.542085845893364,-41.83192737991213,3.44,1.66,,,,71.7,2290,6.1,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.45,,,,,,,,39,1,Curveball,1,4,4,1,4,1,4,1,Infield shade,Standard,333,0.0,-0.041,,,,0.041,,-3,3,0.174,0.826,24,29,25,29,3,2,6,2,,1,5.58,-0.72,0.72,53.4
SL,2024-09-27,86.4,1.5,6.02,"Detmers, Reid",663993,672282,strikeout,swinging_strike,,,,,12,Nathaniel Lowe strikes out swinging.,R,L,L,LAA,TEX,S,2,,3,2,2024,-0.05,0.14,1.06,3.57,,,,1,5,Top,,,,,,,-0.9558580666246256,-125.85992452395756,0.0621797734508848,-0.3283101392443636,24.923377538880025,-30.881793661600305,3.39,1.55,,,,86.5,2066,6.2,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.29,,0.0,0.0,1,0,0,,38,6,Slider,1,4,4,1,4,1,4,1,Infield shade,Standard,262,0.009,-0.332,74.2,8.4,,0.332,,-3,3,0.165,0.835,24,28,25,29,3,2,6,1,,1,2.9,-0.05,-0.05,45.4
SL,2024-09-27,86.8,1.34,6.01,"Detmers, Reid",663993,672282,,ball,,,,,13,Nathaniel Lowe strikes out swinging.,R,L,L,LAA,TEX,B,,,2,2,2024,-0.2,-0.07,-0.56,0.47,,,,1,5,Top,,,,,,,-4.145979983041211,-126.257193049456,-6.952988084885414,-1.2923281196453489,24.968731185077083,-31.751344637389476,3.45,1.58,,,,87.1,2233,6.4,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.06,,,,,,,,38,5,Slider,1,4,4,1,4,1,4,1,Infield shade,Standard,271,0.0,0.108,,,,-0.108,,-3,3,0.165,0.835,24,28,25,29,3,2,6,1,,1,3.09,-0.2,-0.2,44.3
FF,2024-09-27,93.1,1.47,5.92,"Detmers, Reid",663993,672282,,foul,,,,,4,Nathaniel Lowe strikes out swinging.,R,L,L,LAA,TEX,S,,,2,1,2024,0.62,1.61,-0.67,2.35,,,,1,5,Top,,,,,,,-6.8488086411135525,-135.34400740972353,-6.928575755214979,9.05988495419036,29.64761835253958,-11.09114386060866,3.39,1.55,209,76.7,22,93.4,2148,6.5,746173,642136,694359,683021,676572,605346,621493,607680,672569,53.99,,,,,,,,38,4,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shade,Standard,147,0.0,-0.078,68.1,7.6,,0.078,88.0,-3,3,0.165,0.835,24,28,25,29,3,2,6,1,,1,1.03,0.62,0.62,39.4
SI,2024-09-27,92.5,1.34,5.91,"Detmers, Reid",663993,672282,,called_strike,,,,,7,Nathaniel Lowe strikes out swinging.,R,L,L,LAA,TEX,S,,,2,0,2024,1.16,1.31,-0.33,1.87,,,,1,5,Top,,,,,,,-6.810176740864087,-134.4023250762979,-7.358821704806111,15.56239273473799,28.558664228841344,-14.85001982224932,3.48,1.61,,,,92.7,2107,6.5,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.04,,,,,,,,38,3,Sinker,1,4,4,1,4,1,4,1,Infield shade,Standard,151,0.0,-0.065,,,,0.065,,-3,3,0.165,0.835,24,28,25,29,3,2,6,1,,1,1.36,1.16,1.16,42.2
FF,2024-09-27,91.8,1.15,6.14,"Detmers, Reid",663993,672282,,ball,,,,,4,Nathaniel Lowe strikes out swinging.,R,L,L,LAA,TEX,B,,,1,0,2024,0.55,1.69,-0.82,2.41,,,,1,5,Top,,,,,,,-6.202212837360556,-133.46240661468667,-7.225979223067904,7.955657988131996,29.696637652833463,-10.633940375408848,3.45,1.56,,,,91.8,2159,6.4,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.09,,,,,,,,38,2,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shade,Standard,154,0.0,0.072,,,,-0.072,,-3,3,0.165,0.835,24,28,25,29,3,2,6,1,,1,1.03,0.55,0.55,49.7
CU,2024-09-27,72.7,1.25,6.28,"Detmers, Reid",663993,672282,,ball,,,,,12,Nathaniel Lowe strikes out swinging.,R,L,L,LAA,TEX,B,,,0,0,2024,-0.72,-1.28,1.58,3.54,,,,1,5,Top,,,,,,,1.8802598212972803,-105.61641676595482,4.156884189573963,-5.699905961691378,19.85356968329711,-42.676930546151446,3.36,1.58,,,,72.0,2285,6.1,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.42,,,,,,,,38,1,Curveball,1,4,4,1,4,1,4,1,Infield shade,Standard,332,0.0,0.039,,,,-0.039,,-3,3,0.165,0.835,24,28,25,29,3,2,6,1,,1,5.64,-0.72,-0.72,51.5
FF,2024-09-27,93.1,1.13,6.15,"Detmers, Reid",666969,672282,strikeout,swinging_strike,,,,,1,Adolis García strikes out swinging.,R,R,L,LAA,TEX,S,2,,3,2,2024,0.53,1.67,-0.75,3.07,,,,0,5,Top,,,,,,,-5.98842189358746,-135.3241919341868,-5.7981802505211375,7.874713747335473,30.488145387349203,-10.530584756787514,3.43,1.7,,,,93.2,2098,6.5,746173,642136,694359,683021,676572,605346,621493,607680,672569,54.03,,0.0,0.0,1,0,0,,37,8,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shade,Standard,151,0.011,-0.333,61.4,5.8,,0.333,,-3,3,0.154,0.846,24,31,25,31,3,2,6,1,,1,0.97,0.53,-0.53,47.1
