pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
ST,2024-06-24,77.7,0.23,6.36,"Devenski, Chris",677594,606965,walk,ball,,,,,12,Julio Rodríguez walks. J.P. Crawford to 2nd.,R,R,R,TB,SEA,B,,,3,2,2024,1.43,-0.14,2.59,2.29,,,641487,2,7,Top,,,,,,,2.4267065774247074,-112.99184335515804,-1.4007018892202563,11.570455361563749,24.354575358554097,-33.32211593907872,3.2,1.34,,,,77.3,2193,6.4,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.06,,0.689131,0.7,1,0,0,,56,6,Sweeper,1,3,3,1,3,1,3,1,Infield shade,Standard,51,-0.013,0.217,,,,-0.217,,-2,2,0.193,0.807,33,23,34,24,1,3,3,1,,1,3.98,-1.43,-1.43,46.1
ST,2024-06-24,77.5,0.29,6.29,"Devenski, Chris",677594,606965,,ball,,,,,14,Julio Rodríguez walks. J.P. Crawford to 2nd.,R,R,R,TB,SEA,B,,,2,2,2024,1.29,-0.07,1.91,1.62,,,641487,2,7,Top,,,,,,,1.0811477168477814,-112.83111630112838,-2.7890650947426767,10.648929591164046,24.376938722527633,-32.37568579509396,3.28,1.43,,,,76.5,2210,5.9,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.55,,,,,,,,56,5,Sweeper,1,3,3,1,3,1,3,1,Standard,Standard,55,0.0,0.085,,,,-0.085,,-2,2,0.193,0.807,33,23,34,24,1,3,3,1,,1,3.92,-1.29,-1.29,43.7
CH,2024-06-24,81.4,0.25,6.35,"Devenski, Chris",677594,606965,,called_strike,,,,,3,Julio Rodríguez walks. J.P. Crawford to 2nd.,R,R,R,TB,SEA,S,,,2,1,2024,-1.48,0.6,0.53,2.86,,,641487,2,7,Top,,,,,,,3.4645708918382416,-118.48684763891056,-2.304124784141856,-14.550053896137564,24.816063257598163,-26.333992940753763,3.26,1.44,,,,81.2,1531,6.3,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.18,,,,,,,,56,4,Changeup,1,3,3,1,3,1,3,1,Strategic,Standard,237,0.0,-0.072,,,,0.072,,-2,2,0.193,0.807,33,23,34,24,1,3,3,1,,1,2.87,1.48,1.48,45.6
FF,2024-06-24,91.1,0.36,6.48,"Devenski, Chris",677594,606965,,called_strike,,,,,14,Julio Rodríguez walks. J.P. Crawford to 2nd.,R,R,R,TB,SEA,S,,,2,0,2024,-0.95,1.58,0.98,2.05,,,641487,2,7,Top,,,,,,,3.6035884423140874,-132.28286402778147,-8.505697687257305,-11.969812885591727,32.21955496118119,-11.918507007430785,3.26,1.54,,,,90.4,2406,6.3,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.2,,,,,,,,56,3,4-Seam Fastball,1,3,3,1,3,1,3,1,Strategic,Standard,217,0.0,-0.048,,,,0.048,,-2,2,0.193,0.807,33,23,34,24,1,3,3,1,,1,1.21,0.95,0.95,47.4
FF,2024-06-24,91.8,0.21,6.46,"Devenski, Chris",677594,606965,,ball,,,,,12,Julio Rodríguez walks. J.P. Crawford to 2nd.,R,R,R,TB,SEA,B,,,1,0,2024,-0.9,1.55,1.36,2.61,,,641487,2,7,Top,,,,,,,4.8643631960807,-133.3038849777753,-7.119080046862872,-11.855856311738382,32.23847878439999,-12.309644704353827,3.34,1.52,,,,90.9,2416,6.1,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.36,,,,,,,,56,2,4-Seam Fastball,1,3,3,1,3,1,3,1,Infield shade,Standard,215,0.0,0.05,,,,-0.05,,-2,2,0.193,0.807,33,23,34,24,1,3,3,1,,1,1.19,0.9,0.9,46.5
FC,2024-06-24,87.1,0.18,6.33,"Devenski, Chris",677594,606965,,ball,,,,,14,Julio Rodríguez walks. J.P. Crawford to 2nd.,R,R,R,TB,SEA,B,,,0,0,2024,0.12,0.75,0.96,1.34,,,641487,2,7,Top,,,,,,,1.6359933032913123,-126.6084057329624,-7.277164798229665,0.8963558274494922,28.70018571871621,-22.72117036326749,3.42,1.6,,,,86.6,2150,6.3,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.19,,,,,,,,56,1,Cutter,1,3,3,1,3,1,3,1,Infield shade,Standard,205,0.0,0.034,,,,-0.034,,-2,2,0.193,0.807,33,23,34,24,1,3,3,1,,1,2.28,-0.12,-0.12,43.9
CH,2024-06-24,81.3,0.38,6.46,"Devenski, Chris",593871,606965,field_out,hit_into_play,,,,,9,Jorge Polanco lines out to right fielder Josh Lowe.,R,L,R,TB,SEA,X,9,line_drive,1,2,2024,-1.41,0.37,0.31,1.66,,,641487,1,7,Top,190.04,83.65,,,,,2.534979799237587,-118.34524754244644,-4.839264165000348,-13.70477895567628,23.232186755266223,-28.013012659965785,3.43,1.62,353,101.5,23,81.1,1603,6.2,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.27,0.614,0.944,0.0,1,0,0,6,55,5,Changeup,1,3,3,1,3,1,3,1,Infield shade,Standard,232,0.019,-0.186,70.0,7.4,1.671,0.186,101.5,-2,2,0.174,0.826,33,30,34,31,1,3,3,29,,1,3.09,1.41,-1.41,48.5
FF,2024-06-24,91.9,0.18,6.43,"Devenski, Chris",593871,606965,,foul,,,,,4,Jorge Polanco lines out to right fielder Josh Lowe.,R,L,R,TB,SEA,S,,,1,2,2024,-0.93,1.74,-0.62,2.82,,,641487,1,7,Top,,,,,,,-0.0327837110635451,-133.56378800465694,-6.936829300116193,-10.915338476119231,34.46073268252506,-10.145364784525338,3.43,1.62,219,73.1,28,91.0,2408,6.3,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.22,,,,,,,,55,4,4-Seam Fastball,1,3,3,1,3,1,3,1,Infield shade,Standard,212,0.0,0.0,68.3,6.9,,0.0,88.0,-2,2,0.174,0.826,33,30,34,31,1,3,3,29,,1,1.01,0.93,-0.93,45.5
CH,2024-06-24,81.8,0.4,6.36,"Devenski, Chris",593871,606965,,called_strike,,,,,5,Jorge Polanco lines out to right fielder Josh Lowe.,R,L,R,TB,SEA,S,,,1,1,2024,-1.32,0.76,0.05,2.35,,,641487,1,7,Top,,,,,,,1.7698727285325888,-118.989883580695,-3.8704085190822863,-12.84565834211217,25.264436986248477,-24.376806499910444,3.48,1.6,,,,81.4,1674,6.3,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.24,,,,,,,,55,3,Changeup,1,3,3,1,3,1,3,1,Infield shade,Standard,231,0.0,-0.059,,,,0.059,,-2,2,0.174,0.826,33,30,34,31,1,3,3,29,,1,2.67,1.32,-1.32,47.0
FF,2024-06-24,91.8,0.14,6.48,"Devenski, Chris",593871,606965,,foul,,,,,6,Jorge Polanco lines out to right fielder Josh Lowe.,R,L,R,TB,SEA,S,,,1,0,2024,-0.91,1.41,0.48,2.22,,,641487,1,7,Top,,,,,,,2.817553506901374,-133.43907102310524,-7.901169818865419,-11.401894667856824,32.628397338291165,-13.776019590600823,3.43,1.62,281,105.5,19,91.2,2483,6.3,745078,666163,650490,680700,676609,670764,668227,642350,666139,54.19,,,,,,,,55,2,4-Seam Fastball,1,3,3,1,3,1,3,1,Infield shade,Standard,212,0.0,-0.047,74.8,7.7,,0.047,105.5,-2,2,0.174,0.826,33,30,34,31,1,3,3,29,,1,1.33,0.91,-0.91,46.0
