pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2024-09-26,98.6,-1.98,5.93,"Duran, Jhoan",669394,661395,strikeout,swinging_strike,,,,,14,Jake Burger strikes out swinging.,R,R,R,MIN,MIA,S,2,,0,2,2024,-0.83,0.27,0.09,1.05,,669364,,2,9,Top,,,,,,,7.580303947585524,-143.2831141844892,-8.516964084312772,-13.054743573580756,28.986155806772494,-26.864789571031743,3.28,1.53,,,,99.2,1849,6.4,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.06,,0.0,0.0,1,0,0,,74,3,Split-Finger,4,4,4,4,4,4,4,4,Standard,Standard,233,0.104,-0.195,75.4,7.6,,0.195,,0,0,0.53,0.47,26,28,26,28,1,4,1,1,,1,2.06,0.83,0.83,39.5
FS,2024-09-26,98.0,-2.03,5.99,"Duran, Jhoan",669394,661395,,swinging_strike,,,,,14,Jake Burger strikes out swinging.,R,R,R,MIN,MIA,S,,,0,1,2024,-0.61,0.6,0.5,1.32,,669364,,2,9,Top,,,,,,,8.24471546816869,-142.4056310298309,-8.569064639170586,-10.1473311611212,30.42682485834426,-22.282848392614127,3.28,1.53,,,,98.4,1748,6.5,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.04,,,,,,,,74,2,Split-Finger,4,4,4,4,4,4,4,4,Standard,Standard,233,0.0,-0.067,75.2,7.6,,0.067,,0,0,0.53,0.47,26,28,26,28,1,4,1,1,,1,1.77,0.61,0.61,36.8
FS,2024-09-26,97.4,-2.34,5.75,"Duran, Jhoan",669394,661395,,called_strike,,,,,9,Jake Burger strikes out swinging.,R,R,R,MIN,MIA,S,,,0,0,2024,-0.66,0.52,0.49,1.73,,669364,,2,9,Top,,,,,,,9.126443515058735,-141.5802579288509,-6.484325069622371,-10.938495457424096,30.52735784993127,-23.88958961642399,3.42,1.59,,,,97.8,1756,6.4,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.06,,,,,,,,74,1,Split-Finger,4,4,4,4,4,4,4,4,Standard,Standard,236,0.0,-0.04,,,,0.04,,0,0,0.53,0.47,26,28,26,28,1,4,1,1,,1,1.88,0.66,0.66,30.3
FF,2024-09-26,100.6,-1.99,5.85,"Duran, Jhoan",681393,661395,strikeout,called_strike,,,,,9,Connor Norby called out on strikes.,R,R,R,MIN,MIA,S,2,,0,2,2024,-0.94,1.0,0.67,2.04,,669364,,1,9,Top,,,,,,,9.581267360706637,-146.01258398494014,-7.601033425568536,-15.692132600898027,34.07987781501362,-16.20663296316543,3.42,1.6,,,,100.5,2148,6.3,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.16,,0.0,0.0,1,0,0,,73,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,226,0.092,-0.174,,,,0.174,,0,0,0.438,0.562,26,24,26,24,1,4,1,1,,1,1.26,0.94,0.94,31.2
FF,2024-09-26,99.6,-1.99,5.88,"Duran, Jhoan",681393,661395,,swinging_strike,,,,,3,Connor Norby called out on strikes.,R,R,R,MIN,MIA,S,,,0,1,2024,-0.83,1.19,0.43,2.87,,669364,,1,9,Top,,,,,,,8.633818727559715,-144.68673534617443,-5.641441456757385,-13.748547537574966,34.35034953764156,-14.371155532072686,3.41,1.6,,,,99.7,2163,6.5,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.0,,,,,,,,73,2,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,228,0.0,-0.065,71.5,6.4,,0.065,,0,0,0.438,0.562,26,24,26,24,1,4,1,1,,1,1.12,0.83,0.83,32.8
KC,2024-09-26,85.7,-2.21,5.89,"Duran, Jhoan",681393,661395,,called_strike,,,,,6,Connor Norby called out on strikes.,R,R,R,MIN,MIA,S,,,0,0,2024,0.45,-0.89,0.81,2.53,,669364,,1,9,Top,,,,,,,6.197162866206524,-124.68885802348248,0.0933940522941685,3.508181576202903,24.7242570396018,-41.66968697565144,3.41,1.66,,,,85.4,2442,6.1,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.43,,,,,,,,73,1,Knuckle Curve,4,4,4,4,4,4,4,4,Standard,Standard,46,0.0,-0.036,,,,0.036,,0,0,0.438,0.562,26,24,26,24,1,4,1,1,,1,3.99,-0.45,-0.45,31.2
FF,2024-09-26,99.8,-1.89,5.89,"Duran, Jhoan",669364,661395,double,hit_into_play,,,,,5,Xavier Edwards doubles (11) on a fly ball to left fielder Austin Martin.,R,L,R,MIN,MIA,X,7,fly_ball,3,2,2024,-0.85,0.98,-0.18,2.55,,,,1,9,Top,50.91,83.41,,,,,6.70109274744909,-145.1842708085771,-6.124281621213268,-13.628710932197585,33.720882627773285,-17.00392221126096,3.25,1.45,338,93.3,28,100.0,2091,6.4,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.1,0.151,0.222,1.25,1,1,1,3,72,7,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,228,-0.12,0.58,66.5,5.9,0.383,-0.58,93.3,0,0,0.558,0.442,26,24,26,25,1,4,1,1,,1,1.3,0.85,-0.85,34.7
FF,2024-09-26,100.5,-1.92,5.91,"Duran, Jhoan",669364,661395,,foul,,,,,3,Xavier Edwards doubles (11) on a fly ball to left fielder Austin Martin.,R,L,R,MIN,MIA,S,,,3,2,2024,-0.75,0.93,0.39,2.84,,,,1,9,Top,,,,,,,8.201381412935826,-146.09167586049188,-5.400484881959316,-12.59193983582683,33.48720311737336,-17.717825594235716,3.25,1.45,188,71.4,52,100.9,1999,6.5,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.02,,,,,,,,72,6,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,231,0.0,0.0,61.4,5.8,,0.0,88.0,0,0,0.558,0.442,26,24,26,25,1,4,1,1,,1,1.32,0.75,-0.75,35.6
FF,2024-09-26,100.6,-1.91,5.93,"Duran, Jhoan",669364,661395,,swinging_strike,,,,,2,Xavier Edwards doubles (11) on a fly ball to left fielder Austin Martin.,R,L,R,MIN,MIA,S,,,3,1,2024,-0.85,0.98,0.25,3.26,,,,1,9,Top,,,,,,,8.035336600028744,-146.32409929861268,-4.441499510423432,-14.055644625623676,31.30806151817289,-17.26539493508055,3.25,1.45,,,,101.3,2098,6.5,745853,680777,467793,686797,650489,621043,668885,621439,663616,54.03,,,,,,,,72,5,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,229,0.0,-0.092,61.0,4.9,,0.092,,0,0,0.558,0.442,26,24,26,25,1,4,1,1,,1,1.26,0.85,-0.85,34.6
FF,2024-09-26,100.6,-1.98,5.88,"Duran, Jhoan",669364,661395,,ball,,,,,14,Xavier Edwards doubles (11) on a fly ball to left fielder Austin Martin.,R,L,R,MIN,MIA,B,,,2,1,2024,-1.12,1.01,1.19,1.97,,,,1,9,Top,,,,,,,11.47371741773718,-145.91658281526426,-7.924849070609812,-18.557799154749187,31.882190890882708,-16.05113561604579,3.33,1.49,,,,101.0,2111,6.5,745853,680777,467793,686797,650489,621043,668885,621439,663616,53.97,,,,,,,,72,4,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,231,0.0,0.122,,,,-0.122,,0,0,0.558,0.442,26,24,26,25,1,4,1,1,,1,1.25,1.12,-1.12,33.7
