pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SL,2024-10-20,90.0,-2.02,4.97,"Díaz, Edwin",681624,621242,field_out,hit_into_play,,,,,5,Andy Pages lines out to shortstop Francisco Lindor.,L,R,R,LAD,NYM,X,6,line_drive,1,1,2024,0.05,0.41,0.11,2.67,,,,2,5,Bot,102.97,143.43,,,,,5.259686101861781,-130.98669806446145,-0.6407911330356078,-0.4724002822119491,26.80191024753824,-27.471736608063612,3.53,1.64,153,74.2,14,91.6,2543,7.2,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.33,0.489,0.44,0.0,1,0,0,4,51,3,Slider,6,3,6,3,3,6,6,3,Standard,Standard,197,-0.004,-0.244,73.0,8.5,0.497,0.244,88.0,3,3,0.876,0.876,30,23,30,24,1,2,2,2,,,2.39,-0.05,-0.05,22.7
SL,2024-10-20,88.7,-2.14,4.99,"Díaz, Edwin",681624,621242,,called_strike,,,,,4,Andy Pages lines out to shortstop Francisco Lindor.,L,R,R,LAD,NYM,S,,,1,0,2024,0.09,0.47,-0.73,2.91,,,,2,5,Bot,,,,,,,3.278314118606877,-129.300018738104,-0.0606682647146002,0.372666086689965,25.47348357940655,-27.059124207309075,3.53,1.71,,,,89.9,2551,6.8,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.7,,,,,,,,51,2,Slider,6,3,6,3,3,6,6,3,Standard,Standard,184,0.0,-0.051,,,,0.051,,3,3,0.876,0.876,30,23,30,24,1,2,2,2,,,2.4,-0.09,-0.09,23.2
SL,2024-10-20,89.1,-2.04,5.0,"Díaz, Edwin",681624,621242,,ball,,,,,12,Andy Pages lines out to shortstop Francisco Lindor.,L,R,R,LAD,NYM,B,,,0,0,2024,0.18,0.45,0.02,3.76,,,,2,5,Bot,,,,,,,4.770181068182581,-129.76083861849244,2.0130009536022055,1.15711359765308,23.548343536326144,-27.62528444716772,3.53,1.66,,,,90.9,2455,7.0,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.48,,,,,,,,51,1,Slider,6,3,6,3,3,6,6,3,Standard,Standard,188,0.0,0.04,,,,-0.04,,3,3,0.876,0.876,30,23,30,24,1,2,2,2,,,2.39,-0.18,-0.18,21.3
FF,2024-10-20,97.5,-2.02,4.63,"Díaz, Edwin",571771,621242,strikeout,swinging_strike,,,,,5,Enrique Hernández strikes out swinging.,L,R,R,LAD,NYM,S,2,,2,2,2024,-1.0,1.15,0.11,2.62,,,,1,5,Bot,,,,,,,8.181493911731872,-141.75922453709185,-2.5782805435488862,-15.301813594027946,32.13644827465817,-16.239472345332324,3.34,1.64,,,,99.4,2323,7.4,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.14,,0.0,0.0,1,0,0,,50,5,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Strategic,238,-0.007,-0.225,72.3,6.7,,0.225,,3,3,0.883,0.883,30,32,30,33,1,2,2,2,,5,1.25,1.0,1.0,15.3
FF,2024-10-20,96.5,-2.09,4.65,"Díaz, Edwin",571771,621242,,ball,,,,,12,Enrique Hernández strikes out swinging.,L,R,R,LAD,NYM,B,,,1,2,2024,-0.79,1.26,0.63,4.23,,,,1,5,Bot,,,,,,,9.225178329431689,-140.17523881279652,1.6646134517909437,-12.564705113603306,32.22767813892462,-16.243156558802472,3.34,1.67,,,,98.2,2364,7.4,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.13,,,,,,,,50,4,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Strategic,233,0.0,0.043,,,,-0.043,,3,3,0.883,0.883,30,32,30,33,1,2,2,2,,5,1.2,0.79,0.79,15.8
FF,2024-10-20,97.8,-2.05,4.62,"Díaz, Edwin",571771,621242,,ball,,,,,12,Enrique Hernández strikes out swinging.,L,R,R,LAD,NYM,B,,,0,2,2024,-1.01,1.12,1.52,3.4,,,,1,5,Bot,,,,,,,12.222805724098066,-141.9726603022813,-0.3741328283413482,-16.461620838676833,31.785994134148694,-17.118906098230767,3.4,1.64,,,,100.0,2399,7.6,775302,682626,624413,643446,668901,596019,607043,621438,516782,52.92,,,,,,,,50,3,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Strategic,234,0.0,0.02,,,,-0.02,,3,3,0.883,0.883,30,32,30,33,1,2,2,2,,5,1.27,1.01,1.01,14.2
FF,2024-10-20,97.4,-2.16,4.76,"Díaz, Edwin",571771,621242,,called_strike,,,,,13,Enrique Hernández strikes out swinging.,L,R,R,LAD,NYM,S,,,0,1,2024,-0.93,1.19,-0.87,2.12,,,,1,5,Bot,,,,,,,5.743185556862201,-141.80896796425708,-4.403573555050138,-13.906401271841576,31.784530631447907,-15.30918725042132,3.5,1.7,,,,99.5,2361,7.4,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.1,,,,,,,,50,2,4-Seam Fastball,6,3,6,3,3,6,6,3,Standard,Strategic,232,0.0,-0.057,,,,0.057,,3,3,0.883,0.883,30,32,30,33,1,2,2,2,,5,1.21,0.93,0.93,13.9
SL,2024-10-20,88.1,-2.12,4.98,"Díaz, Edwin",571771,621242,,swinging_strike,,,,,14,Enrique Hernández strikes out swinging.,L,R,R,LAD,NYM,S,,,0,0,2024,0.2,0.44,0.89,1.42,,,,1,5,Bot,,,,,,,6.951373788476991,-128.211261737121,-3.5573598198077683,1.0254231981672264,22.8168238803018,-26.855006235674843,3.34,1.64,,,,89.3,2224,6.7,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.79,,,,,,,,50,1,Slider,6,3,6,3,3,6,6,3,Standard,Strategic,235,0.0,-0.037,70.7,8.6,,0.037,,3,3,0.883,0.883,30,32,30,33,1,2,2,2,,5,2.47,-0.2,-0.2,20.2
SL,2024-10-20,88.6,-2.23,4.92,"Díaz, Edwin",571970,621242,field_out,hit_into_play,,,,,4,"Max Muncy grounds out, first baseman Pete Alonso to pitcher Edwin Díaz.",L,L,R,LAD,NYM,X,3,ground_ball,1,1,2024,0.05,0.36,-0.48,2.15,,,,0,5,Bot,153.64,162.2,,,,,4.2525070376370655,-129.11531836025262,-1.4981606998339552,-0.3153748155353317,25.077437595176647,-28.07594925699232,2.99,1.48,84,76.6,8,90.2,2364,7.0,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.45,0.346,0.31,0.0,1,0,0,2,49,3,Slider,6,3,6,3,3,6,6,3,Infield shade,Standard,168,-0.009,-0.243,74.7,7.8,0.408,0.243,88.0,3,3,0.892,0.892,30,33,30,34,1,2,2,2,,5,2.52,-0.05,0.05,18.9
SL,2024-10-20,89.2,-2.22,4.85,"Díaz, Edwin",571970,621242,,ball,,,,,14,"Max Muncy grounds out, first baseman Pete Alonso to pitcher Edwin Díaz.",L,L,R,LAD,NYM,B,,,0,1,2024,0.05,0.51,1.25,1.56,,,,0,5,Bot,,,,,,,8.51747980777582,-129.62556065183804,-3.164863272953504,-1.1638918286976834,26.40566446714124,-25.92374732636614,2.64,1.18,,,,90.3,2400,7.0,775302,682626,624413,643446,668901,596019,607043,621438,516782,53.53,,,,,,,,49,2,Slider,6,3,6,3,3,6,6,3,Infield shade,Standard,221,0.0,0.025,,,,-0.025,,3,3,0.892,0.892,30,33,30,34,1,2,2,2,,5,2.35,-0.05,0.05,19.9
