pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-08-08,90.6,-2.23,6.43,"Edwards Jr., Carl",572191,605218,walk,ball,,,,,14,Michael A. Taylor walks. Ke'Bryan Hayes to 3rd. Ji Hwan Bae to 2nd.,R,R,R,PIT,SD,B,,,3,2,2024,0.47,1.26,0.62,1.38,,663647,678225,2,6,Bot,,,,,,,6.2046944268896835,-131.53403290390648,-9.478358810351043,4.205527480145955,26.48389400581212,-15.756426394673955,3.51,1.63,,,,91.7,2458,7.0,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.51,,0.689131,0.7,1,0,0,,51,6,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,184,0.052,0.216,,,,-0.216,,-1,-1,0.377,0.377,32,33,33,33,1,2,,1,,1,1.52,-0.47,-0.47,54.3
CU,2024-08-08,79.4,-1.97,6.49,"Edwards Jr., Carl",572191,605218,,blocked_ball,,,,,14,Michael A. Taylor walks. Ke'Bryan Hayes to 3rd. Ji Hwan Bae to 2nd.,R,R,R,PIT,SD,B,,,2,2,2024,0.31,-0.92,1.07,0.02,,663647,678225,2,6,Bot,,,,,,,6.132797663194466,-115.44138254760988,-5.657108395184334,1.4979672940018045,23.44012523523403,-39.37476101742126,3.53,1.64,,,,79.9,2345,6.9,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.63,,,,,,,,51,5,Curveball,3,4,3,4,4,3,3,4,Standard,Standard,27,0.0,0.093,,,,-0.093,,-1,-1,0.377,0.377,32,33,33,33,1,2,,1,,1,4.56,-0.31,-0.31,60.1
CU,2024-08-08,77.1,-2.02,6.48,"Edwards Jr., Carl",572191,605218,,swinging_strike_blocked,,,,,13,Michael A. Taylor walks. Ke'Bryan Hayes to 3rd. Ji Hwan Bae to 2nd.,R,R,R,PIT,SD,S,,,2,1,2024,0.21,-0.9,-0.86,0.68,,663647,678225,2,6,Bot,,,,,,,2.1139866163856804,-112.28106795532268,-3.7622104068098783,1.3976110933135055,20.219743540746126,-39.32779239658334,3.53,1.65,,,,77.8,2164,6.7,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.77,,,,,,,,51,4,Curveball,3,4,3,4,4,3,3,4,Standard,Standard,22,0.0,-0.102,46.9,7.3,,0.102,,-1,-1,0.377,0.377,32,33,33,33,1,2,,1,,1,4.73,-0.21,-0.21,66.5
FF,2024-08-08,91.8,-2.07,6.37,"Edwards Jr., Carl",572191,605218,,ball,,,,,14,Michael A. Taylor walks. Ke'Bryan Hayes to 3rd. Ji Hwan Bae to 2nd.,R,R,R,PIT,SD,B,,,1,1,2024,0.1,1.33,1.31,1.72,,663647,678225,2,6,Bot,,,,,,,8.442968016426187,-133.39662661515132,-8.955046549811783,-0.4030035633297036,25.04680797646753,-14.525434969591316,3.54,1.69,,,,93.2,2463,6.9,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.57,,,,,,,,51,3,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,191,0.0,0.042,,,,-0.042,,-1,-1,0.377,0.377,32,33,33,33,1,2,,1,,1,1.35,-0.1,-0.1,52.3
CU,2024-08-08,76.6,-2.04,6.51,"Edwards Jr., Carl",572191,605218,,foul,,,,,13,Michael A. Taylor walks. Ke'Bryan Hayes to 3rd. Ji Hwan Bae to 2nd.,R,R,R,PIT,SD,S,,,1,0,2024,0.39,-0.72,-0.32,1.46,,663647,678225,2,6,Bot,,,,,,,2.963226140664931,-111.49842707928651,-2.296825619813593,2.613745083909349,21.96829737488881,-37.94478787808734,3.53,1.65,4,76.9,-26,77.0,2152,6.8,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.72,,,,,,,,51,2,Curveball,3,4,3,4,4,3,3,4,Standard,Standard,26,0.0,-0.042,74.6,8.4,,0.042,88.0,-1,-1,0.377,0.377,32,33,33,33,1,2,,1,,1,4.64,-0.39,-0.39,61.1
FF,2024-08-08,90.0,-2.3,6.4,"Edwards Jr., Carl",572191,605218,,ball,,,,,13,Michael A. Taylor walks. Ke'Bryan Hayes to 3rd. Ji Hwan Bae to 2nd.,R,R,R,PIT,SD,B,,,0,0,2024,0.13,1.17,-0.6,1.32,,663647,678225,2,6,Bot,,,,,,,3.997448869372568,-130.8504784500088,-9.189527566734476,0.6963666739464319,26.068358108870054,-17.061736286983166,3.53,1.67,,,,90.9,2315,6.8,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.73,,,,,,,,51,1,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,177,0.0,0.026,,,,-0.026,,-1,-1,0.377,0.377,32,33,33,33,1,2,,1,,1,1.64,-0.13,-0.13,52.6
CU,2024-08-08,76.3,-1.85,6.51,"Edwards Jr., Carl",678225,605218,single,hit_into_play,,,,,7,Ji Hwan Bae singles on a ground ball to left fielder Jurickson Profar. Bryan De La Cruz scores. Ke'Bryan Hayes to 2nd.,R,L,R,PIT,SD,X,7,ground_ball,0,0,2024,-0.03,-0.73,-0.62,1.95,,650559,663647,2,6,Bot,121.81,192.65,,,,,2.6628037027014058,-111.1679952910022,-1.2603123256977775,-0.7651707644038621,19.972369086797706,-38.19522973046134,3.19,1.49,29,98.3,-2,77.0,2044,6.7,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.77,0.409,0.43,0.9,1,1,0,2,50,1,Curveball,2,4,2,4,4,3,3,4,Standard,Standard,25,0.135,0.564,71.8,6.7,0.488,-0.564,98.3,-2,-2,0.242,0.242,32,24,33,25,1,2,,1,,3,4.63,0.03,-0.03,60.8
FF,2024-08-08,91.2,-2.09,6.3,"Edwards Jr., Carl",663647,605218,walk,ball,,,,,14,Ke'Bryan Hayes walks.,R,R,R,PIT,SD,B,,,3,1,2024,0.26,1.01,1.73,1.2,,650559,,2,6,Bot,,,,,,,9.111546907976452,-132.44663212743663,-9.2155435217156,1.329233828032325,25.423887020841,-18.58090803405146,3.17,1.59,,,,92.4,2419,6.9,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.61,,0.689131,0.7,1,0,0,,49,5,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,185,0.02,0.056,,,,-0.056,,-2,-2,0.222,0.222,32,27,33,27,1,2,,1,,1,1.72,-0.26,-0.26,54.0
FF,2024-08-08,92.9,-2.02,6.19,"Edwards Jr., Carl",663647,605218,,ball,,,,,14,Ke'Bryan Hayes walks.,R,R,R,PIT,SD,B,,,2,1,2024,0.43,1.13,2.08,1.44,642133,,650559,2,6,Bot,,,,,,,9.640820577926108,-134.75060897991045,-8.953952521782474,3.3489370985835576,27.278309426838753,-16.5624075697725,3.08,1.52,,,,94.0,2455,7.0,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.55,,,,,,,,49,4,4-Seam Fastball,1,4,1,4,4,2,2,4,Standard,Standard,189,0.071,0.098,,,,-0.098,,-3,-3,0.151,0.151,32,27,33,27,1,2,,1,,1,1.51,-0.43,-0.43,51.6
CH,2024-08-08,87.0,-2.25,6.33,"Edwards Jr., Carl",663647,605218,,foul,,,,,4,Ke'Bryan Hayes walks.,R,R,R,PIT,SD,S,,,2,0,2024,-1.26,0.65,-0.46,2.28,642133,,650559,2,6,Bot,,,,,,,6.933872053397354,-126.56687773221344,-4.952943826112377,-14.94831586491385,24.06673516093459,-24.407898982085182,3.17,1.54,323,105.1,18,88.0,1666,6.7,745466,543309,650333,630105,592518,673490,595777,701538,444482,53.75,,,,,,,,49,3,Changeup,1,4,1,4,4,1,1,4,Standard,Standard,203,0.0,-0.08,74.7,7.3,,0.08,105.1,-3,-3,0.151,0.151,32,27,33,27,1,2,,1,,1,2.35,1.26,1.26,51.8
