pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
CH,2024-09-29,88.7,2.74,5.7,"Ellard, Fraser",679529,686642,field_out,hit_into_play,,,,,8,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,X,9,fly_ball,2,2,2024,0.7,0.52,-0.15,1.53,,,682985,2,6,Bot,182.74,107.15,,,,,-8.427289184359422,-129.05696140222886,-5.274572360414251,9.414898690612931,22.745753906452904,-25.451359926513323,3.46,1.59,299,94.7,47,88.2,1654,5.6,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.86,0.006,0.007,0.0,1,0,0,3,54,8,Changeup,4,5,4,5,5,4,4,5,Standard,Standard,129,-0.042,-0.234,72.4,8.0,0.011,0.234,94.7,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,2.34,0.7,-0.7,28.9
FF,2024-09-29,94.2,2.74,5.5,"Ellard, Fraser",679529,686642,,foul,,,,,13,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,S,,,2,2,2024,0.51,1.23,-1.11,1.83,,,682985,2,6,Bot,,,,,,,-11.035926117314904,-136.66381745262163,-6.547024992259378,8.627719617047537,27.77151141609643,-15.391394281768896,3.46,1.59,4,79.3,-21,93.8,2502,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.46,,,,,,,,54,7,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,130,0.0,0.0,67.9,7.8,,0.0,88.0,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,1.33,0.51,-0.51,29.6
SL,2024-09-29,84.4,3.02,5.49,"Ellard, Fraser",679529,686642,,foul,,,,,8,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,S,,,2,2,2024,-0.35,-0.17,0.08,1.93,,,682985,2,6,Bot,,,,,,,-6.098743107933549,-122.92235757421874,-1.6578598972204164,-2.4878904222696967,22.39452255857888,-33.79538945747714,3.46,1.59,265,93.5,20,84.3,2334,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.53,,,,,,,,54,6,Slider,4,5,4,5,5,4,4,5,Standard,Standard,325,0.0,0.0,75.3,8.2,,0.0,93.5,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,3.34,-0.35,0.35,26.8
FF,2024-09-29,94.6,2.94,5.48,"Ellard, Fraser",679529,686642,,blocked_ball,,,,,13,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,B,,,1,2,2024,0.81,1.17,-0.55,0.57,,,682985,2,6,Bot,,,,,,,-10.786823500384523,-137.1456112942495,-9.690873104062042,12.403820707502064,26.536422862625862,-15.37332494699767,3.35,1.54,,,,94.1,2502,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.57,,,,,,,,54,5,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,125,0.0,0.038,,,,-0.038,,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,1.37,0.81,-0.81,25.8
FF,2024-09-29,93.6,2.92,5.64,"Ellard, Fraser",679529,686642,,foul,,,,,4,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,S,,,1,2,2024,0.79,1.28,-0.47,2.5,,,682985,2,6,Bot,,,,,,,-10.40263550821565,-135.9540654158336,-5.188160789339532,11.882550685448756,27.03574923462851,-15.32735927989398,3.46,1.59,150,70.8,68,93.1,2597,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.59,,,,,,,,54,4,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,129,0.0,0.0,73.3,7.2,,0.0,88.0,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,1.32,0.79,-0.79,30.6
SL,2024-09-29,84.6,3.07,5.5,"Ellard, Fraser",679529,686642,,ball,,,,,13,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,B,,,0,2,2024,-0.65,-0.15,-0.25,0.85,,,682985,2,6,Bot,,,,,,,-6.396262403124649,-123.09851214289267,-4.22994406713944,-5.426468454248419,23.22699972385144,-33.09503408976899,3.35,1.46,,,,84.3,2372,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.54,,,,,,,,54,3,Slider,4,5,4,5,5,4,4,5,Standard,Standard,327,0.0,0.027,,,,-0.027,,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,3.32,-0.65,0.65,25.7
FF,2024-09-29,94.2,2.88,5.56,"Ellard, Fraser",679529,686642,,foul,,,,,7,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,S,,,0,1,2024,0.98,1.32,-0.43,2.01,,,682985,2,6,Bot,,,,,,,-10.668590243824555,-136.68317114495497,-6.412291270425933,14.552881713213988,28.432017445434763,-14.390097631553909,3.46,1.59,229,73.3,34,93.7,2575,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.47,,,,,,,,54,2,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,129,0.0,-0.054,74.4,7.6,,0.054,88.0,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,1.26,0.98,-0.98,26.6
SL,2024-09-29,83.2,2.91,5.6,"Ellard, Fraser",679529,686642,,called_strike,,,,,2,Spencer Torkelson flies out to right fielder Dominic Fletcher.,R,R,L,DET,CWS,S,,,0,0,2024,-0.47,-0.12,-0.24,2.87,,,682985,2,6,Bot,,,,,,,-6.246996554982165,-121.19874649063752,0.352373532731107,-3.5835697878805086,21.52387727343882,-33.62367603305719,3.38,1.44,,,,82.9,2369,5.8,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.7,,,,,,,,54,1,Slider,4,5,4,5,5,4,4,5,Standard,Standard,315,0.0,-0.047,,,,0.047,,-1,-1,0.342,0.342,26,24,27,25,1,2,2,1,,2,3.38,-0.47,0.47,26.1
FF,2024-09-29,94.5,2.8,5.58,"Ellard, Fraser",628451,686642,field_out,hit_into_play,,,,,7,Andy Ibáñez pops out to first baseman Andrew Vaughn in foul territory.,R,R,L,DET,CWS,X,3,popup,0,1,2024,0.91,1.19,-0.7,1.86,,,682985,1,6,Bot,163.45,195.15,,,,,-11.048245314899331,-137.23522605977303,-6.670685407525623,13.67223660975381,25.682235575127063,-15.76789851774789,3.13,1.47,64,85.1,82,94.4,2565,6.0,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.51,0.006,0.005,0.0,1,0,0,3,53,2,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,131,-0.05,-0.215,71.0,7.6,0.006,0.215,88.0,-1,-1,0.392,0.392,26,31,27,31,1,0,2,1,,2,1.34,0.91,-0.91,27.7
FF,2024-09-29,94.2,2.86,5.59,"Ellard, Fraser",628451,686642,,called_strike,,,,,1,Andy Ibáñez pops out to first baseman Andrew Vaughn in foul territory.,R,R,L,DET,CWS,S,,,0,0,2024,0.84,1.23,-0.29,2.79,,,682985,1,6,Bot,,,,,,,-9.941957004202052,-136.8851623476967,-4.314727304121656,12.61447553513698,27.099660346653017,-15.845043105529362,3.02,1.44,,,,93.8,2516,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.61,,,,,,,,53,1,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,133,0.0,-0.04,,,,0.04,,-1,-1,0.392,0.392,26,31,27,31,1,0,2,1,,2,1.32,0.84,-0.84,31.6
SL,2024-09-29,86.2,2.96,5.49,"Ellard, Fraser",672761,686642,strikeout,called_strike,,,,,6,Wenceel Pérez called out on strikes.,R,R,L,DET,CWS,S,2,,1,2,2024,-0.49,-0.01,0.46,2.42,,,682985,0,6,Bot,,,,,,,-4.900918127127519,-125.51499433921435,-1.088549093148916,-4.318416262375181,23.616583810313003,-32.24230011631657,2.99,1.36,,,,85.9,2299,5.9,746416,686676,683734,672820,678246,676070,676113,673357,666150,54.61,,0.0,0.0,1,0,0,,52,7,Slider,4,5,4,5,5,4,4,5,Standard,Standard,327,-0.059,-0.184,,,,0.184,,-1,-1,0.451,0.451,26,24,27,25,1,2,2,1,,2,3.05,-0.49,0.49,25.7
