pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-29,92.0,-1.21,5.8,"Farmer, Buck",683737,571656,field_out,hit_into_play,,,,,4,Michael Busch flies out to left fielder Blake Dunn.,R,L,R,CHC,CIN,X,7,fly_ball,1,2,2024,-0.83,1.2,-0.4,2.05,676679,673548,,2,10,Bot,57.11,114.05,,,,,3.8305119747645664,-133.85564504701262,-6.259450537789004,-10.826124922257332,27.98355674090683,-16.625905436955684,3.15,1.51,271,93.5,45,91.8,2394,6.1,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.4,0.011,0.021,0.0,1,0,0,3,81,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,228,-0.048,-0.206,70.5,7.6,0.036,0.206,93.5,-3,-3,0.048,0.048,33,26,33,27,1,4,1,1,,,1.49,0.83,-0.83,31.5
CH,2024-09-29,85.7,-1.41,5.59,"Farmer, Buck",683737,571656,,blocked_ball,,,,,14,Michael Busch flies out to left fielder Blake Dunn.,R,L,R,CHC,CIN,B,,,0,2,2024,-1.29,-0.17,0.62,-0.3,676679,673548,,2,10,Bot,,,,,,,7.371118755269149,-124.49826767888574,-7.243006555334086,-14.9107804206808,25.65176037148963,-32.6122332936877,3.26,1.64,,,,85.3,1881,6.2,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.31,,,,,,,,81,3,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,253,0.0,0.024,,,,-0.024,,-3,-3,0.048,0.048,33,26,33,27,1,4,1,1,,,3.29,1.29,-1.29,28.0
SL,2024-09-29,81.5,-1.59,5.5,"Farmer, Buck",683737,571656,,swinging_strike,,,,,14,Michael Busch flies out to left fielder Blake Dunn.,R,L,R,CHC,CIN,S,,,0,1,2024,1.03,0.18,1.13,1.2,676679,673548,,2,10,Bot,,,,,,,4.140135251255669,-118.69467419080404,-3.4155199587940746,8.927167195632181,23.21591126897749,-30.04214077183702,3.15,1.51,,,,81.4,2829,6.2,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.28,,,,,,,,81,2,Slider,0,3,0,3,3,0,0,3,Infield shade,Standard,70,0.0,-0.059,68.0,8.6,,0.059,,-3,-3,0.048,0.048,33,26,33,27,1,4,1,1,,,3.25,-1.03,1.03,25.7
SL,2024-09-29,82.1,-1.6,5.56,"Farmer, Buck",683737,571656,,called_strike,,,,,4,Michael Busch flies out to left fielder Blake Dunn.,R,L,R,CHC,CIN,S,,,0,0,2024,0.78,0.52,-0.56,2.4,676679,,673548,2,10,Bot,,,,,,,0.8394136857830635,-119.58932610750232,-1.618126220834868,7.325459579587793,23.032314553657933,-27.09349657232167,3.29,1.58,,,,81.9,2867,6.1,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.41,,,,,,,,81,1,Slider,0,3,0,3,3,0,0,3,Infield shade,Standard,73,0.008,-0.046,,,,0.046,,-3,-3,0.04,0.04,33,26,33,27,1,4,1,1,,,2.86,-0.78,0.78,27.0
SI,2024-09-29,92.0,-1.08,5.67,"Farmer, Buck",673548,571656,walk,ball,,,,,14,Seiya Suzuki walks.,R,R,R,CHC,CIN,B,,,3,2,2024,-1.46,0.6,0.9,1.61,676679,,,2,10,Bot,,,,,,,8.163202056292352,-133.60445559165296,-5.748641602703574,-19.25530867044192,28.46350816811706,-23.90599633620371,3.18,1.45,,,,91.7,2493,6.2,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.28,,0.689131,0.7,1,0,0,,80,8,Sinker,0,3,0,3,3,0,0,3,Strategic,Standard,225,0.025,0.182,,,,-0.182,,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,2.1,1.46,1.46,31.0
SI,2024-09-29,92.1,-1.24,5.76,"Farmer, Buck",673548,571656,,foul,,,,,5,Seiya Suzuki walks.,R,R,R,CHC,CIN,S,,,3,2,2024,-0.95,0.6,-0.11,2.35,676679,,,2,10,Bot,,,,,,,4.911459738844028,-134.1304214342902,-4.178720329619727,-12.48096191545897,27.485569747194475,-24.236511840394165,3.19,1.46,163,87.5,64,92.1,2348,6.1,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.36,,,,,,,,80,7,Sinker,0,3,0,3,3,0,0,3,Strategic,Standard,225,0.0,0.0,78.7,7.2,,0.0,88.0,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,2.07,0.95,0.95,29.7
SL,2024-09-29,83.1,-1.52,5.54,"Farmer, Buck",673548,571656,,ball,,,,,14,Seiya Suzuki walks.,R,R,R,CHC,CIN,B,,,2,2,2024,0.86,-0.28,1.93,1.21,676679,,,2,10,Bot,,,,,,,6.215794101376149,-121.02585543106215,-2.976940509548622,7.417360084369513,21.25626115059792,-34.587601270176414,3.19,1.44,,,,83.4,2725,6.2,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.25,,,,,,,,80,6,Slider,0,3,0,3,3,0,0,3,Strategic,Standard,65,0.0,0.051,,,,-0.051,,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,3.55,-0.86,-0.86,27.8
SL,2024-09-29,81.9,-1.2,5.59,"Farmer, Buck",673548,571656,,ball,,,,,14,Seiya Suzuki walks.,R,R,R,CHC,CIN,B,,,1,2,2024,0.58,0.57,2.26,1.13,676679,,,2,10,Bot,,,,,,,6.6894821615166205,-119.11745750735868,-4.67680100944253,4.41740018822567,20.601759581992138,-26.0353631980408,3.14,1.44,,,,82.2,2788,6.3,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.22,,,,,,,,80,5,Slider,0,3,0,3,3,0,0,3,Strategic,Standard,70,0.0,0.017,,,,-0.017,,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,2.8,-0.58,-0.58,28.6
SI,2024-09-29,91.2,-1.06,5.86,"Farmer, Buck",673548,571656,,foul,,,,,2,Seiya Suzuki walks.,R,R,R,CHC,CIN,S,,,1,2,2024,-1.47,0.77,-0.25,2.87,676679,,,2,10,Bot,,,,,,,5.181083757494334,-132.63575546351643,-3.2053850318516037,-18.496598326059356,30.599959650705944,-22.665638448127957,3.19,1.46,147,72.3,70,90.4,2375,6.0,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.51,,,,,,,,80,4,Sinker,0,3,0,3,3,0,0,3,Strategic,Standard,227,0.0,0.0,72.7,6.8,,0.0,88.0,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,2.0,1.47,1.47,30.2
SL,2024-09-29,81.3,-1.44,5.61,"Farmer, Buck",673548,571656,,called_strike,,,,,9,Seiya Suzuki walks.,R,R,R,CHC,CIN,S,,,1,1,2024,0.86,0.58,0.66,1.93,676679,,,2,10,Bot,,,,,,,3.0674666176874803,-118.42429244252284,-2.7743378004726704,7.441034444879469,23.154627967533337,-26.357861371084685,3.19,1.4,,,,81.2,2716,6.2,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.28,,,,,,,,80,3,Slider,0,3,0,3,3,0,0,3,Strategic,Standard,78,0.0,-0.073,,,,0.073,,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,2.86,-0.86,-0.86,30.3
SI,2024-09-29,92.2,-1.21,5.84,"Farmer, Buck",673548,571656,,ball,,,,,11,Seiya Suzuki walks.,R,R,R,CHC,CIN,B,,,0,1,2024,-1.31,0.58,-1.11,3.33,676679,,,2,10,Bot,,,,,,,3.0873545320184768,-134.24194147089764,-1.822907701602709,-16.533258683490487,29.09035796967725,-24.9302257527147,3.18,1.46,,,,91.7,2379,6.0,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.53,,,,,,,,80,2,Sinker,0,3,0,3,3,0,0,3,Strategic,Standard,226,0.0,0.032,,,,-0.032,,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,2.09,1.31,1.31,32.6
SI,2024-09-29,92.6,-1.18,5.78,"Farmer, Buck",673548,571656,,called_strike,,,,,3,Seiya Suzuki walks.,R,R,R,CHC,CIN,S,,,0,0,2024,-1.35,0.62,0.55,3.03,676679,,,2,10,Bot,,,,,,,7.328097457574218,-134.66450151919824,-2.574151581718051,-17.979982490921905,28.953636667018053,-24.208335298089096,3.19,1.37,,,,92.3,2348,6.1,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.35,,,,,,,,80,1,Sinker,0,3,0,3,3,0,0,3,Strategic,Standard,225,0.0,-0.039,,,,0.039,,-3,-3,0.015,0.015,33,29,33,30,1,4,1,1,,,2.03,1.35,1.35,30.3
SL,2024-09-29,81.2,-1.52,5.65,"Farmer, Buck",663538,571656,field_out,hit_into_play,,,,,4,Nico Hoerner pops out to second baseman Jonathan India.,R,R,R,CHC,CIN,X,4,popup,0,1,2024,0.81,0.5,-0.32,2.35,676679,,,1,10,Bot,127.93,127.72,,,,,1.129493433720153,-118.42041116433288,-1.8424978325259496,7.53346299386031,19.306449530258423,-27.26882242395925,3.29,1.57,182,75.8,56,81.5,2900,6.1,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.44,0.054,0.059,0.0,1,0,0,3,79,2,Slider,0,3,0,3,3,0,0,3,Standard,Standard,80,-0.036,-0.063,69.2,7.3,0.073,0.063,88.0,-3,-3,0.051,0.051,33,27,33,27,1,4,1,1,,,2.9,-0.81,-0.81,25.6
SL,2024-09-29,81.6,-1.47,5.58,"Farmer, Buck",663538,571656,,called_strike,,,,,6,Nico Hoerner pops out to second baseman Jonathan India.,R,R,R,CHC,CIN,S,,,0,0,2024,1.15,0.03,0.78,2.39,676679,,,1,10,Bot,,,,,,,2.8516767984843305,-118.9352591308162,-0.711150541316393,10.41292281479612,22.35439365438624,-31.932317371618566,3.33,1.61,,,,81.4,2905,6.0,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.47,,,,,,,,79,1,Slider,0,3,0,3,3,0,0,3,Standard,Standard,76,0.0,-0.049,,,,0.049,,-3,-3,0.051,0.051,33,27,33,27,1,4,1,1,,,3.37,-1.15,-1.15,27.0
FF,2024-09-29,91.8,-1.18,5.91,"Farmer, Buck",664023,571656,field_out,hit_into_play,,,,,3,"Ian Happ grounds out, second baseman Jonathan India to first baseman Ty France.   Luis Vazquez to 3rd.",R,L,R,CHC,CIN,X,4,ground_ball,1,2,2024,-1.03,1.19,0.65,3.0,,676679,,0,10,Bot,166.32,139.11,,,,,6.810825505086159,-133.54701429357564,-4.082232513229265,-13.762691819783884,28.33608027526276,-17.22733406170775,3.51,1.61,133,82.3,10,91.5,2414,6.1,746820,663886,664034,663697,682622,682829,694362,670770,641584,54.41,0.474,0.43,0.0,1,0,0,4,78,5,4-Seam Fastball,0,3,0,3,3,0,0,3,Infield shade,Standard,229,-0.038,-0.123,71.1,6.2,0.517,0.123,88.0,-3,-3,0.089,0.089,33,29,33,30,1,4,1,1,,,1.51,1.03,-1.03,31.2
