pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
EP,2024-09-28,40.4,-1.99,7.15,"Farmer, Kyle",668939,571657,field_out,hit_into_play,,,,,11,"Adley Rutschman grounds out softly, pitcher Kyle Farmer to first baseman Carlos Santana.",R,L,R,MIN,BAL,X,1,ground_ball,1,1,2024,-0.26,1.45,-1.39,4.07,656896,,702616,2,9,Top,130.27,180.35,,,,,0.8588704479007523,-57.953372600946224,8.220968329456733,-0.671562933736722,5.4621775362195235,-29.894271995589044,3.41,1.65,4,53.3,-46,38.0,1053,3.7,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.81,0.217,0.206,0.0,1,0,0,1,77,3,Eephus,0,9,9,0,9,0,9,0,Infield shade,Standard,210,0.0,-0.272,75.1,6.9,0.217,0.272,88.0,-9,9,0.0,1.0,33,26,34,26,1,5,14,1,,1,12.93,0.26,-0.26,48.9
EP,2024-09-28,40.2,-1.86,7.13,"Farmer, Kyle",668939,571657,,called_strike,,,,,5,"Adley Rutschman grounds out softly, pitcher Kyle Farmer to first baseman Carlos Santana.",R,L,R,MIN,BAL,S,,,1,0,2024,-0.15,1.2,-0.13,2.59,656896,,702616,2,9,Top,,,,,,,1.9374061594236691,-57.81636506820939,6.89961624502801,-0.5035323858392445,5.121190819448677,-30.300063019276006,3.41,1.53,,,,38.1,1064,3.7,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.76,,,,,,,,77,2,Eephus,0,9,9,0,9,0,9,0,Infield shade,Standard,205,0.0,-0.045,,,,0.045,,-9,9,0.0,1.0,33,26,34,26,1,5,14,1,,1,13.18,0.15,-0.15,49.9
EP,2024-09-28,39.9,-2.04,7.03,"Farmer, Kyle",668939,571657,,ball,,,,,12,"Adley Rutschman grounds out softly, pitcher Kyle Farmer to first baseman Carlos Santana.",R,L,R,MIN,BAL,B,,,0,0,2024,0.2,1.36,1.55,2.84,656896,,702616,2,9,Top,,,,,,,3.5407356264156955,-57.23236568175379,7.367123494566996,0.1122215443022078,5.226077334621519,-30.108513080331885,3.43,1.62,,,,37.6,1057,3.7,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.76,,,,,,,,77,1,Eephus,0,9,9,0,9,0,9,0,Infield shade,Standard,200,0.0,0.03,,,,-0.03,,-9,9,0.0,1.0,33,26,34,26,1,5,14,1,,1,13.36,-0.2,0.2,45.8
EP,2024-09-28,43.3,-2.38,6.67,"Farmer, Kyle",702616,571657,single,hit_into_play,,,,,5,Jackson Holliday singles on a ground ball to right fielder Manuel Margot. Emmanuel Rivera to 3rd.,R,L,R,MIN,BAL,X,9,ground_ball,0,0,2024,-0.02,0.94,0.07,2.27,,656896,,2,9,Top,139.93,151.61,,,,,2.7909074172316903,-62.55607885700413,5.949405244869104,-0.3290645388162733,6.356106347190311,-30.53261098396774,3.44,1.63,46,102.9,0,41.2,1259,3.9,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.65,0.474,0.436,0.9,1,1,0,4,76,1,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,202,0.0,0.671,75.5,6.6,0.523,-0.671,102.9,-9,9,0.0,1.0,33,20,34,21,1,5,14,1,,1,11.4,0.02,-0.02,34.2
EP,2024-09-28,44.1,-1.75,7.03,"Farmer, Kyle",596103,571657,field_out,hit_into_play,,,,,12,"Austin Slater grounds out softly, catcher Ryan Jeffers to first baseman Carlos Santana. Emmanuel Rivera to 2nd.",R,R,R,MIN,BAL,X,2,ground_ball,3,1,2024,-0.4,1.33,1.1,3.01,,,656896,1,9,Top,124.8,202.86,,,,,3.679241673498141,-63.77168345208102,5.6436036082939385,-1.4672400173607874,6.355903457377705,-29.34357658717412,3.35,1.63,1,40.9,-72,42.1,1228,3.9,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.61,0.209,0.21,0.0,1,0,0,1,75,5,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,202,0.0,-0.461,74.0,7.1,0.213,0.461,88.0,-9,9,0.0,1.0,33,31,34,32,1,4,14,2,,1,10.51,0.4,0.4,46.6
EP,2024-09-28,39.9,-1.73,7.04,"Farmer, Kyle",596103,571657,,ball,,,,,14,"Austin Slater grounds out softly, catcher Ryan Jeffers to first baseman Carlos Santana. Emmanuel Rivera to 2nd.",R,R,R,MIN,BAL,B,,,2,1,2024,-0.01,1.26,0.09,1.13,,,656896,1,9,Top,,,,,,,1.9118066117950785,-57.61239467009555,5.64907179021048,-0.2127214392071844,5.7028295707117245,-30.171073058424525,3.43,1.64,,,,37.9,1086,3.9,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.61,,,,,,,,75,4,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,206,0.0,0.112,,,,-0.112,,-9,9,0.0,1.0,33,31,34,32,1,4,14,2,,1,13.36,0.01,0.01,45.8
EP,2024-09-28,38.4,-2.01,7.16,"Farmer, Kyle",596103,571657,,ball,,,,,11,"Austin Slater grounds out softly, catcher Ryan Jeffers to first baseman Carlos Santana. Emmanuel Rivera to 2nd.",R,R,R,MIN,BAL,B,,,1,1,2024,-0.22,1.28,-1.18,3.4,,,656896,1,9,Top,,,,,,,1.002255406015977,-54.96836494598772,8.566651836793575,-0.526121225125737,4.791578846637055,-30.532255047168608,3.45,1.7,,,,36.1,990,3.6,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.86,,,,,,,,75,3,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,200,0.0,0.046,,,,-0.046,,-9,9,0.0,1.0,33,31,34,32,1,4,14,2,,1,14.67,0.22,0.22,49.6
EP,2024-09-28,42.5,-2.06,6.86,"Farmer, Kyle",596103,571657,,foul,,,,,11,"Austin Slater grounds out softly, catcher Ryan Jeffers to first baseman Carlos Santana. Emmanuel Rivera to 2nd.",R,R,R,MIN,BAL,S,,,1,0,2024,0.0,1.52,-0.95,3.33,,,656896,1,9,Top,,,,,,,1.2248512974012526,-61.31910328607601,6.681142409147336,-0.111124645098003,6.042932708987653,-29.222213978316635,3.35,1.63,151,89.5,14,40.3,1195,3.7,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.8,,,,,,,,75,2,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,208,0.0,-0.047,74.2,7.0,,0.047,89.5,-9,9,0.0,1.0,33,31,34,32,1,4,14,2,,1,11.32,0.0,0.0,40.4
EP,2024-09-28,42.5,-1.93,6.95,"Farmer, Kyle",596103,571657,,ball,,,,,9,"Austin Slater grounds out softly, catcher Ryan Jeffers to first baseman Carlos Santana. Emmanuel Rivera to 2nd.",R,R,R,MIN,BAL,B,,,0,0,2024,-0.22,1.17,0.49,1.92,,,656896,1,9,Top,,,,,,,2.891912332146513,-61.38090246776333,5.39272126265611,-0.860969738656193,6.3101530283492435,-30.00651675342843,3.4,1.64,,,,40.3,1138,3.8,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.7,,,,,,,,75,1,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,200,0.0,0.036,,,,-0.036,,-9,9,0.0,1.0,33,31,34,32,1,4,14,2,,1,11.68,0.22,0.22,43.3
EP,2024-09-28,42.9,-2.24,6.83,"Farmer, Kyle",656896,571657,single,hit_into_play,,,,,14,Emmanuel Rivera singles on a ground ball to shortstop Brooks Lee.,R,R,R,MIN,BAL,X,6,ground_ball,0,0,2024,-0.26,1.18,0.88,2.36,,,,1,9,Top,124.29,118.58,,,,,3.721189991865009,-61.887220716887825,5.687006484926314,-1.008534742448392,5.633255632937437,-29.8643361356337,3.38,1.63,84,100.8,4,40.7,1236,3.6,745849,680777,467793,666397,680737,686797,680577,668885,622534,56.91,0.537,0.498,0.9,1,1,0,4,74,1,Eephus,0,9,9,0,9,0,9,0,Standard,Standard,202,0.0,0.422,77.4,7.1,0.606,-0.422,100.8,-9,9,0.0,1.0,33,28,34,28,1,4,14,1,,1,11.33,0.26,0.26,39.4
