pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,2024-09-28,97.7,-3.05,5.92,"Ferguson, Tyler",571745,621053,strikeout,foul_tip,,,,,2,Mitch Haniger strikes out on a foul tip.,R,R,R,SEA,OAK,S,2,,2,2,2024,-0.67,1.28,-0.12,3.41,,670042,593871,2,7,Bot,,,,,,,9.38371351901072,-142.00430290449117,-4.195993283277766,-11.177315002789728,30.776162511269018,-14.077399802415195,3.42,1.6,,,,97.2,2368,6.0,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.53,,0.0,0.0,1,0,0,,64,5,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,230,-0.036,-0.204,70.7,6.2,,0.204,,1,1,0.789,0.789,30,33,31,34,1,3,2,1,,1,1.11,0.67,0.67,31.2
ST,2024-09-28,85.0,-3.13,5.7,"Ferguson, Tyler",571745,621053,,called_strike,,,,,8,Mitch Haniger strikes out on a foul tip.,R,R,R,SEA,OAK,S,,,2,1,2024,1.01,0.08,0.0,1.82,,670042,593871,2,7,Bot,,,,,,,5.254480235638723,-123.72379277941494,-2.905618816674325,9.286966484050708,25.20246209765637,-30.954087996377982,3.1,1.43,,,,84.3,2438,5.9,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.63,,,,,,,,64,4,Sweeper,4,3,4,3,3,4,4,3,Standard,Standard,59,0.0,-0.102,,,,0.102,,1,1,0.789,0.789,30,33,31,34,1,3,2,1,,1,3.08,-1.01,-1.01,25.5
FF,2024-09-28,95.6,-3.01,5.84,"Ferguson, Tyler",571745,621053,,ball,,,,,14,Mitch Haniger strikes out on a foul tip.,R,R,R,SEA,OAK,B,,,1,1,2024,-0.74,1.31,2.08,2.2,,670042,593871,2,7,Bot,,,,,,,14.93897709392871,-138.36895984068966,-6.851865869656492,-12.715422248906428,29.332860918719557,-13.839665188087649,3.36,1.53,,,,94.9,2289,6.1,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.41,,,,,,,,64,3,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,226,0.0,0.042,,,,-0.042,,1,1,0.789,0.789,30,33,31,34,1,3,2,1,,1,1.2,0.74,0.74,30.1
FF,2024-09-28,96.6,-3.13,5.83,"Ferguson, Tyler",571745,621053,,foul,,,,,8,Mitch Haniger strikes out on a foul tip.,R,R,R,SEA,OAK,S,,,1,0,2024,-0.9,1.1,0.07,1.89,,670042,593871,2,7,Bot,,,,,,,10.491233001362302,-140.15209514369047,-7.355474354458545,-14.3373541141138,32.840847352139875,-16.110495686209898,3.42,1.6,234,91.9,53,95.7,2306,6.0,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.46,,,,,,,,64,2,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,224,0.0,-0.042,74.7,7.6,,0.042,91.9,1,1,0.789,0.789,30,33,31,34,1,3,2,1,,1,1.36,0.9,0.9,28.0
FF,2024-09-28,96.5,-3.11,5.88,"Ferguson, Tyler",571745,621053,,ball,,,,,13,Mitch Haniger strikes out on a foul tip.,R,R,R,SEA,OAK,B,,,0,0,2024,-0.83,1.17,-1.61,2.33,,670042,593871,2,7,Bot,,,,,,,5.8347159273484195,-140.39274314324626,-6.528377465438024,-12.280295879922395,31.69719780949233,-15.369830521107,3.33,1.59,,,,96.2,2279,6.1,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.4,,,,,,,,64,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,226,0.0,0.026,,,,-0.026,,1,1,0.789,0.789,30,33,31,34,1,3,2,1,,1,1.28,0.83,0.83,27.5
SI,2024-09-28,95.0,-3.3,5.79,"Ferguson, Tyler",670042,621053,double,hit_into_play,,,,,4,Luke Raley doubles (19) on a line drive to left fielder Seth Brown. Julio Rodríguez scores.,R,L,R,SEA,OAK,X,7,line_drive,0,0,2024,-1.42,0.5,-0.71,2.4,,,677594,2,7,Bot,39.84,121.63,,,,,9.866773027347945,-138.03793524732254,-4.297942424211357,-20.30107765012388,30.478008515939138,-25.026731112240647,3.38,1.54,230,85.0,19,94.3,2147,5.9,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.56,0.814,0.788,1.25,1,1,1,4,62,1,Sinker,3,3,3,3,3,4,4,3,Infield shade,Standard,236,0.243,0.865,73.0,6.6,0.966,-0.865,88.0,0,0,0.541,0.541,30,29,31,30,1,3,2,4,,1,2.03,1.42,-1.42,25.8
FF,2024-09-28,97.0,-3.13,5.84,"Ferguson, Tyler",663728,621053,field_out,hit_into_play,,,,,6,Cal Raleigh pops out softly to catcher Shea Langeliers in foul territory.,R,L,R,SEA,OAK,X,2,popup,0,0,2024,-0.99,1.15,0.77,2.72,,,677594,1,7,Bot,103.99,213.95,,,,,12.608828061801542,-140.6979929839574,-5.402444700618381,-15.990051295785058,31.30723933629576,-15.793602897049668,3.47,1.61,59,57.2,81,96.4,2286,6.1,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.41,0.003,0.003,0.0,1,0,0,1,61,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Infield shade,Standard,242,-0.048,-0.255,74.7,7.3,0.003,0.255,88.0,0,0,0.589,0.589,30,27,31,28,1,3,2,1,,1,1.29,0.99,-0.99,30.3
SI,2024-09-28,95.6,-3.2,5.9,"Ferguson, Tyler",677594,621053,force_out,hit_into_play,,,,,4,"Julio Rodríguez grounds into a force out, shortstop Jacob Wilson to second baseman Max Schuemann. Victor Robles out at 2nd. Julio Rodríguez to 1st.",R,R,R,SEA,OAK,X,6,ground_ball,0,1,2024,-1.4,0.4,-0.82,2.4,,,645302,0,7,Bot,105.38,152.03,,,,,9.362159959404137,-138.88277228042628,-4.4903967062005705,-20.25124537670194,31.06524820438111,-26.102373029974917,3.37,1.55,10,99.8,-13,95.0,2132,6.1,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.44,0.251,0.281,0.0,1,0,0,2,60,2,Sinker,3,3,3,3,3,3,3,3,Standard,Standard,233,-0.054,-0.31,74.8,7.4,0.284,0.31,99.8,0,0,0.643,0.643,30,23,31,24,1,3,2,1,,1,2.1,1.4,1.4,29.9
FF,2024-09-28,96.3,-3.16,5.95,"Ferguson, Tyler",677594,621053,,swinging_strike,,,,,1,"Julio Rodríguez grounds into a force out, shortstop Jacob Wilson to second baseman Max Schuemann. Victor Robles out at 2nd. Julio Rodríguez to 1st.",R,R,R,SEA,OAK,S,,,0,0,2024,-0.8,1.23,-0.61,3.04,,,645302,0,7,Bot,,,,,,,8.515528608277501,-140.0470534952861,-4.929047100386151,-12.332718768638111,29.24587690972122,-15.030103970629725,3.37,1.55,,,,96.0,2291,6.0,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.53,,,,,,,,60,1,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,222,0.0,-0.042,74.3,7.1,,0.042,,0,0,0.643,0.643,30,23,31,24,1,3,2,1,,1,1.22,0.8,0.8,29.6
FF,2024-09-28,96.0,-3.2,5.88,"Ferguson, Tyler",645302,621053,single,hit_into_play,,,,,5,Victor Robles singles on a fly ball to center fielder JJ Bleday.,R,R,R,SEA,OAK,X,8,fly_ball,0,2,2024,-0.83,1.0,-0.1,2.32,,,,0,7,Bot,145.72,101.18,,,,,9.99937551078588,-139.35371888719234,-6.016856379174449,-13.108755688116457,31.790034898201863,-17.885993927947133,3.06,1.43,235,71.3,34,95.2,2343,6.0,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.53,0.609,0.588,0.9,1,1,0,3,59,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,230,0.057,0.539,72.4,6.4,0.686,-0.539,88.0,0,0,0.586,0.586,30,27,31,27,1,3,2,3,,1,1.49,0.83,0.83,26.8
ST,2024-09-28,84.7,-3.33,5.73,"Ferguson, Tyler",645302,621053,,swinging_strike,,,,,14,Victor Robles singles on a fly ball to center fielder JJ Bleday.,R,R,R,SEA,OAK,S,,,0,1,2024,1.13,0.23,0.97,1.83,,,,0,7,Bot,,,,,,,7.73214740062348,-123.19200418169537,-3.185458207796988,9.896348201777204,25.44330681500544,-29.38708207747426,3.06,1.43,,,,84.0,2512,6.0,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.53,,,,,,,,59,2,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,47,0.0,-0.054,69.2,7.5,,0.054,,0,0,0.586,0.586,30,27,31,27,1,3,2,3,,1,2.96,-1.13,-1.13,26.0
ST,2024-09-28,84.4,-3.31,5.72,"Ferguson, Tyler",645302,621053,,called_strike,,,,,7,Victor Robles singles on a fly ball to center fielder JJ Bleday.,R,R,R,SEA,OAK,S,,,0,0,2024,0.71,0.29,-0.71,1.82,,,,0,7,Bot,,,,,,,4.603530995411556,-122.91606860270808,-3.2928792466024537,6.277226802506049,23.823886506767433,-28.78660084659434,3.03,1.46,,,,83.6,2491,5.7,745203,669127,691016,680474,663527,805779,664913,668709,671732,54.81,,,,,,,,59,1,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,66,0.0,-0.037,,,,0.037,,0,0,0.586,0.586,30,27,31,27,1,3,2,3,,1,2.9,-0.71,-0.71,23.9
FF,2024-09-26,98.6,-3.2,6.05,"Ferguson, Tyler",680716,621053,strikeout,swinging_strike,,,,,5,Jonathan Ornelas strikes out swinging.,R,R,R,OAK,TEX,S,2,,1,2,2024,-0.6,1.3,-0.11,2.94,,,,2,7,Top,,,,,,,9.725953513351811,-143.28595514169814,-5.9722570455898065,-10.528069923131836,32.4716912096916,-12.99364037448142,3.7,1.72,,,,97.8,2495,5.9,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.61,,0.0,0.0,1,0,0,,53,4,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,234,0.02,-0.18,64.5,6.1,,0.18,,1,-1,0.774,0.226,30,24,31,24,1,2,2,1,2,2,1.04,0.6,0.6,31.7
FF,2024-09-26,97.1,-3.3,5.94,"Ferguson, Tyler",680716,621053,,foul,,,,,4,Jonathan Ornelas strikes out swinging.,R,R,R,OAK,TEX,S,,,1,1,2024,-0.77,1.19,-0.38,2.68,,,,2,7,Top,,,,,,,9.508361986933735,-141.06155730983778,-5.936001835984125,-12.3141743938371,30.044466745765295,-15.054776045003928,3.7,1.72,201,71.3,48,96.9,2411,6.1,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.38,,,,,,,,53,3,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,227,0.0,-0.064,64.4,6.7,,0.064,88.0,1,-1,0.774,0.226,30,24,31,24,1,2,2,1,2,2,1.22,0.77,0.77,29.4
SI,2024-09-26,95.7,-3.2,5.76,"Ferguson, Tyler",680716,621053,,called_strike,,,,,9,Jonathan Ornelas strikes out swinging.,R,R,R,OAK,TEX,S,,,1,0,2024,-1.35,0.3,0.8,1.84,,,,2,7,Top,,,,,,,13.537774148409856,-138.62812051860072,-5.294659036640368,-20.53437394353411,32.595961726233185,-27.24787608601919,3.78,1.82,,,,94.9,2166,6.2,745609,669127,691016,680869,680474,805779,664913,668709,671732,54.29,,,,,,,,53,2,Sinker,3,2,2,3,2,3,2,3,Standard,Standard,233,0.0,-0.051,,,,0.051,,1,-1,0.774,0.226,30,24,31,24,1,2,2,1,2,2,2.23,1.35,1.35,29.5
